"","Original_taxa"
"161","Commelina benghalensis-type"
"162","Naucleae"
"163","Pandanus candelabrum"
"164","Hibiscus-type"
"165","Bridelia micrantha"
"166","Dodonaea viscosa"
"167","Myrianthus serratus"
"168","Maytenus senegalensis"
"169","Polycarpaea"
"170","Talinum-type"
"171","Unknown"
"172","Impatiens"
"173","Justicia-type"
"174","Ambrosia maritima-type"
"175","Lophira alata"
"176","Caperonia senegalensis"
"177","Vernonia perrottetii"
"178","Phyllanthus maderaspatensis-tpe"
"179","Cola cordifolia-type"
"180","Micrococca mercurialis"
"181","Monocotyledonae undiff."
"182","Polypodiaceae undiff."
"183","Klaineanthus gaboniae-type"
"184","Sauvagesia erecta"
"185","Dracaena"
"186","Irvingia"
"187","Polycarpon prostratum"
"188","Phyllanthus"
"189","Guibourtia-type"
"190","Indeterminees"
"191","Polygonum senegalense-type"
"193","Avicennia"
"194","Crudia-type"
"195","Lamiaceae undiff."
"196","Uncaria africana-type"
"197","Antidesma"
"198","Mimosaceae undiff."
"199","Phoenix reclinata-type"
"200","Amaranthacee undiff."
"201","Brassicaceae undiff."
"202","Mimosa pigra"
"203","Aizoaceae/Ficoidaceae"
"204","Anthocerothaceae undiff."
"205","Centaurea perrottetii-type"
"206","Undeterminable"
"207","Poaceae undiff."
"208","Commiphora africana"
"209","Gnidia-type"
"210","Euphorbia"
"211","Lotus arabicus-type"
"212","Celtis integrifolia"
"213","Salix"
"214","Osmunda regalis"
"215","Balanites aegyptiaca-type"
"216","Rubiaceae undiff."
"217","Erica"
"218","Hura"
"219","Apocynaceae undiff."
"220","Anthostema senegalense"
"221","Combretaceae undiff;"
"222","Allophylus africanus"
"223","Euphorbiaceae undiff."
"224","Buxus"
"225","Gardenia"
"227","Amanoa-type"
"228","Caesalpiniaceae undiff."
"229","Moraceae undiff."
"230","Vernoniae"
"231","Caryophyllaceae/Amaranthaceae"
"232","Daniellia"
"233","Caucanthus-type"
"234","Bombax costatum"
"235","Mitracarpus villosus"
"236","Lygodium microphyllum"
"237","Tetracera alnifolia"
"238","Tribulus terrestris"
"242","Caryophyllaceae"
"243","Sanguisorba"
"244","Rosaceae"
"245","Polygonaceae"
"246","Teucrium"
"247","Scrophulariaceae"
"248","Polygonum aviculare"
"249","Quercus ilex"
"250","Papaveraceae"
"251","Lamiaceae"
"252","Apiaceae"
"253","Plantago"
"254","Potamogeton"
"255","Amaranthaceae"
"256","Ranunculus"
"257","Quercus coccifera"
"258","Cedrus"
"259","Brassicaceae"
"260","Asteroideae"
"261","Poaceae"
"262","Cichorioideae"
"263","Juncaceae"
"264","Poaceae (Cerealia)"
"265","Sparganium"
"266","Ephedra fragilis"
"267","Centaurea"
"268","Cupressaceae"
"269","Liliaceae"
"270","Fabaceae"
"271","Anacardiaceae"
"272","Symphytum"
"273","Poterium sanguisorba"
"274","Myriophyllum"
"275","Acer"
"276","Fraxinus excelsior"
"277","Urtica/Parietaria"
"278","Valeriana"
"279","Alnus"
"280","Trifolium"
"281","Valerianella"
"283","Botrychium"
"284","Lysimachia"
"285","Plantago major"
"286","Malvaceae"
"287","Paronychia"
"288","Cistus"
"289","Saxifraga"
"290","Betula"
"291","Potentilla"
"292","Mercurialis"
"293","Asphodelus"
"294","Castanea"
"295","Corylus"
"296","Fagus"
"297","Juniperus"
"298","Convolvulus"
"299","Galium"
"300","Lythrum"
"301","Knautia"
"302","Thalictrum"
"303","Campanulaceae"
"304","Ruta"
"305","Abies"
"306","Gentianaceae"
"307","Humulus/Cannabis"
"308","Scabiosa"
"309","Pistacia"
"310","Euphrasia"
"311","Ilex aquifolium"
"312","Carpinus orientalis"
"313","Myrica"
"314","Berberis"
"315","Picea"
"316","Helianthemum"
"317","Iridaceae"
"318","Sedum"
"319","Carya"
"320","Calligonum"
"321","Primulaceae"
"322","HippophaÃ« rhamnoides"
"323","Filipendula"
"324","Ceratonia"
"325","Rhamnus"
"326","Cuscuta"
"327","Aristolochia"
"328","Valerianoideae"
"329","Diphasium"
"330","Eriocaulon"
"331","Myrtus"
"332","Sambucus"
"333","Ostrya"
"334","Asteraceae (echinate)"
"335","Daphne gnidium"
"336","Polygonum"
"337","Cedrus atlantica"
"338","Fraxinus"
"339","Cupressus"
"340","Quercus ilex/Q. coccifera"
"341","Quercus canariensis/Q. pyrenaica"
"342","Ericaceae"
"343","Platanus"
"344","Ulmus"
"345","Vitis"
"346","Populus"
"347","Rumex acetosa-type"
"348","Senecio-type"
"349","Plantago media-type"
"350","Viburnum-type"
"351","Hordeum/Triticum"
"352","Bunium-type"
"353","Scorzonera-type"
"354","Menyanthes trifoliata"
"355","Plantago lanceolata-type"
"356","Brassica-type"
"357","Quercus coccifera-type"
"358","Parnassia palustris"
"359","Epipactis"
"360","Dryopteris-type"
"361","Pteridium"
"362","Artemisia herba-alba-type"
"363","Carpinus betulus"
"364","Potentilla-type"
"365","Quercus cerris-type"
"366","Equisetum"
"367","Polygonum aviculare-type"
"368","Sparganium-type"
"369","Campanula-type"
"370","Sanguisorba-type"
"371","Ostrya/Carpinus orientalis"
"372","Scrophularia/Verbascum"
"373","Mercurialis annua"
"374","Centranthus"
"375","Anthriscus-type"
"376","Epilobium"
"377","Juglans"
"378","Plantago major-type"
"379","Rhinanthus-type"
"380","Cirsium/Gundelia"
"381","Matricaria-type"
"382","Ranunculus repens-type"
"383","Rumex hydrolapathum"
"384","Sambucus nigra-type"
"385","Tilia"
"386","Poaceae (Cerealia-type)"
"387","Crataegus-type"
"388","Allium"
"389","Primula"
"390","Centaurea jacea-type"
"391","Juncus/Luzula"
"392","Arceuthobium oxycedri"
"394","Cornus mas"
"395","Taxus"
"396","Plantago maritima-type"
"397","Fallopia convolvulus-type"
"398","Echium-type"
"399","Fontanesia phillyreoides"
"400","Ephedra distachya-type"
"401","Viola"
"402","Aquilegia-type"
"403","Typha latifolia"
"404","Asparagus-type"
"405","Rumex cyprius"
"406","Descurainia"
"407","Sphagnum"
"408","Crassulaceae"
"409","Utricularia"
"410","Plantaginaceae"
"411","Trifolium-type"
"412","Ononis-type"
"413","Hypericum perforatum-type"
"414","Plantago tenuiflora-type"
"415","Frankenia hirsuta-type"
"416","Gentiana nivalis-type"
"417","Fraxinus ornus"
"418","Plantago coronopus-type"
"419","Urtica dioica-type"
"420","Scilla-type"
"421","Ranunculus sceleratus-type"
"422","Rhynchocorys"
"423","Calluna-type"
"424","Centaurea solstitialis-type"
"425","Veronica"
"426","Artemisia vulgaris-type"
"427","Thymus/Mentha"
"428","Phillyrea angustifolia"
"429","Onosma-type"
"430","Chelidonium"
"431","Malva"
"432","Polygonum cognatum-type"
"433","Ranunculus asiaticus-type"
"434","Onopordum-type"
"435","Azolla"
"436","Rhododendron"
"437","Ligustrum"
"438","HippophaÃ«"
"439","Ephedra fragilis-type"
"440","Heracleum-type"
"441","Silene-type"
"442","Rosa-type"
"443","Pediastrum"
"444","Verbena"
"445","Filago-type"
"446","Centaurea cyanus-type"
"447","Bidens-type"
"448","Rhynchospora-type"
"449","Eryngium-type"
"450","Cousinia"
"451","Solanum nigrum"
"452","Haplophyllum"
"453","Vicia-type"
"454","Centaurea scabiosa-type"
"455","Jasione-type"
"456","Anisosciadium-type"
"457","Cyclamen"
"458","Selaginella"
"459","Melampyrum"
"460","Juniperus sabina"
"461","Pterocarya"
"462","Ranunculus peltatus-type"
"463","Gentianella tenella"
"464","Antirrhinum/Linaria"
"465","Gentiana purpurea"
"466","Pimpinella-type"
"467","Cheilanthes"
"468","Noaea-type"
"469","Hedera"
"470","Spergularia-type"
"471","Frangula"
"472","Maianthemum-type"
"473","Cotoneaster"
"474","Anagallis"
"475","Thesium"
"476","Geranium"
"477","Apium-type"
"478","Datura"
"479","Solanum dulcamara"
"480","Hippocrepis-type"
"482","Lotus-type"
"483","Matthiola"
"484","Cerinthe-type"
"485","Prunus-type"
"486","Asphodeline"
"487","Malus-type"
"488","Cercis siliquastrum"
"489","Ferula-type"
"490","Geum-type"
"491","Euonymus"
"492","Butomus umbellatus"
"493","Scutellaria"
"494","Roemeria hybrida subsp. dodecandra-type"
"495","Bupleurum-type"
"496","Dipsacus-type"
"497","Myriophyllum spicatum/M. verticillatum"
"498","Inula-type"
"499","Polystichum"
"500","Stachys-type"
"501","Scabiosa columbaria-type"
"502","Arctium/Jurinea"
"503","Pterocephalus-type"
"504","Lappula"
"505","Spinacia-type"
"506","Symphytum-type"
"507","Capsella-type"
"508","Crupina"
"509","Bellis-type"
"510","age_NA"
"511","Typhaceae"
"512","Unknown (trilete)"
"513","Erica arborea"
"514","Cistus monspeliensis"
"515","Pinus pinaster-type"
"516","Myrtus communis"
"517","Quercus suber"
"518","Alnus glutinosa"
"519","Acanthus"
"520","Olea europaea"
"521","Hypericum"
"522","Linaceae"
"523","Polygalaceae"
"525","Callitris quadrivalvis"
"526","Cruciferes"
"527","Cupressus Dupreziana"
"528","Cupressus sp."
"529","Geraniacees"
"530","Graminees"
"531","Juniperus phoenicea"
"532","Juniperus sp."
"533","Myrtus Nivellei"
"534","Ombrellifere"
"535","Phillyrea sp"
"536","Pinus sp."
"537","Pistacia lentiscus"
"538","Salsolacees"
"539","Tilia sp."
"540","autres Monocotyledones"
"542","Pinaceae"
"543","Unknown (monolete)"
"544","Polypodium"
"545","Cistaceae"
"546","Plantago undiff."
"547","Pteris"
"548","Quercus robur-type"
"549","Solanaceae"
"550","Eucalyptus"
"551","Hyoscyamus"
"552","IsoÃ«tes"
"553","Carduus-type"
"554","Geraniaceae"
"555","Dipsacus"
"556","Loranthus"
"557","Ranunculus undiff."
"558","Delphinium-type"
"559","Fagopyrum"
"560","Linum"
"561","Cotinus coggygria"
"562","Ranunculus sect. Batrachium-type"
"563","Lomelosia rotata-type"
"564","Phillyrea"
"565","Ranunculaceae"
"566","Ranunculus acris"
"567","Hymenophyllum flabellatum"
"568","Datisca"
"569","Persicaria maculosa-type"
"570","Cladium mariscus"
"571","Arbutus"
"572","Alisma"
"573","Anthoceros laevis-type"
"574","Calystegia"
"575","Succisa"
"577","Boraginaceae"
"578","Aerva"
"579","Cruciferae"
"580","Fagonia"
"581","Capparidaceae"
"582","Maerua"
"583","Cornulaca"
"584","Acacia"
"585","Cassia"
"586","cf. Cissampelos"
"587","Chenopodiaceae"
"588","Compositae tubulifl."
"589","Papilionaceae"
"590","cf. Tephrosia"
"591","Palmae"
"592","varia"
"593","Glaux"
"594","Beta"
"595","Armeria/Limonium"
"596","Pseudopediastrum boryanum"
"597","Paronychia-type"
"598","Nymphaea"
"599","Plumbaginaceae"
"600","Theligonum"
"601","Sanicula-type"
"602","Turgenia-type"
"603","Rumex subg. Emex"
"604","Halothamnus-type"
"605","Berberidaceae"
"606","Psylliostachys spicata"
"607","Pediastrum duplex"
"608","Nuphar"
"609","Anemone"
"610","Nigella"
"611","Rumex patientia-type"
"612","Asperula-type"
"613","Malabaila"
"614","Leontice leontopetalum"
"615","Rumex cyprius-type"
"616","Sanguisorba officinalis"
"617","Nitraria"
"618","Urtica"
"619","Halogeton"
"620","Hammada-type"
"621","Atraphaxis"
"622","Chenopodium/Thalictrum"
"623","Plantago cf. P. crassifolia"
"624","Echinops"
"625","Plantago ovata-type"
"626","Thymelaeaceae"
"627","Lemna"
"628","Sarcopoterium"
"629","Acantholimon"
"630","Prunus"
"631","Alismataceae"
"632","Lonicera"
"633","Asteraceae"
"634","Pistacia palaestina"
"635","Dipsacoideae"
"636","Zygophyllaceae"
"637","Crataegus"
"638","Cercis"
"639","Nerium"
"640","Laurus"
"641","Elaeagnus"
"642","Styrax"
"643","Orobanchaceae"
"644","Pistacia atlantica"
"645","Quercus ithaburensis"
"646","Dinoflagellata"
"648","Mentha-type"
"649","Solidago-type"
"650","Veronica-type"
"651","Cytisus-type"
"652","Verbascum-type"
"653","Selaginella denticulata-type"
"654","cf. Anthoceros punctatus-type"
"655","Alisma-type"
"656","Cirsium-type"
"657","Typha latifolia-type"
"658","Fraxinus ornus-type"
"659","Quercus pubescens/Q. cerris-type"
"660","Quercus ilex-type"
"661","Oleaceae"
"662","Phillyrea-type"
"663","Olea/Phillyrea"
"664","Varia"
"665","Indeterminable"
"666","cf. Vitex"
"667","Olea-type"
"668","Charcoal"
"669","Lythrum salicaria"
"670","Erodium"
"671","Potamogeton subg. Coleogeton-type/Ruppia"
"672","Ranunculus-type"
"673","Potamogeton natans-type"
"674","Thelypteris"
"675","Quercus sp."
"676","Cerastium-type"
"677","Asparagus"
"678","Herniaria-type"
"679","Fraxinus angustifolia-type"
"680","Sarcopoterium-type"
"681","cf. Gratiola officinalis"
"682","Ballota-type"
"683","Saussurea-type"
"684","Prunella-type"
"685","Plantago major/P. media-type"
"686","Salvia pratensis-type"
"687","Ostrya-type"
"688","Onobrychis"
"689","Achillea-type"
"690","Sorbus group"
"691","Dryopteris filix-mas-type"
"692","Anthoceros punctatus-type"
"694","Spirogyra"
"695","Cladium-type"
"696","Rhamnus-type"
"697","Asphodelus albus-type"
"698","Riccia-type"
"699","Closterium"
"700","Mougeotia"
"701","Botryococcus"
"702","Juniperus-type"
"703","Spergula arvensis"
"704","Fumana"
"705","Daphne"
"706","Centaurea nigra-type"
"707","Algae"
"708","Santalaceae"
"709","Fraxinus excelsior-type"
"710","Pulmonaria-type"
"712","Papaver rhoeas-type"
"713","Adonis aestivalis-type"
"714","Myriophyllum spicatum"
"715","Galeopsis-type"
"716","Cornus mas-type"
"717","Myriophyllum verticillatum-type"
"718","Trifolium repens-type"
"721","microforamaminifera"
"722","dinoflagellate cysts"
"723","LYCOPODIUM tablets"
"724","Heliotropium"
"725","Phoenix (R1c 5)"
"726","Salvadora persica"
"727","Chenop/Amar/Caryo"
"728","Maerua (R3cp 6)"
"729","Haplophyllum (P3cp 11)"
"730","Justicia"
"731","Olea (R3c 9)"
"732","Dodonea (P3cp 13)"
"733","Mangifera indica (P3cp 2"
"734","other conifers"
"735","Cocos"
"736","Compositae (tub)"
"737","Compositae (lig)"
"738","Leguminosae (R3cp 15)"
"739","Bignoniaceae? (R3c 6)"
"740","P3c 2"
"741","R3cp 14"
"742","R3cp 8"
"743","P3cp 12"
"744","Echimonocolpites 3"
"745","Cyatheaceae (P3letes 2)"
"746","cf. Hymenophyllaceae (Echi-Bacutriletes)"
"747","Pteridaceae (P3letes 1)"
"748","Indet pollen"
"749","clust.chenops"
"750","LYCOPODIUM tablet"
"751","tintinids"
"752","Cassia (P3cp 5-6-1)"
"753","Indigofera"
"754","Ziziphus? (R3cp 2)"
"755","cf. Canthium (R3p 2)"
"756","Cucurbitaceae"
"757","Euclea (P3cp 10)"
"758","Mangifera indica (P3cp 2)"
"759","Mallotus (P3cp 7)"
"760","Phyllanthus cf. niruri (R3cp 11)"
"761","cf. Meliaceae (P3cp 15)"
"762","Bosqueia"
"763","Ocimum cf. basilicum (R3c 7)"
"764","cf. Adenium (P3p 1)"
"765","Euphorbiaceae (Croton type)"
"766","cf. Cocculus (P3cp 17)"
"767","Polygonaceae (P. glabrum type)"
"768","R3c 5"
"769","R3cp 7"
"770","P3cp 4"
"771","P3c 3"
"772","R3cp 9"
"773","R3c 8"
"774","P3cp 8"
"775","R3cp 10"
"776","P3cp 9"
"777","R3cp 12"
"778","Psilamonocolpites"
"779","Echimonocolpites 2"
"780","Retimonocolpites 4"
"781","Retimonocolpites 3"
"782","Pteridophytes"
"783","cf. Adiantum (Verrutriletes 2)"
"784","cf. Adiantum (V3letes 1)"
"785","Schizaceae (Anemia type)"
"786","Psilamonoletes"
"787","Retitriletes"
"788","Indet spore"
"790","Abutilon"
"791","Acacia mellifera (lisse)"
"792","Acacia seyal"
"793","Aerva-type lanata"
"794","Aizoaceae undiff."
"795","Anchusa-type"
"796","Aniseia-type martinicensis"
"797","Anthocerothaceae"
"798","Arnebia hispidissima-type"
"799","Asteraceae undiff."
"800","Boraginaceae undiff."
"801","Centaurea-type"
"802","Ceratopteris"
"803","Cf. Celtis"
"804","Cf. Gentianaceae"
"805","Cichorieae undiff."
"806","Combretum-type molle"
"807","Convolvulaceae undiff."
"808","Convolvulus-type"
"809","Crudia"
"810","Cyperaceae undiff."
"811","Dipterygium glaucum-type"
"812","Dodonaea viscosa-type"
"813","Echinops-type spinosus"
"814","Echium"
"815","Ephedra fragilis-type (lisse)"
"816","Euphorbia-type"
"817","Euphorbia-type hirta"
"818","Geraniaceae undiff."
"819","Grand tricolpe"
"820","Heliotropium ramosissimum-type"
"821","Heliotropium steudneri-type"
"822","Ipomoea-type"
"823","Jacquemontia-type"
"824","Leucas-type"
"825","Lindernia-type"
"826","Merremia-type"
"827","Monoletes undiff."
"828","Myriophyllum-type"
"829","Palmae undiff."
"830","Polycarpaea-type"
"831","Polyopodium"
"832","Psilotrichum-type"
"833","Pteridophyta undiff."
"834","Pteris-type vittata"
"835","Resedaceae undiff."
"836","Rhus-type"
"837","Rhynchosia-type"
"838","Solanum-type"
"839","Trilete lisse"
"840","Triletes undiff."
"841","Unknown/ u."
"842","Xanthium-type"
"843","Ziziphus-type"
"844","Zygophyllum simplex-type"
"845","Linaria"
"846","Quercus (deciduous)"
"847","Quercus (evergreen)"
"848","Carduus"
"850","Cytisus scoparius"
"851","Erica umbellata"
"852","Fraxinus angustifolia"
"853","Montia"
"854","Erica australis"
"855","Secale"
"856","Hedwigia"
"857","Erica arborea-type"
"858","Eudicotyledoneae undiff."
"859","Pinus sylvestris-type"
"861","Castanea sativa"
"862","Anthemis-type"
"863","Betula pubescens"
"864","Corrigiola litoralis"
"865","Caryophyllaceae (porate)"
"866","Calluna vulgaris"
"867","Halimium-type"
"868","Corylus avellana"
"869","Scleranthus"
"870","Polypodiales (monolete)"
"871","Micranthes stellaris-type"
"872","Pentaglottis sempervirens"
"873","Lysimachia vulgaris-type"
"874","Silene dioica-type"
"875","Pteridium aquilinum"
"876","Gnaphalium-type"
"877","Marchantiophyta"
"878","Cirsium"
"879","Plantago coronopus"
"880","Pseudoschizaea"
"881","Thymelaea"
"882","Cannabaceae"
"883","Coriaria myrtifolia"
"884","Carpinus"
"885","Myrtaceae"
"886","Lygeum-type"
"887","Lotus"
"889","cf. Bosqueia"
"890","cf. Celtis"
"891","cf. Hagenia abyssinica"
"892","cf. Hippophae"
"893","Capparis"
"894","Rivularia"
"895","Charcoal >125"
"896","Cichorieae"
"897","Not identified"
"898","Rosaceae undiff."
"899","Striate pollen"
"900","Tricolpate pollen"
"901","Zygophyllum"
"902","Alternanthera"
"903","Borago cf."
"904","cf. Lotus"
"905","Commelina"
"906","Poaceae wild grass group"
"907","Rhynchosia"
"908","Lythrum-type"
"909","Concentricystes"
"911","Acacia, sect. Gummiferae"
"912","Androcymbium"
"913","Betula/Carpinus"
"914","Boerhavia/Commicarpus"
"915","Caryophyllaceae undiff."
"916","Caylusea-type"
"917","Celtis australis-type"
"918","Cercis siliquastrum-type"
"919","Chenopodiaceae undiff."
"920","Combretum-type aculeatum"
"921","Cornulaca/Beta"
"922","Cynareae undiff."
"923","Cyperus-type"
"924","Ephedra alata-type"
"925","Euphorbia-type terracina"
"926","Malvaceae undiff."
"927","Monocotyledoneae undiff."
"928","Myrtus-type nivellei"
"929","Orobanche aegyptiaca-type"
"930","Pennisetum-type"
"931","Polygala-type erioptera"
"932","Pterocarya fraxinifolia-type"
"933","Tubiflores exc Cynarees et Artemisia"
"934","Ulmus/Zelkova"
"935","Undetermined"
"936","Verbenaceae undiff."
"937","Randia"
"938","Paullinia"
"939","Proteaceae"
"940","Compositae"
"941","Rosaceae?"
"942","Tapinanthus"
"943","Combretum"
"944","Elaeis"
"945","Jussiaea"
"946","Amaranthus"
"947","Bombax"
"948","IndÃ©terminÃ©s"
"949","FilicinÃ©es"
"950","Triticum-type"
"951","Hordeum-type"
"952","Convolvulus arvensis"
"953","Plantago major/P. media"
"954","Plantago lagopus-type"
"955","Cistus pro parte"
"956","Polypodiophyta"
"957","Triletes (verrucate)"
"958","Cistus albidus-type"
"959","Quercus pubescens-type"
"960","Sarcopoterium/Sanguisorba minor"
"961","Cornus"
"962","Anemone-type"
"963","Ceratonia siliqua"
"964","Poaceae (Cerealia-type, indeterminable)"
"965","Fabaceae pro parte"
"966","Gypsophila"
"967","Dorycnium-type"
"968","Avena-type"
"969","Helianthemum-type"
"970","Quercus pro parte"
"971","Salvia"
"972","Plantago holosteum-type"
"973","Centaurea pro parte"
"974","Ranunculaceae pro parte"
"975","Plantago altissima-type"
"976","Heliotropium-type"
"977","Ranunculus acris-type"
"978","Lathyrus-type"
"979","Rhamnus/Paliurus"
"980","Oleaceae pro parte"
"981","Saxifraga oppositifolia"
"982","Cistus salviifolius"
"983","Viburnum"
"984","Genista-type"
"985","Tilia cordata-type"
"986","Erica verticillata-type"
"987","Sanguisorba minor/Poterium"
"988","Tilia pro parte"
"989","Potamogeton eupotamogeton"
"990","Theligonum cynocrambe"
"991","Triletes (psilate)"
"992","Unknown (trilete, reticulate)"
"993","Aconitum-type"
"994","Xanthium"
"995","Bistorta officinalis-type"
"996","Stuckenia-type"
"997","Cotinus"
"998","Plantago pro parte"
"999","Jasminum"
"1000","Tilia platyphyllos-type"
"1001","Allium-type"
"1002","Glaucium"
"1003","Centaurea sp."
"1004","Cornus sanguinea-type"
"1005","Polycnemum"
"1006","Bryophyta"
"1007","Acacia cf. senegal"
"1008","Aerva persica"
"1009","Balanites aegyptiaca"
"1010","Bauhinia rufescens"
"1011","Capparis cf. fascicularis"
"1012","Celosia trigyna"
"1013","cf. Solanum"
"1014","Chenopodiaceae/Amaranthaceae"
"1015","Cleome arabica"
"1016","Cocculus pendulus"
"1017","Cornulia monacantha-type"
"1018","Hyphaene thebaica"
"1019","Olea lapperini"
"1020","Pinus cf. laricio"
"1021","Plantanus"
"1022","Quercus"
"1023","Sesbania cf. pachycarpa"
"1024","Potamogeton-type"
"1025","Asphodelus-type"
"1026","Hypecoum-type"
"1027","Sedum-type"
"1029","Podospora-type"
"1030","Eryngium campestre-type"
"1031","Aster-type"
"1032","Quercus pyrenaica-type"
"1034","Viscum"
"1035","Erodium cicutarium-type"
"1036","Liliaceae undiff."
"1037","Arenaria serpyllifolia-type"
"1038","Sordaria-type"
"1039","Sporormiella-type"
"1040","Filipendula vulgaris-type"
"1041","Urtica pilulifera"
"1042","Alnus glutinosa-type"
"1043","Silene vulgaris-type"
"1044","Succisa pratensis-type"
"1045","Betula pubescens-type"
"1046","Daucus carota-type"
"1047","Silene flos-cuculi"
"1048","Sagina procumbens-type"
"1049","Valeriana officinalis-type"
"1050","Cistus-type"
"1051","Heracleum sphondylium-type"
"1052","Herniaria glabra-type"
"1053","Fagus sylvatica"
"1054","Frangula alnus"
"1055","Vicia/Lathyrus-type"
"1056","Vitis vinifera"
"1057","Echium vulgare-type"
"1058","Sanguisorba minor-type"
"1059","Ericaceae undiff."
"1060","Cerastium fontanum-type"
"1061","Alisma plantago-aquatica-type"
"1062","Viburnum opulus-type"
"1063","Erica tetralix-type"
"1064","Valerianella locusta-type"
"1065","Melampyrum-type"
"1066","Resedaceae"
"1067","Narcissus-type"
"1068","Acer campestre-type"
"1069","Ligustrum vulgare-type"
"1070","Pedicularis sylvatica-type"
"1071","Lonicera periclymenum-type"
"1072","Cercophora-type"
"1073","Viburnum lantana-type"
"1074","Illecebrum verticillatum-type"
"1075","Spergula arvensis-type"
"1076","Moehringia trinervia-type"
"1077","Sparganium erectum-type"
"1078","Crocus"
"1079","Corrigiola litoralis-type"
"1081","Phillyrea angustifolia-type"
"1082","Hypericum elodes-type"
"1083","Bupleurum"
"1084","Convolvulaceae"
"1085","Sorbus-type"
"1086","Seseli libanotis-type"
"1087","Lythrum portula-type"
"1088","Heliotropium europaeum-type"
"1089","Ranunculus arvensis-type"
"1090","Hedera helix-type"
"1091","Geranium molle-type"
"1092","Unknown (monolete) undiff."
"1093","Quercus undiff."
"1094","Osmunda"
"1095","Poaceae (>40 Âµm)"
"1096","Unknown (trilete) undiff."
"1097","Polygonaceae undiff."
"1098","Caprifoliaceae"
"1099","Ostrya/Carpinus"
"1100","Centaurea solstitialis"
"1101","Solanum dulcamara-type"
