Pollen_type_SM_morphological,Family,Genus,taxa,url_source,project_pi,project_pi_contact,whole_plant_height_m,seed_mass_mg,leaf_area_mm2,longest_whole_plant_longevity_years,plant_flowering_begin_month,plant_flowering_begin_date,leaf_dry_mass_g,leaf_life_span_months,leaf_nitrogen_content_per_leaf_dry_mass_mg_g_1,whole_plant_dispersal_syndrome,whole_plant_vegetative_phenology,whole_plant_growth_form_diversity,whole_plant_sexual_system,flower_pollination_syndrome,Leaf_dry_mass_per_area_g_mm_2,Try_dataset,Leaf_type,Try_reference
Adenia,Passifloraceae,Adenia,Adenia,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Bezeng BS; Engemann, K",bezengsimmy@gmail.com; engemann@bios.au.dk,,,,,8,,,,,abiotic,,Herb,Dioecious,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Adenium,Apocynaceae,Adenium,Adenium,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Bezeng BS; Engemann, K",bezengsimmy@gmail.com; engemann@bios.au.dk,,,,,5,,,,,abiotic,,Shrub,Hermaphrodite,biotic,,,,
Adina,Rubiaceae,Adina,Adina,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Shrub,,,,,,
Aerva type,Amaranthaceae-Amaranthoideae,Achyranthes,Aerva,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Aeschynomene,Fabaceae-Faboideae,Aeschynomene,Aeschynomene,http://datadryad.org/resource/doi:10.5061/dryad.d87v7; http://www.kew.org/data/sid ; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Letcher SG; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Engemann, K",susan.letcher@purchase.edu; sid@kew.org ; engemann@bios.au.dk,7,6.03826087,,,,,,,,,,Shrub,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Aesculus,Hippocastanaceae,Aesculus,Aesculus,http://www.americanforests.org/resources/bigtrees/register.php; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Angela Moles; Steven Travers; Price CA; Zanne AE; Engemann, K",sid@kew.org ; ken.thompson@sheffield.ac.uk; a.moles@unsw.edu.au; steven.travers@ndsu.edu; charles.price@uwa.edu.au; aezanne@gmail.com; engemann@bios.au.dk,13.8115156,13250.98902,6172.924,80,,5,,,22.88081852,,deciduous,Tree,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Afraegle,Rutaceae,Afraegle,Afraegle,http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Engemann, K",engemann@bios.au.dk,,,,,,,,,,,,Tree,,,,,,
Afzelia,Fabaceae-Caesalpinoideae,Afzelia,Afzelia,http://datadryad.org/resource/doi:10.5061/dryad.f2b52; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Ploton P; Bezeng BS; Zanne AE; Engemann, K",p.ploton@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,40,,,,7,,,,,biotic,deciduous,Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Agrimonia,Rosaceae,Agrimonia,Agrimonia,http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.leda-traitbase.org/LEDAportal/; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Steven Travers; Michael Kleyer; Engemann, K",sid@kew.org ; ken.thompson@sheffield.ac.uk; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; engemann@bios.au.dk,0.449940476,7.434,10834.034,,,6,0.609511685,,,,,Herb,,,5.63E-05,,,
Aizoaceae t.,Aizoaceae,Aizoaceae,Aizoaceae,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Angela Moles; Bezeng BS; Zanne AE; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; a.moles@unsw.edu.au; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,0.433333333,8.220944966,,1,,,,,,abiotic,evergreen,Shrub,Hermaphrodite,biotic,,,,
Albizia,Fabaceae-Mimosoideae,Albizia,Albizia,http://www.kew.org/data/sid ; doi:10.1890/09-1672.1; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; doi: 10.1111/j.1469-8137.2005.01530.x; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Nathan Kraft; Bezeng BS; J. Fang; Zanne AE; Engemann, K",sid@kew.org ; nkraft@biodiversity.ubc.ca; bezengsimmy@gmail.com; jyfang@urban.pku.edu.cn; aezanne@gmail.com; engemann@bios.au.dk,10.24424343,68.54327803,1677.75,,8.611111111,,,,33.18263636,biotic,evergreen,Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Alchemilla t.,Rosaceae,Alchemilla,Alchemilla,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.ufz.de/biolflor/index.jsp; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Rusch; Ingolf Kuhn; Zanne AE; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; graciela.rusch@nina.no; ingolf.kuehn@ufz.de; aezanne@gmail.com; engemann@bios.au.dk,0.202907692,0.415035714,1292.923152,,5.636363636,,0.129869728,,,,evergreen,Herb,,,0.000100447,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Alchornea,Euphorbiaceae,Alchornea,Alchornea,http://datadryad.org/resource/doi:10.5061/dryad.69ph0; doi:10.1890/09-1672.1; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.j2r53; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Tim Killeen; Kraft TS; Nathan Kraft; Bezeng BS; Uma√±a MN; Zanne AE; Engemann, K",thomas.s.kraft@dartmouth.edu; nkraft@biodiversity.ubc.ca; bezengsimmy@gmail.com; maumana@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,7.44422209,52.7206,2803,,9.5,,,,21.85947889,biotic,evergreen,Liana_Shrub_Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Algae,Algae,Algae,Algae,,,,,,,,,,,,,,,,,,,,,
Alismataceae,Alismataceae,Alisma,Alismataceae,http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.leda-traitbase.org/LEDAportal/; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"J. P. Grime, J. G. Hodgson and R. Hunt; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; D.K. Kunzmann; Steven Travers; Michael Kleyer; Engemann, K",j.p.grime@sheffield.ac.uk; sid@kew.org ; dkunzmann@gmx.de; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; engemann@bios.au.dk,0.2706,0.836361111,3765.095238,,6.318181818,,0.171448628,,,,,Aquatic_Herb,,,4.55E-05,,,
Allophylus t.,Sapindaceae,Allophylus,Allophylus,http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Price CA; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Dana Royer; Bezeng BS; Zanne AE; Engemann, K",charles.price@uwa.edu.au; sid@kew.org ; droyer@wesleyan.edu; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,11.02793103,814.5900597,5236.9,,5.8,,,,23.7,biotic,evergreen,Vine_Shrub_Tree,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Alnus,Betulaceae,Alnus,Alnus,http://www.kew.org/data/sid ; http://www.ufz.de/biolflor/index.jsp; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Dana Royer; Angela Moles; Ingolf Kuhn; Michael Kleyer; Price CA; Marx HE; Bezeng BS; Zanne AE; Engemann, K",sid@kew.org ; droyer@wesleyan.edu; a.moles@unsw.edu.au; ingolf.kuehn@ufz.de; michael.kleyer@uni-oldenburg.de; charles.price@uwa.edu.au; h.marx.h@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,17.38534969,1.892630083,2764.9176,82.66666667,3,,0.096722,3.6,29.55529273,biotic,deciduous,Shrub_Tree,Hermaphrodite,biotic,3.50E-05,FRED - Fine Root Ecology Database,broad-leaved,"Iversen, C. M., McCormack, M. L., Powell, A. S., Blackwood, C. B., Freschet, G. T., Kattge, J. , Roumet, C. , Stover, D. B., Soudzilovskaia, N. A., Valverde?Barrantes, O. J., Bodegom, P. M. and Violle, C. (2017), A global Fine?Root Ecology Database to address below?ground challenges in plant ecology. New Phytol, 215: 15-26. doi:10.1111/nph.14486"
Aloe,Asphodelaceae,Aloe,Aloe,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Bezeng BS; Engemann, K",bezengsimmy@gmail.com; engemann@bios.au.dk,,,,,6.705882353,,,,,biotic,,Herb,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Alternanthera t.,Amaranthaceae,Alternanthera,Alternanthera,http://www.kew.org/data/sid ; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Engemann, K",sid@kew.org ; engemann@bios.au.dk,,0.386735083,,,,,,,,,,Herb,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Amaranthaceae undif.,Amaranthaceae,Amaranthaceae,Amaranthaceae,http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"J. P. Grime, J. G. Hodgson and R. Hunt; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; K. Thompson; Angela Moles; Steven Travers; Michael Kleyer; Price CA; Maire V; Bezeng BS; Zanne AE; Engemann, K",j.p.grime@sheffield.ac.uk; sid@kew.org ; ken.thompson@sheffield.ac.uk; a.moles@unsw.edu.au; steven.travers@ndsu.edu; michael.kleyer@uni-oldenburg.de; charles.price@uwa.edu.au; vmaire@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,0.605852286,4.208233239,1273.634107,10.5,,6.834394904,0.0642865,6.65,25.02034801,biotic,evergreen,Shrub,Dioecious,abiotic,5.05E-05,,,
Ambrosia t.,Asteraceae-Ambrosieae,Ambrosia,Ambrosia,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://www.leda-traitbase.org/LEDAportal/; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; D.K. Kunzmann; Angela Moles; Steven Travers; Cyrille Violle/Brian Enquist ; Zanne AE; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; dkunzmann@gmx.de; a.moles@unsw.edu.au; steven.travers@ndsu.edu; cyrille.violle@cefe.cnrs.fr;benquist@email.arizona.edu; aezanne@gmail.com; engemann@bios.au.dk,1.021764706,7.17176,3717.4375,36,7.285714286,,0.171423429,,28.64804791,,evergreen,Shrub,,,4.61E-05,,,
Ammannia t.,Lythraceae,Ammannia,Ammannia,http://www.kew.org/data/sid ; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Steven Travers; Engemann, K",sid@kew.org ; steven.travers@ndsu.edu; engemann@bios.au.dk,,0.013333333,,,,7,,,,,,Herb,,,,,,
Anacardiaceae undiff.,Anacardiaceae,Anacardiaceae,Anacardiaceae,http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.6p9v5; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Greg Reams; K.S. Murali; Dana Royer; Price CA; Bhaskar R; Bezeng BS; Zanne AE; Engemann, K",droyer@wesleyan.edu; charles.price@uwa.edu.au; radika@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,7.95202304,1133.941349,3277.985743,,7.032786885,,0.052222222,6.4,20.53652826,abiotic,evergreen,Tree,Hermaphrodite,abiotic,1.59E-05,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Anacardium,Anacardiaceae,Anacardium,Anacardium,http://datadryad.org/resource/doi:10.5061/dryad.r3n45; http://datadryad.org/resource/doi:10.5061/dryad.69ph0; http://datadryad.org/resource/doi:10.5061/dryad.ck585; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Price CA; Kraft TS; Dana Royer; Balzotti CS; Bezeng BS; Zanne AE; Engemann, K",charles.price@uwa.edu.au; thomas.s.kraft@dartmouth.edu; droyer@wesleyan.edu; cbalzotti@carnegiescience.edu; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,15,3024.259917,14060,,,,,8.4,16.28181818,biotic,evergreen,Herb_Shrub_Tree,Dioecious,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Anagallis t.,Primulaceae,Anagallis,Anagallis,http://www.leda-traitbase.org/LEDAportal/; http://www.kew.org/data/sid ; http://datadryad.org/resource/doi:10.5061/dryad.m88g7; http://www.ufz.de/biolflor/index.jsp; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Michael Kleyer; Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.; Marx HE; Ingolf Kuhn; Engemann, K",michael.kleyer@uni-oldenburg.de; sid@kew.org ; h.marx.h@gmail.com; ingolf.kuehn@ufz.de; engemann@bios.au.dk,0.115158722,0.447387864,69.31703333,,6,,0.003493296,,27.47794,,,Vine_Herb,,,5.04E-05,,,
Andrachne,Phyllanthaceae,Andrachne,Andrachne,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Bezeng BS; Engemann, K",bezengsimmy@gmail.com; engemann@bios.au.dk,,,,,11,,,,,abiotic,,Herb,Hermaphrodite,biotic,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Animalia,Animalia,Animalia,Animalia,,,,,,,,,,,,,,,,,,,,,
Animalia†,Animalia†,Animalia†,Animalia†,,,,,,,,,,,,,,,,,,,,,
Annonaceae,Annonaceae,Annona,Annonaceae,http://www.americanforests.org/resources/bigtrees/register.php; http://datadryad.org/resource/doi:10.5061/dryad.6t7t6; http://datadryad.org/resource/doi:10.5061/dryad.63q27.2; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"K.S. Murali; Dana Royer; Angela Moles; Chac√≥n E; Bezeng BS; Zanne AE; Engemann, K",droyer@wesleyan.edu; a.moles@unsw.edu.au; edchacon@gmail.com; bezengsimmy@gmail.com; aezanne@gmail.com; engemann@bios.au.dk,6.239303556,1341.402291,16036.5004,99.66666667,8.833333333,,1.129129231,,22.46450942,biotic,evergreen,Tree,Hermaphrodite,biotic,7.04E-05,,,
Anopyxis,Rhizophoraceae,Anopyxis,Anopyxis,http://datadryad.org/resource/doi:10.5061/dryad.51p4f; http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract,"Kleinschroth F; Engemann, K",fritz.kln@gmail.com; engemann@bios.au.dk,4,,,,,,,,,,,Tree,,,,TRY Categorical Traits Dataset (update 2018),broad-leaved,unpub.
Anthemideae,Asteraceae-Anthemideae,Achillea,Anthemideae,,,,,,,,,,,,,,,,,,,,,
Anthemideae undif.,Asteraceae-Anthemideae,Aaronsohnia,Anthemideae,,,,,,,,,,,,,,,,,,,,,
Anthoceros,Anthocerotaceae,Anthoceros,Anthoceros,,,,,,,,,,,,,,,,,,,,,
Anthoceros t.,Bryophyta-Anthocerotophyta,Anthoceros,Anthoceros,,,,,,,,,,,,,,,,,,,,,
