"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Quercus (deciduous)","Zygophyllaceae","Apiaceae","Boraginaceae","Pinus","Rubiaceae","Thymelaeaceae","Hippophaë","Crataegus","Primulaceae","Rosaceae","Malvaceae","Caryophyllaceae","Rumex","Juniperus","Helianthemum","Dipsacoideae","Galium","Liliaceae","Scabiosa","Polygonum","Teucrium","Fabaceae","Ephedra","Pistacia","Brassicaceae","Plantago","Ziziphus","Acantholimon","Poaceae (Cerealia)","Tamarix","Artemisia","Centaurea","Quercus (evergreen)","Amaranthaceae","Asteraceae","Poaceae","Ranunculaceae","Cyperaceae","Fraxinus","Laurus","Carpinus orientalis","Rhamnus","Typha","Platanus","Orobanchaceae","Lemna","Olea","Vitis"
37,NA,NA,75,7,7,8,4,13,1,6,10,14,3,3,2,6,10,26,11,13,3,8,8,7,16,6,20,20,7,13,16,13,10,26,31,12,55,46,39,66,5,10,1,NA,NA,6,1,NA,NA,NA,NA,NA
42,NA,NA,80,3,9,7,1,9,NA,8,8,11,2,1,1,5,5,21,13,15,1,7,13,6,11,4,24,14,4,12,12,14,8,21,41,10,47,54,45,55,1,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA
47,NA,NA,85,5,8,8,3,11,NA,7,9,13,2,1,1,5,6,22,12,14,1,7,11,6,12,4,23,16,5,11,12,15,8,22,39,11,48,52,42,56,2,6,1,NA,2,3,1,NA,NA,NA,NA,NA
51,NA,NA,90,3,9,7,1,9,NA,8,8,11,2,1,1,5,5,21,13,15,1,7,13,6,11,4,24,14,4,12,12,14,8,21,41,10,47,54,45,55,1,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA
56,NA,NA,95,2,11,7,NA,8,NA,11,3,6,NA,NA,NA,4,4,9,16,20,NA,5,22,3,8,1,35,4,5,5,10,22,2,16,66,10,31,72,73,23,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,100,3,9,8,1,10,3,7,5,8,5,1,6,7,6,11,12,16,1,10,20,7,8,3,26,8,7,10,9,16,4,16,53,11,29,67,61,36,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,105,3,8,8,2,10,4,6,5,8,6,1,7,8,7,12,11,15,1,11,19,8,6,3,25,9,8,11,6,15,5,15,52,11,28,66,59,41,NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA
70,NA,NA,110,4,6,10,4,14,6,5,4,4,8,1,7,9,8,12,10,11,2,13,18,9,4,4,22,8,8,13,5,11,6,14,49,13,27,58,55,55,1,2,4,NA,1,NA,NA,1,NA,NA,NA,NA
203,NA,NA,115,9,NA,11,15,28,16,NA,1,3,18,8,11,22,12,10,1,NA,5,23,3,12,NA,8,2,6,12,19,1,NA,11,2,5,32,22,3,5,112,22,31,15,1,4,NA,12,10,2,NA,NA,NA
337,NA,NA,120,8,9,8,NA,11,NA,4,6,11,NA,6,1,10,6,24,9,9,2,5,12,4,9,5,16,17,3,8,8,6,8,18,25,9,38,53,38,63,5,6,4,NA,NA,6,NA,2,NA,NA,NA,NA
470,NA,NA,125,13,7,13,3,14,4,NA,4,10,6,8,9,12,7,20,3,4,4,11,5,5,4,7,14,15,9,11,4,NA,16,8,15,16,27,22,21,101,10,15,9,1,1,3,3,3,1,NA,NA,NA
532,NA,NA,130,11,9,11,2,12,NA,1,5,13,1,4,3,11,3,22,6,6,2,4,10,3,6,5,16,18,4,6,6,1,11,11,26,13,29,42,25,74,5,11,6,NA,1,5,1,1,NA,NA,NA,NA
595,NA,NA,135,32,NA,26,11,32,13,NA,NA,3,15,22,11,42,7,4,NA,NA,15,38,NA,11,NA,27,NA,5,22,12,NA,NA,63,NA,2,46,5,1,3,141,52,82,25,6,7,NA,25,11,11,9,NA,NA
657,NA,NA,140,33,NA,21,11,26,11,NA,NA,3,13,20,12,38,6,4,NA,NA,14,36,NA,9,NA,25,NA,5,17,11,NA,NA,63,NA,2,44,5,1,3,131,47,55,18,6,5,NA,25,12,9,8,NA,NA
719,NA,NA,145,28,1,20,9,25,11,NA,1,4,13,20,12,38,6,5,NA,NA,15,36,NA,10,1,26,1,7,16,11,NA,NA,53,1,4,43,7,3,3,130,46,52,20,3,6,1,23,10,8,7,NA,NA
782,NA,NA,150,28,1,19,9,20,14,NA,1,4,16,19,13,38,5,6,NA,NA,16,37,1,9,NA,27,1,7,16,12,NA,NA,53,NA,4,44,6,2,4,128,40,51,16,3,4,NA,23,10,8,8,NA,NA
844,NA,NA,155,26,1,16,8,16,10,NA,2,5,12,19,11,36,3,6,NA,NA,14,35,2,6,NA,25,1,8,15,5,NA,NA,51,1,4,41,7,4,4,125,39,48,16,1,4,1,22,9,6,6,NA,NA
906,NA,NA,160,18,4,9,3,9,6,1,5,11,8,14,4,25,2,13,2,3,7,19,6,2,4,10,5,15,8,3,4,NA,24,8,11,31,15,11,15,112,14,28,10,NA,2,4,5,2,3,NA,1,NA
968,NA,NA,165,22,2,12,6,11,8,NA,3,8,10,15,9,31,2,10,NA,1,9,26,2,3,2,12,2,11,11,3,1,NA,25,3,8,36,9,5,11,128,22,33,11,NA,3,2,15,6,5,NA,NA,NA
1031,NA,NA,170,25,1,15,7,12,9,NA,2,7,11,16,11,33,3,9,NA,1,10,33,1,4,1,13,1,9,13,4,NA,NA,30,1,5,41,8,3,8,132,36,42,13,1,4,NA,18,8,6,NA,NA,NA
1093,NA,NA,175,16,2,9,1,7,6,NA,4,10,8,13,4,29,NA,12,NA,3,9,18,7,NA,2,11,2,13,6,1,3,NA,23,3,15,32,11,12,12,119,18,31,7,NA,1,2,11,4,NA,NA,NA,NA
1155,NA,NA,180,7,11,2,NA,1,NA,NA,6,18,NA,7,1,10,NA,32,NA,11,NA,4,12,NA,6,2,20,27,2,NA,12,NA,4,13,37,10,19,49,32,52,3,5,1,NA,NA,4,NA,NA,NA,NA,NA,NA
1218,NA,NA,185,12,8,2,NA,NA,9,NA,NA,10,11,11,5,23,NA,15,NA,NA,5,16,4,NA,3,8,7,20,1,NA,4,NA,12,9,10,22,5,5,8,107,27,30,1,NA,NA,1,17,1,NA,1,NA,NA
1280,NA,NA,190,15,5,4,NA,2,11,NA,NA,10,13,11,6,24,NA,12,NA,NA,5,18,4,NA,1,8,6,19,2,NA,3,NA,13,8,10,23,5,5,8,115,29,33,NA,NA,NA,1,18,3,NA,1,NA,NA
1300,NA,NA,195,16,5,10,NA,5,12,NA,NA,9,15,13,9,24,NA,11,NA,NA,7,22,2,NA,NA,10,6,15,6,NA,2,NA,15,3,9,26,4,3,6,122,32,36,2,NA,NA,NA,22,5,NA,2,NA,NA
1362,NA,NA,200,24,1,22,NA,28,15,NA,NA,4,17,15,11,27,NA,6,NA,NA,8,29,1,NA,NA,11,1,11,11,NA,NA,NA,17,NA,4,30,4,1,4,172,42,75,9,NA,NA,NA,26,5,NA,4,NA,NA
1425,NA,NA,205,25,1,23,NA,25,18,NA,NA,3,20,16,12,26,NA,5,NA,NA,8,32,NA,NA,NA,11,1,10,10,NA,NA,NA,18,NA,3,31,1,NA,3,189,52,88,11,NA,NA,NA,38,6,NA,10,NA,NA
1487,NA,NA,210,8,11,4,NA,15,1,NA,NA,15,2,8,2,12,NA,22,NA,9,5,7,6,NA,4,8,15,16,2,NA,9,NA,9,10,19,10,11,29,16,56,8,10,3,NA,NA,3,3,NA,NA,NA,NA,3
1549,NA,NA,215,7,13,3,NA,13,NA,NA,5,17,NA,7,1,11,NA,24,NA,12,2,5,10,NA,8,5,20,20,2,NA,11,NA,8,12,28,8,19,39,29,48,5,8,1,NA,NA,4,NA,NA,NA,NA,NA,4
