Depth (cm),Abies,Acer,Arbutus,Betula,Cedrus,Cistus,Cupressaceae,Erica-type,Hedera,Ilex,Juglans,Lonicera,Myrtus,Nerium,Olea,Phillyrea,Pinus,Pinus-fgt,Pistacia,Quercus ilex/coccifera,Quercus canariensis-type,Quercus suber,Tamarix,Thymeleaceae,Alchemilla,Amaranthaceae,Anchusa-type,Artemisia,Asphodelus,Asteroideae,Brassicaceae,Campanulaceae,Cannabis/Humulus,Carduus-type,Caryophyllaceae,Centaurea,Cerealia-type,Cichorioideae,Dipsacaceae,Euphorbia,Fabaceae,Geraniaceae,Helianthemum,Hypericum,Linum,Narcissus-type,Plantago lanceolata-type,Plantago major-media,Polygonum aviculare-type,Rubiaceae,Rosaceae,Sanguisorba minor,Secale,Simethis,Solanum,Spergularia-type,Teucrium-type,Trifolium,Urticaceae,Alnus,Calluna,Fraxinus,Genista-type,Prunus-type,Rhamnus-type,Salix,Vitis,Poaceae,Alisma-type,Anagallis tenella-type,Apiaceae,Callitriche,Centaurium-type,Cicendia/Exaculum,Cyperaceae,Gratiola-type,Illecebrum/Paronychia,Juncaceae,Lotus-type,Lythrum borysthenicum-type,Lythrum salicaria,Mentha-type,Myriophyllum alterniflorum,Potamogeton,Potentilla,Radiola,Ranunculus-type,Rumex,Sparganium/Typha,Typha angustifolia,Isoetes,Osmunda,Polypodium,Monolete spores,Sphagnum,Unidentified,Pollen sum,Taxonomic richness,Sample volume (ml),Culot volume (ml),Drop volume (ml),Counted lines,Total number of lines,Concentration (grains/cm3)
40,,,2,,3,1,,19,,,,,1,,3,1,,1,,10,251,85,,1,,1,,1,,5,3,,,2,1,,,2,,,,,,,1,1,4,,,1,,,,,,,,,,2,3,1,3,4,1,6,,87,,,11,1,,,28,,,,,,,,,1,17,,3,1,,,,1,,,19,8,577,39,1.0,2.0,0.025,4,45,"519,300"
44,,5,4,,10,,,7,1,,,,,,1,1,,,1,7,234,76,,1,,1,,,,4,,,,1,,,3,4,,,1,,1,,,1,1,,1,1,,,,,,,,,,1,3,,2,5,2,14,,88,,2,10,1,,1,25,,,1,1,,,,,,13,1,6,2,,,,,,,13,9,554,42,0.9,2.5,0.025,3,45,"923,333"
48,,1,1,,13,1,,9,,,,,1,,3,1,,,,5,374,64,,1,,,,,,5,,,,1,1,,,4,,,,,,,,1,3,,,,,,,,,,,,,2,8,2,4,4,,12,,56,2,,17,,,,25,,,2,,,,,,,26,,,,,,,3,,,19,7,656,32,1.1,1.5,0.025,4,45,"402,545"
52,,5,1,,18,3,,3,1,,,,,,1,1,,,,8,302,90,,1,1,2,,1,,6,2,1,,3,1,,10,1,,,,,,,,,3,,,,,,,,,,,,,4,6,,1,3,,7,,84,,,8,1,1,,17,,,,,,,,,,16,1,10,3,,,1,1,1,1,9,8,635,42,0.7,2.0,0.025,2,45,"1,632,857"
56,,,1,,17,1,,5,,,,,2,,1,1,,,,6,360,105,,1,,,,1,,3,1,1,,2,1,1,3,3,,1,,,,,1,,1,,,1,,,,,,,,1,,2,5,,2,4,,7,,89,1,2,17,,1,,21,,,,1,,,1,,,14,2,5,,,,,,,,17,7,702,42,1.0,1.5,0.025,4,45,"473,850"
60,,2,,,24,3,,,1,,,,,,,1,,,1,7,348,111,,,,3,,,,6,,,,,,,5,3,,,,,,,,,,,,1,,1,,,,,,,,1,5,1,3,2,2,11,,73,1,,20,1,,,15,,,2,,,,1,,1,14,2,9,2,,,,,,1,4,10,693,36,0.8,1.5,0.025,3,45,"779,625"
64,,3,1,,21,3,,4,,,,,,,1,2,1,,2,7,938,163,,1,,4,,2,1,15,4,,1,1,2,,9,2,,,,,,,,,1,,,2,,,,,,,,4,,5,14,,4,3,3,21,,142,,,30,1,,,4,,1,5,,,,1,,2,6,,3,1,,1,,,,1,2,18,1460,46,1.0,1.0,0.025,7,45,"375,429"
68,,,1,,30,1,,1,,,,,1,,,4,1,1,,8,354,53,,,,1,,4,1,5,,,,,1,1,5,2,1,,2,,,,,,1,,,,,,,,,,,,,1,7,1,1,1,2,9,1,104,2,,20,,,,6,,,,,,,1,,,9,1,13,1,,,,,,,7,8,667,39,0.7,1.5,0.025,3,45,"857,571"
72,,3,1,,71,1,,3,,,,,,,2,3,,,,8,608,51,,1,,1,,2,,5,1,,,1,,,4,4,1,,,,,,,,,,,,,,,,,,,,,3,6,,,3,3,10,,175,1,1,29,2,,,7,,,,,,,,,,12,1,30,,,,1,,1,1,15,14,1068,37,0.8,0.7,0.025,3,45,"560,700"
76,,2,,,58,,,1,,,,,2,,,2,,,,10,528,33,,,,1,,,3,5,,,,,,,6,1,,,,,,,,2,1,,,1,,,,,,,,,,3,5,,,2,1,10,2,146,,,15,,1,1,3,,,2,,2,,2,,,8,,16,,,,1,,,1,2,8,883,35,0.8,1.0,0.025,3,45,"662,250"
80,,3,1,,42,1,,1,,,,1,1,,,4,,,2,2,379,49,,1,,2,,,1,3,,,,,,,5,6,2,,,,,,,1,1,,,,,,,,,,1,,,4,2,,2,7,5,6,1,129,,2,23,2,,,2,,,,,,,,,,8,,28,1,,,,,,,5,10,741,38,0.8,1.0,0.025,4,45,"416,813"
84,,3,1,,72,1,1,,,1,,,1,1,1,2,1,,,5,438,35,,1,,1,,,,5,,,,,,1,8,1,,,,,,,,,1,1,,,,,,1,,,,,,2,6,1,1,3,,2,,113,1,1,12,,,,3,,,,,,,1,,,7,,21,,,,1,,,,1,9,766,39,0.8,0.6,0.025,3,45,"344,700"
88,,2,,,66,1,,5,,,,,1,,1,2,,,,1,584,59,,,,,,1,,2,,,,,,1,2,1,,,1,,,2,,,2,,,,,,,,,,,,,4,11,1,,2,2,8,2,137,,1,36,1,,,2,,,,,,,1,,1,15,1,18,1,,,,,,1,16,14,992,38,0.8,0.5,0.025,3,45,"372,000"
92,,1,,,50,,,1,,,,,2,,2,1,,,,5,436,48,,1,,2,,1,,1,,,,,,,6,2,,,1,,,,,2,1,,,1,,,,,,,,,,1,4,,1,3,1,5,1,126,,,19,1,,,5,,,,,,,1,,,9,,18,,,,,,,1,3,10,769,35,1.0,0.9,0.025,4,45,"311,445"
96,,4,1,,56,1,,,,,,,,1,,2,,,,2,742,52,,,,2,,1,,2,1,1,,,1,,3,2,,,,,,,,,,,,,,,,,,,1,1,,5,4,,1,3,2,7,1,168,,,30,,1,,5,,,1,,,,3,,1,9,,24,1,,,,,,,1,15,1157,37,0.9,0.7,0.025,6,45,"269,967"
100,,2,1,,50,3,,,,,,,,,2,4,,,,1,384,35,,,,,,,,2,,,,,,,5,5,,,1,,,,,,1,,,,,,,,,,,,,4,8,1,1,1,1,8,1,131,,,17,1,,,4,,,,,1,,,,1,2,,17,,,,,,,,3,13,708,31,1.0,0.7,0.025,3,45,"297,360"
104,,2,1,,35,5,,1,1,,,,1,,,3,,,,,258,19,,,,1,,,,2,,,,1,1,,2,1,,,,,,,,,,,,,,,,,,,,,,1,6,1,,3,1,5,,129,,,19,3,,,2,,,,,,,,,,3,1,14,,,,1,,1,,3,14,536,32,0.9,0.7,0.025,3,45,"250,133"
108,,1,1,,44,,,3,1,,,,,,1,1,,,,4,425,65,,1,,,,,,2,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,2,4,1,,2,1,1,,141,1,,22,2,,,2,,,1,,,,,,,3,,10,,,,1,1,,1,6,13,762,32,0.8,0.7,0.025,5,45,"240,030"
112,,1,,,18,7,,2,,,,,,,,2,1,,,2,344,41,,,,1,,2,,4,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,1,,4,7,,1,3,,3,,93,,1,18,1,,,7,,,,,,,1,,,3,,8,1,1,,1,,,,,50,631,32,0.9,0.5,0.025,8,45,"78,875"
116,,1,,,40,2,,,,,,,,,1,,,,4,4,238,78,,1,,,,,1,3,,,,,,,9,,,,,,,,,,,,1,,,,,,,,,,,4,1,,3,1,,2,,108,1,1,8,,,,4,,,,,1,,,,,4,,16,1,,,,,,,,23,561,27,0.9,0.5,0.025,9,45,"62,333"
120,,1,,1,41,3,,1,,,,,,,1,3,,,,3,213,50,,1,,,,2,,4,,,,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,4,1,1,,2,3,,106,1,,8,,,,7,,,,,,,,,,4,,6,,,,,,,1,,45,517,28,1.0,0.6,0.025,20,45,"27,918"
124,,5,,,27,1,,2,,,,,,,1,2,,,,5,240,67,,,,,,,,5,1,,,,,,4,2,,,,,2,,,,5,,,,,,,,,,,,,4,2,,2,2,1,3,,119,,,16,,,,13,,,,1,,,,,,5,,3,4,,,1,,,,1,26,570,30,0.9,0.4,0.025,6,45,"76,000"
128,,,,,12,,,,2,,,,,,,,1,,,2,47,13,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,1,,12,,,2,,,,5,,,,,,,,,,1,,2,,,,1,,,,,9,113,15,0.9,0.3,0.025,20,45,"3,390"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
