Age cal.BP,Depth (cm),Abies,Acer,Arbutus,Betula,Carpinus/Ostrya,Cedrus,Cistus,Corylus,Cupressaceae,Ephedra distachya-type,Erica-type,Eucalyptus,Hedera,Ilex,Juglans,Myrtus,Nerium,Olea,Phillyrea,Pinus,Pinus-fgt,Pistacia,Quercus ilex/coccifera,Quercus canariensis-type,Quercus suber,Tamarix,Thymeleaceae,Ulmus,Viscum,Amaranthaceae,Artemisia,Asphodelus,Asteroideae,Campanulaceae,Cannabis/Humulus,Carduus-type,Cichorioideae,Convolvulus,Crassulaceae,Digitalis-type,Echium-type,Euphrasia-type,Fabaceae,Gentianaceae,Geraniaceae,Helianthemum-type,Hypericum,Narcissus-type,Plantago lanceolata-type,Plantago major-media,Rosaceae,Rumex,Scilla-type,Secale,Teucrium-type,Trifolium,Urticaceae,Valerianaceae,Xanthium-type,Alnus,Calluna,Frangula,Fraxinus,Genista-type,Prunus-type,Salix,Vitis,Poaceae,Alisma-type,Anagallis tenella-type,Apiaceae,Brassicaceae,Callitriche,Centaurium-type,Cicendia/Exaculum,Cyperaceae,Elatine,Glyceria-type,Gratiola-type,Illecebrum/Paronychia,Juncaceae,Lotus-type,Lythrum borysthenicum-type,Lythrum junceum/salicaria,Mentha-type,Myriophyllum alterniflorum,Myriophyllum spicatum,Nymphaea,Persicaria,Potamogeton,Potentilla,Ranunculus-type,Rubiaceae,Silene-type,Adiantum,Isoetes,Osmunda,Polypodium,Selaginella,Monolete spores,Trilete spores,Sphagnum,Unidentified,Pollen sum,Taxonomic richness,Sample volume (ml),Culot volume (ml),Drop volume (ml),Counted lines,Total number of lines,Concentration (grains/cm3)
1661,144,,,,,,12,5,,,,2,,1,6,,,,,,1,,1,,207,11,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,170,,3,,6,,35,,23,,,4,1,,,,8,,14,,,,,,,,,,,,,,4,,1,,,3,,,,,1,25,543,3,1.2,3,0.025,25,45,"97,740"
1861,160,1,3,3,,,32,6,,,1,2,,,5,,,2,,,,,1,4,219,47,,1,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,143,1,1,,2,,71,,12,,,4,,1,,1,7,,11,,,,1,1,,,,,,,,1,2,,,,,,,,1,,8,16,605,5,1.0,2.5,0.025,8,45,"340,313"
2061,176,2,2,2,,,38,3,,,,,,5,2,,,,,,3,,,8,420,24,,,,,2,,,6,,,,1,,,,,,,1,,,,,,,,2,,,,,,,,121,,5,1,5,1,43,,41,,,12,,1,,,,,57,1,,,,,,1,,,,,,,3,,,,,4,1,,4,,2,9,822,5,1.0,3,0.025,6,45,"739,800"
2260,192,,10,1,,,60,7,,,,2,,1,9,,,,,1,1,2,,3,670,54,1,,,,,1,,2,,,1,2,,,,,,,,,,1,,1,,,1,,,,,,,,795,1,31,2,4,,3,,58,,,11,3,6,,2,6,,7,,,,,1,,1,,,,,,,,,,1,,7,1,1,4,,17,6,1768,7,0.5,1,0.025,5,45,"1,272,960"
2438,208,1,2,2,,,28,3,,,,1,,3,4,,,,,,,,,1,930,8,,1,,,1,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,615,,10,,1,1,7,,18,1,,15,,2,,,2,,14,,,,1,,,1,,,,,2,,2,,,,,,,,1,,2,7,1689,5,1.2,2,0.025,15,45,"337,800"
2593,224,1,2,,1,,47,6,,,,3,,1,22,,1,,,5,1,1,,4,700,59,,,,,,,,4,,,,2,,,,,,1,,,,,,,,,,1,,,,,1,,340,1,8,,1,2,1,,25,,,6,3,2,,,4,,12,2,,,,,,,,,,,,,7,1,,,,2,,,,,18,9,1287,3,1.0,1,0.025,10,45,"231,660"
2748,240,,4,4,,,129,9,,,,7,,1,34,,,1,1,6,19,,,2,1002,23,,,,,1,2,,1,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,516,,3,,3,,2,,16,,2,17,1,,,,5,,17,,,,1,,,,,,,,,,2,,1,,,1,3,1,7,,13,5,1841,7,1.0,1,0.025,6,45,"552,300"
2903,256,,1,,,,116,,1,,,2,,,11,,,,,1,,,,,640,7,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,380,,1,,3,,2,,26,,,3,1,2,,,,,22,,,1,,,,,,,,,1,,4,,,,,,2,,2,,5,5,1233,5,1.5,0.5,0.025,10,45,"73,980"
3058,272,2,1,1,,,162,4,,,,5,,1,20,,,,,1,,,1,2,960,13,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,536,,5,,3,,1,,17,,,16,1,1,,,2,,35,,,,,,,,,,,,1,1,3,,,,,,2,,5,,3,1,1799,5,1.4,0.5,0.025,8,45,"144,563"
3214,288,1,2,,,,134,3,,,,1,,,12,,,,,,,,,2,440,23,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,220,,3,,2,1,,,36,,,6,1,,,,2,,12,,,,,,,,,,,,,,9,,,,,2,,,4,,7,6,920,3,1.3,1.0,0.025,10,45,"127,385"
3369,304,,1,3,,,95,1,,,,5,,1,13,,,,,,,,,,520,2,,,,,,,1,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,800,,3,,1,,,,15,,,3,1,1,,,1,,13,,,,,,,,,,,,,,5,,,,,,,,,,,5,1495,0,1.3,1.0,0.025,20,45,"103,500"
3524,320,,2,1,,,160,1,,,,,,,25,,,,,,,,,,560,25,,1,,,,,,,,,,,,1,1,,,,,,,,,3,,,1,,,,,,,,602,,2,,,,,,37,,,7,,,,,,,35,,,,,,,,,,,,1,,6,,,,,1,,,5,,4,4,1475,4,1.5,1.0,0.025,7,45,"252,857"
3679,336,,2,4,,,115,,,,,2,,,23,,,,,1,2,,,4,1220,11,,,,1,,,,2,,,,2,,,,,,,,,,,,,,,,,1,,,,,,650,1,3,,1,1,,,50,,2,9,3,,,,,,44,,,,,,,,,1,1,,,,7,,,,,,,,,,,9,2172,2,1.6,1.0,0.025,9,45,"271,500"
3834,352,,,2,,,124,2,,1,,2,,,14,,,,,1,,,,3,804,6,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,480,1,,2,,,,,46,2,,3,,,,,1,,43,,,2,,,,,1,,,,1,,6,,,,,,1,,1,,3,6,1558,6,1.4,0.5,0.025,6,45,"166,929"
3990,368,,,3,,,115,1,,,,2,,,14,,,,,,,,,,780,5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,204,,2,,,,,,31,,,5,,1,,,,,33,,,,,,,,,,,,2,,2,,,,,1,,,,,,7,1210,2,1.2,0.5,0.025,6,45,"151,250"
4145,384,1,2,5,,,119,5,,,,1,,,9,,,,,1,1,1,,,870,8,,,,,1,,,1,,,1,1,,,,,,3,,,,,,,,,1,,,,,,,,216,,,,,2,1,,66,,,8,,,,,3,2,41,,,1,,,,,,1,,,,,2,,,,,,,,6,,2,7,1381,4,1.5,0.5,0.025,6,45,"138,100"
4300,400,,1,1,,,132,,,,,1,,,9,,,,,,,,,2,640,5,,,,1,,,,7,,,1,,,,,,,,,,2,,,,,,,,,,2,,,,200,,2,2,3,,,,55,,,6,1,1,,,,,48,1,,,,,,1,,,,,,,5,,,,,,,,1,,,13,1142,2,1.2,1,0.025,4,45,"428,250"
4443,416,,1,1,,,176,6,,,,2,,2,15,,,,,,1,,,1,860,3,,,,,2,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,272,2,,,,,1,,45,,,19,,,,,,,55,,,2,,,,,,,,,,,,,,,,8,,,4,,6,6,1475,3,1.5,1.0,0.025,4,45,"442,500"
4585,432,,2,1,,1,108,,,,,1,,,6,,,,1,,,,,,840,6,,,,,,,,5,,,2,3,,,,,,,,,1,,,,1,,1,,,,,,,,196,,1,3,2,1,,,60,,,26,,1,,,,,61,,,,,,,,,,,,,,2,,,,,2,,,3,,,5,1337,2,1.7,1.5,0.025,7,45,"303,353"
4728,448,,1,,,,145,6,,1,,2,,,10,,,,,1,8,2,,2,636,9,,,,,,,,4,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,300,2,,,,1,,,39,,,12,4,,,,4,,47,1,,1,,,,1,,1,,,,,1,,,,,4,1,,9,,6,5,1249,7,1.1,0.5,0.025,6,45,"170,318"
4870,464,,1,2,,,173,9,,1,,1,,,16,,,,,,3,,,,700,6,,1,,,,2,,2,,,1,3,,,,,,,,1,1,,,1,,,,,,,,,,,325,,5,2,3,,,,26,,,8,2,,,1,1,,23,,,,,,,,,,,,,,3,,1,,,1,,,9,,2,5,1329,4,1.5,0.2,0.025,5,45,"63,792"
5013,480,,,1,,,89,1,,1,,3,,2,8,,,,,,4,2,,1,260,26,,,,,,,1,4,1,,,2,,,,,,,,,,1,,1,,,,,,,,,,,170,,5,,,,1,,45,,,19,1,2,,,3,,33,2,,1,,,,,,,,,,1,2,,1,,,1,,,1,,5,14,708,6,1.1,0.4,0.025,10,45,"46,342"
5155,496,1,1,2,,,114,1,,,,1,,7,6,,,,,2,1,,,1,320,5,,,,,1,,,5,,,1,4,,,,,,,,,1,,,1,,,,,,1,,,,,188,,1,,2,,,,51,,,16,,1,,,,,36,,,,,,,,,,,,,,4,1,,,,,,,3,,1,6,782,31,1.7,1.5,0.025,6,45,"207,000"
5298,512,1,2,2,1,,105,6,,,,2,,1,8,,,,,1,2,,,5,748,10,1,,,,,,,7,,,2,2,,,,,,,,,1,,,,,,,,,,,,1,,264,,1,1,,3,2,,39,,,5,,,,,4,,50,,,,1,,,,,,,,,,,,1,,,2,,,2,,,30,1309,33,1.1,0.5,0.025,11,45,"97,364"
5422,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
