"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Geranium","Salix","Lysimachia","Plantago lanceolata-type","Genista-type","Centaurea nigra-type","Juniperus communis","Armeria","Lythrum","Amaranthaceae","Campanula","Sparganium","Alnus glutinosa","Filipendula","Liliaceae-type","Cytisus scoparius","Spermatophyta indet.","Sphagnum","Calluna vulgaris","Betula pubescens","Cichorioideae","Plantago undiff.","Lotus","Silene dioica-type","Erica australis","Paronychia polygonifolia-type","Brassicaceae","Polygonum-type sensu lato","Cyperaceae","Pteridium aquilinum","Galium-type","Sedum-type","Erica umbellata","Apiaceae","Polypodiales (monolete)","Ranunculus","Erica arborea-type","Rumex","Olea europaea","Pinus pinaster","Quercus robur-type","Poaceae","Lycopodium spike","Fabaceae undiff.","Halimium/Tuberaria","Cistaceae undiff.","Potentilla","Micranthes stellaris-type","Cerastium","Hedwigia","Poaceae (Cerealia)","Corylus avellana","Quercus ilex-type","Teucrium","Poterium sanguisorba","Gentiana lutea/G. pneumonanthe","Sambucus nigra","Pinus sylvestris-type","Artemisia","Fraxinus angustifolia","Lavandula-type","Castanea sativa","Vitis","Nymphaea","Helianthemum","Spergula","Hypericum perforatum-type","Vicia","Botrychium","Spergularia-type","Echium","Chrysosplenium","Asphodelus albus","Carpinus betulus","Marchantiophyta","Jasione-type","Polypodium","Silene vulgaris-type","Rubus","Phillyrea","Sorbus aucuparia","Dianthus lusitanus-type","Filago-type","Dryopteris filix-mas-type","Erica","Pistacia","Rumex acetosa-type","Anthemis-type","Aster-type","Daucus","Ornithogalum-type","Physospermum cornubiense","Arenaria","Apiaceae undiff.","Narcissus bulbocodium","Conopodium majus","Sparganium emersum-type","Chaerophyllum temulum","Peucedanum-type","Rumex acetosella-type","Plantago major-type","Centaurium","Silene foetida-type","Sanicula europaea","Plantago subulata-type","Thapsia maxima-type","Ulmus","Heliotropium","Ephedra fragilis-type","Veratrum album","Rosaceae undiff.","Angelica palustris-type","Solidago","Minuartia recurva","Gagea nevadensis","Acer","Ranunculus acris-type","Mercurialis annua","Ophioglossum lusitanicum","Saxifraga granulata-type","Lavandula","Scilla","Silene ciliata-type","Bidens","Meum-type"
2534.29,NA,NA,50,"11329, 1","0.282","","2","","66","11","3","12","13","","1","24","114","23","1","14","","7","1","22","10","18","16","","31","12","4","6","9","30","1","42","56","6","96","101","73","92","14","3","24","184","687","86","","4","","8","13","","","4","1","18","","","3","","23","7","","","","","","","7","2","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2920.57,NA,NA,55,"11329, 1","0.282","","","","23","3","1","14","1","","1","5","19","34","","6","1","4","1","22","35","","2","","16","8","5","2","2","13","1","18","31","8","21","47","69","150","9","8","28","194","2681","94","","1","","2","6","","1","3","1","6","","1","","","33","6","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3306.86,NA,NA,60,"11329, 1","0.282","","","","18","5","1","4","3","","2","4","22","27","","7","1","10","2","16","34","2","5","","7","6","4","1","8","29","2","12","22","6","25","72","37","126","12","4","54","210","1740","101","","1","","7","2","","4","2","3","26","","","","","21","1","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3603.57,NA,NA,65,"11329, 1","0.282","","","","12","7","","2","1","","3","2","9","54","1","5","1","8","","20","88","1","2","","6","10","","","1","26","3","6","40","6","43","58","69","102","8","3","58","317","2431","84","","","","","2","","1","3","4","26","","","1","","29","4","","","","","","","2","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3810.71,NA,NA,70,"11329, 1","0.282","","","","11","3","","6","1","","2","","19","38","","7","","5","1","36","73","","2","","4","10","2","1","","35","1","14","28","4","33","46","78","86","9","8","32","291","2455","59","","","","2","1","","","1","8","12","","","","","17","5","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4017.86,NA,NA,75,"11329, 1","0.282","","1","","11","5","2","2","1","","2","","11","40","","5","1","6","2","18","39","","2","","6","20","3","","3","30","2","6","23","6","40","33","64","62","9","3","32","283","1680","81","","2","","6","3","","1","2","5","16","","","1","","19","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4225,NA,NA,80,"11329, 1","0.282","","","","19","","1","3","1","","","","32","48","","6","","4","4","30","104","5","2","","8","12","","3","1","34","1","5","20","","50","89","40","66","12","3","49","341","1915","79","","1","","8","3","","3","2","12","10","","","5","","36","6","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4432.14,NA,NA,85,"11329, 1","0.282","","","","7","1","1","1","","","1","","22","32","","7","2","3","3","15","61","4","","","3","8","1","2","1","28","1","1","15","8","48","32","28","52","7","","21","188","1192","54","","","","3","","","","","3","3","","","2","","10","2","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4639.29,NA,NA,90,"11329, 1","0.282","","3","","6","3","","2","1","","","","31","40","","5","3","4","4","16","81","1","1","","4","14","","2","2","17","1","4","20","6","34","53","25","64","18","3","44","317","1279","72","","","","2","1","","1","1","12","7","","","1","","13","3","","","","","","","","","","","","1","","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4846.43,NA,NA,95,"11329, 1","0.282","","1","","5","4","4","4","","","","","30","32","","4","4","6","2","8","70","2","1","","4","4","","1","","16","4","6","14","2","35","63","26","60","23","3","45","326","1591","119","","","","1","","","1","4","2","10","","","1","","27","7","","","","","","","","","","","","","","2","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5063.94,NA,NA,100,"11329, 1","0.282","","1","","5","3","1","","","","2","","16","17","","1","1","3","3","22","71","","2","","2","","","1","2","10","1","1","13","","22","27","13","14","19","5","23","186","855","113","","1","","5","2","","","2","2","4","","","3","","14","5","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5291.81,NA,NA,105,"11329, 1","0.282","","1","","","1","1","1","","","","","4","12","","2","2","","2","8","38","1","1","","3","","2","","1","6","","1","11","","20","8","10","9","11","","11","167","471","85","","","","1","","","","","3","5","","","","","9","3","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5519.69,NA,NA,110,"11329, 1","0.282","","2","","4","7","6","2","1","","1","","12","40","","8","1","6","","28","90","2","1","","3","4","3","1","1","15","2","","20","4","32","27","35","22","22","2","36","383","876","252","","","2","7","2","","1","2","3","12","","","4","2","13","5","","","","","","","","","","","","","","1","1","","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5747.57,NA,NA,115,"11329, 1","0.282","","","","6","4","1","1","","","","","38","24","","6","2","4","1","20","61","5","1","","4","4","3","","1","13","2","5","10","2","27","35","17","36","23","5","20","252","1076","107","","","","8","2","","","2","6","13","","","2","","14","9","","","","","","","","","","1","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5975.44,NA,NA,120,"11329, 1","0.282","","","","6","3","","1","2","","1","","12","15","","1","","","","16","93","1","","","3","2","","","","7","","1","15","","23","20","11","12","16","1","32","185","843","110","","","","1","","","","2","6","8","","3","1","","11","4","","","","1","","","","","","","","","1","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6248.89,NA,NA,126,"11329, 1","0.282","","","","5","","","","2","","","","8","18","","5","1","","","14","40","1","","","3","2","2","","","11","4","6","13","2","30","19","17","16","14","2","18","183","905","148","","","","","","","1","1","1","7","","","3","","8","2","","","","","","","","","","","","","1","1","","","2","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6476.77,NA,NA,131,"11329, 1","0.282","","","","2","1","1","","","","","1","6","19","","1","1","","1","8","64","","","","3","2","","","","8","2","2","15","","24","17","8","18","21","3","22","200","877","118","","","","2","","","2","7","3","7","","","2","1","9","1","","","","","","","","","","","","","2","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6704.65,NA,NA,136,"11329, 1","0.282","","","","8","1","5","","3","","6","","24","83","","4","2","1","3","42","36","1","","","10","10","2","2","","15","7","10","18","","101","83","5","50","40","10","159","570","1904","135","","","1","6","","","4","6","11","19","","1","8","","53","7","1","","","2","","","","2","","1","","","","7","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6886.95,NA,NA,140,"11329, 1","0.282","","","","4","1","4","1","","","","","18","33","","4","","3","1","4","21","","1","","3","2","1","","","3","3","8","13","","31","32","2","24","7","2","62","194","798","103","","","","3","","","1","4","5","5","","","3","","22","9","","","","","","","","","","","","","","5","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7114.82,NA,NA,145,"11329, 1","0.282","","","","","6","2","4","","","2","","","29","1","","1","","2","22","23","1","","","","","1","2","","1","16","2","14","","","53","","22","","3","77","238","360","51","","","","3","1","","2","","2","11","","","1","","32","3","3","","","","","","","","","","","","","2","","1","1","","","","1","1","1","1","1","1","2","2","2","2","2","2","3","4","4","5","5","10","12","17","26","","","","","","","","","","","","","","","","","","","","","","","","",""
7251.55,NA,NA,148,"11329, 1","0.282","","","","","5","","3","","","","","","33","","","1","","2","15","18","","","","","1","","","","2","9","2","11","","","37","5","12","","2","80","292","214","47","","","","3","2","","1","","5","12","","","2","","24","","2","","","","","","","4","","1","","","","","","","","","","","1","2","1","","","1","1","","2","2","1","","","4","5","","4","7","6","14","84","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","",""
7342.7,NA,NA,150,"11329, 1","0.282","","1","","","2","","6","","","","","","33","","","3","","","13","17","","","","","1","1","1","","2","6","2","14","","","34","","4","","2","94","264","235","51","","","","2","1","","2","","","13","","","2","","29","2","2","","","1","","","","","","","","","","2","","","1","","","","","","1","","1","2","","","1","1","1","1","2","3","2","2","3","13","3","13","23","","1","","","","","1","1","1","1","","","","","","","","","","","","","","",""
7479.42,NA,NA,153,"11329, 1","0.282","","","","1","5","","4","1","","","","","33","","","1","","2","7","16","4","","","1","","","1","","1","9","2","10","","","16","","7","","4","76","233","274","39","","","","4","1","","","","3","7","","","1","","28","1","2","","","","","","","","","","","","","1","","","2","","1","","","1","","","","2","","","","1","","1","","","1","3","","11","6","9","36","","","","","","","","","","","1","1","1","1","","","","","","","","","","",""
7564.92,NA,NA,155,"11329, 1","0.282","","1","","","5","","","","","","","","14","","","","","1","4","4","2","","","","","","","","4","2","3","14","1","","11","","4","","2","57","246","255","18","","","","1","","","1","","","6","","","","","48","","4","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","1","","1","","1","3","1","1","6","2","7","24","","","","","","","","","","2","","","","","1","","","","","","","","","",""
7664.71,NA,NA,157.5,"11329, 1","0.282","","","","","1","","2","1","","","","","12","","","","","","2","5","1","","","","","1","","","1","6","5","9","1","","6","","2","","2","82","238","300","21","","","","1","","","1","","1","14","","","","","52","2","","","","","","","1","2","","","","1","","","","","","","","","","","","1","","","","","","1","1","","","1","1","5","","3","1","6","18","","","","","","1","","","","","","","","","","1","","","","","","","","",""
7764.5,NA,NA,160,"11329, 1","0.282","","1","","1","3","","","1","","1","","","3","1","","","","","3","4","1","","","","1","","","","6","9","","7","","","6","","2","","2","68","218","240","17","","","","","1","","","","2","16","","","1","","38","2","1","","","","","","","1","","1","","","","","","","","","","","1","","","","","","","","","","1","","1","1","1","2","1","6","2","1","20","","","","1","","","","","","1","","1","","","","","1","1","","","","","","",""
7864.29,NA,NA,162.5,"11329, 1","0.282","","","","","","1","1","1","","","","","3","","","","","","1","5","","","","","","","","","2","3","1","8","1","","2","","5","","1","66","262","295","43","","1","","","1","","","","","8","","","1","","68","3","4","","","","","","","1","","2","","","","","","","1","","","","","","1","1","","","","","","","1","","","2","2","1","2","4","2","5","40","1","","1","","","","","","","","","","","1","","","3","","1","","","","","",""
7964.08,NA,NA,165,"11329, 1","0.282","","","","","1","","1","","","1","","","7","","","2","","1","9","10","","","","","","","","","8","5","4","","","","7","1","4","","2","38","230","270","15","","1","","","1","","1","","1","8","","","2","","68","4","3","","","","","","1","","","3","","","","1","","","1","","","","","","","","","2","","1","1","1","1","","1","","1","1","1","2","2","7","36","","","1","","","","","","","","","","","","","","1","","","1","1","1","","",""
11250,NA,NA,167,"11329, 1","0.282","","1","","2","","","1","2","","2","","","3","1","","","","","3","16","2","","","","","1","","","","","1","5","","","1","","5","","","20","72","120","19","","","","","","","","1","","4","","","","","252","42","","","","","","","","1","","49","","","","","","","","","","","","","","","","","","1","2","1","","","","","1","","2","","1","1","42","","","1","1","2","","","","1","","1","","2","","","","","","","1","","","1","",""
13113.09,NA,NA,170,"11329, 1","0.282","","","","","1","","1","2","","3","","","2","","","","","","12","3","1","","","","","2","","","3","","1","1","","","1","","5","","","16","39","102","14","","","","","","","","","1","2","","","","","342","53","","","","","","","","1","","31","","","","","","","","","1","","","","","","","","","","3","2","","","","","2","2","1","","1","","6","","","1","","4","","","","","","","","1","1","","","","","","","","","","1",""
13202.38,NA,NA,171.5,"11329, 1","0.282","","","","","","","","","","3","","","3","","","","","","10","7","2","","","","","","","","3","","","","","","","","3","","","14","28","66","16","","","","","","","","","","1","","","1","","424","37","","","","","","","","","","29","","","","","","","","","","","","","","","","","","","","2","","","","2","","1","","","1","1","2","","","1","","2","","","","1","","","","","","","","","","","","","","","","1"
13410.71,NA,NA,175,"11329, 1","0.282","","1","","","1","","","1","","1","","","1","","","","","","2","14","","","","","","1","1","","4","","1","1","","","5","","6","","","20","48","120","21","","","","","1","","","","","3","","","","","442","53","","","","","","","","","","37","","","","","","","","","","","","","","","","","","","2","3","","","","","","1","","","1","4","12","","1","","","","","","","1","","","1","1","","","","1","","","","","","1","","1"
13470.24,NA,NA,176,"11329, 1","0.282","","","","4","","","3","","","5","","","1","","","","","","5","11","2","","","","","1","1","","7","","3","6","","","1","","8","","","38","45","120","25","","","","","4","","","","1","2","","","","","394","34","","","","","","","","2","","36","","","","","","","2","","","","","","","","","","","","3","","","","","2","","","","","1","","11","","","2","","7","","","","","","","","","3","","","","","","1","","","","",""
