"Abies","Acacia t.","Acalypha","Acanthaceae undif.","Aeschynomene","Aizoaceae t.","Alchornea","Alternanthera t.","Anacardiaceae undiff.","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Bauhinia","Blepharis","Borreria t.","Boscia","Brassicaceae","Cadaba","Caesalpinia","Capparaceae undif.","Cassia","Casuarina","Ceiba","Celtis","Chrozophora","Chrysobalanus t.","Cichorieae","Cissampelos","Cleome","Cocculus","Combretaceae","Commelina","Commiphora","Cordia","Crossopteryx","Crudia","Cucurbitaceae undif.","Cyperaceae","Daniellia","Delonix","Dichrostachys","Diodia","Diospyros/Euclea t.","Dodonaea","Elaeis","Ephedra","Eucalyptus","Eugenia","Euphorbia t.","Faboideae Undif.","Fagara","Faidherbia albida","Fern","Ficus","Grewioideae","Heliotropium","Hygrophila","Hyphaene t.","Hypoestes t.","Indeterminable","Indigofera","Jacquemontia t.","Jatropha/Croton","Justicia t.","Kohautia","Lamiaceae undif.","Lannea","Leucaena","Lotus t.","Maerua","Malva undif.","Mangifera","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Musci","Myrtaceae undif.","Nyctaginaceae","Nymphaea","Olea t.","Parkia","Paronychieae","Pedaliaceae undif.","Pentodon","Peripores","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Plantago","Poaceae","Polygonum t.","Portulacaceae t.","Prosopis t.","Psidium","Ricinus","Rumex t.","Salvadora","Sample name","Sapotaceae undif.","Securinega  t.","Sesbania","Spergularia t.","Symphonia","Tamarindus","Tapinanthus","Tephrosia","Tribulus","Typha","Uapaca","Utricularia","Vigna","Waltheria","Ziziphus/Paliurus"
"   0","   8","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","  88","   0","   0","   1","   0","   0","   0","   0","   0","   0"," 248","   0","   0","   1","   0","   0","   0"," 129","   0","   0","   1","   0","   0","   0","   0","   0","  27","   0","   7","  10","   0","   0","   0","   0","   1","   3","   0","   7","   0","  20","   1","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  25","   0","   0","   1","   0","   0","   0","1197","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   4","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0"
"   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   1","   0","   1","   0","   0","   3","   0","   0","   0","  46","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 220","   0","   0","   0","   0","   0","   0"," 177","   0","   0","   0","   0","   0","   0","   0","   0","  29","   0","   2","   2","   0","   0","   0","   0","   0","   4","   1","  62","   0","   9","   1","   0","   0","   2","   0","   2","   0","   0","   0","   1","   0","   0","   0","  33","   1","   0","   0","   0","   0","   1","   0","   9","   0","   0","  48","   0","   0","   2","   0","   0","   0","2502","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"   0","   8","   0","   0","   1","   2","   0","   1","   0","   1","   1","   1","   5","   0","   0","   1","   2","   4","   2","   0","   1","  49","   0","   0","   0","   0","   0","   0","   0","   1","   0","  89","   0","   0","   0","   0","   0","   2","  74","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   3","   0","   0","   0","   0","   0","   3","   0","  96","   0","  23","   0","   0","   0","   1","   0","   1","   0","   0","   0","   2","   0","   0","   4","  39","   0","   0","   2","   1","   0","   0","   0","   4","   0","   0","  41","   0","   0","   2","   0","   0","   0","1715","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   5","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0"
"   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   4","   0","   1","  33","   0","   0","   0","   0","   0","   0","   0","   0","   0","  64","   1","   1","   0","   0","   0","   0"," 148","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0","   0","   2","   0","   5","   0","   0","   2","   1","   0","  77","   0","  25","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   3","  39","   1","   0","   0","   0","   1","   0","   0","   4","   0","   0","  38","   0","   0","   0","   2","   0","   0","1554","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   8","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0"
"  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  4","  1","  0","  0","  7","  0","  0","  1","  0","  0","  0","  0","  1","  1"," 42","  0","  0","  0","  0","  0","  0","126","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0"," 43","  0"," 16","  3","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 27","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0"," 43","  0","  0","  2","  1","  1","  2","977","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"  0","  3","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  1","  0"," 27","  1","  0","  6","  6","  0","  0","  1","  0","  0","  1","  0","  0","  0"," 35","  1","  0","  0","  1","  1","  0","116","  0","  0","  0","  0","  0","  0","  0","  1"," 21","  0","  2","  2","  0","  0","  0","  0","  0","  1","  0"," 48","  1"," 18","  0","  0","  0","  0","  0","  2","  0","  0","  1","  1","  0","  0"," 13"," 20","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0"," 42","  0","  0","  2","  2","  2","  0","989","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0"
"  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  6","  0","  0","  1","  8","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 34","  0","  0","  0","  1","  1","  0"," 33","  0","  0","  0","  0","  0","  0","  0","  0"," 26","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0"," 42","  0"," 23","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0"," 13"," 14","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0"," 27","  0","  0","  0","  1","  1","  0","994","  0","  0","  0","  0","  1","  1","  1","  0","  0","  0","  3","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
"  0","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  1","  0","  2","  0","  0","  5","  0","  0","  1"," 20","  1","  0","  1","  0","  0","  0","  0","  0","  0"," 26","  0","  0","  0","  0","  1","  0"," 31","  0","  0","  0","  0","  0","  5","  0","  0"," 25","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 29","  0"," 16","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0"," 10"," 11","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0"," 25","  0","  0","  1","  0","  1","  1","681","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  0"
"  0","  4","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  5","  0","  0","  0"," 16","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 56","  0","  1","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  6","  0","  0"," 34","  2","  0","  1","  0","  0","  0","  0","  0","  2","  0"," 15","  0"," 12","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  7","  5"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  1","  1","  0","683","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"  0","  3","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  2","  0","  0","  1","  0","  3","  2","  0","  0"," 30","  0","  2","  1","  0","  1","  0","  0","  0","  0"," 74","  0","  0","  1","  0","  0","  0"," 14","  0","  1","  0","  0","  0","  2","  0","  0"," 94","  2","  1","  4","  2","  0","  0","  0","  0","  4","  0"," 77","  0"," 14","  1","  0","  0","  2","  0","  1","  0","  0","  0","  6","  0"," 13","  3"," 11","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0"," 14","  0","  1","  3","  0","  5","  0","915","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0"
"   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   5","   0","   1","   1","   0","   5","   2","   1","   0","  35","   0","   0","   1","   0","   0","   0","   0","  13","   0","  58","   0","   0","   0","   0","   3","   0","  28","   0","   0","   0","   0","   0","   2","   0","   1"," 400","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","  60","   0","  20","   0","   0","   0","   1","   0","   3","   0","   0","   0","  15","   0","   3","  38","  14","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","  23","   0","   3","   0","   0","   2","   0","1126","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   1","   3","   0","   0","   0","   0","   1","   6","   0","   0","   1","   1","   0"
"  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","105","  0","  0","  0","  0","  0","  0","  0","  2"," 34","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 28","  0","  0","  0","  0","  1","  0","  8","  0","  0","  0","  0","  0","  1","  0","  0","308","  9","  1","  0","  0","  0","  0","  0","  0","  0","  0","108","  0"," 10","  0","  0","  0","  1","  0","  0","  0","  0","  0","  3","  0","  2","150"," 24","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  1","  0","  1","  0","712","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  1","  1","  0","  1","  0","  0","  0"," 19","  0","  0","  0","  0","  0"
"  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 36","  0","  0","  0","  0","  0","  0","  0","  2","  9","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 48","  0","  0","  0","  0","  1","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0"," 60","  2","  1","  1","  0","  0","  0","  0","  0","  0","  0","364","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","522"," 12","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  9","  0","  1","  1","  1","  1","  0","391","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0"
"  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0"," 23","  0","  0","  0","  0","  4","  0","  0","  4"," 42","  0","  0"," 12","  0","  0","  0","  0","  3","  0","128","  0","  0","  0","  2","  2","  0"," 33","  0","  0","  0","  0","  0","  0","  0","  0"," 22","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","347","  0"," 26","  0","  0","  1","  0","  1","  0","  0","  0","  0","  3","  0","  2"," 24","  6","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  1","  0","  0","  5","  0","656","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  2","  0","  0","  0","  0","  1","  7","  0","  0","  0","  0","  0"
"  0","  6"," 68","  0","  0","  0","  2","  0","  0","  0","  2","  1"," 34","  0","  0","  3","  0","  2","  0","  0","  2"," 36","  0","  0","  9","  0","  0","  0","  0","  3","  0","167","  1","  1","  0","  1","  0","  3"," 15","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 29","  1","  1","  1","  0","  0","  0","  0","  0","  5","168","  0","  5","  0","  0","  0","  1","  0","  0","  0","  1","  0","  1","  0","  0","  3"," 23","  0","  0"," 31","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  1","  2","  4","  0","819","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0"
"  0","  3"," 39","  0","  0","  0","  0","  1","  0","  0","  0","  1"," 16","  0","  0","  1","  0","  0","  0","  0","  0"," 30","  0","  0","  2","  0","  0","  0","  0","  2","  0"," 85","  0","  0","  0","  0","  0","  0","  8","  1","  0","  0","  1","  0","  0","  0","  0","  1"," 17","  1","  0","  0","  0","  0","  0","  0","  0","  1","223","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2"," 24","  0","  0"," 19","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  2","  0","  0","  0","748","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0"
"   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   7","   0","   0","   1","   0","   0","   0","   0","   0","  15","   0","   0","   2","   0","   0","   0","   0","   0","   0"," 434","   0","   0","   0","   2","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   2","   0","   0","   0","   0","   0","   0","   0","   5","  37","   0","  12","   0","   0","   0","   1","   0","   2","   0","   0","   0","   1","   0","   1","   0","  19","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   3","   0","   1","   0","1087","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1"
