Pollen_type_SM_morphological,African_coast,Madagascar,South_Africa,Eastern_Tropical_Africa,Zambezian,Guineo-Congolian,Sudanian,Sahel,Sahara,Mediterranean,Temperate,Asia,Arabia,America,Australia,Exotic_Introduced,Cosmopolitan,Widespread,Reference #1,Reference #2,Reference #3,Reference #4,Reference #5,Reference #6,Reference #7,Reference #8,Observations
Adenium,,,x,x,,,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Adina,,,,,,,,,,,,x,,,,x,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Aerva type,,,,x,,,,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Aeschynomene,,,x,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Aesculus,,,,,,,,,,x,,x,,x,,,,,Zhang et al. (2010) Pharmaceutical Crops,,,,,,,,
Afraegle,,,,,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Afzelia,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Agrimonia,,,x,,,,,,,x,x,x,,x,,,,,Kyong-Sook 2008 PhD thesis The University of Oklahoma ProQuest Dissertation & Theses,,,,,,,,
Aizoaceae t.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.",,,,,,,,According to Hely (2014) is Saharan-Sahel/ In Quézel 1978 is cosmopolitan
Albizia,,,x,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Alchemilla t.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,Romo (2021) Plant and Fungal Systematics; Gehrke et al. (2008) Molecular Phylogenetics and Evolution,,,,,,,,
Alchornea,,,,,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,
Algae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Hoek, C., Mann, D. G., & Jahns, H. M. (1995). Algae: an introduction to phycology. Cambridge university press.",,,,,,,,
Alismataceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.",,,,,,,,
Allophylus t.,,,,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Alnus,,,,,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ",,,,,,,Temperate according to Watrin (2009)/Present in the Mediterranean centre of endemism according to White (1983)
Aloe,,,x,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,Cultivated worlwide
Alternanthera t.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Amaranthaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,According to Hely (2014) is Sudanian-Sahel-Saharan/ In Quézel 1978 is cosmopolitan
Ambrosia t.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,Martin et al. 2018 Molecular Phylogenetics and Evolution,,,,,,,,"According to Hély (2014) is ""Saharan-Sahel"""
Ammannia t.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Turki, Z.A. (2007) Fl. Medit.",,,,,,,,According to White (1983) is also in the Sahel. According to Hély (2014) is Guineo-Congolian only
Anacardiaceae undiff.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.","Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,"According to Hély (2014) is ""Guineo-Congolian-Sudanian"""
Anacardium,,,,,,,,,,,,,,x,,x,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,
Anagallis t.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Bentvelzen, P. A. J. (1960). Primulaceae. Flora Malesiana-Series 1, Spermatophyta, 6(1), 173-192.",,,,,,,,
Andrachne,,,,,,,,,x,x,,,,,,,,,"Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.",,,,,,,,
Annonaceae,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,Pantropical family according to Kessler (1993)
Anopyxis,,,,,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Anthemideae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,Oberprieler et al. (2007) Willdenowia,,,,,,,,"According to Oberprieler et al. (2006) The main concentrations of members of Anthemideae are in Central Asia, the Mediterranean region, and southern Africa."
Anthemideae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,Oberprieler et al. (2007) Willdenowia,,,,,,,,"According to Oberprieler et al. (2006) The main concentrations of members of Anthemideae are in Central Asia, the Mediterranean region, and southern Africa."
Anthoceros t.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,Ibarra-Morales et al. (2015) Phytotaxa,,,,,,,,
Anthocleista,,,,x,,x,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Anthospermum,,,x,x,,,,,,,,,,,,,,,Puff 2012 Science,,,,,,,,"SW Cape Floristic Region, SE Africa and Madagascar (Puff 2012 Science)"
Anthostema,,,,,,x,,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Antiaris,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Antidesma t.,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to White (1983) not present in Guineo-Congolian
Apiaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Milliken, W., Klitgard, B. and Baracat, A. (2009 onwards), Neotropikey - Interactive key and information resources for flowering plants of the Neotropics.",,,,,,,,According to Hely (2014) is Sudanian-Sahel-Saharan
Apium t.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Townsend, C. C. (1989). Flora of Tropical East Africa-Unibelliferae (Vol. 187). CRC Press.",,,,,,,According to Thulin et al. (2008) is widespread in temperate and tropical regions.
Apocynaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038","Utteridge, T., & Bramley, G. (2020). The Kew Tropical Plant Families Identification Handbook (2nd ed.). Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,
Araceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Gemma Bramley, Anna Trias-Blasi & Richard Wilford (2023). Kew Publishing Royal Botanic Gardens, Kew",,,,,,,,
Arachis,,,,,,,,,,,,,,x,,x,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,"Most of the natural vegetation has been replaced byrice-fieldsor ground-nuts (Arachis), but until recently sufficient relicts remained to enable a reconstruction of the original vegetation to be made (White 1983)"
Araliaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,According to Hely (2014) is Guineo-Congolian-Sudanian
Arbutus,,,,,,,,,,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,According to White (1983) is also in the Mediterranean-Sahara transition zone
Arceuthobium,,,,,,,,,,x,,x,,x,,,,,Hawksworth and Wiens 1972 U.S. Forest Service,,,,,,,,
Arctostaphylos,,,,,,,,,,x,x,x,,x,,,,,Parker et al. (2020) American Journal of Botany,,,,,,,,
Arecaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Gemma Bramley, Anna Trias-Blasi & Richard Wilford (2023). Kew Publishing Royal Botanic Gardens, Kew",,,,,,,,
Aristolochia,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Artemisia,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,Meyer 2008 USDA Forest Service Agriculture Handbook 727,,,,,,,,
Asclepiadaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Proctor (2012). Flora of the Cayman Isands (Second Edition). Royal Botanic Gardens, Kew",,,,,,,,
Asphodelus t.,,,,,,,,,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Asteroideae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Pelser and Watson (2009) Chapter 33 In book: Funk, Vicki & Susanna, Alfonso & Stuessy, Tod & Bayer, R. (2009). Systematics, Evolution, and Biogeography of Compositae",,,,,,,,
Asystasia,,,x,x,,x,x,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,According to Thulin et al. (2008) is found in tropical Africa.
Atraphaxis,,,,,,,,,,x,,x,x,,,,,,Yurtseva et al. (2016) PeerJ 4:e1977,,,,,,,,"According to Yurtseva et al. (2016) distributed from South-East Europe and North-East Africa to East Siberia, China, and Mongolia with its centers of taxonomic diversity in South-West and Central Asia"
Avicennia,x,,,,,,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,In White (1983) is in Mangrove vegetation (azonal vegetation) XXII
Balanites,,,,x,,x,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,"According to Hely (2014) only in Sudanian-Sahel-Saharan, but White (1983) also specifies it is also present in the Guineo-Congolian region and eastern tropical afric"
Barbeya,,,,x,,,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,According to White (1983) is characteristic of the ecotone between dry Afromontane forest and Somalia-Masai evergreen bushlan
Barleria,,,,x,,,,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,According to White (1983) is characteristic of the ecotone between dry Afromontane forest and Somalia-Masai evergreen bushlan
Bauhinia,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Meng, HH., Jacques, F.M., Su, T. et al. 2014 BMC Evol Biol 15",,,,,,,,"It is distributed in tropical to subtropical and warm-temperate Asia, and tropical regions of Africa and the America (Meng, HH., Jacques, F.M., Su, T. et al. 2014)"
Berberidaceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Gemma Bramley, Anna Trias-Blasi & Richard Wilford (2023). The Kew Temperate Plant Families Identification Handbook. Kew Publishing Royal Botanic Gardens, Kew",,,,,,,,
Berberis t.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,Khan et al. (2016) Tropical Journal of Pharmaceutical Research,,,,,,,,
Bergia,,,x,x,,,,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Berlinia,,,,,x,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Bersama,,,x,x,,x,x,,,,,,,,,,,,"Phillips, E. P. (1922). The Genus Bersama. Bothalia, 1(1), 33-38.",,,,,,,,
Betula,,,,,,,,,,x,x,x,,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ",,,,,,,According to Watrin (2009) is Temperate. White (1983) also specifies that species of Betula are in the Mediterranean regional centre of endemism
Betulaceae undif.,,,,,,,,,,x,x,x,,x,,,,,"Gemma Bramley, Anna Trias-Blasi & Richard Wilford (2023). Kew Publishing Royal Botanic Gardens, Kew",,,,,,,,
Bignoniaceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,"According to Schüler & Hemp (2016) is a pantropical family mainly distributed in the Neotropics 104 genera and about 860 species, mainly distributed in the Neotropics"
Blepharis,,,x,x,,,x,x,x,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Blighia,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
