taxon.name,Proposed_harmonised_names,FAMILIES,APD_presynon_update
"Arecaceae (Mauritius type 139, de Boer)",Arecaceae undiff.,ARECACEAE,
"Arecaceae (Mauritius type 54b, de Boer)",Arecaceae undiff.,ARECACEAE,
"Arecaceae (Mauritius type 54c, de Boer)",Arecaceae undiff.,ARECACEAE,
"Arecaceae (tetrad, Mauritius type 2, de Boer)",Arecaceae undiff.,ARECACEAE,
"Arecaceae (Mauritius type 132b, de Boer)",Arecaceae undiff.,ARECACEAE,
Arecaceae (trichotomosulcate),Arecaceae undiff.,ARECACEAE,
Arecaceae,Arecaceae undiff.,ARECACEAE,
Artemisia,Artemisia,ASTERACEAE,
Artemisia afra,Artemisia afra-type,ASTERACEAE,
Ascarina,[ignore],CHLORANTHACEAE,
Asclepiadeae,[ignore],APOCYNACEAE,
Ascolepis,Ascolepis,CYPERACEAE,
Asparagus,Asparagus,ASPARAGACEAE,
Asphodelaceae,Asphodelaceae undiff.,ASPHODELACEAE,
Asphodelus,Asphodelus,ASPHODELACEAE,
Aster,Asteraceae undiff.,ASTERACEAE,
Asteraceae,Asteraceae undiff.,ASTERACEAE,
Asteraceae (echinate),Asteraceae undiff.,ASTERACEAE,
Asteraceae (high spine),Asteraceae undiff.,ASTERACEAE,
Asteraceae (type 2),Asteraceae undiff.,ASTERACEAE,
Asteroideae,Asteraceae undiff.,ASTERACEAE,
Astripomoea,Ipomoea-type,CONVOLVULACEAE,
Astropanax goetzenii,[ignore],ARALIACEAE,
Astropanax mannii,[ignore],ARALIACEAE,
Azima,Azima tetracantha,SALVADORACEAE,
Bakerella,Bakerella-type,LORANTHACEAE,
Balanites,Balanites,ZYGOPHYLLACEAE,
Baphia,Baphia-type,FABACEAE,
Baphiopsis parviflora,Baphiopsis parviflora,FABACEAE,
Barleria,Barleria,ACANTHACEAE,
Basella alba,Basella alba-type,BASELLACEAE,
Basilicum,Basilicum-type polystachyon,LAMIACEAE,
Basilicum polystachyon,Basilicum-type polystachyon,LAMIACEAE,
Basilicum polystachyon/Hoslundia opposita,Basilicum-type polystachyon,LAMIACEAE,
Bauhinia,Bauhinia,FABACEAE,
Begonia,Begonia,BEGONIACEAE,
Berlinia,Berlinia-type,FABACEAE,
Bersama,Bersama,MELIANTHACEAE,
Bersama abyssinica,Bersama abyssinica-type,MELIANTHACEAE,
Bertiera,Bertiera,RUBIACEAE,
Betula,Betula,BETULACEAE,
Bignoniaceae,Bignoniaceae undiff.,BIGNONIACEAE,
Bismarckia nobilis,[ignore],ARECACEAE,
Blepharis,Blepharis-type,ACANTHACEAE,
Blighia,Blighia,SAPINDACEAE,
Blighia (B. unijugata),Blighia unijugata-type,SAPINDACEAE,
Blighia unijugata,Blighia unijugata-type,SAPINDACEAE,
Boraginaceae,Boraginaceae undiff.,BORAGINACEAE,
Borassus,Borassus-type aethiopum,ARECACEAE,
Boscia,Boscia-type,CAPPARACEAE,
Bosqueia,Trilepisium-type madagascariensis,MORACEAE,
Brachylaena,Brachylaena-type,ASTERACEAE,
Brachystegia,Brachystegia,FABACEAE,
Brassicaceae,Brassicaceae undiff.,BRASSICACEAE,
Bridelia,Bridelia-type,EUPHORBIACEAE,
Bridelia ferruginea,Bridelia ferruginea-type,EUPHORBIACEAE,
Bridelia micrantha,Bridelia micrantha-type,EUPHORBIACEAE,
Bridelia scleroneura,Bridelia-type scleroneura,EUPHORBIACEAE,
Brucea,Brucea,SIMAROUBACEAE,
Brucea antidysenterica,Brucea antidysenterica-type,SIMAROUBACEAE,
Bruniaceae,Bruniaceae undiff.,BRUNIACEAE,
Buddleja,Buddleja,SCROPHULARIACEAE,
Butyrospermum,Vitellaria-type paradoxa,SAPOTACEAE,
Buxus,Buxus,BUXACEAE,
Buxus madagascarica,Buxus madagascarica-type,BUXACEAE,
Caesalpinia,Caesalpinia-type,FABACEAE,
Fabaceae,Fabaceae undiff.,FABACEAE,
Calluna,[ignore],ERICACEAE,
Calystegia,Calystegia-type,CONVOLVULACEAE,
Camellia sinensis,[ignore],THEACEAE,
Campanulaceae,Campanulaceae undiff.,CAMPANULACEAE,
Campylospermum,Campylospermum,OCHNACEAE,
Canarium,Canarium-type,BURSERACEAE,
Cannabis,Cannabis sativa,CANNABACEAE,
Canthium,Rubiaceae undiff.,RUBIACEAE,
Canthium gueinzii,Keetia-type gueinzii,RUBIACEAE,
Canthium schimperianum,Psydrax-type schimperiana,RUBIACEAE,
Capparaceae,Capparaceae undiff.,CAPPARACEAE,
Capparis fascicularis,Capparis fascicularis-type,CAPPARACEAE,
Capparis tomentosa,Capparis tomentosa-type,CAPPARACEAE,
Carapa (C. grandiflora),Carapa-type procera,MELIACEAE,
Carapa procera,Carapa-type procera,MELIACEAE,
Cardamine,Cardamine,BRASSICACEAE,
Carduoideae,[ignore],ASTERACEAE,
Carduus,Carduus-type,ASTERACEAE,
Caryophyllaceae,Caryophyllaceae undiff.,CARYOPHYLLACEAE,
Cassia,Cassia-type,FABACEAE,
Cassia (C. mimosoides),Cassia-type mimosoides,FABACEAE,
Cassia mimosoides,Cassia-type mimosoides,FABACEAE,
Cassine,Cassine,CELASTRACEAE,
Cassine orientalis,[ignore],CELASTRACEAE,
Casuarina,Casuarina,CASUARINACEAE,
Catha,Catha-type edulis,CELASTRACEAE,
Cayratia,Cayratia-type,VITACEAE,
Cedrus,Cedrus,PINACEAE,
Cedrus atlantica,Cedrus,PINACEAE,
Ceiba,Ceiba pentandra,MALVACEAE,
Celastraceae,Celastraceae undiff.,CELASTRACEAE,
Celosia,Celosia-type,AMARANTHACEAE,
Celosia (C. trigyna),Celosia-type trigyna,AMARANTHACEAE,
Celosia argentea,Celosia argentea-type,AMARANTHACEAE,
Celosia trigyna,Celosia-type trigyna,AMARANTHACEAE,
Celtis,Celtis,CANNABACEAE,
Centaurea,Centaurea-type,ASTERACEAE,
Centaurea (C. perrottetii),Centaurea-type perrottetii,ASTERACEAE,
Centaurea nigra,Centaurea-type nigra,ASTERACEAE,
Centaurea perrottetii,Centaurea-type perrottetii,ASTERACEAE,
Cerastium,Cerastium-type,CARYOPHYLLACEAE,
Cerastium (C. octandrum),Cerastium-type octandrum,CARYOPHYLLACEAE,Canthium-type schimperianum
Cerastium afromontanum,Cerastium afromontanum-type,CARYOPHYLLACEAE,Canthium-type schimperianum
Cerastium octandrum,Cerastium-type octandrum,CARYOPHYLLACEAE,Capparidaceae undiff.
Ceratonia siliqua,[ignore],FABACEAE,Capparidaceae undiff.
Badula,[ignore],PRIMULACEAE,
Casuarina equisetifolia,Casuarina equisetifolia-type,CASUARINACEAE,
Erythroxylum,Erythroxylum,ERYTHROXYLACEAE,
Leonardoxa,Leonardoxa,FABACEAE,
Ochna,Ochna,OCHNACEAE,
Polygonum,Polygonum,POLYGONACEAE,
Resedaceae,Resedaceae undiff.,RESEDACEAE,
Rorippa,[ignore],BRASSICACEAE,
Stadmania,[ignore],SAPINDACEAE,
Tabernaemontana,Tabernaemontana,APOCYNACEAE,
Thalictrum,Thalictrum,RANUNCULACEAE,
Chaetachme,Chaetacme aristata,ULMACEAE,
Chaetachme aristata,Chaetacme aristata,ULMACEAE,
Chenopodiaceae sensu stricto,Amaranthaceae undiff.,AMARANTHACEAE,
Chenopodium,Chenopodium-type,AMARANTHACEAE,
Chenopodium/Amaranthus,Chenopodium-type,AMARANTHACEAE,
Chlorophytum,Chlorophytum-type,ASPARAGACEAE,
Chrysobalanus/Parinari,Chrysobalanus icaco/Parinari,CHRYSOBALANACEAE,
Chrysophyllum bangweolense,Chrysophyllum-type bangweolense,SAPOTACEAE,
Cichorieae,Cichorieae undiff.,ASTERACEAE,
Cichorioideae,Cichorieae undiff.,ASTERACEAE,
Cirsium,Cirsium,ASTERACEAE,
Cissampelos,Cissampelos-type,MENISPERMACEAE,
Cissus,Cissus,VITACEAE,
Cistaceae,Cistaceae undiff.,CISTACEAE,
Cistus,Cistus,CISTACEAE,
Cistus monspeliensis,[ignore],CISTACEAE,
Citrullus,Citrullus,CUCURBITACEAE,
Clausena,Clausena anisata,RUTACEAE,
Clausena anisata,Clausena anisata,RUTACEAE,
Cleistanthus,Cleistanthus-type,EUPHORBIACEAE,
Clematis,Clematis-type,RANUNCULACEAE,
Clematis mauritiana,Clematis-type,RANUNCULACEAE,
Cleome,Cleome-type,CAPPARACEAE,
Clerodendrum,Clerodendrum,LAMIACEAE,
Cliffortia,Cliffortia,ROSACEAE,
Cliffortia nitidula,Cliffortia nitidula-type,ROSACEAE,
Clutia,Clutia,EUPHORBIACEAE,
Cnestis,Cnestis-type,CONNARACEAE,
Cocculus,Cocculus,MENISPERMACEAE,
Cocculus pendulus,Cocculus pendulus-type,MENISPERMACEAE,
Cochlospermum,Cochlospermum,BIXACEAE,
Coffea,Coffea,RUBIACEAE,
Cola,Cola-type,MALVACEAE,
Combretaceae,Combretaceae undiff.,COMBRETACEAE,
Combretaceae/Melastomataceae,Combretaceae/Melastomataceae undiff.,COMBRETACEAE/MELASTOMATACEAE,
Combretum,Combretum-type,COMBRETACEAE,
Combretum aculeatum,Combretum-type aculeatum,COMBRETACEAE,
Combretum molle,Combretum-type molle,COMBRETACEAE,
Commelina,Commelina-type,COMMELINACEAE,
Commelina (C. benghalensis),Commelina-type benghalensis,COMMELINACEAE,
Commelina benghalensis,Commelina-type benghalensis,COMMELINACEAE,
Commelina forskaolii,Commelina-type forskalaei,COMMELINACEAE,
Commelinaceae,Commelinaceae undiff.,COMMELINACEAE,
Commiphora,Commiphora,BURSERACEAE,
Commiphora africana,Commiphora africana-type,BURSERACEAE,
Commiphora edulis,Commiphora edulis-type,BURSERACEAE,
Commiphora edulis subsp. boiviniana,Commiphora edulis-type,BURSERACEAE,
Convolvulaceae,Convolvulaceae undiff.,CONVOLVULACEAE,
Convolvulus,Convolvulus-type,CONVOLVULACEAE,
Coptosperma (C. graveolens),[ignore],CONVOLVULACEAE,
Corchorus,Corchorus-type,MALVACEAE,
Cordia,Cordia,CORDIACEAE,
Cordia africana,Cordia africana-type,CORDIACEAE,
Cordia/Bourreria,[ignore],CORDIACEAE,
Cornulaca/Aerva,Aerva-type,AMARANTHACEAE,
Cornus subg. Afrocrania,Cornus volkensii,CORNACEAE,
Cornus volkensii,Cornus volkensii,CORNACEAE,
Corylus,Corylus,BETULACEAE,
Crassocephalum (C. montuosum),Crassocephalum-type montuosum,ASTERACEAE,
Crassocephalum montuosum,Crassocephalum-type montuosum,ASTERACEAE,
Crassula,Crassula,CRASSULACEAE,
Crassulaceae,Crassulaceae undiff.,CRASSULACEAE,
Crataegus,Crataegus-type,ROSACEAE,
Craterispermum,Craterispermum,RUBIACEAE,
Crateva adansonii,Crateva adansonii,CAPPARACEAE,
Crossopteryx,Crossopteryx febrifuga,RUBIACEAE,
Crotalaria,Crotalaria,FABACEAE,
Croton,Croton-type,EUPHORBIACEAE,
Crudia,Crudia-type,FABACEAE,
Cucurbitaceae,Cucurbitaceae undiff.,CUCURBITACEAE,
Cupressaceae,Cupressaceae undiff.,CUPRESSACEAE,
Cuscuta,Cuscuta-type,CONVOLVULACEAE,
Cussonia,Cussonia,ARALIACEAE,
Cyathula,Cyathula-type,AMARANTHACEAE,
Cyathula (C. orthacantha),Cyathula-type orthacantha,AMARANTHACEAE,
Cyperaceae,Cyperaceae undiff.,CYPERACEAE,
Cyphostemma,Cyphostemma-type,VITACEAE,
Cyphostemma mappia,[ignore],VITACEAE,
Decarya,Decarya madagascariensis,DIDIEREACEAE,
Delonix,Delonix,FABACEAE,
Dendrosenecio,Senecio-type,ASTERACEAE,
Desmodium,Desmodium,FABACEAE,
Detarium,Detarium,FABACEAE,
Dialium,Dialium,FABACEAE,
Dichondra (D. micrantha),Dichondra-type micrantha,CONVOLVULACEAE,
Dichrostachys,Dichrostachys,FABACEAE,
Dicoma,Dicoma,ASTERACEAE,
Dictyosperma,[ignore],ASTERACEAE,
Didierea,Didierea,DIDIEREACEAE,
Dioscorea,Dioscorea,DIOSCOREACEAE,
Diospyros,Diospyros,EBENACEAE,
"Diospyros (Mauritius type 326, de Boer)",Diospyros,EBENACEAE,
"Diospyros (Mauritius type 363, de Boer)",Diospyros,EBENACEAE,
Dipsacoideae,[ignore],CAPRIFOLIACEAE,
Dodonaea,Dodonaea,SAPINDACEAE,
"Dodonaea (Mauritius type 128, de Boer)",Dodonaea,SAPINDACEAE,
"Dodonaea (Mauritius type 167, de Boer)",Dodonaea,SAPINDACEAE,
Dodonaea viscosa,Dodonaea viscosa-type,SAPINDACEAE,
Dolichos,Dolichos-type,FABACEAE,
Dombeya,Dombeya-type,MALVACEAE,
Dombeya elliptica,Dombeya-type,MALVACEAE,
Dorstenia,Dorstenia-type,MORACEAE,
Dracaena,Dracaena,ASPARAGACEAE,
Dracaena steudneri,Dracaena steudneri-type,ASPARAGACEAE,
Drimiopsis,Drimiopsis,ASPARAGACEAE,
Drypetes,Drypetes-type,EUPHORBIACEAE,
Drypetes (D. gossweileri),Drypetes-type gossweileri,EUPHORBIACEAE,
Dyschoriste,Dyschoriste-type,ACANTHACEAE,
Ebenaceae,Ebenaceae undiff.,EBENACEAE,
Echinops,Echinops,ASTERACEAE,
Ekebergia,Ekebergia-type,MELIACEAE,
Ekebergia capensis,Ekebergia-type capensis,MELIACEAE,
Elaeis,Elaeis guineensis,ARECACEAE,
Elaeis guineensis,Elaeis guineensis,ARECACEAE,
Elaeocarpaceae,Elaeocarpaceae undiff.,ELAEOCARPACEAE,
Embelia,Embelia-type,PRIMULACEAE,
Embelia (E. schimperi),[ignore],PRIMULACEAE,
Englerina,[ignore],LORANTHACEAE,
Entada,Entada-type,FABACEAE,
Entandrophragma,Entandrophragma-type,MELIACEAE,
Ephedra,Ephedra,EPHEDRACEAE,
Ephedra distachya,Ephedra,EPHEDRACEAE,
Ephedra fragilis,Ephedra,EPHEDRACEAE,
Epilobium,Epilobium-type,ONAGRACEAE,
Erica,Erica-type,ERICACEAE,
Erica arborea,Erica-type arborea,ERICACEAE,
Ericaceae,Ericaceae undiff.,ERICACEAE,
Ericales,[ignore],ERICACEAE,
Eriosema,Eriosema-type,FABACEAE,
Erodium,Erodium,GERANIACEAE,
Erythrina,Erythrina,FABACEAE,
Erythrococca,Erythrococca-type,EUPHORBIACEAE,
Erythrococca (type 3),Erythrococca-type,EUPHORBIACEAE,
Erythrococca (type 4),Erythrococca-type,EUPHORBIACEAE,
Eucalyptus,Eucalyptus-type,MYRTACEAE,
Euclea,Euclea,EBENACEAE,
Eugenia,Eugenia-type,MYRTACEAE,
Eugenia/Syzygium,Eugenia/Syzygium,MYRTACEAE,
Euphorbia,Euphorbia-type,EUPHORBIACEAE,
Euphorbia (large),Euphorbia-type,EUPHORBIACEAE,
Euphorbia (small),Euphorbia-type,EUPHORBIACEAE,
Euphorbia hirta,Euphorbia-type hirta,EUPHORBIACEAE,
Euphorbiaceae,Euphorbiaceae undiff.,EUPHORBIACEAE,
"Euphorbiaceae (Mauritius type 112b, de Boer)",Euphorbiaceae undiff.,EUPHORBIACEAE,
"Euphorbiaceae (Mauritius type 172, de Boer)",Euphorbiaceae undiff.,EUPHORBIACEAE,
"Euphorbiaceae (Mauritius type 88, de Boer)",Euphorbiaceae undiff.,EUPHORBIACEAE,
Faboideae,Fabaceae undiff.,FABACEAE,
Fagaropsis,Fagaropsis-type,RUTACEAE,
Fagaropsis (F. angolensis),Fagaropsis-type angolensis,RUTACEAE,
Fagopyrum,[ignore],POLYGONACEAE,
Faurea,Faurea-type,PROTEACEAE,
Ficalhoa (F. laurifolia),Ficalhoa-type laurifolia,SLADENIACEAE,
Ficus,Ficus,MORACEAE,
Flabellaria (F. paniculata),Flabellaria-type paniculata,MALPIGHIACEAE,
Flabellaria paniculata,Flabellaria-type paniculata,MALPIGHIACEAE,
Flacourtia,Flacourtia,SALICACEAE,
Fleroya rubrostipulata,Mitragyna-type rubrostipulata,RUBIACEAE,
Flueggea,Flueggea,EUPHORBIACEAE,
Foetidia,[ignore],LECYTHIDACEAE,
Fraxinus,Fraxinus,OLEACEAE,
Fumaria,[ignore],PAPAVERACEAE,
Galiniera,Galiniera saxifraga,RUBIACEAE,
Galiniera coffeoides,Galiniera saxifraga,RUBIACEAE,
Galiniera saxifraga,Galiniera saxifraga,RUBIACEAE,
Galium,Galium-type,RUBIACEAE,
Galium/Rubia,Galium/Rubia,RUBIACEAE,
Garcinia,Garcinia,CLUSIACEAE,
Garcinia volkensii,Garcinia volkensii-type,CLUSIACEAE,
Gardenia,Gardenia-type,RUBIACEAE,
Gardenia imperialis,Gardenia-type imperialis,RUBIACEAE,
Genista,Genista-type,FABACEAE,
Gentianaceae,Gentianaceae undiff.,GENTIANACEAE,
Geraniaceae,Geraniaceae undiff.,GERANIACEAE,
Geranium,Geranium,GERANIACEAE,
Gladiolus,Gladiolus-type,IRIDACEAE,
Gnidia,Gnidia-type,THYMELAEACEAE,
Gnidia (G. glauca),Gnidia-type,THYMELAEACEAE,
Grewia,Grewia-type,MALVACEAE,
Gunnera,Gunnera perpensa,GUNNERACEAE,
Gunnera perpensa,Gunnera perpensa,GUNNERACEAE,
Gymnosporia,Maytenus,CELASTRACEAE,
Gyrocarpus,Gyrocarpus,HERNANDIACEAE,
Haematostaphis barteri,Haematostaphis-type barteri,ANACARDIACEAE,
Hagenia,Hagenia abyssinica,ROSACEAE,
Hagenia abyssinica,Hagenia abyssinica,ROSACEAE,
Harungana,Harungana,HYPERICACEAE,
Harungana madagascariensis,Harungana madagascariensis-type,HYPERICACEAE,
Hedera,Hedera,ARALIACEAE,
Helianthemum,Helianthemum,CISTACEAE,
Helichrysum,Helichrysum-type,ASTERACEAE,
Heliotropium,Heliotropium,BORAGINACEAE,
Heliotropium steudneri,Heliotropium steudneri-type,BORAGINACEAE,
Hermannia,Hermannia-type,MALVACEAE,
Herniaria,[ignore],CARYOPHYLLACEAE,
Hibiscus,Hibiscus,MALVACEAE,
Hibiscus fragilis,[ignore],MALVACEAE,
Holoptelea grandis,Holoptelea grandis,ULMACEAE,
Homalium,Homalium ,SALICACEAE,
Hydrolea,Hydrolea,HYDROPHYLLACEAE,
Hymenocardia,Hymenocardia,EUPHORBIACEAE,
Hymenocardia acida,Hymenocardia acida-type,EUPHORBIACEAE,
Hymenodictyon,Hymenodictyon-type,RUBIACEAE,
Hymenodictyon (H. floribundum),Hymenodictyon-type floribundum,RUBIACEAE,
Hymenodictyon floribundum,Hymenodictyon-type floribundum,RUBIACEAE,
Hyophorbe,[ignore],ARECACEAE,
Hypericum,Hypericum,HYPERICACEAE,
Hyphaene,Hyphaene-type,ARECACEAE,
Hypoestes,Hypoestes-type,ACANTHACEAE,
Hyptis,Hyptis,LAMIACEAE,
Ilex,Ilex mitis,AQUIFOLIACEAE,
Ilex mitis,Ilex mitis,AQUIFOLIACEAE,
Impatiens,Impatiens,BALSAMINACEAE,
Indigofera,Indigofera,FABACEAE,
Ipomoea,Ipomoea-type,CONVOLVULACEAE,
Iridaceae,Iridaceae undiff.,IRIDACEAE,
Iris,[ignore],IRIDACEAE,
Irvingia,Irvingia-type,IRVINGIACEAE,
Irvingiaceae,Irvingiaceae undiff.,IRVINGIACEAE,
Isoberlinia,Isoberlinia-type,FABACEAE,
Isoglossa,Isoglossa,ACANTHACEAE,
Ixora,Ixora-type,RUBIACEAE,
Ixora brachypoda,Ixora-type brachypoda,RUBIACEAE,
Jasminum,Jasminum,OLEACEAE,
Jatropha/Givotia,Givotia gosai/Jatropha,EUPHORBIACEAE,
Julbernardia,Julbernardia-type,FABACEAE,
Juncaceae,Juncaceae undiff.,JUNCACEAE,
Juniperus,Juniperus-type,CUPRESSACEAE,
Juniperus procera,Juniperus-type procera,CUPRESSACEAE,
Jussiaea,Ludwigia-type,ONAGRACEAE,
Justicia,Justicia-type,ACANTHACEAE,
Justicia flava,Justicia-type flava,ACANTHACEAE,
Justicia odora,Justicia-type odora,ACANTHACEAE,
Justicia striata,Justicia striata-type,ACANTHACEAE,
Kalanchoe,Kalanchoe,CRASSULACEAE,
Kedrostis,Kedrostis,CUCURBITACEAE,
Keetia cornelia,Keetia-type cornelia,RUBIACEAE,
Keetia (K. venosa),Keetia-type venosa,RUBIACEAE,
Keetia gueinzii,Keetia-type gueinzii,RUBIACEAE,Hallea-type rubrostipulata
Khaya,Khaya-type,MELIACEAE,
Kiggelaria,Kiggelaria africana,ACHARIACEAE,
Klaineanthus gaboniae,Klaineanthus gaboniae,EUPHORBIACEAE,
Kohautia,Kohautia,RUBIACEAE,
Kotschya,Kotschya,FABACEAE,
Labourdonnaisia,[ignore],SAPOTACEAE,
Lamiaceae,Lamiaceae undiff.,LAMIACEAE,
Landolphia,Landolphia-type,APOCYNACEAE,
Landolphia (type 3),Landolphia-type,APOCYNACEAE,
Lannea,Lannea-type,ANACARDIACEAE,
Lantana,Lantana-type,VERBENACEAE,
Laportea,Laportea-type,URTICACEAE,
Laportea aestuans,Laportea-type,URTICACEAE,
Lasianthus,Stipularia-type,RUBIACEAE,
Latania,[ignore],ARECACEAE,
Latania/Dracaena,Dracaena,ASPARAGACEAE,
Laurembergia,Laurembergia tetrandra,HALORAGACEAE,
Laurembergia tetrandra,Laurembergia tetrandra,HALORAGACEAE,
Lavandula,Lavandula-type,LAMIACEAE,
Lecaniodiscus/Lepisanthes senegalensis,Lepisanthes-type senegalensis,SAPINDACEAE,
Leonotis,Leonotis-type,LAMIACEAE,
Lepidagathis,Lepidagathis,ACANTHACEAE,
Lepisanthes,Lepisanthes-type senegalensis,SAPINDACEAE,
Lepisanthes (L. senegalensis),Lepisanthes-type senegalensis,SAPINDACEAE,
Leucas,Leucas-type,LAMIACEAE,
Liliaceae,Monocotyledoneae undiff.,MONOCOTYLEDONEAE,
Limonium,Limonium-type,PLUMBAGINACEAE,
Limosella,Limosella-type,SCROPHULARIACEAE,
Linaceae,Linaceae undiff.,LINACEAE,
Linaria,Kickxia/Diclis,SCROPHULARIACEAE,
Lindackeria,[ignore],ACHARIACEAE,
Lindernia,Lindernia,LINDERNIACEAE,
Linum,Linum,LINACEAE,
Lippia,Lippia-type,VERBENACEAE,
Lobelia,Lobelia,CAMPANULACEAE,
Lobostemon,Echiochilon,BORAGINACEAE,
Lonchocarpus,Lonchocarpus,FABACEAE,
Lophira,Lophira,OCHNACEAE,
Loranthaceae,Loranthaceae undiff.,LORANTHACEAE,
Lotus,Lotus,FABACEAE,
Lotus arabicus,Lotus arabicus-type,FABACEAE,
Ludwigia,Ludwigia-type,ONAGRACEAE,
Lycium,Lycium,SOLANACEAE,
Lythraceae,Lythraceae undiff.,LYTHRACEAE,
Lythrum,Lythrum,LYTHRACEAE,
Macaranga,Macaranga-type,EUPHORBIACEAE,
Macaranga capensis,Macaranga-type capensis,EUPHORBIACEAE,
Maclura,Maclura-type africana,MORACEAE,
Maerua,Maerua-type,CAPPARACEAE,
Maerua/Ritchiea,Maerua/Ritchiea,CAPPARACEAE,
Maesa,Maesa,PRIMULACEAE,
Maesa lanceolata,Maesa lanceolata-type,PRIMULACEAE,
Maesobotrya barteri,[ignore],PHYLLANTHACEAE,
Mallotus,Mallotus-type,EUPHORBIACEAE,
Mallotus oppositifolius,Mallotus-type,EUPHORBIACEAE,
Malva sylvestris,[ignore],MALVACEAE,
Manilkara,Manilkara-type,SAPOTACEAE,
Mareya,Mareya-type,EUPHORBIACEAE,
Margaritaria (M. discoidea),Margaritaria discoidea,EUPHORBIACEAE,
Margaritaria discoidea,Margaritaria discoidea,EUPHORBIACEAE,
Matricaria,Cotula-type,ASTERACEAE,
Maytenus,Maytenus,CELASTRACEAE,
Melastomataceae,Melastomataceae undiff.,MELASTOMATACEAE,
Meliaceae,Meliaceae undiff.,MELIACEAE,
Mellera,Mellera-type,ACANTHACEAE,
