"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Celtis","Centaurea","Centranthus t.","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Drosera","Echinops","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagonia","Fagopyrum","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Geraniaceae undif.","Hedera","Hypericum undif.","Ilex","Juglans","Lamiaceae undif.","Linum t.","Lonicera","Lythrum","Malva","Musci","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Olea t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Pseudopediastrum kawraiskyi","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Spergularia t.","Taxus","Thalictrum","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Vitis"
NA,NA,NA,"287"," 23","  0"," 55","  0"," 30"," 18","  1","  0","  2","  6","  3"," 15","  4","  0","  9","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 13"," 10","  7","  0","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0"," 23","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","199","  0"," 11","  0","112","  1","  0","  0","  0","  0","374"," 44","  0","  0","  4","  4","  0","  0","  0","  7","  0","  0","  0","  1","  1"," 35","  0","  0","  0","  0"
NA,NA,NA,"400","  2","  0"," 52","  0","  4"," 82","  0","  0","  0"," 81","  5"," 11","  1","  1","  0","  0","  0","  0","  3","  4","  0","  2","  0","  4","  0","  0","  0","  1","  2","  6","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","341","  0"," 14","  0","134"," 11","  0","  0","  0","  0"," 16","  0","  2","  0","  0","  0","  0","  0","  0","  9","  0","  0","  1","  0","  1","  1"," 12","  0","  0","  0"
NA,NA,NA,"209"," 50","  0","433","  0"," 17","189","  0","  0","  0","  5","  5","  9","  0","  0","  2","  0","  0","  0"," 16","  5","  0","  0","  0","  3","  0","  0","  0","  4","  3"," 87","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","316","  0"," 20","  0","231"," 10","  0","  0","  0","  0","313","  7","  0","  0","  2","  0","  0","  0","  3","  9","  0","  0","  0","  1"," 10"," 15","  0","  0","  0","  0"
NA,NA,NA,"412"," 12","  0"," 63","  0","  8"," 43","  0","  0","  0"," 32","  1","  8","  2","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  1","  0","  0","  0","  4","  0","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","341","  0","  8","  2","173","  7","  0","  0","  0","  0"," 79","  0","  4","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  1","  1","  1"," 13","  8","  0","  0","  1"
NA,NA,NA,"660","  0","  0","  2","  0","  2","183","  0"," 24","  0","130","  9","  9","  0","  0","  0","  0","  0","  0","  2","  5","  0","  6","  1"," 19","  0","  0","  1","  0","  2","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 10","  3","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","300","  0","  4","  0","324","  4"," 12","  0","  0","  0","  9","  0","  0","  1","  4","  0","  0","  0","  1","  1","  0","  0","  1","  0","  0","  1"," 28","  0","  0","  0"
NA,NA,NA,"70"," 1"," 0"," 0"," 0"," 2"," 3"," 2"," 0","13"," 3"," 6"," 1"," 1"," 5"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 5"," 0"," 5"," 0"," 0"," 0"," 3"," 2"," 6"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 3"," 0","13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0","22"," 0"," 2"," 0","44"," 1"," 8"," 0"," 0"," 0","38"," 2"," 3"," 0"," 1"," 0"," 0"," 0"," 0","95"," 0"," 0"," 0"," 0"," 0"," 1"," 8"," 0"," 0"," 0"
NA,NA,NA,"500","  0","  0","  5","  0","  1","195","  0","  4","  6","342"," 11","  3","  0","  0","  0","  0","  0","  0","  0","  4","  0","  6","  0"," 13","  0","  0","  0","  3","  7","  9","  0","  0","  1","  9","  0","  1","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  5","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","310","  0","  8","  0","115","  8","  7","  0","  0","  6","  9","  0","  0","  1","  0","  0","  0","  0","  0","  3","  0","  0","  5","  0","  0","  1"," 18","  0","  0","  0"
NA,NA,NA,"240"," 65","  1"," 27","  0"," 24"," 30","  0","  0","  0","  5","  1","  2","  7","  2","  2","  0","  0","  0","  6","  1","  0","  0","  0","  0","  0","  0","  0","  6","  1"," 10","  0","  0","  0","  2","  5","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","316","  1","  4","  0"," 38","  4","  0","  0","  1","  0","395","  0","  0","  0","  1","  0","  0","  1","  1","  9","  0","  0","  0","  2","  3"," 52"," 14","  0","  0","  2"
NA,NA,NA,"290"," 17","  0"," 15","  0"," 10"," 12","  0","  0","  2","  4","  1","  1"," 10","  1","  5","  0","  1","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  3","  4","  7","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  2","  2","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","101","  4"," 12","  0"," 70","  1","  3","  0","  0","  0","227","  0","  0","  1","  1","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 22"," 16","  0","  0","  4"
NA,NA,NA," 90","  1","  0","  0","  1","  6"," 14","  0","  0"," 12","  6","  8","  2","  1","  2","  0","  0","  0","  0","  0","  6","  0"," 10","  0","103","  0","  0","  0","  9","  5"," 71","  0","  0","  0","  1","  1","  0","  0","  0","  0","  4","  1"," 24","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  2","  0","  3","  0","  0","  0","  0","  0","  1"," 61","  0","  7","  0","139","  3"," 12","  1","  0","  0"," 97","  0","  8","  0","  0","  1","  0","  0","  0","233","  0","  0","  0","  0","  0","  0"," 34","  1","  0","  0"
NA,NA,NA,"220","107","  2","161","  0"," 12","113","  1","  0","  0","  5","  6","  2"," 12","  0","  0","  0","  0","  1"," 23","  1","  0","  2","  0","  7","  0","  0","  1","  8","  1"," 53","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","490","  2"," 14","  0"," 96","  2"," 12","  0","  0","  0","269","  0","  1","  0","  3","  0","  0","  1","  0"," 24","  0","  0","  0","  2"," 21"," 21"," 74","  0","  0","  0"
NA,NA,NA,"341"," 22","  0","104","  0"," 27","170","  0","  0","  7","  3","  7","  6","  0","  6","  2","  0","  0","  0"," 43","  1","  0","  1","  0","  2","  0","  0","  0"," 16","  3"," 35","  0","  0","  0","  1","  1","  0","  0","  2","  0","  0","  0"," 48","  0","  0","  0","  0","  6","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","144","  0","  5","  0","224","  6","  2","  1","  0","  0","451","  0","  0","  0","  6","  2","  0","  0","  0"," 22","  0","  0","  0","  5","  4"," 17","  8","  0","  1","  0"
NA,NA,NA,"260"," 21","  1","  1","  0"," 75"," 19","  1","  0","  1","  4","  5","  2"," 11","  3","  1","  0","  0","  0"," 13","  1","  1","  1","  0","  0","  0","  0","  0"," 13","  0","  8","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0"," 19","  0","  0","  1","  1","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","118","  0","  9","  0"," 77","  3","  1","  0","  0","  0","216","  0","  2","  0","  0","  0","  0","  1","  0"," 10","  0","  0","  0","  4","  0"," 77"," 20","  0","  0","  2"
NA,NA,NA," 65"," 14","  0","  0","  0","  7"," 25","  0","  1"," 24"," 10"," 21","  1"," 10","  9","  0","  0","  0","  0","  5","  9","  0"," 16","  0"," 82","  0","  0","  0","  4","  2"," 46","  1","  0","  0","  0","  2","  0","  1","  0","  0"," 19","  0"," 30","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 19","  0"," 57","  1","  0","  0","  0","  0","  0","266","  0","  7","  0","167"," 15"," 38","  0","  0","  0","147","  2"," 37","  0","  2","  1","  0","  0","  0","364","  0","  0","  0","  1","  1","  2","126","  0","  0","  1"
