"age_NA","ageolder_BP","ageyounger_BP","depth","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Cuscuta","Cyperaceae","Ephedra","Erica t.","Eucalyptus","Fabaceae Undif.","Fern","Fraxinus","Galium t.","Hedera","Helianthus","Ilex","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lythrum","Monoletes","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rumex t.","Salix","Sparganium","Thymelaeaceae undif.","Triletes","Valerianaceae undif.","Viburnum"
NA,NA,NA," 45","  0","  0"," 30","  1","  6","  0","  1","  2"," 17","  0","  0","  5","  0","  0","  6","  0","  1"," 15","  0","100","  0","  3","  1","  0","  0","  0","  1","  0","  2"," 45","  0","  0","  0","  0","  8","  1","  3","  0","  4","  4"," 33","  4","  0","  0","  6","  0","  6","  2","  0","  0","  0","  0","  0","  2","  0","  0"
NA,NA,NA,"100","  0","  0"," 92","  0","  1","  0","  0","  1"," 32","  1","  0","  1","  1","  0","  5","  1","  0"," 17","  0"," 24","  0","  0","  1","  1","  0","  0","  0","  0","  4"," 52","  0","  0","  0","  0","  0","  1","  2","  0","  1","  2"," 50","  4","  0","  0"," 47","  0","  6","  0","  0","  6","  0","  0","  1","  0","  0","  1"
NA,NA,NA,"30"," 0"," 3","73"," 0"," 6"," 0"," 4"," 2","13"," 0"," 0"," 3"," 0"," 0"," 3"," 1"," 0","15"," 0","54"," 0"," 3"," 4"," 0"," 3"," 0"," 0"," 0"," 0","80"," 0"," 0"," 0"," 3"," 1"," 0"," 5"," 0"," 1"," 3","53"," 2"," 0"," 0"," 2"," 0","11"," 1"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 0"
NA,NA,NA,"60"," 0"," 0","26"," 0"," 4"," 0"," 1"," 1","21"," 2"," 0"," 5"," 0"," 1"," 1"," 3"," 0","15"," 0","80"," 0"," 0"," 6"," 0"," 1"," 0"," 0"," 0"," 1","58"," 0"," 0"," 0"," 0"," 4"," 0"," 1"," 0"," 3","10","28"," 2"," 0"," 1","12"," 2"," 6"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA,NA,"65"," 0"," 0","28"," 0"," 3"," 0"," 0"," 3"," 8"," 0"," 0"," 2"," 0"," 0"," 2"," 3"," 0","18"," 0","92"," 0"," 0"," 2"," 1"," 1"," 1"," 0"," 1"," 2","25"," 0"," 0"," 0"," 0","13"," 0"," 0"," 0"," 3"," 6","27"," 3"," 0"," 0","27"," 1"," 1"," 1"," 0"," 3"," 0"," 0"," 0"," 1"," 1"," 0"
NA,NA,NA,"35"," 0"," 0","56"," 2"," 5"," 0"," 5"," 4","10"," 0"," 0"," 2"," 0"," 0"," 4"," 0"," 0"," 9"," 0","85"," 0"," 2"," 4"," 0"," 0"," 0"," 0"," 0"," 3","58"," 0"," 0"," 0"," 0"," 3"," 1"," 6"," 0"," 2"," 3","22"," 6"," 0"," 0"," 5"," 0","13"," 1"," 0"," 3"," 1"," 0"," 1"," 1"," 0"," 0"
NA,NA,NA," 5"," 0"," 3","17"," 0"," 2"," 0"," 0"," 1","26"," 0"," 1"," 3"," 0"," 0"," 7"," 0"," 0"," 6"," 0","34"," 0"," 2"," 1"," 0"," 1"," 0"," 2"," 0"," 0","28"," 0"," 0"," 2"," 0"," 0"," 1"," 1"," 1"," 4","21","25"," 2"," 0"," 0"," 9"," 0","15"," 1"," 2"," 0"," 1"," 0"," 1"," 0"," 0"," 0"
NA,NA,NA,"40"," 0"," 0","58"," 0"," 6"," 1"," 3"," 3","12"," 0"," 0"," 5"," 0"," 1"," 4"," 0"," 0","29"," 0","90"," 0"," 0"," 5"," 0"," 1"," 0"," 1"," 0"," 3","45"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 0"," 7"," 3","30"," 7"," 0"," 0"," 2"," 0","13"," 1"," 1"," 2"," 0"," 0"," 0"," 0"," 0"," 0"
NA,NA,NA,"15"," 0"," 2","18"," 2"," 4"," 0"," 1"," 1","36"," 0"," 0"," 3"," 0"," 0","12"," 1"," 0"," 8"," 0","44"," 0"," 4"," 4"," 1"," 0"," 0"," 2"," 0"," 1","41"," 0"," 0"," 0"," 1"," 1"," 2"," 0"," 0"," 1","43","58"," 7"," 0"," 0"," 3"," 1","15"," 5"," 0"," 3"," 0"," 0"," 2"," 0"," 0"," 0"
NA,NA,NA," 20","  0","  2"," 25","  0","  2","  0","  1","  6"," 25","  0","  0","  8","  0","  1"," 11","  1","  0"," 12","  0"," 52","  0","  3","  7","  0","  0","  0","  2","  0","  0"," 50","  0","  0","  2","  0","  1","  1","  1","  0","  6","162"," 31","  4","  1","  0","  9","  2"," 13","  5","  0","  1","  0","  0","  1","  1","  0","  0"
NA,NA,NA,"25"," 0"," 3","28"," 1"," 7"," 0"," 3"," 1","13"," 0"," 0"," 2"," 0"," 0"," 7"," 1"," 2"," 7"," 1","47"," 0"," 1"," 5"," 0"," 0"," 0"," 0"," 0"," 1","73"," 1"," 0"," 0"," 0"," 1"," 1"," 1"," 0"," 2"," 9","29"," 9"," 0"," 0"," 2"," 0","12"," 3"," 1"," 4"," 0"," 1"," 0"," 4"," 0"," 0"
NA,NA,NA," 0"," 0"," 3","32"," 2"," 3"," 0"," 3"," 3","31"," 1"," 0"," 8"," 0"," 2"," 6"," 1"," 0","11"," 0","51"," 3"," 3"," 3"," 3"," 1"," 0"," 4"," 0"," 5","80"," 0"," 1"," 0"," 2"," 0"," 1"," 0"," 0"," 6","36","31"," 5"," 0"," 0"," 5"," 0","38"," 2"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"
