"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Azolla/Salvinia","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","Geraniaceae undif.","Haplophyllum","Hedera","HippophaÃ«","Hypericum undif.","IsoÃ«tes","Juglans","Juncaginaceae","Lamiaceae undif.","Leontice","Ligustrum","Lonicera","Loranthus","Lotus t.","Lythrum","Matthiola","Mercurialis","Monactinus simplex (type clathratum)","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prunus t.","Pseudopediastrum kawraiskyi","Psoralea","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Scrophulariaceae undif.","Searsia","Selaginella selaginoides","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianella","Vitis","Ziziphus/Paliurus"
"11250",NA,NA,"  150","    0","    0","    0","    1","    3","  228","    0","    6","   13","   95","    0","   22","    0","    0","    0","    0","   12","    0","    0","    0","    1","    0","    1","    0","    8","    6","   11","    0","    0","    0","    0","    0","   14","   36","    0","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0","    2","    2","    0","    0","    9","    0","    0","    0","    0","    0","    1","   17","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    3","    0","    0","    0","    0","    1","    2","    0","    1","    0","   16","    2","    0","    0","    1","   72","    1","   28","    0","    0","    0","    0","    0","    0","  113","    2","    5","    0","    0","    0","    0","    1","   11","    0","    1","    0","    1","    0","    0","    0","    6","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11594",NA,NA,"  155","    0","    1","    0","    6","    0","  319","    0","    6","   24","  152","    0","   25","    0","    3","    0","    0","   22","    0","    0","    0","    0","    0","    2","    0","    5","    3","   19","    1","    0","    0","    0","    0","    5","   41","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","   14","    0","    0","    0","    0","    6","    0","   34","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","   18","    0","    3","    0","    0","   74","    5","   24","    0","    0","    0","    0","    0","    0","   72","    6","    1","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","   13","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1"
"12282",NA,NA,"  165","    2","    0","   16","    4","    0","  516","    0","   18","   41","  246","    0","   76","    0","    1","    1","    0","   23","   10","    1","    0","    4","    0","    7","    0","    8","   17","   61","    1","    0","    0","    0","    0","    4","  139","    0","    0","    0","    4","    0","    0","    0","    0","    1","    0","    0","   14","    1","    0","    1","   37","    0","    0","    0","    0","    0","    0","   35","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    1","    0","    0","    4","    0","   49","    0","    7","    0","    1","  191","   24","   24","    0","    1","    0","    1","    0","    0","   72","    0","    3","    0","    0","    0","    0","    1","   11","    0","    1","    0","    1","    0","    0","    1","   17","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0"
"13314",NA,NA,"  180","    0","    1","    0","    2","    0","  207","    0","   14","   20","  144","    0","   22","    0","    0","    1","    0","   24","    0","    1","    0","    3","    0","    1","    0","    5","    3","   16","    0","    0","    0","    0","    0","    1","   51","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    1","   25","    0","    1","    0","    0","    0","    0","    8","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    1","    0","   32","    0","    1","    1","    1","  115","   15","   18","    0","    0","    0","    0","    0","    0","   53","    8","    3","    0","    0","    0","    0","    0","    1","    0","    2","    0","    1","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0"
"14002",NA,NA,"  190","    0","    0","    0","    0","    1","  257","    1","    5","   22","  100","    0","   19","    0","    0","    1","    0","   15","    0","    0","    0","    0","    0","    3","    0","    3","    0","   19","    0","    0","    0","    0","    0","    3","   49","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","   16","    0","    0","    0","    0","    0","    0","   17","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","   19","    0","    2","    1","    0","   72","    5","   26","    0","    0","    0","    0","    0","    0","   93","    1","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"14690",NA,NA,"  200","    0","    0","    0","    2","    9","  249","    0","   14","   36","  108","    0","   35","    0","    1","    3","    0","   26","    0","    0","    0","    3","    0","    3","    0","   11","    8","   24","    2","    0","    0","    0","    0","    3","   84","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    6","   17","    0","    0","    0","    0","    0","    0","   45","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    1","    0","    2","    0","   67","    3","    5","    2","    0","  162","    9","   12","    0","    0","    0","    0","    0","    0","  436","    6","    0","    0","    0","    0","    0","    6","    9","    0","    1","    0","    2","    0","    0","    0","   20","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0"
"15378",NA,NA,"  210","    0","    1","    0","    0","    0","  230","    0","   10","   24","  116","    0","   20","    0","    0","    1","    0","   17","    0","    0","    0","    2","    0","    1","    0","    5","    8","   22","    0","    0","    0","    0","    0","    6","   59","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","   25","    0","    0","    0","    0","    0","    0","   19","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   30","    0","    1","    3","    0","   71","    8","   28","    0","    1","    0","    0","    0","    0","   96","    7","    2","    0","    0","    0","    0","    1","    1","    0","    1","    0","    0","    0","    0","    0","   15","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0"
"16066",NA,NA,"  220","    0","    1","    0","    2","    2","  353","    0","   10","   23","  114","    0","   25","    0","    1","    0","    0","   28","    0","    0","    0","    1","    0","    5","    0","   14","    2","   37","    1","    0","    0","    0","    0","    2","   77","    0","    1","    0","    2","    0","    0","    0","    1","    0","    0","    0","    7","    0","    0","    0","   19","    0","    0","    0","    0","    0","    0","   22","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    4","    0","   25","    0","    2","    1","    0","  118","    6","   22","    1","    2","    0","    0","    0","    0","  165","    1","    1","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","   11","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    0"
"17442",NA,NA,"  240","    0","    1","    0","    3","    2","  240","    0","    6","   24","  154","    0","   32","    0","    0","    8","    0","   20","    0","    0","    0","    0","    0","    2","    0","   14","   11","   29","    0","    0","    0","    0","    0","    5","   91","    0","    0","    0","    4","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","   37","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    1","    0","    1","    0","    0","    0","    1","    0","   27","    0","    0","    1","    0","  115","    3","   21","    0","    1","    0","    0","    0","    0","  293","    5","    0","    0","    0","    0","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","   16","    0","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0"
"19162",NA,NA,"  265","    3","    3","    0","    5","    0","  352","    0","   17","   49","  338","    0","   48","    0","    1","    3","    0","   20","    0","    0","    1","    1","    0","    6","    0","   34","   17","   25","    2","    0","    0","    0","    0","   12","   88","    0","    0","    0","    4","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    7","   16","    0","    0","    0","    0","    0","    0","   47","    0","    0","    4","    0","    0","    0","    0","    0","    1","    1","    0","   10","    0","    0","    2","    0","    0","    0","    2","    1","    0","    0","    2","    0","   31","    0","    4","    8","    0","  193","   22","   24","    0","    0","    0","    0","    0","    0","  487","   13","    5","    0","    0","    0","    2","    5","   24","    0","    0","    0","    0","    0","    0","    0","    9","    0","    0","    1","    0","    0","    0","    1","    0","    2","    0","    0","    0","    1","    0"
"20194",NA,NA,"  280","    0","    0","    0","    0","    1","  170","    0","    7","   23","   77","    0","   28","    0","    1","    2","    0","   14","    0","    0","    0","    0","    0","    1","    0","   13","    5","   26","    1","    0","    0","    0","    0","   10","   39","    0","    0","    0","    3","    1","    0","    0","    0","    0","    1","    0","    3","    0","    0","    4","   11","    0","    0","    0","    0","    0","    0","   20","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    1","    1","    0","   32","    1","    2","    2","    0","   96","    4","    4","    0","    1","    0","    0","    0","    0","  181","    2","    2","    0","    0","    0","    0","    1","    5","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    2","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0"
"21570",NA,NA,"  300","    0","    2","    0","    0","    3","  112","    0","    9","   13","   86","    0","   18","    0","    0","    0","    0","   17","    0","    0","    0","    0","    0","    0","    0","    6","    5","   15","    0","    0","    0","    0","    0","    2","   34","    0","    1","    0","    3","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    3","   11","    0","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","   44","    3","    1","    0","    0","   71","    4","    5","    0","    0","    0","    0","    0","    0","  232","    1","    4","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0"
"22946",NA,NA,"  320","    1","    0","    0","    0","    4","  124","    0","   15","   16","   91","    0","   20","    0","    2","    3","    0","   16","    0","    0","    0","    0","    0","    1","    0","    5","    2","   12","    0","    0","    0","    0","    0","    2","   27","    0","    2","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    2","   13","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    3","    1","    0","    0","    0","    0","    1","   46","    2","    3","    0","    0","   97","    8","    8","    0","    0","    0","    0","    0","    0","  280","    1","    2","    0","    0","    1","    0","    1","    6","    0","    0","    0","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","    1","    0"
"24322",NA,NA,"  340","    0","    0","    0","    1","    0","  105","    0","    3","   13","   85","    0","   15","    0","    0","    3","    0","   11","    0","    0","    0","    1","    0","    2","    1","    6","    5","   21","    0","    0","    0","    0","    0","    4","   42","    0","    1","    0","    1","    0","    0","    1","    0","    0","    0","    0","    8","    0","    0","    1","   11","    0","    0","    0","    0","    1","    0","   17","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    1","    1","    1","    0","    0","    0","    0","   41","    0","    2","    3","    0","   90","    3","    6","    0","    1","    0","    0","    0","    0","  175","    1","    1","    0","    0","    0","    0","    1","    7","    0","    2","    0","    0","    0","    0","    0","    6","    0","    0","    2","    0","    0","    0","    0","    1","    2","    0","    0","    0","    2","    0"
"25010",NA,NA,"  350","    0","    0","    0","    0","    0","  243","    0","   13","   19","  191","    0","   19","    0","    0","    0","    0","    6","    0","    0","    0","    2","    0","    1","    2","    3","    4","   26","    0","    0","    0","    0","    0","    1","   29","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","    0","   21","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    1","    1","    1","    0","   26","    1","    1","    3","    0","  113","   11","   20","    0","    0","    0","    0","    0","    0","   67","    2","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"26042",NA,NA,"  365","    0","    1","    0","    2","    3","  518","    0","   20","   32","  304","    0","   52","    0","    3","    3","    0","   30","    0","    1","    0","    4","    0","    5","    0","   24","   16","   52","    1","    0","    0","    0","    0","    6","   97","    0","    0","    0","    5","    0","    0","    0","    1","    0","    0","    0","    4","    1","    0","    2","   31","    0","    0","    1","    0","    0","    0","   30","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    4","    0","    0","    0","    0","    0","    0","    1","    0","    1","   40","    0","    5","    2","    0","  134","   17","   40","    0","    0","    0","    0","    0","    0","  175","    8","    4","    0","    0","    0","    0","    1","    6","    0","    4","    0","    0","    0","    0","    0","   10","    0","    0","    4","    0","    0","    0","    0","    2","    0","    0","    0","    1","    2","    0"
"27074",NA,NA,"  380","    0","    0","    0","    1","    0","  275","    0","    8","   24","  141","    0","   26","    0","    1","    1","    0","   22","    0","    0","    0","    0","    0","    1","    0","   12","    5","   36","    0","    0","    0","    0","    0","    5","   81","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    1","    0","    0","   18","    0","    0","    0","    0","    0","    0","   18","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","   37","    0","    1","    1","    1","   81","    5","   22","    0","    0","    0","    0","    0","    0","  146","    2","    5","    0","    0","    0","    0","    1","    1","    0","    1","    0","    0","    0","    0","    0","   10","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
