"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Araceae","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Callitriche","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Echium t.","Elaeagnus","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Geranium","Gossypium","Haplophyllum","HippophaÃ«","Hydrocotyle","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lysimachia","Malva","Musci","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Nuphar","Olea t.","Onagraceae","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prosopis t.","Pseudopediastrum kawraiskyi","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Roemeria","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Valerianella","Vitex","Vitis","cf. Equisetum","cf. Lycopodium clavatum"
"3422","3706","3146"," 180","  14","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   3","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 253","   3","   6","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   1","   0","   0","   0","   0","   2","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 214","   0","   0","   9","   0","   0","   1","   0","   0","   0","   7","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3803","4066","3552"," 200","   2","   0","   0","   0","   0","   0","  66","   0","   0","   1","   0","   3","   0"," 104","   1","   0","   0","   0","   0","   0","   0","   0","   0","  17","   3","   1","   0"," 126"," 145"," 162","   0","   0","   0","   0","   0"," 107","   4","   0","   0","   3","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 454","   0","   0","  18","  32","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  72","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4185","4426","3956"," 220","   9","   0","   0","   0","   0","   1","  21","   0","   0","   3","   0","   2","   0","  41","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   4","   0","   0"," 413","  78"," 131","   0","   2","   1","   0","   0","   5","   5","   0","   0","   0","   0","   0","   0","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 390","   0","   0","   3","  23","   4","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4566","4786","4359"," 240","   1","   0","   0","   0","   0","   1","  71","   0","   0","   2","   0","   1","   0","  69","   0","   0","   0","   1","   0","   0","   0","   0","   0","   4","   1","   1","   0"," 218"," 193"," 445","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 368","   0","   0","  15","   9","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4948","5146","4758"," 260","   5","   0","   0","   0","   0","   2","  32","   0","   0","   1","   0","   3","   0","  43","   0","   0","   0","   1","   0","   0","   0","   0","   0","   8","   0","   0","   0"," 353","  82","  85","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   8","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 266","   0","   0","  11","   5","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5329","5505","5154"," 280","   2","   0","   0","   0","   0","   0","  22","   0","   0","   0","   0","   2","   0","  35","   0","   0","   0","   1","   0","   0","   0","   0","   0","  11","   1","   2","   0"," 255"," 105","  48","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   0","   1","   0","   0","   0","   4","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 124","   0","   0","  10","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"5520","5686","5352"," 290","   7","   0","   0","   0","   0","   2","  29","   2","   0","   2","   0","  53","   0","  80","   1","   0","   0","   0","   0","   0","   0","   0","   1","  12","   4","   0","   0"," 351"," 280"," 218","   0","   2","   0","   1","   0","  11","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 387","   0","   0","  14","   7","  14","   0","   0","   0","   0","   0","   1","   7","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0"
"5710","5867","5549"," 300","   4","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   1","   0","  44","   2","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   1","   0"," 103"," 160"," 234","   0","   1","   0","   2","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 531","   0","   0","   8","   5","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"
"5901","6049","5745"," 310","   3","   0","   0","   0","   0","   1","  13","   1","   1","   0","   0","   7","   0","  53","   2","   0","   0","   0","   0","   0","   0","   0","   0","   8","   1","   0","   0"," 276"," 158"," 113","   0","   1","   0","   1","   0","   2","   2","   0","   0","   2","   0","   1","   0","   0","   0","   1","   3","   1","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 235","   0","   0","   4","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   1","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"6092","6234","5942"," 320","   8","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   1","   0","  11","   1","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0"," 281","  12","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1"," 256","   1","   0","   2","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6473","6608","6334"," 340","   3","   0","   0","   0","   0","   1","   5","   0","   0","   0","   0","   1","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0"," 272","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 158","   0","   0","   2","   1","   0","   0","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"6854","6987","6723"," 360","   3","   0","   0","   0","   0","   2","   4","   1","   0","   1","   0","   1","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0"," 251","   7","   3","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  49","   0","   0","   6","   1","   0","   0","   0","   0","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"7045","7180","6916"," 370","   1","   0","   0","   0","   0","   7","  16","   1","   0","   1","   0","  17","   0","  38","   0","   2","   0","   0","   0","   0","   0","   0","   0","  12","   6","   0","   0"," 217","  29","  23","   0","   0","   0","   1","   0","   2","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  58","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","   1","   1","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0"
"7236","7374","7108"," 380","   1","   0","   0","   0","   0","  10","  20","   0","   0","   1","   0","  18","   0","  33","   0","   0","   0","   1","   0","   0","   0","   0","   0","   8","   2","   0","   0","  94","  31","  26","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   0","   0","   6","   1","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"8258","8394","8123"," 400","   4","   0","   0","   0","   0","   2","   6","   0","   0","   1","   0","  12","   0","  23","   2","   0","   0","   0","   0","   0","   1","   0","   0"," 117","   0","   0","   0"," 114","  97","  17","   0","   1","   0","   0","   1","   6","   1","   0","   0","   1","   0","   0","   1","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 328","   0","   0","   7","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"9089","9232","8942"," 410","   4","   0","   0","   0","   0","   1","  49","   1","   0","   0","   0","  34","   0","  27","   0","   0","   0","   2","   0","   0","   0","   0","   0","   9","   0","   2","   0"," 276","  18","   6","   0","   0","   0","   0","   0","   1","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","  25","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 108","   0","   0","   7","   1","   5","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0"
" 9920","10083"," 9758","  420","    3","    0","    0","    0","    0","    5","   82","    2","    0","    0","    0","   54","    1","   12","    2","    0","    0","    9","    0","    0","    0","    0","    0","    9","    1","    1","    0","   78","   18","    3","    0","    0","    0","    2","    0","    1","    1","    0","    0","    5","    1","    0","    0","    0","    0","    0","   15","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    2","    0","    0","    0","    0","   75","    0","    0","   18","    0","    1","    0","    0","    0","    0","    0","    0","    1","    7","    0","    0","    1","    0","    0","    0","    0","    0","    0","   34","    0","    0","    0","    0","    2","    0","   16","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"10751","10943","10570","  430","    1","    0","    0","    0","    0","   10","   90","    7","    0","    2","    0","  151","    0","   16","   10","    2","    0","    2","    0","    0","    0","    0","    0","    3","    1","    3","    0","   80","   17","   11","    0","    0","    0","    2","    0","    4","    5","    0","    0","   11","    0","    0","    2","    1","    0","    1","    9","    1","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    1","   54","    0","    1","   26","    4","    1","    0","    0","    0","    0","    0","    0","    8","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   34","    0","    0","    0","    0","    1","    0","    7","    1","    0","    3","    0","    0","    0","    0","    0","    0","    0"
"11581","11808","11378","  440","    5","    0","    0","    0","    0","    3","  102","    7","    0","    0","    0","  222","    0","   28","    9","    0","    0","    4","    1","    0","    0","    0","    0","    2","    2","    0","    0","  176","   17","    9","    0","    0","    0","    0","    1","   14","    1","    0","    0","    4","    8","    0","    2","    0","    0","    0","    3","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    4","    0","    0","    1","    0","    0","    0","    0","   89","    1","    0","   95","    2","    2","    0","    0","    0","    0","    1","    0","    6","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","  105","    0","    0","    0","    1","    1","    0","    4","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0"
"12412","12676","12182","  450","    6","    0","    0","    0","    0","    2","   92","    4","    0","    0","    0","  107","    0","   15","    1","    0","    0","    5","    0","    0","    0","    0","    0","    1","    0","    0","    0","  213","   16","   15","    0","    0","    0","    1","    0","   26","    1","    0","    0","    5","   12","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   84","    1","    0","  111","    1","    2","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","  153","    0","    0","    0","    0","    0","    1","    1","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"13243","13544","12981","  460","    5","    0","    0","    0","    0","    3","   86","    2","    0","    0","    0","   93","    0","    7","    6","    0","    0","    5","    0","    0","    0","    1","    0","    1","    0","    0","    0","  110","   10","    7","    0","    0","    0","    0","    0","   88","    1","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","   68","    2","    0","  100","   10","    1","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","  165","    0","    0","    0","    0","    1","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    3","    0"
"14074","14414","13779","  470","    8","    0","    0","    0","    0","    0","   71","    1","    0","    1","    0","  119","    0","    5","   12","    0","    0","    2","    0","    0","    0","    0","    0","    2","    8","    1","    0","  475","   10","    6","    0","    0","    0","    0","    0","    7","    1","    0","    0","    3","    0","    0","    2","    1","    0","    1","    2","    2","    0","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   51","    4","    0","   66","   13","    1","    0","    0","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"14905","15284","14576","  480","    9","    0","    0","    0","    0","    2","  130","   10","    0","    1","    0","  238","    0","    7","    6","    0","    0","    5","    0","    0","    0","    1","    0","    5","    4","    2","    0","  410","    8","    5","    2","    0","    0","    2","    0","   11","    3","    0","    0","    4","    0","    0","    2","    0","    0","    0","    5","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","  116","    6","    0","   54","   12","    6","    0","    0","    0","    0","    2","    0","   15","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    1","    0","    0","    0","    2","    2","    1","    0","    0","    0","    0","    0","    0","    0"
