"sample_name","depth","Hagenia","Acalypha","Aerva type","Aidia-type micrantha","Alchemilla t.","Allophylus t.","Amaranthaceae undif.","Ambrosieae","Aningeria-type","Anthospermum","Apiaceae undif.","Apodytes dimidiata","Artemisia","Asteroideae undif.","Boscia","Brassicaceae","Canthium","Celastraceae undif.","Celosia type","Celtis","Cichorieae","Clematis-type","Combretaceae","Commiphora","Convolvulaceae","Corbichonia-type decumbens","Cupressaceae","Cussonia","Cyperaceae","Digera-type muricata","Diospyros/Euclea t.","Dodonaea","Ekebergia","Erica t.","Euphorbia t.","Faboideae Undif.","Hypoestes t.","Ilex","Indeterminable","Jatropha/Croton","Justicia t.","Lannea","Lepisanthes","Macaranga","Monoletes","Morella","Oldenlandia","Olea t.","Poaceae","Podocarpus","Prunus t.","Psilotrichum t.","Pterolobium","Rapanea","Ricinus","Rubiaceae undif.","Rumex t.","Salvadora","Schefflera","Searsia","Solanum","Spiniluma-type oxyacantha","Syzygium t.","Teclea","Trema","Trichodesma","Triletes","Typha","Urtica t.","Vernonieae","Zanthoxylum","thickness"
NA,"350","  6","  2","  1","  0","  0","  0","  2","  0","  0","  0","  6","  0","  0","  4","  0","  0","  0","  0","  0","  4","  0","  0","  1","  3","  0","  0","  7","  0"," 31","  0","  0","  5","  0","  2","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  5","  1","  0"," 12","166","123","  0","  0","  0","  0","  2","  2","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2"
NA,"375","  5","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  2","  0","  0","  1","  7","  0"," 32","  0","  4","  2","  0","  6","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  5","  0","  0"," 18","122","101","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  2"
NA,"400","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  2","  1","  1","  0","  0","  0","  0","  1","  0"," 21","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  4","  0","  0"," 15","101","151","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2"
NA,"425","  5","  0","  1","  0","  0","  0","  6","  0","  0","  1","  2","  2","  0","  3","  1","  0","  0","  0","  0","  4","  0","  0","  4","  1","  0","  0","  7","  0"," 73","  0","  3","  1","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  7","  1","  0"," 19","228","253","  0","  0","  0","  0","  0","  0","  3","  0","  1","  3","  0","  0","  0","  0","  0","  0","  2"," 17","  0","  0","  0","  2"
NA,"450","  5","  0","  0","  0","  0","  0","  3","  0","  0","  1","  1","  1","  0","  1","  0","  5","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 20","  0","  2","  1","  0","  3","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  3","  1","  0"," 10","175","117","  0","  1","  0","  0","  0","  1","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  2"
NA,"475","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  5","  0","  1","  6","  0","  0","  0","  7","  0"," 45","  0","  0","  1","  0","  9","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0","  6","  0","  0","  6","142","129","  1","  0","  1","  0","  1","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  7","  0","  0","  0","  2"
NA,"500","  5","  0","  0","  1","  0","  0","  2","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  5","  0","  0","  1","  0","  0","  0","  8","  1"," 23","  0","  2","  2","  0","  4","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  4","  1","  0","  8","116","101","  1","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  4","  1","  0","  0","  2"
NA,"525","  1","  0","  1","  0","  0","  0","  3","  0","  0","  0","  2","  0","  0","  5","  0","  0","  0","  0","  0","  2","  0","  1","  3","  1","  0","  0","  4","  0"," 47","  1","  0","  1","  0","  4","  1","  0","  1","  1","  1","  0","  0","  0","  0","  0"," 10","  0","  1","  8","121"," 98","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  5","  3","  0","  0","  0","  2"
NA,"550","  2","  0","  1","  0","  0","  1","  2","  0","  2","  0","  2","  0","  0","  5","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  5","  0"," 25","  0","  1","  2","  1","  5","  1","  0","  2","  0","  1","  0","  0","  0","  0","  0","  2","  1","  0","  7","191","126","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  2"
NA,"575","  8","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1","  0"," 32","  0","  4","  1","  0","  6","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  2","  1","  0","  8","142"," 93","  0","  0","  0","  0","  1","  0","  2","  0","  2","  1","  0","  0","  0","  0","  0","  0","  1"," 10","  0","  0","  0","  2"
NA,"587","  4","  0","  0","  0","  0","  2","  6","  0","  0","  0","  1","  0","  0","  5","  0","  0","  0","  0","  5","  4","  0","  0","  2","  1","  0","  0","  2","  0"," 28","  0","  8","  0","  0","  3","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  2","  1","  0"," 11","181"," 98","  0","  0","  0","  1","  5","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  2"
