"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Celtis","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentianaceae undif.","Geranium","Hedera","Heliotropium","Hippuris","Hymenophyllum","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Loranthus","Lotus t.","Lysimachia","Lythrum","Matthiola","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nymphaea","Olea t.","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Tamarix","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trachomitum","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Valerianella","Viburnum","Vitis","Zea","Ziziphus/Paliurus"
"1751","1867","1636"," 300","   6","   0","   0","   0","   8","   0","   4","   2","   0","   3","   0","   4","   0","   1","  21","   0","  12","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","  10","   1","   0","   0","   0","   0","   0","   0","   0","   0","  19","   0","   1","   6","   0","   1","   0","   2","  56","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   2","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0","   1","   0","  18","  14","   0","   2","   0","  46","   6","   1","   0","   0","   0","   0","   0","  56"," 312","   1","   0","   0","   0","   2","   0","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","  24","   0","   0","   0","   0","   2","   0","   0"
"1806","1926","1690"," 305","   1","   1","   0","   1","  13","   0","   3","   3","   0","   4","   0","   4","   0","   0","  14","   0","  10","   0","   0","   0","   1","   0","   0","   1","   0","   0","   4","   8","   1","   0","   0","   0","   2","   1","   0","   0","   0","  20","   0","   6","   9","   0","   1","   0","   0","  50","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   1","   5","   3","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","  32","   0","   0","   5","   0","  13","  21","   6","   2","   0","  61","   0","   4","   0","   0","   1","   1","   0","  43"," 445","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   6","   0","   1","   4","   0","   0","   1","   0","   0","   0","   1","  32","   0","   0","   0","   0","  11","   0","   0"
"1828","1949","1711"," 307","   6","   0","   0","   0","   7","   0","   1","   0","   0","   0","   0","   3","   0","   1","   8","   0","   7","   0","   0","   0","   0","   2","   0","   1","   1","   0","   0","   1","   2","   1","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   7","   0","   1","   1","   2","  40","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   1","   0","   2","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  28","   0","   0","   2","   0","   9","   8","   3","   3","   0","  36","   8","   1","   0","   0","   0","   0","   0","  31"," 264","   3","   0","   0","   2","   2","   1","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   2","   8","   0","   0","   0","   0","   2","   0","   0"
"1862","1985","1743"," 310","   6","   0","   0","   1","  11","   0","   1","   1","   0","   3","   3","   3","   0","   1","  12","   0","   8","   0","   0","   0","   0","   1","   1","   4","   0","   0","   1","   9","   1","   0","   1","   0","   1","   3","   0","   0","   0","  34","   0","   0","  11","   0","   0","   0","   1","  48","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   2","   3","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   0","   0","   2","   0","  15","  10","   8","   8","   0","  59","   1","   1","   0","   0","   0","   0","   0","  43"," 424","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   4","  20","   0","   0","   0","   1","   7","   0","   0"
"1977","2106","1852"," 320","   3","   1","   0","   2","  30","   0","   6","   1","   0","   4","   0","   7","   0","   2","  19","   0","  20","   0","   0","   0","   0","   1","   0","   7","   0","   0","   7","  15","   2","   0","   0","   0","   3","   1","   0","   2","   0","  37","   0","   4","  19","   0","   3","   0","   1","  50","   1","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   7","  11","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","  41","   0","   3","  15","   0","  20","  17","  15","   3","   0","  87","   4","   1","   0","   0","   0","   0","   0"," 121"," 322","   5","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","  45","   0","   0","   0","   0","   9","   0","   0"
"2221","2368","2086"," 340","   1","   0","   0","   1","  18","   0","   1","   1","   0","   2","   0","   5","   0","   0","  10","   0","   5","   0","   0","   0","   3","   0","   1","   1","   1","   0","   4","  24","   0","   0","   0","   0","   2","   2","   0","   3","   0","  29","   0","   2","   6","   0","   2","   0","   0","  34","   0","   0","   0","   1","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  64","   0","   0","   2","   0","   4","   9","   1","   0","   0","  35","   1","   7","   0","   0","   0","   0","   0","  69","  91","   3","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   8","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  50","   0","   0","   0","   0","   3","   0","   0"
"2487","2657","2343"," 360","   2","   0","   0","   1","  25","   0","   6","   2","   1","   9","   0","   9","   0","   0","  25","   0","  27","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","  16","   2","   0","   0","   0","   1","   0","   0","   1","   0","  51","   1","   4","  13","   0","   0","   0","   0","  26","   1","   0","   1","   2","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   7","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  23","   1","   2","   2","   0","  10","   7","   9","   1","   0","  82","   0","  11","   0","   0","   0","   0","   0","  69"," 185","   3","   0","   0","   1","   2","   0","   0","   4","   3","   2","   0","   4","   0","   1","   2","   0","   0","   0","   0","   0","   0","   2","  26","   1","   0","   0","   0","   4","   0","   0"
"2777","2971","2628"," 380","   2","   1","   0","   2","  28","   0","   5","   2","   0","   9","   0","   9","   0","   1","  17","   0","   7","   2","   0","   1","   0","   1","   0","   1","   0","   0","   6","  22","   1","   0","   0","   0","   2","   2","   1","   2","   0","  42","   1","   1","  25","   0","   1","   0","   1","  37","   0","   0","   0","   3","   5","   0","   0","   0","   0","   0","   0","   1","   0","   0","  13","   0","   8","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","  37","   1","   4","   4","   0","   6","  15","  12","   0","   0","  87","   3","   7","   0","   0","   0","   1","   1","  91"," 264","   6","   0","   0","   1","   2","   0","   0","   3","   1","   0","   0","   5","   0","   0","   4","   0","   0","   1","   0","   0","   0","   0","  93","   0","   0","   0","   0","   8","   0","   0"
"3093","3322","2942"," 400","   2","   0","   0","   2","  54","   0","   7","   7","   0","  11","   0","  13","   0","   1","  32","   0","  26","   0","   0","   0","   0","   0","   1","   6","   0","   0","   8","  20","   1","   0","   1","   0","   5","   0","   0","   1","   1","  97","   1","   0","  18","   0","   2","   0","   3","  73","   3","   0","   0","   0","   2","   1","   1","   0","   0","   0","   0","   1","   0","   0","  15","   0","   8","   0","   2","   0","   0","   0","   1","   0","   1","   0","   1","  13","   0","   1","   2","   0","   5","   8","  14","   0","   0"," 149","   1","   7","   0","   0","   0","   0","   0"," 114"," 308","   2","   0","   0","   1","   2","   5","   0","   2","   6","   0","   0","  50","   1","   0","   2","   0","   0","   0","   1","   1","   0","   1","  80","   0","   0","   0","   0","   8","   0","   0"
"3439","3683","3290"," 420","   3","   5","   0","   2","  55","   0","  16","  10","   1","  20","   0","  12","   0","   2","  43","   0","  21","   0","   1","   0","   0","   1","   0","   8","   1","   1","   9","  52","   0","   1","   0","   0","   4","   2","   0","   0","   0","  69","   1","   0","  18","   0","   3","   0","   2"," 111","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   6","   1","   0","  29","   0","   3","   0","   1","   0","   1","   3","   4","   0","   0","   0","   0","  15","   0","   0","   1","   0","  14","  22","  20","   0","   0"," 140","   4","  13","   0","   0","   1","   0","   0","  94"," 316","  15","   1","   0","   1","   8","   6","   0","   2","   3","   1","   0","   9","   2","   0","   4","   0","   0","   0","   0","   0","   0","   1"," 122","   0","   0","   0","   0","  14","   0","   0"
"3817","4053","3665"," 440","   0","   0","   0","   1","  23","   0","   4","   3","   0","  10","   0","  12","   0","   0","  21","   0","   5","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","  21","   0","   0","   0","   0","   1","   0","   0","   2","   0","  20","   0","   0","  17","   0","   2","   0","   0","  20","   0","   0","   0","   3","   1","   0","   0","   0","   0","   1","   0","   2","   0","   0","  12","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   1","   0","   5","   9","  10","   0","   0","  49","   2","   2","   0","   0","   0","   0","   0","  30","  70","   1","   0","   0","   1","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   5","   0","   0","   0","   0","   1","   1","   1","  28","   0","   0","   0","   0","   2","   0","   0"
"4227","4459","4056"," 460","   2","   1","   0","   2","  39","   0","   5","   7","   0","   5","   1","  14","   0","   1","  21","   1","  17","   0","   0","   0","   1","   1","   0","   8","   0","   0","   2","  20","   2","   1","   0","   1","   1","   0","   0","   2","   0","  34","   0","   3","  12","   0","   2","   0","   0","  49","   0","   0","   1","   0","   6","   1","   0","   0","   0","   0","   0","   2","   0","   0","  10","   0","   8","   0","   0","   0","   0","   0","   2","   5","   0","   0","   0","   2","   0","   0","   5","   0","  16","   4","  22","   0","   0","  76","   0","  11","   0","   0","   0","   0","   0","  71"," 118","   1","   0","   0","   3","   1","   3","   0","   3","   0","   2","   0","   4","   0","   2","   1","   0","   1","   1","   0","   0","   1","   3","  70","   1","   0","   0","   0","   2","   0","   0"
"4667","4923","4505"," 480","   1","   0","   0","   1","  43","   0","   5","   7","   0","   3","   2","  15","   0","   3","  36","   0","  11","   0","   0","   0","   1","   0","   1","   3","   0","   0","   5","  26","   4","   0","   1","   0","   0","   0","   0","   1","   0","  21","   1","   1","  16","   0","   5","   0","   2","  71","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   5","   0","   4","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   4","   0","   2","   2","   0","  10","  12","  14","   0","   0","  71","   2","  10","   0","   0","   0","   0","   0","  47"," 116","   1","   0","   0","   0","   3","   2","   0","   0","   1","   1","   0","   2","   0","   1","   7","   0","   0","   0","   0","   0","   0","   0","  88","   0","   0","   0","   1","   6","   0","   0"
"5129","5376","4961"," 500","   1","   0","   0","   1","  27","   0","   6","   8","   1","   7","   0","   7","   0","   1","  30","   0","   8","   0","   0","   0","   0","   1","   0","   2","   0","   0","   3","   9","   0","   1","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","  17","   0","   0","   0","   0","  50","   1","   0","   0","   1","   4","   0","   0","   0","   0","   1","   0","   2","   0","   1","  18","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   4","   0","   6","   2","  16","   0","   0","  81","   1","   5","   0","   0","   0","   0","   0","  45"," 126","   5","   0","   0","   2","   3","   1","   0","   1","   0","   1","   0","   3","   0","   1","   1","   0","   0","   0","   0","   0","   0","   3","  40","   0","   0","   0","   0","   2","   0","   0"
"5610","5822","5413"," 520","   2","   0","   0","   4","  30","   0","  11","   7","   0","   9","   2","  11","   0","   2","  33","   1","   9","   2","   1","   0","   0","   3","   1","  10","   0","   0","  10","  32","   2","   1","   0","   0","   0","   0","   0","   2","   0","  14","   3","   0","  21","   0","   4","   1","   2","  69","   0","   0","   0","   3","   2","   1","   0","   0","   0","   0","   0","   3","   0","   0","   9","   0","   6","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  14","   0","   2","   4","   0","  13","   7","  22","   1","   0"," 102","   5","   3","   0","   0","   0","   0","   0","  42"," 264","   4","   0","   0","   1","   3","   0","   1","   2","   2","   0","   0","   2","   0","   1","   5","   0","   0","   2","   0","   1","   0","   1","  64","   0","   0","   0","   1","   3","   0","   1"
"6102","6291","5881"," 540","   2","   0","   0","   0","  20","   0","   3","   2","   0","   2","   0","   7","   0","   1","  28","   0","   5","   0","   0","   0","   0","   1","   0","   1","   0","   0","   1","  13","   2","   0","   0","   0","   4","   0","   0","   2","   0","  19","   0","   3","  14","   0","   0","   0","   0","  55","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  17","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   2","   3","   0","   8","   7","   7","   0","   0","  40","   0","   6","   0","   0","   0","   0","   0","  30"," 191","   1","   0","   0","   0","   0","   1","   0","   1","   3","   2","   0","   4","   0","   2","   1","   0","   0","   1","   0","   0","   0","   1","  20","   0","   0","   0","   0","   6","   0","   0"
"6851","7045","6572"," 570","   2","   2","   1","   5","  13","   0","   4","   1","   0","   2","   0","   8","   4","   1","  32","   0","  16","   1","   0","   0","   0","   1","   0","   3","   0","   0","   1","   9","   1","   0","   0","   0","   1","   0","   0","   0","   0","  10","   0","   0","  14","   1","   0","   0","   4","  36","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   8","   0","   2","   2","   0","  10","   1","   6","   1","   0","  63","   0","   3","   0","   0","   0","   0","   0","  77"," 215","   0","   0","   0","   1","   2","   1","   0","   1","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","  43","   0","   0","   0","   0","  12","   0","   0"
"7476","7727","7130"," 595","   1","   1","   0","   0","  17","   0","   2","   8","   0","   2","   2","  11","   0","   0","  20","   0","   6","   0","   0","   0","   0","   2","   0","   0","   0","   0","   3","  24","   0","   0","   0","   0","   7","   0","   0","   2","   0","  16","   0","   3","  24","   0","   5","   0","   0","  45","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","  17","   0","   3","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   4","   0","   2","   0","   0","  21","   1","   8","   0","   1","  70","   1","   6","   0","   0","   0","   0","   0","  33"," 114","   2","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","   3","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","  26","   0","   0","   0","   0","   7","   0","   0"
"7576","7837","7220"," 599","   1","   0","   0","   0","  15","   0","   4","   2","   0","   2","   0","   7","   0","   0","   9","   0","   6","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","  13","   1","   0","   0","   0","   0","   0","   0","   1","   0","   5","   0","   4","   8","   0","   0","   0","   0","  35","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   7","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","  13","   1","   7","   0","   0","  39","   3","   2","   0","   0","   0","   0","   0","  25","  63","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   3","   1","   0","   1","   0","   0","   0","   0","   0","   0","   3","  33","   0","   0","   0","   0","   3","   0","   0"
