"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fern","Fraxinus","Hedera","Hypericum undif.","Ilex","IsoÃ«tes","Lamiaceae undif.","Lemnaceae","Ligustrum","Linum t.","Lythrum","Myriophyllum undif.","Myrtus","Olea t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Poaceae","Polygonum t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sparganium","Thalictrum","Thymelaeaceae undif.","Ulmus t.","Unknown","Viburnum","Vitis"
NA,NA,NA,"120","  0","  3","  0","  0"," 12","  6","  3"," 23","  0","  0","  4","  1","  0","  4","  4","  9","  4","  0","  1"," 13","  0","  1","  6","  0"," 30","  0","  0","  6","  0","  4","  0","  0","  2","  1","  1","  0","  1","  1","  2","  0","  8","  0"," 20"," 62","  0"," 14"," 20","  1","  1","  5","  0","  3","  0","  0","  0","  0","  0"," 14","  0","  0"
NA,NA,NA,"115","  0","  2","  0","  0"," 10","  3","  1"," 18","  0","  0","  3","  0","  1","  1","  2","  7","  0","  2","  3"," 11","  1","  1","  6","  0"," 15","  0","  0","  0","  0","  3","  0","  0","  2","  0","  1","  0","  0","  0","  3","  0","  2","  1"," 19"," 23","  0"," 14"," 13","  0","  1","  3","  1","  1","  0","  2","  0","  0","  0","  4","  1","  0"
NA,NA,NA,"85"," 0"," 0"," 1"," 0","38"," 9"," 8","38"," 0"," 0"," 3"," 2"," 5"," 0"," 0","14"," 2"," 0"," 2","17"," 1"," 0","18"," 0","49"," 0"," 0"," 2"," 0","13"," 4"," 0"," 5"," 0"," 0"," 0"," 3"," 0","11"," 0"," 5"," 0","43","87"," 0","17","25"," 2"," 5","10","14"," 2"," 0"," 0"," 0"," 1"," 0","10"," 0"," 0"
NA,NA,NA,"90"," 0"," 0"," 0"," 1","20","11"," 6","42"," 0"," 0"," 4"," 1"," 2"," 2"," 0"," 5"," 0"," 0"," 4","22"," 5"," 1","28"," 1","49"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 2"," 1"," 1"," 0"," 0"," 0"," 3"," 0","13"," 0","43","58"," 0","12","12"," 0"," 4","12"," 4"," 6"," 1"," 0"," 1"," 0"," 0","11"," 0"," 0"
NA,NA,NA,"30"," 0"," 1"," 2"," 3","12"," 6"," 3","19"," 0"," 0"," 3"," 1"," 3"," 1"," 0"," 3"," 0"," 0"," 5","44"," 0"," 0","14"," 3"," 3"," 0"," 0","13"," 0","12"," 1"," 0"," 0"," 0"," 1"," 0"," 0"," 3"," 3"," 0"," 1"," 2","13","53"," 0","41","26"," 2"," 4"," 6"," 7"," 1"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"
NA,NA,NA," 70","  0","  3","  0","  3"," 23"," 10","  5"," 32","  0","  0","  3","  0","  7","  1","  0"," 14","  0","  0","  4"," 35","  0","  0"," 20","  1"," 20","  2","  0"," 14","  0"," 12","  0","  0","  0","  0"," 11","  0","  1","  3","  6","  1","  8","  2"," 44","150","  0"," 36"," 26","  4","  2","  7"," 15","  0","  0","  1","  0","  0","  0"," 17","  0","  0"
NA,NA,NA," 40","  0","  4","  2","  1"," 37"," 11","  4"," 22","  0","  0","  9","  0","  3","  0","  0","  4","  0","  0","  9"," 34","  1","  3"," 21","  6"," 12","  1","  2"," 43","  3","  5","  0","  1","  0","  1"," 17","  0","  0","  1"," 11","  1","  6","  0"," 18","156","  0"," 51"," 28","  1","  6"," 10"," 11","  0","  0","  0","  0","  0","  0","  4","  0","  0"
NA,NA,NA,"105","  0","  1","  1","  1"," 17","  6","  2"," 28","  2","  0","  2","  0","  5","  6","  1"," 11","  0","  3","  2"," 27","  0","  0"," 16","  0"," 21","  0","  1"," 10","  0","  4","  0","  0","  1","  0","  0","  0","  3","  3","  3","  0","  6","  1"," 16"," 88","  0"," 24"," 19","  1","  2","  3","  3","  1","  0","  0","  0","  0","  0"," 12","  0","  0"
NA,NA,NA," 60","  0","  0","  1","  1"," 26","  3","  3"," 26","  0","  0","  6","  0","  2","  2","  1"," 14","  0","  0"," 18"," 29","  0","  1"," 23","  2"," 15","  1","  0"," 37","  0","  5","  0","  0","  1","  0"," 21","  0","  2","  4","  5","  0","  7","  3"," 12","106","  0"," 30"," 32","  4","  4"," 15"," 12","  2","  0","  0","  1","  0","  0","  7","  0","  0"
NA,NA,NA,"35"," 0"," 1"," 1"," 1","23","10"," 1","28"," 1"," 0"," 9"," 0"," 4"," 2"," 0"," 4"," 1"," 0"," 8","50"," 1"," 0","18"," 0","10"," 5"," 0"," 8"," 0","17"," 0"," 0"," 0"," 0"," 5"," 0"," 1"," 5"," 2"," 0"," 5"," 1","27","63"," 0","43","24"," 1"," 6","11"," 2"," 5"," 1"," 0"," 0"," 0"," 0"," 6"," 0"," 0"
NA,NA,NA," 45","  0","  1","  2","  3"," 20"," 12","  4"," 13","  0","  0"," 11","  1","  3","  2","  0"," 12","  1","  0"," 11"," 24","  0","  0"," 16","  4","  6","  0","  1"," 53","  0","  3","  0","  0","  2","  0","  9","  0","  0","  4","  3","  1","  5","  3"," 28","109","  0"," 39"," 24","  2","  3"," 21"," 11","  4","  1","  1","  0","  0","  0","  7","  0","  0"
NA,NA,NA,"15"," 0"," 1"," 3"," 1","19"," 5"," 3","33"," 2"," 0"," 7"," 0","10"," 2"," 0","14"," 1"," 0","13","56"," 0"," 0","43"," 2","15"," 4"," 0"," 5"," 0"," 7"," 0"," 0"," 4"," 0"," 6"," 1"," 2"," 2"," 2"," 0"," 8"," 3","43","75"," 0","72","39"," 3"," 1","28"," 0"," 0"," 1"," 2"," 1"," 0"," 0","10"," 0"," 0"
NA,NA,NA,"10"," 0"," 1"," 0"," 1","27","16"," 7","30"," 5"," 0","16"," 0","12"," 3"," 0","16"," 0"," 0"," 8","50"," 1"," 1","29"," 2","17"," 0"," 2","12"," 0","28"," 0"," 0"," 1"," 0"," 5"," 0"," 1"," 4"," 6"," 0"," 3"," 2","46","80"," 0","62","24"," 5"," 3","14"," 3"," 1"," 0"," 0"," 1"," 0"," 1"," 7"," 0"," 0"
NA,NA,NA," 65","  0","  2","  2","  1"," 36"," 11","  5"," 29","  0","  1","  2","  0","  6","  1","  0"," 17","  1","  0","  4"," 39","  2","  3"," 18","  1"," 22","  0","  0"," 35","  0","  8","  0","  1","  0","  2"," 15","  0","  2","  2","  6","  0","  5","  2"," 42","143","  0"," 36"," 26","  1","  3","  3"," 11","  3","  2","  0","  0","  0","  0"," 13","  0","  0"
NA,NA,NA," 50","  0","  2","  3","  3"," 20"," 10","  5"," 26","  0","  0","  4","  0","  4"," 25","  0","  9","  4","  0","  5"," 61","  0","  0"," 26","  3","  8","  5","  1"," 17","  1"," 13","  1","  0","  1","  1"," 28","  0","  1","  6","  8","  1"," 53","  3"," 26","111","  0","  5"," 28"," 15","  8"," 19"," 10","  2","  0","  0","  2","  0","  2","  6","  0","  0"
NA,NA,NA,"20"," 2"," 1"," 4"," 2","20","12"," 2","21"," 0"," 0","16"," 2"," 7"," 2"," 0","25"," 1"," 0","12","44"," 0"," 1","34"," 3"," 6"," 0"," 1","36"," 0"," 5"," 1"," 0"," 5"," 0"," 5"," 0"," 0"," 1"," 7"," 2"," 9"," 0","16","98"," 1","54","17"," 2"," 3"," 9","17"," 4"," 0"," 0"," 0"," 0"," 1"," 4"," 0"," 2"
NA,NA,NA," 25","  0","  0","  1","  2"," 14"," 11","  3"," 23","  0","  0","  8","  0","  6","  1","  2"," 10","  1","  1"," 12"," 63","  2","  0"," 25","  5","  4","  3","  3"," 23","  0"," 18","  2","  0","  2","  2","  5","  5","  1","  2","  3","  0"," 10","  2"," 21","123","  0"," 48"," 32","  1","  5","  7","  6","  3","  0","  2","  3","  0","  0","  5","  0","  0"
