"depth","Acacia t.","Alchornea","Alnus","Amaranthaceae undif.","Artemisia","Asteroideae undif.","Balanites","Betula","Blepharis","Boscia","Brassicaceae","Bridelia","Calligonum","Canthium","Capparis","Caryophyllaceae undif.","Cassia","Ceiba","Celastraceae undif.","Celtis","Centaurea","Cichorieae","Cistaceae","Cleome","Combretaceae","Commiphora","Corylus","Cupressaceae","Cyperaceae","Ephedra","Erica t.","Erodium","Euphorbiaceae undif.","Fern","Gaertnera","Gymnocarpus","Heliotropium","Indeterminable","Indigofera","Isoberlinia","Lannea","Macaranga","Maerua","Meliaceae undif.","Mitracarpus","Morella","Musci","Nyctaginaceae","Olea t.","Paronychieae","Phillyrea","Phyllanthus undif.","Picea","Pinus undif.","Plantago","Poaceae","Polygonum t.","Quercus evergreen","Rhizophora","Rubiaceae undif.","Rumex t.","Salvadora","Searsia","Sideroxylon t.","Spergularia t.","Sterculia undif.","Tamarix","Thymelaeaceae undif.","Tilia","Tribulus","Typha","Utricularia","Vitis","Xyridaceae","Ziziphus/Paliurus","Zygophyllum t."
"141","  1","  0","  0","480"," 27"," 26","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  1","  0","  0","  1","  0","  2","  0","  1","  2","  0","  0","  0","  5"," 12","  0","  0","  5","  1","  0","  2","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  4","  1"," 49","  0","  0","  4","  0","  0","  0","  3","  1","  1","  0","  0","  0","  0","  2","  1","  0","  0","  1","  0","  0"
"151","  0","  2","  0","306"," 15","  9","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0","  0"," 75"," 28","  0","  0","  0","  6","  0","  2","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  3","  1","  1","  1","  0","  5","  0"," 73","  0","  1","  1","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0"
"161","  0","  0","  0","308"," 44","  8","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 10","  0","  1","  4","  0","  0","  0"," 35"," 18","  0","  0","  2","  0","  0","  1","  0","  8","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0"," 70","  0","  0","  3","  0","  0","  0","  3","  0","  1","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0"
"171","  1","  0","  0","475"," 43"," 32","  1","  0","  0","  1","  3","  0","  2","  0","  0","  0","  2","  0","  0","  1","  2","  9","  1","  0","  3","  0","  0","  0"," 21"," 11","  0","  0","  0","  1","  0","  1","  1","  3","  1","  0","  0","  0","  2","  0","  0","  4","  0","  0","  2","  0","  0","  0","  0","  7","  2","135","  0","  0","  4","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0"
"181","  0","  0","  0","282"," 25"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","136"," 19","  0","  0","  1","  2","  0","  1","  0","  6","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  5","  0"," 61","  0","  1","  1","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0"
"191","  0","  0","  0","376"," 46"," 23","  0","  0","  0","  2","  3","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  1","  0"," 27"," 17","  0","  2","  1","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0"," 10","  3"," 85","  0","  0","  3","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0"
"201","  1","  0","  0","269"," 26"," 23","  0","  0","  0","  1","  1","  0","  1","  0","  0","  1","  1","  0","  0","  0","  1","  3","  0","  0","  1","  0","  0","  1"," 10","  6","  0","  0","  0","  0","  0","  1","  0","  3","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0"," 66","  0","  2","  0","  0","  0","  0","  1","  1","  0","  1","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0"
"211","  0","  1","  0","170"," 18"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0"," 32","  7","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  6","  0"," 36","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"221","  1","  0","  0","297"," 41"," 24","  1","  1","  0","  0","  0","  0","  1","  0","  1","  0","  2","  0","  0","  0","  1","  4","  0","  1","  0","  0","  0","  0"," 20"," 17","  0","  1","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0"," 11","  3"," 81","  0","  1","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"231","  0","  0","  0","244"," 38"," 21","  0","  0","  0","  0","  5","  0","  1","  0","  1","  0","  2","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  8"," 22","  0","  1","  0","  3","  1","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 15","  1"," 71","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0"
"239","  0","  0","  0"," 48","  8","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  2","  0","  0","  0"," 11"," 11","  0","  0","  0","  1","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1"," 13","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"241","  1","  0","  0","280"," 62"," 25","  0","  0","  0","  0","  0","  0","  3","  0","  0","  3","  0","  0","  1","  0","  0"," 14","  0","  1","  1","  0","  0","  0","  6"," 21","  0","  3","  1","  3","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 13","  4"," 76","  1","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1"
"251","  1","  1","  1","435"," 66"," 33","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  6","  0","  1","  2","  0","  1","  0","  4"," 17","  0","  0","  1","  5","  2","  0","  0","  6","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  5","  0"," 84","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0"
"261","  0","  0","  1","375"," 67"," 17","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  2","  1","  0","  1","  0"," 13","  3","  0","  2","  1","  0","  0","  9"," 15","  1","  1","  5","  3","  0","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  1","  0","  1","  0","  0","  1","  0","  1","  9","  3"," 59","  0","  2","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"
"271","  0","  0","  0","301"," 49"," 20","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  1","  0"," 12","  0","  1","  0","  0","  0","  1","  6"," 45","  0","  3","  2","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 18","  0"," 84","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"281","  0","  0","  0","442"," 76"," 22","  0","  0","  0","  0","  0","  0","  1","  0","  0","  6","  0","  0","  0","  1","  1","  8","  0","  0","  0","  0","  0","  1","  9"," 19","  0","  0","  1","  2","  0","  0","  0","  2","  0","  0","  1","  0","  2","  0","  0","  0","  1","  0","  2","  0","  1","  0","  0"," 10","  5"," 66","  1","  3","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"
"291","  0","  0","  0","323"," 41"," 19","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  2","  0","  0","  0","  3"," 17","  0","  2","  0","  3","  0","  0","  0","  3","  0","  0","  1","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  6","  1"," 52","  3","  0","  0","  0","  1","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"301","  0","  0","  0","370"," 55"," 17","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  7","  1","  0","  2","  0","  0","  1","  4"," 25","  0","  1","  0","  1","  1","  0","  0","  4","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  3","  0","  1","  0","  0","  6","  1"," 58","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  1","  0","  1","  0","  1","  0","  0","  0","  1"
"311","  0","  0","  0","344"," 44"," 20","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  1","  0","  0","  0","  0","  0","  2"," 10","  0","  1","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 58","  1","  0","  0","  0","  0","  1","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"321","  0","  0","  0","409"," 53"," 18","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  1"," 10","  0","  1","  1","  0","  0","  1","  9","  8","  0","  1","  2","  2","  0","  4","  0","  7","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  8","  3"," 65","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0"
"331","  1","  0","  0","398"," 59"," 23","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  1","  0","  1","  0","  0","  8","  1","  0","  3","  0","  0","  0","  4","  6","  0","  0","  3","  1","  0","  0","  0","  3","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  6","  0"," 33","  1","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"
