"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aesculus","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Aristolochia","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calluna","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Elaeagnus","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fumaria","Galium t.","Geranium","Hedera","Hibiscus","HippophaÃ«","Hypericum undif.","Juglans","Lamiaceae undif.","Ligustrum","Linum t.","Lotus t.","Lysimachia","Malva","Menyanthes","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potentilla t.","Prunus t.","Pterocarya","Punica granatum","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianella","Viburnum","Vitis","Zea","Zygophyllum t."
NA,NA,NA,"740","  0","  0","  0","  0","  0","  0","  0","190","  0","  0","  6","  0","  9","  0","  0"," 97"," 23","  0","  0","  0","  0","  0","  0","  0","  4","  0","  2","  2","  0","  0"," 14","111","  0","  0","  0","  1","  0","  0","  0"," 53","  1","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  1"," 13","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 46","  0","  0","  0","  0"," 11","  1"," 21","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"600","  0","  0","  0","  0","  0","  0","  2","  9","  0","  0","  0","  0","  4","  0","  0"," 14"," 17","  0","  0","  0","  0","  0","  0","  0"," 12","  1","  1","  1","  7","  0"," 62","325","  0","  0","  2","  0","  0","  0","  0"," 25","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","383","  0","  0","  0","  0","  9","  0","  4","  0","  1","  0","  0","  3","  0","  3","  3","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"480","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  2","  0","  7","  0","  0"," 31"," 23","  1","  0","  0","  0","  0","  0","  0"," 10","  2","  6","  4","  1","  0"," 33","237","  0","  0","  0","  9","  1","  0","  0"," 56","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","267","  0","  3","  0","  0"," 23","  1","  6","  0","  0","  0","  0","  0","  0","  3","  3","  0","  0","  0","  0","  0","  0","  1","  0"," 21","  0","  0","  0","  0","  0","  0","  0","  2","  5","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"120","  0","  0","  0","  0","  0","  0"," 12"," 19","  0","  0","  0","  0","  0","  0","  0","  7","  5","  0","  0","  1","  7","  0","  0","  0","  0","  1","  1","  0","  1","  0"," 15"," 56","  0","  0","  0","  2","  0","  0","  0"," 28","  0","  0","  0","  0","  0","  0","  1","  1","  1","  0","  0","  2","  7","  0","  0","  1","  0","  0","  0","  3","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","455","  0","  3","  0","  0","  9","  0","  1","  0","  0","  0","  0","  0","  0","  5","  2","  0","  0","  1","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 48","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"750","  0","  0","  0","  0","  0","  0","  2","235","  0","  0","  8","  0"," 10","  0","  1","116"," 28","  2","  0","  0","  0","  0","  0","  0","  4","  0","  5","  1","  3","  0","  9"," 98","  0","  0","  1","  1","  1","  0","  0"," 75","  0","  1","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  9","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 62","  0","  0","  0","  0"," 25","  0"," 38","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0"
NA,NA,NA," 100","   0","   0","   0","   0","   0","   1","   3"," 130","   0","   0","   2","   0","   9","   0","   0","   9","  22","   0","   0","   0","  10","   0","   0","   0","   8","   0","  27","   0","   3","   0","  26"," 352","   0","   0","   0","   0","   2","   0","   0"," 126","   0","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","1039","   0","   4","   0","   0"," 119","   4","   0","   0","   0","   0","   0","   0","   0","   5","  17","   0","   0","   0","   0","   0","   0","   1","   0","  23","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0"," 138","   0","   0","   0","   0","   0","   0"
NA,NA,NA,"430","  1","  1","  0","  0","  0","  0","  1"," 10","  0","  0","  1","  0","  6","  0","  0"," 69"," 36","  1","  0","  0","  0","  0","  0","  0","  6","  0"," 31","  1","  2","  0"," 36"," 68","  0","  0","  0","  4","  0","  0","  0"," 92","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","952","  0","  1","  0","  0"," 17","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  1","  0"," 50","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"850","  0","  0","  0","  0","  0","  0","  4"," 40","  0","  0","  6","  0","  4","  0","  0","109"," 22","  0","  0","  0","  0","  0","  0","  0"," 11","  0"," 10","  0","  1","  0"," 19","155","  0","  0","  0"," 16","  1","  0","  0","122","  0","  2","  0","  0","  4","  0","  0","  0","  0","  0","  0","  3"," 38","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 21","  0","  1","  0","  0"," 63","  5"," 12","  0","  0","  0","  0","  0","  0","  3","  7","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0"
NA,NA,NA,"910","  0","  0","  0","  0","  0","  0","  0"," 44","  0","  0","  8","  0","  3","  0","  0"," 93"," 12","  0","  0","  0","  0","  0","  0","  0"," 10","  2","  2","  0","  8","  0","  7"," 10","  0","  0","  1","  8","  2","  0","  0"," 28","  0","  1","  0","  0","  1","  0","  0","  0","  1","  0","  0","  3"," 50","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 54","  0","  0","  0","  0"," 14","  0"," 17","  0","  0","  0","  0","  0","  0","  5","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  2","  1","  0","  6","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"460","  0","  0","  0","  1","  0","  0","  1","  8","  0","  0","  3","  0","  3","  0","  0"," 25"," 15","  1","  0","  0","  0","  0","  0","  0","  9","  0","  2","  2","  4","  0"," 25"," 19","  0","  0","  0","  3","  0","  0","  0"," 19","  0","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1"," 11","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","131","  0","  0","  0","  0","  9","  0","  3","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  1","  0","  4","  0"," 78","  0","  0","  0","  1","  0","  0","  0","  1"," 63","  0","  2","  0","  1","  0","  0","  0","  0"
NA,NA,NA,"285","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  4","  0","  0","  0","  0","  9","  7","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  2","  2","  0","  5","  0","  0","  0","  1","  2","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  2"," 34","  0","  0","  0","  0","  0","  0","  0","  0","  6","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","209","  0","  1","  0","  1","  3","  1","  8","  0","  0","  0","  1","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"135","  1","  0","  0","  0","  0","  0"," 12","  9","  2","  0","  4","  0","  5","  0","  0"," 31"," 10","  0","  0","  0","  0","  0","  0","  0","  3","  1","  2","  1","  0","  0"," 19","  2","  0","  0","  0","  9","  2","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  5"," 17","  0","  0","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","547","  0","  2","  0","  0","  5","  1","  9","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 42","  0","  0","  0","  1","  0","  0","  0","  2","  1","  1","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"520","  0","  0","  1","  0","  0","  0","  2"," 41","  0","  0","  3","  0","  9","  0","  0","178"," 22","  2","  0","  0","  0","  0","  0","  0","  7","  3"," 20","  2","  1","  0"," 29"," 92","  0","  0","  0"," 27","  0","  0","  0","130","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  7"," 25","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","189","  0","  4","  0","  0"," 23","  1"," 14","  0","  0","  0","  0","  0","  1","  5","  4","  0","  0","  0","  0","  0","  0","  5","  0","  2","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0"
