"Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Adansonia digitata","Aerva type","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anacardiaceae undiff.","Anthoceros t.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Asystasia","Brassicaceae","Bridelia","Caesalpinioideae","Caryophyllaceae undif.","Cassia","Cayratia","Ceiba","Celastraceae undif.","Celtis","Centaurea","Chrysobalanus t.","Cichorieae","Coccinia","Combretaceae","Commelina","Commiphora","Cyperaceae","Detarium","Dichrostachys","Diospyros/Euclea t.","Elaeis","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Grewioideae","Indeterminable","Ipomoea","Kohautia","Lamiaceae undif.","Lannea","Lophira","Macaranga","Mallotus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Myriophyllum alterniflorum t.","Nymphaea","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Poaceae","Polygala","Portulacaceae t.","Resedaceae undiff.","Rhizophora","Rubiaceae undif.","Rutaceae undif.","Salvadora","Sapotaceae undif.","Schrebera","Scrophulariaceae undif.","Searsia","Securinega  t.","Spergularia t.","Spermacoce","Spores","Syzygium t.","Tamarix","Tapinanthus","Tetracera alnifolia","Tilia","Treculia","Triletes","Typha","Uapaca","Verbena t.","Vitaceae undif.","Ximenia","Zanthoxylum","thickness [cm]"
"500","  0","  0","  0","  0"," 10","  0","  0","  1","  0","  0","  0","  5","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0"," 44","  0","  0","  0","  3","  0","  0","  0","  0","  5","  0","  0","  0"," 21","  0","  2","  0","  0","  0","  3","  0","  0","  7","  0","147","  1","  0"," 22","  1","  1","  0","109","  0","  0","  1","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 34"," 85","  0","  0","  5","  0","  0","  0","  2","  0","  0","  0","  0","  3","  2"
"550","  0","  0","  0","  1"," 19","  1","  0","  1","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0"," 65","  2","  0","  2"," 22","  3","  2","  0","  1"," 15","  0","  2","  0"," 12","  0","  0","  0","  0","  2"," 10","  0","  0","  2","  2","161","  0","  0"," 15","  0","  1","  1"," 86","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  3"," 44","  0","  0","  5","  0","  8","  0"," 10"," 10","  0","  0","  0","  7","  2"
"597","  0","  0","  0","  0"," 57","  0","  0","  5","  0","  0","  0","  5","  0","  0","  2","  1","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 10","  0","  0"," 69","  5","  0","  1"," 23","  0","  3","  0","  0"," 25","  0","  6","  0"," 48","  0","  1","  0","  4","  1"," 18","  0","  0"," 12","  9","255","  1","  0"," 20","  2","  2"," 10","180","  1","  0","  4"," 13","  2","  0","  1","  1","  0","  1","  1","  0","  1","  0"," 13","111","  0","  0"," 15","  0"," 15","  0","  4"," 17","  0","  0","  1"," 11","  2"
"652","  0","  0","  1","  2"," 20","  0","  1","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0","  2","  1","  0"," 30","  2","  0","  1","  9","  1","  0","  0","  0"," 11","  0","  7","  0"," 21","  0","  0","  0","  4","  0"," 18","  0","  0","  3","  6"," 72","  0","  0"," 19","  0","  2","  3"," 89","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1"," 78","  0","  0","  3","  0","  4","  0","  2"," 23","  2","  0","  0","  7","  2"
"700","  0","  0","  0","  0"," 27","  0","  0","  2","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0"," 12","  0","  0"," 31","  1","  0","  0","  4","  0","  0","  0","  0","  5","  1","  6","  0"," 21","  0","  2","  0","  0","  0"," 16","  0","  0","  3"," 11","  7","  0","  0"," 20","  0","  0","  0","201","  0","  0","  0"," 28","  0","  1","  0","  0","  0","  0","  0","  1","  1","  1","  0"," 10","  0","  0"," 11","  0","  1","  0","  3","  0","  1","  0","  0","  5","  2"
"752","  0","  0","  0","  0","  9","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 40","  1","  0","  0","  2","  0","  0","  0","  0","  5","  0","  2","  1"," 30","  0","  0","  0","  0","  0","  5","  0","  0","  3","  5","113","  0","  0"," 26","  1","  2","  2"," 98","  0","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 81","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  4","  2"
"798","  0","  0","  0","  1"," 62","  0","  0","  3","  0","  0","  0"," 14","  0","  0","  3","  0","  2","  0","  1","  0","  1","  0","  3","  0","  6","  0","  1","  0","  0"," 14","  0","  1"," 53","  2","  2","  0"," 21","  0","  0","  1","  0"," 12","  0"," 11","  0"," 85","  0","  1","  0","  1","  0"," 41","  0","  0","  4"," 26","140","  1","  0"," 24","  2","  1","  3","230","  0","  0","  1"," 29","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  2","106","  2","  0","  0","  0","  1","  1","  9"," 13","  1","  0","  0","  3","  2"
"850","  0","  0","  0","  0","  9","  0","  0","  3","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","195","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0"," 40","  0","  0","  0","  0","  1","  0","  0","  0","  7","  1","125","  0","  0","  3","  1","  3","  1"," 43","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 36"," 12","  0","  0","  2","  0","  0","  0"," 73","  2","  0","  0","  0","  3","  2"
"900","  1","  0","  0","  0"," 43","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  5","  0","  0"," 41","  0","  0","  0","  4","  0","  0","  0","  0","  8","  0","  9","  0"," 27","  1","  0","  0","  1","  0","  2","  1","  0","  3","  1"," 38","  0","  0"," 14","  2","  0","  0","256","  1","  0","  0"," 19","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2"," 11","  2","  0"," 22","  0","  0","  0","  3","  2","  0","  0","  0","  2","  2"
"950","  0","  0","  0","  0"," 53","  0","  0","  1","  0","  0","  0","  9","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0"," 10","  1","  0","  0","  1","  9","  0","  0"," 39","  3","  0","  2","  0","  0","  0","  0","  0","  6","  0","  2","  0"," 36","  0","  2","  0","  0","  0"," 36","  0","  1","  4"," 15"," 14","  0","  0","  8","  0","  0","  1","178","  0","  0","  1"," 25","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0"," 34","  0","  0"," 22","  3","  0","  0","  6","  0","  0","  0","  0","  5","  2"
"1000","   0","   0","   0","   0","  54","   0","   0","   1","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","  12","   0","   0","   0","   0","  12","   0","   0","  31","   1","   0","   0","   1","   0","   1","   0","   0","   3","   1","   5","   0","  35","   0","   0","   0","   2","   0","  24","   0","   0","   4","   3","   8","   0","   2","  13","   0","  19","   0"," 292","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0","   0","  10","   1","   0","   0","   0","   7","   2"
"1054","   0","   0","   0","   1","  23","   0","   1","   1","   0","   0","   0","   6","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   6","   0","   0","   0","   0","   7","   0","   0","  19","   0","   0","   2","   1","   0","   0","   0","   0","   2","   0","   2","   1","  34","   0","   0","   0","   3","   0","  41","   0","   0","   2","  14","  19","   0","   0","   6","   0","   1","   0"," 159","   0","   0","   3","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  38","   1","   0","  12","   0","   0","   1","   4","   0","   1","   0","   0","   3","   2"
"1081","   1","   0","   0","   1","  44","   0","   0","   1","   0","   0","   0","   9","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   2","   0","  12","   0","   0","   0","   0","  15","   0","   0","  20","   0","   0","   0","   1","   0","   4","   1","   0","   1","   0","   4","   0","  32","   0","   2","   0","   1","   0","  26","   0","   0","   3","   7","  11","   1","   0","  14","   1","   1","   0"," 213","   0","   0","   1","  23","   2","   0","   0","   1","   0","   1","   0","   0","   1","   0","   1","  10","   2","   0","  12","   0","   0","   0","  20","   0","   0","   0","   0","   6","   2"
"1130","   0","   1","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   7","   0","   0","   0","   0","   3","   0","   0","  60","   0","   0","   0","   1","   0","   2","   0","   0","   1","   0","   0","   0","  12","   0","   2","   0","   0","   0","   0","   0","   0","   4","   0","  82","   0","   0","   0","   1","   0","   1"," 524","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  80","   0","   0","   0","   0","   2","   2"
