"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Atraphaxis","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Bryonia","Butomus","Buxus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Chrozophora","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyclamen","Cyperaceae","Datisca cannabina","Dioscorea","Dipsacaceae","Elaeagnus","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Filipendula t.","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Heliotropium","Hibiscus","Hypecoum","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Leontice","Linum t.","Lotus t.","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Morella","Myricaria","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Periploca","Persicaria t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potentilla t.","Prosopis t.","Prunus t.","Psoralea","Punica granatum","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosa t.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifraga t.","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Styrax","Tamarix","Taxus","Thalictrum","Theligonum","Thelypteris palustris-type","Thesium","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Typha","Ulmus t.","Urtica t.","Valerianella","Verbena t.","Viburnum","Vitis","Ziziphus/Paliurus"
"8813",NA,NA," 140","   0","   0","   0","   3","   5","  96","   0","   0","  54","  17","   4"," 104","   0","   9","   0","   1","   3","   0","  27","   0","   0","   0","   1","   1","   4","   0","  26","   1","   3","  26","   0"," 100","   0","   0","   0","   2","   0","   5","   0"," 139","   0","   0","   1","   0","   2","   1","   0","   5","   1","   0","   1","  15","   0","  24","   1","   0","   0","   0","   0","   1","   1","   0","   0","  10","  14","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","  11","   0","   0","   0","  23","   0","   0","   1","   0","   0","   1","   0","   0","  16","   4","  14","   3","   0"," 150","   6","  37","   0","   0","   0","   0","   1","   0","  29","  16","  14","   0","   0","   4","  28","   1","  22","   0","   0","   0","   1","   0","   0","   0","  96","   0","   0","   2","   0","   5","   1","   0","   0","   0","   0","   0","   8","   0","   0","   1","   0","   0","   0","   5","   1"
"9500",NA,NA," 150","   0","   0","   0","   2","   1","  75","   1","   0","  38","  20","   0","  94","   0","   3","   0","   1","   4","   0","  27","   0","   0","   1","   0","   1","   2","   0","  31","   1","   3","  31","   0","  78","   1","   0","   0","   0","   0","   3","   0","  60","   0","   0","   0","   5","   0","   0","   0","   2","   2","   0","   0","  17","   2","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","  10","   1","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","  24","   0","   0","   0","   0","   0","   2","   0","   0","  10","   0","   8","   0","   0","  67","   2","  36","   0","   0","   0","   1","   0","   0","   9","  22","   4","   0","   0","   0","  16","   1","  11","   0","   0","   0","   0","   0","   0","   0","  68","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   6","   0","   1","   0","   0","   0","   0","  12","   0"
"10143",NA,NA,"  160","    0","    0","    0","    1","    6","  142","    0","    0","   38","   14","    1","   78","    0","   11","    0","    0","    1","    0","   29","    0","    0","    2","    0","    0","    5","    1","   24","    1","    2","   27","    0","  130","    0","    0","    0","    0","    0","    1","    0","   84","    0","    0","    0","    2","    1","    0","    0","    3","    0","    0","    0","   11","    0","   32","    3","    0","    0","    0","    1","    0","    0","    0","    1","   13","   14","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","    1","   37","    0","    0","    0","    0","    0","    0","    0","    0","   12","    3","    9","    1","    2","  175","    9","   36","    0","    0","    0","    0","    1","    0","   30","   11","    6","    1","    0","    2","   23","    0","   14","    0","    0","    0","    1","    0","    1","    0","   79","    0","    0","    0","    1","    9","    2","    0","    0","    0","    0","    0","    2","    0","    2","    0","    0","    0","    0","    2","    0"
"10429",NA,NA,"  170","    0","    0","    0","    1","    4","  118","    3","    0","   72","   30","    0","  103","    2","   20","    0","    0","    4","    1","   40","    0","    0","    0","    0","    0","    6","    0","   50","    0","    4","   50","    0","  100","    2","    0","    0","    1","    0","    0","    0","   71","    0","    0","    1","    2","    4","    0","    0","    7","    0","    0","    1","   36","    1","   16","    1","    0","    0","    0","    1","    0","    0","    0","    0","   26","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   78","    0","    0","    0","    0","    0","    0","    1","    0","   13","    0","    7","    2","    0","  130","    3","   72","    0","    0","    0","    0","    0","    0","   38","   26","    7","    0","    1","    4","   14","    0","   14","    0","    0","    0","    0","    0","    1","    1","  147","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    1","    0","    0","    7","    0"
"10714",NA,NA,"  180","    0","    0","    0","    1","    3","   67","    0","    0","   42","   19","    2","   49","    1","   10","    0","    0","    1","    0","   23","    0","    0","    0","    0","    0","   11","    0","   18","    0","    2","   26","    0","  144","    0","    0","    0","    0","    0","    3","    0","   56","    0","    0","    1","    0","    1","    0","    0","    2","    0","    0","    0","   21","    0","   16","    1","    0","    0","    0","    0","    0","    0","    0","    0","    8","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    2","   32","    0","    0","    1","    0","    0","    0","    0","    0","    4","    0","   11","    0","    0","  100","    5","   31","    0","    0","    0","    0","    0","    0","   12","    6","    6","    0","    0","    2","   10","    0","    2","    0","    0","    0","    0","    1","    0","    0","   40","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0","    0","    7","    0","    0","    1","    0","    0","    0","    1","    0"
"10857",NA,NA,"  185","    0","    0","    0","    1","    1","   89","    0","    0","   60","   17","    2","   75","    1","    7","    0","    2","    1","    0","   12","    0","    0","    0","    0","    0","    5","    0","   12","    1","    0","   37","    0","   43","    2","    0","    0","    0","    0","    1","    0","   53","    0","    0","    2","    2","    3","    0","    0","    6","    0","    0","    0","   22","    0","   12","    2","    0","    0","    1","    0","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","   17","    0","    1","    0","    0","    0","    0","    0","    0","   11","    0","    4","    2","    0","   53","    3","   36","    1","    0","    0","    0","    1","    0","   12","   13","    0","    0","    0","    2","    5","    0","    9","    0","    0","    0","    0","    0","    0","    0","   28","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    1","    0","    0","    5","    0"
"11000",NA,NA,"  190","    0","    0","    1","    1","    1","   86","    0","    0","   49","   18","    0","   76","    2","    6","    0","    0","    2","    1","   38","    0","    1","    0","    0","    0","    8","    0","   20","    0","    3","   30","    0","  117","    1","    0","    0","    1","    0","    3","    0","   81","    0","    0","    1","    1","    1","    2","    0","    5","    0","    0","    0","   24","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","   18","    3","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    0","    0","    0","    1","    1","    4","    0","    7","    1","    5","    1","    0","  108","    7","   23","    0","    0","    0","    0","    1","    0","   25","   21","    4","    2","    0","    6","   13","    1","    5","    0","    0","    0","    0","    1","    0","    0","   52","    0","    1","    0","    0","    2","    0","    1","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","    0","    0"
"11077",NA,NA,"  195","    0","    0","    0","    1","    5","  114","    0","    0","   80","   21","    1","   57","    3","    8","    0","    0","    2","    0","   23","    0","    1","    0","    1","    0","   10","    0","   18","    1","    0","   49","    0","  113","    0","    0","    0","    0","    0","    1","    0","   73","    0","    0","    0","    1","    2","    0","    0","    3","    0","    0","    0","   21","    0","    2","    1","    0","    0","    0","    0","    0","    0","    0","    1","   14","    2","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","   16","    0","    1","    0","    0","    0","    2","    0","    0","    5","    1","    4","    3","    0","   69","    9","   17","    0","    0","    2","    0","    0","    0","   25","   21","    3","    0","    0","    3","    9","    3","    5","    0","    0","    0","    0","    1","    0","    0","   21","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    4","    0"
"11153",NA,NA,"  200","    0","    0","    0","    0","    2","  151","    1","    0","   51","   20","    2","  118","    1","   12","    0","    2","    4","    1","   33","    0","    0","    0","    0","    0","   12","    0","   25","    1","    1","   50","    0","  179","    0","    0","    0","    0","    0","    1","    0","  118","    1","    0","    2","    0","    1","    0","    0","    9","    3","    1","    0","   21","    0","    4","    1","    0","    0","    0","    2","    0","    0","    0","    0","   12","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   18","    0","    0","    0","    0","    0","    0","    0","    0","    8","    1","   18","    2","    0","  158","   12","   20","    0","    0","    0","    0","    1","    2","   54","   20","    6","    1","    0","    1","   12","    0","    3","    0","    0","    0","    2","    2","    0","    0","   59","    0","    0","    0","    0","    6","    1","    1","    0","    0","    0","    0","    2","    0","    2","    1","    1","    0","    0","    0","    0"
"11230",NA,NA,"  205","    0","    0","    0","    0","   39","  178","    0","    0","   74","   53","    1","  174","    2","    9","    0","    0","   10","    0","   12","    0","    0","    0","    1","    0","    7","    0","   13","    4","    0","   47","    0","  113","    0","    0","    0","    0","    0","    0","    0","   67","    0","    0","    2","    0","    2","    0","    0","    5","    2","    0","    0","   14","    0","    4","    3","    0","    0","    0","    0","    0","    0","    0","    0","   19","    0","    1","    1","    1","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    0","    0","    1","    0","    0","    0","    1","    1","    7","    3","    6","    0","   45","    0","   18","    0","    0","    1","    1","    2","    0","   57","   24","    3","    0","    0","    4","    0","    0","    4","    0","    0","    0","    0","    2","    0","    0","   22","    0","    0","    0","    0","    6","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    4","    0"
"11307",NA,NA,"  210","    0","    0","    0","    0","   18","  123","    0","    0","   33","   24","    2","   99","    1","   16","    0","    0","    8","    0","   36","    0","    0","    1","    0","    1","    7","    0","   12","    0","    1","   34","    0","  148","    0","    0","    0","    0","    0","    5","    0","  111","    0","    0","    1","    0","    1","    0","    0","    0","    1","    0","    0","    7","    0","   14","    5","    0","    0","    0","    0","    0","    0","    0","    0","   21","    2","    0","    0","    0","    0","    2","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","    6","    1","    2","    0","    0","    0","    0","    0","    0","   50","    7","   17","    3","    0","  189","    4","    6","    0","    0","    0","    1","    0","    0","  133","   28","    3","    0","    0","    5","   25","    0","    5","    0","    0","    0","    1","    0","    0","    1","   55","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","    2","    0","    3","    0","    0","    0","    0","    3","    0"
"11383",NA,NA,"  215","    0","    0","    0","    1","   55","  204","    1","    0","   52","   68","    1","  172","    0","    8","    0","    2","    5","    0","   13","    0","    0","    0","    0","    1","    6","    0","    6","    8","    3","   34","    0","   65","    1","    0","    0","    0","    0","    0","    0","   49","    0","    0","    0","    1","    1","    0","    0","    3","    3","    0","    0","    9","    1","    1","    4","    0","    0","    0","    0","    0","    0","    0","    2","   23","    0","    0","    0","    0","    0","    1","    0","    0","    1","    2","    0","    0","    0","    1","    0","    0","    0","    8","    1","    0","    0","    0","    0","    0","    0","    0","    8","    1","    1","    7","    0","   52","    2","    8","    0","    0","    1","    1","    0","    0","   38","   25","    5","    1","    0","    5","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    5","    1","    0","    0","    0","    0","    0","    6","    0","    1","    0","    0","    0","    0","    4","    0"
"11460",NA,NA,"  220","    1","    0","    1","    1","   47","  115","    0","    0","   49","   29","    0","  108","    2","   11","    0","    1","    2","    0","   29","    0","    0","    0","    1","    0","    3","    0","   24","    3","    4","   11","    0","  105","    0","    0","    1","    0","    0","    1","    0","   56","    0","    0","    1","    0","    1","    0","    0","    1","    0","    0","    0","    4","    1","    7","    3","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   17","    0","    0","    1","    0","    0","    3","    0","    0","   50","    5","    7","    1","    0","  134","    1","    4","    0","    0","    0","    0","    0","    0","   94","   23","   12","    1","    1","    1","    4","    0","    3","    0","    0","    0","    0","    0","    1","    1","   11","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    3","    0","    2","    1","    1","    0","    0","    1","    0"
"11613",NA,NA,"  230","    0","    0","    0","    2","   78","  262","    0","    0","   52","   52","    2","  237","    1","   13","    1","    0","    9","    0","   52","    0","    0","    0","    1","    0","    4","    1","   29","    0","    4","   33","    0","   99","    0","    0","    0","    1","    0","    3","    2","   61","    0","    0","    0","    0","    1","    0","    0","    3","    0","    0","    0","   14","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","   22","    0","    1","    0","    0","    1","    2","    0","    1","    0","    1","    0","    0","    0","    1","    0","    0","    0","   17","    0","    0","    0","    0","    0","    2","    0","    0","   10","    4","    9","    9","    0","   77","    2","   23","    0","    0","    1","    0","    0","    0","   85","   44","    8","    1","    0","    4","    0","    0","    3","    2","    0","    0","    1","    0","    0","    0","   23","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    4","    0","    0","    1","    0","    0","    0","    6","    0"
"11767",NA,NA,"  240","    0","    0","    0","    1","   38","  198","    0","    0","   40","   54","    4","  125","    4","   18","    0","    0","    2","    1","    9","    0","    0","    0","    0","    1","    8","    0","   26","    0","    1","   30","    0","  108","    0","    0","    0","    1","    1","    1","    0","   57","    1","    0","    0","    0","    2","    1","    0","    1","    0","    0","    1","   21","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","   17","    0","    1","    0","    0","    0","    2","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    1","    0","    0","    7","    3","    4","    2","    0","   68","    7","   18","    0","    0","    0","    0","    0","    0","   92","   42","    5","    2","    0","    0","    8","    1","    2","    0","    1","    0","    0","    1","    0","    0","   15","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    4","    0","    2","    1","    0","    0","    1","    4","    0"
"11920",NA,NA,"  250","    0","    0","    0","    2","   20","  222","    1","    0","   65","   70","    1","  191","    1","   19","    0","    1","   15","    1","   38","    0","    1","    0","    3","    1","    5","    1","   48","    0","    2","   33","    0","  197","    0","    0","    0","    0","    0","    2","    0","  145","    0","    0","    2","    0","    8","    0","    0","    7","    3","    0","    0","   34","    1","    1","   10","    0","    0","    0","    0","    0","    0","    0","    0","   23","    0","    1","    0","    0","    0","    4","    0","    1","    0","    0","    0","    1","    0","    1","    0","    0","    0","   41","    0","    1","    1","    0","    0","    2","    1","    0","   16","   20","   11","    3","    0","  237","    7","   26","    0","    0","    0","    0","    0","    0","  144","   63","   15","    2","    0","   14","    9","    0","    3","    0","    2","    0","    2","    1","    0","    1","   12","    1","    0","    0","    1","    5","    0","    0","    0","    0","    0","    0","    3","    1","    4","    1","    0","    0","    0","    8","    0"
