"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Acer","Alismataceae","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arbutus","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Brassicaceae","Campanulaceae","Caryophyllaceae undif.","Cedrus","Centaurea","Cichorieae","Cistaceae","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Fern","Filipendula t.","Fraxinus","Gentianaceae undif.","HippophaÃ«","IsoÃ«tes","Juglans","Lamiaceae undif.","Linum t.","Lythrum","Mercurialis","Myriophyllum undif.","Olea t.","Onagraceae","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Prunus t.","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Taxus","Thalictrum","Thymelaeaceae undif.","Typha","Ulmus t.","Unknown","Urtica t.","Viburnum","Vitis"
"9377",NA,NA," 250","   0","   0","   0","   3","   4","   0","   0","   1","   0","   0","   1","   0","   1","   1","   0","   0","   5","   2","   0","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   5","   5","   0","   0","   0"," 110","   0","   0","   0","   0","   0","  22","  71","  13","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0"
"9559",NA,NA," 260","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   2","   1","   0","   0","  32","   0","   0","   0","   0","   0","   0","   0","  65","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   4","   0","   0","   0","  37","   0","   0","   0","   0","   0","   9","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0"
"9749",NA,NA," 270","   0","   0","   0","   2","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  27","   0","   0","   0","   0","   0","   0","   0"," 210","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   4","   5","   1","   0","   0","  36","   2","   0","   0","   0","   0","   3","  14","   1","   0","   0","   0","   0","   3","   0","   0","   2","   0","   0","   0","  17","   1","   0","   0","   0","   0"
"9945",NA,NA," 280","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   9","   0","   0","   0","  42","   0","   0","   0","   0","   0","   0","   1","   4","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   9","   9","   0","   0","   0"," 103","   0","   0","   0","   0","   0","   7","  24","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","   0","   0"
"10143",NA,NA,"  290","    0","    0","    1","    6","    2","    0","    0","    3","    0","    0","    0","    1","    0","    0","    0","    0","    1","    1","    0","    1","   41","    0","    0","    0","    1","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    8","    6","    0","    0","    0","   70","    2","    0","    0","    0","    0","   17","   51","    4","    0","    0","    0","    0","    2","    1","    0","    0","    0","    0","    0","   11","    0","    0","    0","    0","    0"
"10338",NA,NA,"  300","    0","    0","    0","    8","    2","    0","    0","    8","    1","    1","    2","    1","    0","    0","    0","    1","    2","    1","    0","    2","   72","    0","    0","    1","    1","    0","    0","    0","    1","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    7","    8","    4","    0","    0","   73","    0","    0","    0","    0","    0","   28","   75","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    2","    0","   16","    0","    0","    0","    0","    0"
"10527",NA,NA,"  310","    0","    0","    0","    5","    1","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    1","    0","    0","    3","   52","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    1","    8","    3","    0","    0","    0","   66","    1","    0","    0","    0","    0","   22","   42","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   17","    0","    0","    0","    0","    0"
"10710",NA,NA,"  320","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    1","    0","    0","    4","   30","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    3","    4","    2","    0","    0","   28","    0","    0","    0","    0","    0","   21","   26","    1","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0"
"10887",NA,NA,"  330","    0","    0","    0","    5","    1","    0","    0","    4","    0","    1","    1","    0","    0","    1","    0","    0","    0","    0","    0","    3","  160","    1","    1","    0","    0","    0","    0","    0","    5","    0","    1","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    1","   11","    8","    3","    0","    0","   47","    0","    0","    0","    0","    0","   35","   56","    3","    0","    0","    0","    1","    2","    1","    0","    0","    0","    0","    0","   14","    0","    1","    0","    0","    0"
"11060",NA,NA,"  340","    0","    0","    0","    5","    0","    0","    0","    3","    0","    0","    1","    1","    0","    0","    0","    0","    0","    2","    0","    2","   45","    0","    0","    0","    0","    0","    0","    0","   13","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   12","    8","    0","    0","    0","   28","    0","    0","    0","    0","    0","    9","   53","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   12","    0","    1","    0","    0","    0"
"11231",NA,NA,"  350","    0","    0","    1","   11","    2","    0","    0","    6","    0","    0","    0","    5","    0","    1","    1","    1","    1","    1","    1","    3","   35","    0","    1","    0","    1","    0","    0","    1","    4","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    4","    6","    2","    0","    0","   36","    0","    0","    0","    0","    0","   21","   77","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","   80","    0","    0","    0","    0","    0"
"11402",NA,NA,"  360","    1","    0","    1","   11","    1","    0","    0","   31","    0","    1","    5","    2","    0","    0","    0","    0","    1","    1","    0","    8","   20","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","   12","   14","    1","    0","    0","   43","    1","    0","    0","    0","    0","   55","   90","    3","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0"
"11583",NA,NA,"  370","    0","    0","    1","   24","    1","    0","    0","   36","    0","    4","    3","    3","    0","    0","    2","    0","    1","    1","    0","   11","   63","    0","   11","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   64","    1","    1","    0","    0","   45","    1","    1","    0","    0","    0","   35","   50","    2","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11791",NA,NA,"  380","    0","    0","    0","   26","    0","    0","    0","   36","    0","    3","    1","    0","    0","    2","    2","    0","    0","    1","    0","   18","   43","    0","   16","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","   57","    1","    1","    0","    0","   37","    0","    0","    0","    0","    0","   28","   21","    2","    1","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    1","    1","    1","    0","    0","    0"
"12045",NA,NA,"  390","    0","    0","    0","   31","    1","    0","    0","   62","    0","    5","    1","    2","    0","    0","    3","    0","    0","    1","    0","   20","   88","    0","   16","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   54","    0","    2","    0","    0","   45","    0","    0","    0","    0","    0","   42","   21","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    4","    0","    8","    0","    0","    0","    0","    0"
"12362",NA,NA,"  400","    1","    0","    1","   43","    2","    0","    0","   55","    0","    4","    4","    2","    0","    0","    1","    0","    0","    1","    0","   20","   45","    1","   10","    1","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   50","    0","    1","    0","    0","   52","    0","    0","    0","    0","    0","   21","   26","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0"
"12540",NA,NA,"  405","    0","    0","    0","   18","    1","    0","    0","   31","    0","    3","    3","    1","    0","    0","    0","    0","    0","    0","    0","   16","    5","    0","    3","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   17","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","   13","   16","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0"
"12725",NA,NA,"  410","    0","    0","    0","    3","    0","    0","    0","    5","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    4","    4","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   11","    2","    0","    0","    0","   15","    0","    0","    0","    0","    0","   21","   25","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0"
"13088",NA,NA,"  420","    0","    0","    0","    2","    1","    0","    0","    6","    0","    1","    2","    1","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    2","    0","   44","    0","    1","    0","    0","   18","    0","    0","    0","    0","    0","   13","   57","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   12","    0","    2","    1","    0","    0"
"13432",NA,NA,"  430","    0","    0","    2","    1","    2","    0","    1","   23","    0","    2","    4","    0","    0","    1","    1","    0","    0","    0","    0","   33","    8","    0","    1","    1","    0","    0","    0","    1","    4","    0","    2","    1","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","   16","    5","    0","    0","    0","   48","    0","    0","    0","    0","    0","   52","  110","    4","    0","    0","    0","    0","    1","    0","    1","    0","    0","    6","    0","   10","    0","    0","    0","    0","    0"
"13768",NA,NA,"  440","    0","    0","    0","    1","    1","    0","    2","    7","    0","    4","    0","    3","    0","    0","    0","    0","    0","    1","    0","   15","   20","    0","    0","    1","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   28","    3","    1","    0","    0","   50","    0","    0","    0","    0","    0","   35","   30","    0","    0","    2","    0","    0","    4","    0","    0","    0","    0","    2","    0","    6","    0","    0","    0","    0","    0"
"14107",NA,NA,"  450","    0","    0","    0","    5","    0","    0","    0","    2","    0","    0","    3","    2","    0","    0","    0","    0","    1","    0","    0","    2","    3","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    7","    3","    0","    0","    0","   11","    0","    0","    0","    0","    0","   16","   36","    2","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0"
"14282",NA,NA,"  455","    0","    0","    1","    2","    0","    0","    0","   11","    0","    1","    2","    5","    0","    1","    1","    0","    0","    0","    0","    9","   20","    0","    0","    0","    0","    0","    0","    0","    8","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   22","   10","    1","    0","    0","   53","    0","    0","    0","    0","    0","   30","   25","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0"
"14462",NA,NA,"  460","    0","    0","    0","    2","    0","    0","    0","    5","    0","    0","    2","    0","    0","    1","    2","    0","    0","    1","    0","    0","    5","    0","    1","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   61","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    7","   18","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0"
"14649",NA,NA,"  465","    0","    0","    1","    0","    1","    0","    0","    5","    0","    0","    1","    0","    0","    0","    0","    0","    1","    2","    0","    0","    4","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","   62","    0","    0","    0","    0","    9","    0","    0","    0","    0","    0","   14","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0"
"14844",NA,NA,"  470","    0","    0","    1","    3","    1","    0","    0","   46","    0","    3","    5","    1","    0","    1","    0","    0","    1","    0","    0","    9","   60","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    1","    0","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","   22","    0","    2","    0","    0","  104","    0","    0","    0","    0","    0","   10","    2","    0","    0","    0","    0","    0","    4","    0","    1","    0","    0","    1","    0","   10","    0","    0","    0","    0","    0"
"15048",NA,NA,"  475","    0","    0","    0","    3","    0","    0","    0","   21","    0","    0","    5","    2","    0","    1","    0","    1","    1","    1","    0","    3","   43","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   16","    0","    0","    0","    0","  101","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    2","    0","    1","    0","    0","    0","    0","   14","    0","    0","    0","    0","    0"
"15264",NA,NA,"  480","    0","    0","    0","    8","    0","    0","    0","   18","    0","    1","    6","    0","    0","    1","    0","    0","    0","    0","    0","    0","    5","    0","    1","    3","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   58","    0","    0","    0","    0","   81","    0","    0","    0","    0","    0","    2","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   10","    0","    0","    0","    0","    0"
"15354",NA,NA,"  482","    0","    0","    1","   10","    0","    0","    0","   27","    0","    1","    1","    1","    0","    1","    0","    0","    1","    3","    0","    3","   12","    1","    1","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   28","    1","    2","    0","    0","   65","    0","    0","    0","    1","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","   15","    0","    0","    0","    0","    0"
"15540",NA,NA,"  486","    0","    0","    0","   13","    1","    0","    0","   16","    0","   11","    2","    2","    0","    5","    0","    2","    3","   17","    0","   16","    1","    6","   15","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","  155","    0","    3","    0","    0","   56","    0","    0","    0","    0","    0","    1","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0"
