"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Algae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cotinus coggygria","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Filipendula t.","Fraxinus","Fumaria","Galium t.","Geranium","HippophaÃ«","Hippuris","Hypericum undif.","IsoÃ«tes","Juglans","Juncaginaceae","Lamiaceae undif.","Littorella","Lotus t.","Lysimachia","Matthiola","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Nitraria","Olea t.","Ononis t.","Paronychieae","Persicaria t.","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Pteropyrum","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Solanum","Sparganium","Spergularia t.","Tamarix","Thalictrum","Trapa natans","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Viburnum","Vitis"
NA,NA,NA," 130","   1","   0","   0","   5","  79","   0","   5","   1","  23","   4","   1","   4","   0","   2","   0","   1","   0","   9","   2","   0","   1","   2","   2","   0","   0","   4","   0","   0","   5","   0","1696","   0","   1","   0","   2","   0","   0","   0","  11","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 226","   0","   3","   0","   2"," 342","   0","   0","   0","   0","   0","   1","  43","   6","   1","   0","   1","   1","   0","   3","   0","   0","   1","   2","   0","   0","   0","   0","   0","   2","   4","   0","   0","   0","   0"
NA,NA,NA,"200","  2","  0","  1","  1"," 11","  0","  5","  0"," 25","499","  0","  2","  0","  2","  0","  0","  3","  0","  0","  0","  3","  5","  6","  0","  0","  0","  0","  0"," 10","  0","604","  0","  0","  0","  0","  1","  1","  0","  2","  0","  1","  0","  1","  0","  1","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","299","  0"," 10","  0","  0"," 28","  7","  0","  0","  0","  0","  0"," 24","  2","  2","  0","  0","  2","  1","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0"
NA,NA,NA,"330","  0","  0","  0","  0"," 10","  0","  3","  2"," 11"," 12","  2","  1","  0","  1","  0","  0","  0","  1","  0","  0","  0","  8"," 25","  0","  2","  0","  0","  0","  2","  1"," 82","  0","  2","  0","  0","  0","  1","  7","  0","  0","  0","  0","  0","  0","  3","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  1","102","  0","  4","  0","  0"," 52","  2","  5","  0","  0","  1","  0","  8","  0","  0","  0","  0","  2","  1","  2","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0"," 22","  0","  0","  0","  0"
NA,NA,NA,"280","  1","  0","  1","  0"," 14","  0","  1","  2"," 14","  7","  1","  3","  0","  1","  0","  0","  0","  2","  2","  0","  0","  2","  3","  1","  0","  1","  0","  0","  3","  1","274","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0"," 77","  1","  6","  0","  1"," 66","  1","  2","  0","  0","  0","  0","  5","  1","  1","  0","  0","  0","  0","  5","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0"
NA,NA,NA,"270","  0","  0","  0","  3","  3","  0","  1","  2"," 25","  4","  0","  1","  0","  1","  1","  0","  0","  1","  0","  0","  1","  4","  2","  0","  1","  1","  0","  0","  1","  0"," 34","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  3","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  1","  0","  0","  1"," 60","  0","  3","  2","  0"," 32","  1","  4","  0","  0","  0","  0"," 14","  0","  1","  0","  0","  3","  0"," 10","  1","  0"," 20","  2","  0","  0","  0","  3","  0","  1"," 44","  0","  0","  0","  0"
NA,NA,NA,"150","  1","  0","  1","  1"," 11","  0","  1","  3"," 14"," 16","  0","  3","  1","  2","  0","  0","  0","  0","  6","  0","  0","  9"," 45","  0","  1","  0","  0","  0","  0","  0"," 31","  0","  0","  0","  0","  0","  0","  6","  0","  2","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  0","  1","  1","  0","  0","  1","  0","  0","  0","  1","  0","157","  0"," 18","  0","  0"," 63","  3","  5","  0","  1","  0","  0"," 13","  0","  1","  1","  0","  1","  1","  6","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2"," 48","  0","  0","  0","  0"
NA,NA,NA,"140","  0","  1","  0","  1","  3","  0"," 12","  4"," 13","  9","  0","  0","  0","  1","  0","  0","  4","  1","  8","  0","  1","  6","  8","  1","  1","  0","  0","  1","  2","  1","  5","  0","  1","  0","  0","  1","  0","  1","  0","  4","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","113","  0","  7","  0","  0"," 42","  8","  8","  0","  0","  0","  0","  8","  2","  1","  0","  0","  2","  0","  2","  1","  0","  2","  0","  0","  0","  0","  0","  0","  1"," 36","  0","  0","  0","  0"
NA,NA,NA,"160","  0","  0","  1","  0"," 22","  0"," 10","  3"," 20"," 17","  1","  1","  0","  2","  0","  0","  5","  0","  6","  0","  1","  5","  7","  0","  1","  0","  0","  0","  0","  0"," 18","  0","  1","  0","  1","  0","  0","  3","  1","  3","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","236","  0"," 12","  0","  0"," 38"," 28"," 13","  0","  1","  0","  1","  3","  0","  1","  0","  1","  4","  0"," 10","  0","  0","  0","  1","  0","  1","  1","  0","  0","  0"," 54","  1","  0","  0","  1"
NA,NA,NA,"100","  0","  0","  0","  1","324","  0","  5","  3"," 54","  6","  0","  3","  0","  0","  0","  0","  2","  5","  4","  1","  4"," 13","  9","  2","  0","  3","  0","  0","  2","  0","147","  1","  0","  0","  0","  0","  2","  2"," 10","  0","  1","  0","  0","  0","  3","  0","  1","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","263","  0","  9","  0","  6"," 98","  9"," 11","  0","  1","  0","  1"," 19","  1","  5","  0","  0","  0","  0","  4","  1","  0","  1","  0","  0","  0","  0","  1","  0","  0"," 16","  0","  0","  0","  0"
NA,NA,NA,"362","  1","  0","  0","  0"," 38","  0","  6","  5"," 57"," 17","  0","  1","  0","  6","  0","  3","  1","  3","  2","  4","  2","  7","  4","  0","  0","  1","  0","  0"," 11","  0","104","  1","  1","  0","  0","  0","  0","  0","  4","  1","  0","  0","  1","  0","  6","  0","  0","  0","  0","  0","  3","  0","  5","  0","  0","  0","  0","  2","  0","  0","  0","  9","  0","  0","  0","  0","  0","188","  0"," 30","  0","  0","170","  4","  1","  0","  0","  0","  0"," 34","  1","  0","  0","  0","  3","  0","  4","  0","  0"," 70","  0","  0","  0","  0","  0","  0","  0"," 42","  0","  0","  0","  2"
NA,NA,NA,"290","  1","  0","  0","  7","  4","  0","  2","  5"," 52","  5","  1","  2","  1","  2","  0","  1","  0","  5","  0","  1","  0","  5","  1","  0","  0","  2","  0","  0","  7","  0","465","  0","  0","  0","  0","  0","  1","  1"," 15","  1","  1","  0","  0","  0","  6","  0","  1","  0","  0","  0","  1","  0","  1","  1","  0","  0","  0","  1","  0","  0","  0","  6","  0","  0","  0","  0","  0"," 91","  1"," 10","  0","  1","121","  5","  3","  0","  0","  0","  0"," 24","  1","  3","  0","  3","  3","  1","  5","  0","  0"," 86","  0","  0","  0","  0","  2","  0","  1"," 12","  0","  0","  0","  0"
NA,NA,NA," 90","  0","  0","  0","  6"," 15","  0"," 16","  7"," 72","  8","  4","  1","  0","  5","  0","  0","  0","  2","  4","  0","  2","  1","  2"," 15","  1","  2","  0","  0","  9","  1"," 31","  1","  0","  0","  0","  0","  1","  0","  4","  0","  0","  1","  0","  0"," 27","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  7","  0","  0","  0","  0","194","  0"," 36","  0","  1","419","  1","  5","  0","  0","  0","  0"," 57","  4","  5","  0","  1","  1","  1","  8"," 14","  0","  0","  0","  2","  0","  0"," 42","  0","  0"," 22","  0","  0","  0","  2"
NA,NA,NA,"260","  2","  0","  0","  3","  9","  0"," 13"," 10"," 35"," 21","  2","  3","  1","  3","  0","  0","  3","  4","  5","  0","  0","  6"," 19","  0","  0","  0","  0","  0","  7","  0"," 29","  1","  0","  1","  0","  0","  0","  5","  4","  1","  0","  0","  0","  0"," 15","  0","  0","  0","  4","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0","  7","  0","  1","  0","  5","  0","111","  2"," 15","  0","  0","118","  4","  8","  1","  0","  1","  0"," 22","  0","  6","  1","  0","  9","  5"," 12","  0","  2"," 14","  1","  3","  0","  0","  4","  0","  0"," 54","  0","  1","  0","  0"
NA,NA,NA,"350","  0","  0","  0","  2"," 29","  0"," 17","  4"," 52"," 14","  2","  3","  0","  6","  0","  3","  1","  4","  1","  4","  2","  3"," 10","  1","  0","  1","  0","  0"," 11","  0","170","  1","  0","  0","  0","  0","  0","  0"," 13","  1","  1","  1","  1","  0","  7","  0","  0","  0","  1","  0","  5","  0","  6","  0","  1","  0","  0","  0","  0","  0","  0"," 10","  1","  0","  0","  0","  0","171","  1"," 34","  1","  2","219","  8","  0","  0","  0","  0","  1"," 37","  0","  2","  0","  0","  5","  1"," 10","  1","  0","103","  1","  1","  0","  0","  3","  0","  0"," 20","  0","  0","  1","  3"
