"Sample Age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Alismataceae","Allophylus t.","Alnus","Amaranthaceae undif.","Araliaceae undif.","Asphodelus t.","Brassicaceae","Capparaceae undif.","Caryophyllaceae undif.","Cassia","Cedrus","Cichorieae","Cissus t.","Cistaceae","Combretaceae","Commiphora","Compositae Artemisia","Compositae Aster type","Convolvulaceae","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Delonix","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Geraniaceae undif.","Indeterminable","Indigofera","Jatropha/Croton","Juncaceae","Justicia t.","Lamiaceae undif.","Lotus t.","Malva undif.","Maytenus","Morella","Nyctaginaceae","Nymphaea","Ocimum","Olea t.","Petaloid monocot","Phoenix t.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Primulaceae undif.","Prosopis t.","Quercus undif.","Resedaceae undiff.","Rhamnaceae undif.","Solanaceae undif.","Tilia","Tribulus","Triletes","Typha","Urtica t.","Verbenaceae undif.","Zygophyllaceae undif."
NA,"160","  0","  0","  0","  0","  0","474","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  7"," 18","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  8","  0","  2","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 26","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"
NA,"170","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  4","  2","  0","  0","  1","  0","  0"," 21","  0","  3","  0","  0","  2","  1","  8","  0","  1","  6"," 11","  0","  4","  0","  0","  0","  0","  4","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 79","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,"177","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  3","  0","  0","  0","  2","  0","  4","  0","  0","  0","  0","  0","  6","  2","  0","  0","  2","  6","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","495","  4","  0","  0","  0","  1","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0"
NA,"180","  0","  1","  0","  1","  0","106","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  1"," 10","  0","  0","  0","  0","  0","  0","  1","  0","  0","  8","  7","  0","  5","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 50","  1","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0"
NA,"185.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000","  1.000","  0.000","  0.000","  5.000","  0.000","  1.000","  1.000","  0.000","  0.000"," 15.000","  0.000","  1.000","  1.000","  0.000","  0.000","  4.000","  2.000","  0.000","  0.000","  1.000"," 13.000","  0.000","  2.000","  0.000","  0.000","  0.000","  0.000","  4.000","  0.000","  0.000","  0.000","  0.904","  0.000","  0.000","  1.000","  0.000","  1.000","  0.000","  0.000","  1.000","158.000","  1.000","  4.000","  4.000","  0.000","  4.000","  0.000","  1.000","  0.000","  0.000","  0.904","  0.000","  0.000","  0.000","  0.000","  0.000","  0.000"
"2066.000"," 190.000","  13.000","   1.000","   1.000","   0.000","   1.000"," 308.000","   0.000","   0.000","   0.000","   5.000","   1.000","   9.000","   0.000","   1.000","   0.000","   0.000","   0.000","  15.000","   1.000","   4.000","   0.000","   0.000","   0.000","  12.000","   6.000","   0.000","   0.000","   8.000","  22.000","   3.000","   5.000","   2.000","   0.000","   0.000","   3.000","  24.000","  26.000","   1.000","   1.000","   0.000","   1.000","   1.000","   1.000","   0.000","   0.000","   0.000","   0.000","   1.000"," 343.000","   9.000","   0.000","   1.000","   0.000","   5.094","   1.000","   8.000","   0.000","   1.000","   0.000","   1.000","   0.000","   0.000","   0.000","   2.000","   0.000"
NA,"225","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0"," 18","  0","  1","  1","  0","  0","  2","  2","  0","  0","  5","  4","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 67","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"
NA,"230","  0","  0","  0","  3","  0","  2","  0","  1","  0","  1","  0","  1","  0","  3","  3","  0","  0"," 19","  0","  0","  3","  3","  0"," 17","  1","  0","  0","  2","  3","  0","  7","  0","  0","  0","  0","  5","  0","  6","  0","  0","  0","  0","  0","  0","  6","  2","  0","  2","280","  6","  0","  4","  0","  0","  0","  1","  0","  2","  0","  1","  0","  4","  0","  0","  0"
NA,"235","  5","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 40","  0","  2","  4","  0","  0"," 15","  5","  1","  0","  8"," 30","  0","  7","  0","  2","  2","  0"," 10","  0","  0","  0","  0","  0","  2","  0","  0"," 24","  0","  0","  0","463","  9","  0","  1","  0","  2","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  0"
"1943"," 247","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  62","   0","   0","   3","   0","   0","   3","   2","   0","   0","   2","   6","   0","   5","   0","  10","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   1","   1","   0","   0","   0"," 105","   0","   0","   1","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0"
