"Depth (cm)","Acacia t.","Alchornea","Amaranthaceae undif.","Arecaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Balanites","Barleria","Brassicaceae","Cadaba","Caesalpinioideae","Calligonum","Canthium","Caryophyllaceae undif.","Cassia","Cathaya","Caylusea","Cichorieae","Clematis-type","Combretaceae","Connaraceae","Cordia","Cyperaceae","Dodonaea","Ephedra","Erica t.","Euphorbia t.","Fern","Fern-Lycopodiaceae","Hedera","Ilex","Indeterminable","Indigofera","Jacquemontia t.","Lannea","Monoletes","Nitraria","Nyctaginaceae","Olea t.","Petaloid monocot","Phillyrea","Phyllanthus undif.","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Podocarpus","Polygala","Rhamnaceae undif.","Sapotaceae/Meliaceae","Schrebera","Solanum","Tamarix","Triletes","Typha","Uapaca","Zygophyllum t."
"1865","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1925","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2075","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2225","   0","   0","  43","   0","   3","   0","  19","   0","   1","   0","   0","   0","   1","   0","   3","   0","   0","   0","   5","   0","   0","   0","   0","   4","   0","   4","   0","   0","   6","   2","   0","   0","   2","   0","   0","   0","   1","   2","   1","   0","   0","   0","   0"," 158","   1","   1","  16","   5","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0"
"2375","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2525","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   6","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"2675","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"2875","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3025","   0","   0","  64","   0","  19","   0","   7","   1","   0","   2","   0","   0","   1","   0","  25","   0","   0","   0","   2","   0","   0","   0","   0","  34","   0","  22","   0","   0","   5","   0","   0","   0","   1","   1","   2","   0","   4","   0","   0","   1","   0","   1","   1","  99","   0","   0","  17","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0"
"3175","   0","   0","  31","   0","  23","   0","   3","   0","   0","   0","   1","   0","   0","   0","   5","   1","   0","   0","   1","   0","   0","   0","   0","  14","   1","  10","   0","   1","   7","   3","   0","   0","   0","   1","   0","   0","   3","   0","   0","   2","   1","   0","   0"," 181","   0","   0","  20","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0"
"3325","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0"," 288","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"3475","   0","   0","   2","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   5","   0","   0","   0","   4","   1","   0","   0","   4","   0","   0","   0","   1","   0","   0"," 272","   1","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"3625","   0","   0","   0","   0","   2","   3","   6","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   5","   0","   0","   0","   0","   1","   0","   0","   0","   2","   8","   1","   0","   0","   2","   0","   0","   0","   6","   0","   0","   2","   0","   0","   0"," 239","   0","   0","   5","   3","   0","   2","   0","   0","   0","   0","   1","   0","   0","   1"
"3775","   0","   0","   1","   0","   2","   0","  10","   0","   0","   0","   0","   1","   3","   0","   0","   0","   1","   1","   5","   0","   0","   0","   1","   2","   0","   6","   1","   0","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 278","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0"
"3825","   0","   2","  43","   0","  17","   0","   6","   1","   0","   0","   0","   2","   0","   1","  20","   3","   0","   0","   7","   1","   1","   1","   0","  14","   0","  13","   0","   1","   5","   1","   0","   0","  10","   1","   0","   1","   2","   0","   0","   6","   0","   0","   0"," 136","   1","   1","  18","   1","   0","   0","   0","   0","   3","   0","   2","   1","   0","   0"
"3975","   0","   0","  50","   1","   7","   0","   6","   0","   0","   2","   0","   0","   1","   0","  24","   1","   0","   0","   2","   0","   0","   0","   0","  11","   0","   6","   0","   0","   4","   0","   0","   0","   6","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"," 124","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0"
"4125","   0","   1","   1","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"," 291","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"4275","   0","   0","   1","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   2","   0","   2","   5","   0","   2","   0","   0","   0","   2","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0"," 267","   0","   0","   4","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4425","   1","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"4575","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   4","   0","   1","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   4","   0","   0","   9","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
