"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Arctostaphylos","Artemisia","Asteroideae undif.","Brassicaceae","Campanulaceae","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Cornus","Corylus","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","Hedera","Indeterminable","Juglans","Lamiaceae undif.","Lonicera","Lotus t.","Lycopodium annotinum","Onagraceae","Orchidaceae","Ostrya","Petaloid monocot","Picea","Pinus nigra/sylvestris t.","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Quercus deciduous","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Taxus","Thalictrum","Thymelaeaceae undif.","Tilia","Typha","Ulmus t.","Unknown","Urtica t.","Vaccinium","Viburnum","Viscum"
"1736",NA,NA," 90","148","1","9","2","8","0","7","29","37","0","49","10","1","0","26","0","0","428","0","69","0","0","0","6","20","256","0","7","0","0","23","4","0","5","1","0","0","1","0","44","2","0","19","20","181","9","2","0","53","18","35","23","1","2","11","20","3","1","0","0","0","0","2","0","2","18","0","0","0","1"
"2068",NA,NA,"100","269","1","3","0","8","0","5","10","11","0","17","7","0","0","11","1","0","143","0","27","0","1","0","3","4","247","0","2","0","0","8","2","0","1","0","0","0","0","0","10","2","0","28","3","29","0","1","0","30","7","23","10","1","1","4","7","2","3","0","0","0","1","2","0","1","8","0","4","0","0"
"2401",NA,NA,"110","270","3","4","6","18","0","6","6","21","0","9","0","0","0","7","0","0","123","0","32","0","1","0","5","10","273","0","4","0","0","3","2","0","0","0","0","0","0","0","20","0","0","39","5","44","6","2","0","26","5","15","11","0","0","1","8","3","0","0","1","0","0","1","0","1","6","0","3","0","0"
"2734",NA,NA,"120","142","8","6","3","8","0","4","15","19","2","22","2","0","0","12","2","0","240","0","42","0","1","0","2","6","290","0","6","0","0","4","3","0","0","0","0","0","0","0","31","2","0","15","19","130","9","0","0","59","14","40","21","0","4","3","6","2","1","0","0","1","0","1","0","10","10","0","2","0","1"
"3066",NA,NA,"130","206","3","6","5","1","0","5","6","17","0","28","1","0","0","6","1","0","134","0","29","0","0","0","2","3","271","0","5","0","0","2","1","0","0","0","0","0","0","0","35","2","0","27","2","42","7","0","0","33","11","21","16","0","0","1","4","7","1","0","0","0","0","1","0","13","10","0","2","0","0"
"3399",NA,NA,"140","173","4","6","5","7","0","4","7","10","0","43","0","0","0","6","2","0","112","0","22","0","1","0","2","2","309","0","8","0","0","1","2","0","3","0","0","0","4","0","32","1","0","52","3","59","9","0","0","39","8","25","13","0","0","1","3","6","0","0","0","0","0","2","0","2","12","0","3","0","0"
"3715",NA,NA,"150","308","3","4","2","3","0","2","3","3","0","18","1","0","0","0","0","2","19","2","10","0","0","0","2","1","239","0","4","0","0","0","0","0","1","0","0","0","4","0","18","0","0","19","1","17","2","0","0","31","5","18","7","0","0","0","3","1","1","0","0","0","0","3","0","5","4","0","6","1","1"
"4048",NA,NA,"160","185","4","9","10","6","0","12","13","12","0","22","2","2","0","20","2","0","100","1","33","0","0","2","0","6","384","1","9","0","0","2","2","0","5","0","0","0","5","0","25","0","0","71","2","75","18","0","0","36","9","20","11","0","1","1","9","2","0","1","0","0","0","5","1","1","12","0","5","0","0"
"4381",NA,NA,"170","114","7","4","5","6","0","14","7","11","0","25","4","0","1","13","0","0","235","1","36","0","0","1","3","2","251","0","6","0","8","1","0","2","1","1","0","0","15","1","35","0","0","47","5","272","54","1","0","75","12","42","19","1","2","1","5","2","1","2","0","3","0","4","0","4","6","0","4","0","1"
"4714",NA,NA,"180","64","2","2","2","6","1","6","8","6","0","47","0","0","0","5","0","0","124","2","47","0","2","0","13","9","390","0","19","0","0","6","4","0","2","0","0","0","2","0","51","0","0","16","5","81","16","4","4","86","20","62","26","0","3","5","10","6","0","0","0","1","0","4","0","3","22","1","2","0","0"
"5046",NA,NA,"190","32","2","2","8","21","0","17","296","3","0","74","1","0","0","6","0","0","478","0","146","0","0","0","8","1","357","0","9","0","0","1","4","0","5","0","0","1","1","0","73","0","0","27","5","129","23","24","0","69","16","50","17","0","4","4","14","6","1","0","0","1","0","3","3","5","8","0","4","0","0"
"5379",NA,NA,"200","58","2","5","10","15","0","10","11","10","0","79","0","1","0","11","0","0","200","0","121","0","0","0","2","3","391","0","11","0","0","3","3","0","10","0","8","0","0","0","43","0","1","45","2","157","51","26","0","67","17","44","14","0","1","7","15","2","2","0","0","0","0","1","1","2","20","0","6","0","0"
"5712",NA,NA,"210","47","0","1","5","0","0","0","5","2","0","0","0","0","2","2","0","0","8","0","7","0","0","0","1","0","38","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","2","0","10","0","1","0","16","4","6","2","0","0","1","1","0","0","0","0","0","0","0","0","0","4","0","2","0","1"
"6178",NA,NA,"224","0","1","0","2","1","0","0","16","2","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","0","37","0","0","0","0","1","1","0","0","0","0","0","0","0","3","0","0","0","1","4","0","2","33","3","0","1","0","0","1","0","1","0","0","0","0","0","0","0","33","0","0","0","0","0","0"
