"depth","Cal age BP","Acanthus","Acer","Aizoaceae t.","Alnus","Amaranthaceae undif.","Antidesma t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Balanites","Ballotus","Betula","Boraginaceae undif.","Brassicaceae","Cadaba","Calligonum","Caryophyllaceae undif.","Caylusea","Cedrus","Celosia type","Celtis","Centaurea","Chionanthus","Cichorieae","Cistaceae","Clematis-type","Cleome","Corylus","Cucurbitaceae undif.","Cupressaceae","Cyperaceae","Echinops","Echiochilon","Echium t.","Encephalartos","Ephedra","Erica t.","Erodium","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fagus","Fern","Galium t.","Gymnocarpus","Haloragaceae","Heliotropium","Hyphaene t.","Indeterminable","Juglans","Lamiaceae undif.","Lannea","Limoniastrum","Linum t.","Lythraceae undif.","Maerua","Mercurialis","Mollugo","Moltkia","Myrtus","Olea t.","Onagraceae","Ostrya","Petaloid monocot","Phaseolus","Phillyrea","Phyllanthus undif.","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygala","Polygonum t.","Proteaceae","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Resedaceae undiff.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanum","Spergularia t.","Tamarix","Tilia","Tribulus","Trichodesma","Typha","Ulmus t.","Vitis","Warionia","Ziziphus/Paliurus"
"  147","71120","    0","    0","    0","    0","   51","    0","    0","    0","  120","    0","    2","    0","    0","    0","    0","    7","    0","    1","    0","    0","    0","    0","    0","    1","    0","   17","    2","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    7","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   15","    0","    1","    0","   14","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"162",NA,"  0","  0","  0","  0"," 23","  0","  0","  0"," 19","  0"," 20","  0","  0","  2","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  2","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 31","  0","  2","  0","  4","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"
"172",NA,"  0","  0","  0","  1"," 50","  0","  5","  1"," 38","  0"," 10","  0","  0","  1","  0"," 19","  0","  0","  0","  0","  0","  0","  0","  2","  0","  9","  0","  0","  0","  3","  0","  4","  1","  0","  0","  0","  0"," 22","  1","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0"," 29","  2","  8","  0"," 20","  0","  0","  0","  5","  9","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"
"  182","79250","    0","    0","    0","    1","    6","    0","    0","    0","    7","    0","   10","    0","    0","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    1","    0","   11","    1","    0","    0","    0","    0","    1","    1","    0","    0","    0","    0","   13","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","   12","    0","    0","    0","    3","    0","    0","    0","    0","    5","    0","    2","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"187",NA,"  0","  0","  0","  0"," 25","  0","  1","  0"," 20","  0"," 32","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  2","  0","  0","  0","  0","  0","  4","  0","  0","  2","  0"," 27","  0","  0","  0","  1","  0","  0","  3","  0","  0","  1","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 36","  5","  5","  0"," 16","  0","  0","  0","  1"," 25","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0"
"192",NA,"  0","  0","  0","  0","  9","  0","  0","  0"," 17","  0","  7","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  3","  1","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  4","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"202",NA,"  0","  0","  0","  0","  9","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0"," 17","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"207",NA,"  0","  0","  0","  0"," 48","  1","  0","  0"," 37","  1"," 20","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 12","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 26","  5","  0","  1","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 27","  0","  8","  0"," 23","  0","  0","  0","  3","  9","  0","  0","  0","  0","  5","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"217",NA,"  0","  0","  0","  0"," 70","  0","  0","  0"," 42","  0"," 28","  0","  0","  2","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  1","  0","  0","  1","  0","  1","  2","  0","  0","  0","  0"," 16","  6","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 25","  0","  2","  0"," 12","  1","  1","  0","  2","  7","  0","  1","  0","  0","  1","  0","  2","  0","  1","  0","  2","  0","  0","  0","  0","  1","  0","  1","  0","  0"
"222",NA,"  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"227",NA,"  0","  0","  0","  0"," 14","  0","  0","  0","  4","  0"," 16","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 27","  0","  5","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"232",NA,"  0","  0","  0","  0"," 13","  0","  0","  0"," 10","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  2","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"
"242",NA,"  0","  0","  2","  0"," 76","  0","  0","  0","110","  0"," 22","  0","  0","  1","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  2","  0"," 24","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0"," 17","  3","  1","  0","  0","  0","  0","  9","  1","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  2","  0"," 34","  2","  0","  1"," 18","  0","  0","  0","  6","  9","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"252",NA,"  0","  0","  0","  0"," 16","  0","  0","  0"," 15","  0"," 17","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 12","  2","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  1","  1","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"262",NA,"  0","  0","  0","  0"," 12","  0","  0","  0"," 14","  1"," 19","  0","  0","  1","  0","  7","  0","  0","  0","  0","  0","  0","  0","  2","  0","  8","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  4","  2","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  3","  0","  8","  0","  0","  0","  0","  5","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"274",NA,"  0","  0","  1","  1"," 32","  0","  1","  0"," 31","  0"," 24","  0","  0","  4","  0","  6","  0","  0","  0","  0","  0","  0","  0","  1","  0","  7","  0","  0","  0","  2","  0","  1","  2","  0","  0","  0","  0","  5","  3","  1","  2","  0","  0","  0"," 14","  0","  1","  0","  0","  0","  6","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0"," 27","  3","  2","  0"," 16","  0","  1","  0","  6","  8","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"
"282",NA,"  0","  0","  0","  0"," 18","  0","  0","  0"," 12","  0","  7","  0","  0","  0","  0","  7","  0","  0","  1","  0","  0","  0","  0","  4","  0"," 10","  1","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  1","  1","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"
"294",NA,"  0","  0","  0","  0","  5","  0","150","  0","  2","  0","  5","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  5","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  2","  0","  0","  0","  2","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"302",NA,"  1","  0","  0","  0"," 43","  0","  0","  0"," 27","  0","  5","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  8","  0","  1","  0","  7","  0","  0","  0","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"   312","131500","     0","     0","     0","     0","    28","     0","     0","     0","    25","     0","     7","     0","     0","     0","     0","     7","     0","     0","     0","     0","     0","     0","     0","     0","     0","     3","     0","     0","     0","     0","     0","     1","     0","     0","     0","     0","     0","     5","     0","     0","     0","     0","     0","     0","     1","     0","     0","     0","     0","     0","     1","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","    12","     0","     0","     0","     4","     0","     0","     0","     2","     2","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     0","     1","     0","     0","     0","     0"
