"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acacia t.","Acanthaceae undif.","Acer","Alnus","Amaranthaceae undif.","Apiaceae undif.","Aristolochiaceae","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Boraginaceae undif.","Brassicaceae","Campanulaceae","Caprifoliaceae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cercis","Cichorieae","Cistaceae","Combretaceae","Corylus","Crassulaceae","Cupressaceae","Cyperaceae","Dacrydium","Dipsacaceae","Echinops","Ephedra","Erica t.","Euphorbiaceae undif.","Fabaceae Undif.","Faidherbia albida","Fraxinus","Gentianaceae undif.","Geraniaceae undif.","Icacinaceae","Lamiaceae undif.","Loranthus","Malva undif.","Morella","Myrtus","Olea t.","Onagraceae","Ostrya","Papaver t.","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Podocarpus","Polygonum t.","Populus","Primulaceae undif.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Salix","Salvadora","Saxifragaceae","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Sium/Apium-type","Solanaceae undif.","Tamarix","Thymelaeaceae undif.","Tilia","Tsuga","Ulmus t.","Valerianaceae undif.","Vitis","Ziziphus/Paliurus","Zygophyllaceae undif."
"6410",NA,NA," 106","   7","   0","   0","   0","   0","  49","   2","   0","   7","   1","   5","   4","   0","   0","   0","   0","   0","   3","   2","   5","   1","   1","   0","   2","   0","   0","   0","   0","   0","  63","   0","   0","   0","   7","   0","   0","   4","   0","   1","   0","   0","   0","   4","   0","   0","   0","   0","   9","   0","   1","   1","   6","   5","   0","  43","   0","   0","   2","   1","   1","   0","   2","   0","   2","  27","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"
"7200",NA,NA," 116","   7","   0","   0","   0","   0","  71","   3","   0","   7","   0","   5","   0","   0","   0","   0","   0","   0","   3","   0","   4","   0","   0","   0","   0","   1","   0","   0","   2","   0","  77","   0","   0","   0","  13","   2","   0","   4","   0","   5","   0","   1","   0","   2","   0","   0","   0","   1","   2","   0","   0","   0","   0","   8","   0","  43","   0","   0","   2","   1","   0","   1","   0","   0","   5","  14","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0"
"7450",NA,NA," 121","   2","   0","   0","   0","   0","  91","   5","   0","  13","   0","   7","   1","   0","   0","   0","   0","   0","   2","   0","   1","   1","   0","   0","   0","   0","   0","   2","   3","   0","  55","   0","   0","   0","   7","   0","   0","   4","   0","   6","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   4","   0","  28","   0","   0","  15","   3","   0","   2","   0","   0","  14","  17","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"7750",NA,NA," 126","   3","   0","   0","   0","   2","  85","   8","   0","   6","   0","   1","   1","   0","   0","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 136","   0","   0","   0","  11","   0","   0","  12","   0","   1","   0","   0","   0","   2","   0","   0","   3","   0","   2","   0","   0","   0","   6","   8","   0","   8","   0","   3","   3","   2","   0","   0","   0","   0","  18","  31","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"8010",NA,NA," 133","   0","   0","   0","   0","   0","  90","   3","   0","  10","   1","   3","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   5","   1","  90","   0","   0","   0","  13","   0","   0","   3","   0","   3","   0","   1","   0","   2","   0","   0","   2","   0","   6","   0","   0","   0","   1","  10","   0","  23","   0","   0","   8","   5","   0","   0","   1","   0","   6","  22","   4","   0","   2","   0","   4","   0","   0","   0","   0","   0","   4","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"8160",NA,NA," 136","   1","   0","   1","   0","   1","  80","   3","   0","  32","   1","   8","   0","   0","   1","   0","   0","   0","   1","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","  32","   0","   0","   0","  12","   0","   0","   2","   0","   2","   0","   0","   3","   2","   0","   1","   0","   0","   2","   0","   0","   0","   0","   1","   0","  20","   2","   1","   2","   0","   0","   0","   0","   0","   5","   7","   1","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"8250",NA,NA," 138","   1","   0","   0","   0","   0","  98","   4","   0","   6","   0","   8","   0","   0","   1","   0","   0","   1","   1","   0","   0","   1","   2","   0","   1","   0","   0","   0","   3","   2","  29","   0","   0","   0","   3","   0","   0","   1","   0","   5","   0","   0","   0","   3","   0","   0","   1","   0","   2","   0","   0","   0","   0","   9","   0","   7","   0","   4","  21","   5","   0","   0","   0","   0","   8","  27","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0"
"8450",NA,NA," 142","   1","   0","   0","   0","   0"," 104","  12","   0","  13","   0","  13","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   3","   3","   0","  61","   0","   0","   0","  20","   0","   1","   2","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","  12","   0","  11","   0","   1","   0","   1","   0","   0","   0","   0","   7","  19","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1"
"9150",NA,NA," 157","   0","   0","   0","   0","   1","  91","   8","   0","   6","   0","   8","   1","   0","   3","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  34","   0","   0","   0","  12","   0","   0","   3","   0","   4","   0","   0","   0","   4","   0","   1","   0","   0","   7","   0","   0","   0","   5","  11","   0","   3","   0","   1","   1","   2","   0","   0","   0","   0","  21","  20","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"9440",NA,NA," 163","   0","   0","   0","   0","   0"," 102","  11","   0","   6","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","  41","   0","   0","   0","  12","   0","   0","   3","   0","   5","   0","   0","   0","   5","   0","   0","   0","   0","   3","   0","   0","   0","   1","  12","   0","   1","   0","   0","  10","   1","   0","   0","   0","   0","  10","  43","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"9900",NA,NA," 173","   3","   0","   1","   0","   0"," 141","   4","   0","  12","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   2","   0","  40","   0","   0","   0","  17","   1","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   3","   0","   0","   0","   1","   3","   0","  13","   0","   1","   1","   1","   0","   0","   0","   0","   2","  12","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2"
"10390",NA,NA,"  186","    1","    0","    0","    0","    0","   90","    2","    0","   18","    1","    3","    0","    0","    3","    0","    0","    0","    3","    0","    0","    0","    0","    0","    8","    1","    1","    1","    2","    1","   52","    0","    0","    0","   10","    0","    0","    2","    0","    2","    0","    0","    0","    2","    0","    0","    1","    0","    1","    0","    0","    0","    0","    7","    0","    8","    0","    1","    0","    0","    0","    0","    0","    2","    5","   18","    2","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0"
"10810",NA,NA,"  196","    2","    0","    0","    0","    2","   56","    4","    0","   19","    0","    9","    0","    0","    2","    0","    0","    0","    1","    0","    5","    0","    0","    0","    0","    0","    0","    0","    2","    4","   52","    0","    0","    0","   24","    0","    0","    3","    0","    2","    0","    0","    0","    3","    0","    0","    0","    0","    2","    0","    0","    0","    2","    2","    0","   18","    0","    0","    2","    1","    0","    0","    2","    0","    2","   19","    4","    0","    1","    0","    4","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11200",NA,NA,"  206","    0","    0","    0","    0","    0","   43","    6","    0","   61","    0","    9","    0","    0","    3","    0","    0","    0","    2","    0","    4","    0","    0","    0","    2","    0","    0","    0","    1","    0","   35","    0","    2","    1","   12","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    1","    2","    2","    0","    0","    0","    1","    5","    0","   13","    0","    1","    0","    1","    0","    1","    0","    0","    7","   12","    0","    0","    1","    0","    3","    0","    0","    0","    0","    0","    3","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"11850",NA,NA,"  221","    2","    0","    0","    0","    0","   55","    2","    0","   64","    0","    5","    0","    0","    0","    0","    0","    1","    4","    0","    4","    0","    0","    0","    1","    0","    0","    0","    0","    0","   69","    0","    0","    0","   13","    2","    0","    6","    0","    0","    0","    0","    3","    7","    0","    0","    0","    0","    1","    1","    0","    0","    0","    2","    0","   31","    0","    1","    2","    0","    0","    2","    0","    0","    9","   14","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"12280",NA,NA,"  231","    1","    0","    1","    0","    0","   71","    0","    0","   17","    1","    5","    0","    0","    1","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    1","    0","    1","    0","   38","    0","    0","    0","   18","    0","    0","    1","    0","    4","    0","    0","    0","    2","    0","    0","    0","    0","    3","    0","    1","    0","    1","    7","    0","   23","    1","    0","    9","    4","    1","    0","    0","    0","    4","   17","    2","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
"12730",NA,NA,"  243","    2","    0","    0","    0","    0","   62","    0","    0","   20","    0","    8","    0","    0","    0","    0","    4","    0","    0","    0","    2","    0","    0","    0","    2","    0","    4","    0","    0","    0","   30","    0","    0","    0","   10","    0","    0","    2","    0","    0","    0","    0","    0","    2","    0","    0","    2","    0","    0","    0","    0","    0","    0","    2","    0","   46","    0","    0","    0","    0","    0","    0","    0","    2","    4","   12","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"14000",NA,NA,"  256","    1","    0","    0","    0","    0","   43","    2","    0","   18","    0","    2","    2","    0","    0","    0","    0","    0","    2","    0","    4","    1","    0","    0","    0","    1","    1","    0","    3","    0","   18","    0","    0","    0","    8","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    4","    0","    0","    0","    0","    3","    0","   59","    1","    2","    5","    1","    1","    4","    0","    0","    5","   15","    3","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"14600",NA,NA,"  265","    4","    0","    0","    0","    0","   60","    0","    0","   20","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","   20","    0","    0","    0","   14","    0","    0","    4","    0","   10","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    4","    0","    0","   30","    0","    0","    2","    2","    0","    0","    0","    0","    8","   22","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"15500",NA,NA,"  283","   12","    0","    0","    0","    0","   28","    2","    0","   33","    0","    3","    0","    0","    0","    0","    0","    0","    1","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","   33","    0","    0","    0","   23","    0","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    1","    0","    0","    0","    0","    1","    3","    0","   77","    0","    0","    0","    0","    0","    2","    0","    0","    3","    7","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    1","    0","    0","    0","    2","    1","    0","    0","    0","    1","    0","    0","    0"
"17000",NA,NA,"  300","    1","    0","    0","    0","    0","   74","    0","    0","   61","    0","    7","    0","    0","    2","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    3","    2","    0","    0","    0","   29","    0","    0","    1","   14","    0","    0","    1","    0","    0","    0","    0","    0","    3","    0","    0","    1","    4","    1","    0","    0","    0","    0","    0","    0","   13","    0","    0","    0","    0","    1","    0","    0","    0","    7","    4","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"18800",NA,NA,"  323","    0","    0","    0","    0","    0","   89","    2","    0","   45","    0","    9","    0","    0","    3","    0","    0","    0","    2","    0","    1","    1","    0","    0","    3","    0","    1","    0","    0","    0","   22","    0","    0","    0","   16","    0","    0","    1","    0","    0","    0","    0","    2","    3","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","   21","    0","    0","    1","    0","    1","    2","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0"
"19690",NA,NA,"  341","    1","    0","    0","    0","    1","   31","    3","    0","   73","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0","    9","    1","    0","    0","    0","    0","    0","    0","    0","    0","   30","    0","    1","    0","   26","    0","    0","    6","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    1","    1","   26","    0","    0","    2","    1","    0","    0","    0","    0","    0","    8","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"21030",NA,NA,"  361","   15","    0","    0","    0","    0","   80","    0","    0","   42","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","    3","    1","    0","    0","    3","    0","    0","    0","    2","    0","   13","    0","    0","    0","   10","    0","    0","    1","    0","    0","    0","    0","    0","    5","    0","    0","    0","    1","    2","    0","    0","    0","    1","    2","    0","   16","    0","    0","    0","    0","    0","    1","    0","    0","    2","    8","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
"22400",NA,NA,"  381","    0","    0","    0","    0","    0","   79","    1","    0","   41","    0","    9","    0","    0","    4","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    0","    0","    0","    2","    0","   38","    0","    1","    0","   22","    0","    0","    2","    1","    0","    0","    0","    0","    2","    0","    0","    0","    1","    1","    0","    0","    0","    3","    0","    0","   22","    0","    0","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
"23690",NA,NA,"  401","    1","    1","    0","    0","    0","   64","    4","    0","   63","    3","    2","    0","    0","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    2","   31","    0","    0","    0","   16","    0","    0","    6","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    1","    0","    0","    0","    2","    0","    0","   18","    0","    0","    7","    2","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0"
"24270",NA,NA,"  411","    0","    1","    0","    0","    0","   59","    0","    0","   66","    0","    6","    1","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    1","    1","    0","    0","    1","    0","   31","    0","    0","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    2","    0","    0","    0","    0","    2","    0","    1","   56","    0","    0","    0","    0","    1","    3","    0","    0","    1","    6","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"24730",NA,NA,"  421","    0","    0","    0","    0","    0","   67","    2","    0","   51","    0","    4","    0","    0","    4","    0","    0","    0","    2","    0","    3","    0","    0","    0","    0","    0","    1","    0","    0","    0","   28","    0","    0","    0","   19","    0","    0","    2","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","   39","    0","    0","    0","    2","    0","    0","    1","    0","    3","    2","    1","    0","    1","    0","    1","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0"
"25240",NA,NA,"  431","    0","    0","    0","    0","    0","   39","    1","    0","   51","    0","    6","    0","    0","    1","    0","    0","    0","    3","    0","   19","    0","    0","    0","    0","    0","    1","    0","    0","    0","   38","    0","    0","    0","   17","    0","    0","    3","    0","    0","    0","    0","    0","    3","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   53","    0","    0","    3","    0","    0","    1","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"25640",NA,NA,"  441","    1","    0","    0","    0","    0","   46","    2","    0","   77","    0","    3","    0","    0","    1","    0","    0","    0","    2","    0","    4","    1","    0","    0","    0","    2","    0","    0","    1","    0","   32","    0","    1","    0","   13","    0","    0","    0","    0","    0","    0","    1","    0","    2","    0","    0","    0","    0","    3","    0","    0","    0","    1","    1","    0","   40","    0","    1","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0"
"26120",NA,NA,"  452","    0","    0","    0","    0","    0","   56","    0","    0","   38","    0","    2","    0","    0","    2","    0","    2","    2","    2","    0","    8","    0","    0","    0","    0","    0","    2","    2","    0","    0","   24","    0","    0","    0","   14","    0","    0","    4","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","   40","    0","    0","    2","    0","    0","    0","    0","    0","    0","    6","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"26600",NA,NA,"  463","    0","    0","    0","    0","    0","   62","    0","    0","   66","    0","   12","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    1","    0","    2","    0","    0","    0","   32","    0","    0","    0","   14","    0","    0","    2","    0","    0","    0","    0","    2","    2","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","   28","    0","    0","    6","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1"
"27000",NA,NA,"  473","    2","    0","    0","    0","    0","   56","    2","    0","   36","    0","    8","    0","    0","    0","    0","    0","    0","    2","    0","    4","    2","    0","    0","    4","    2","    0","    1","    2","    0","    8","    0","    0","    0","   12","    0","    0","    2","    0","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","    0","    0","    0","    2","    0","    0","   44","    0","    0","    0","    2","    0","    2","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0"
"27400",NA,NA,"  483","    1","    0","    1","    0","    1","   60","    3","    0","   62","    0","    7","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    2","    1","    1","    2","    2","   12","    0","    0","    0","   11","    0","    0","    0","    0","    2","    0","    0","    1","    2","    0","    0","    0","    0","    2","    0","    0","    0","    0","    7","    0","   26","    0","    1","    2","    2","    0","    1","    0","    0","    1","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0"
