"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Algae","Alnus","Amaranthaceae undif.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Calluna","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celastraceae undif.","Centaurea","Centranthus t.","Cercis","Cichorieae","Cistaceae","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Frangula","Frankenia","Fraxinus","Galium t.","Gentiana t.","Geranium","Haplophyllum","Hedera","HippophaÃ«","Hypericum undif.","Juglans","Juncaceae","Lamiaceae undif.","Ligustrum","Lotus t.","Lysimachia","Lythrum","Malva","Matthiola","Menyanthes","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Olea t.","Onagraceae","Ononis t.","Orchidaceae","Papaver t.","Parnassia","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polystichum","Populus","Potamogeton","Potentilla t.","Primula","Prunus t.","Pterocarya","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rhododendron","Roemeria","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Taxus","Thalictrum","Thesium","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valeriana t.","Valerianella","Verbena t.","Viburnum","Viola","Vitis"
"3310","3713","2910"," 230","   9","   0","   0","  13","   5","   0","  10","   3","   0","   0","   5","   0","   2","   0","   1","   0","   2","   0","   0","   0","   1","   0","   1","   2","  11","   0","   1","   1","   0","   0","   3","   0","   0","  23","   1","   0","   0","   3","   0","  22","   0","   0","  14","   0","   0","   0","   1","   1","   2","   0","  23","   0","  91","   4","   0","   0","   0","   0","   0","   1","   5","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 187","   0","  37","   2","  64","   4","   7","   0","   0","   0","   0","   0","   0","   0","   1","  40","   2","   0","   0","   0","   0","   0","   2","   1","   0","   1","   1","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0"
"3598","3994","3208"," 250","  27","   0","   0","  16","   4","   0","   2","   2","   0","   0","   8","   0","   0","   5","   2","   1","   3","   0","   0","   0","   3","   0","   1","   0","  12","   0","   2","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","  10","   0","  69","   0","   0"," 242","   0","   1","   0","   0","   0","   1","   0","  31","   0","  25"," 115","   0","   0","   1","   0","   0","   1","  15","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","   0","   0","   1","   0","   0","  14","   0","   0","   0","   0","   1","   0","   0","   1","   1","   0","   0","   1"," 231","   0","   6","   2","  47","   3","   1","   0","   0","   0","   0","   0","   0","   0","   1","  68","   6","   0","   0","   0","   1","   0","   4","   1","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   4","   4","   0","   0","   0","   0","   0","   0","   0","   0"
"3886","4276","3506"," 270","  35","   0","   0","  10","   2","   0","   0","   0","   0","   0","   2","   0","   2","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   3","   0","   1","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","   6","   1","  10","   0","   0"," 310","   0","   0","   0","   1","   0","   1","   0","   4","   0","  30"," 308","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   5","   0","  13","   0","   0"," 236","   1","  12","   2","  30","   3","   3","   0","   0","   2","   1","   0","   0","   0","   1","  55","   3","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   0","   2","   4","   0","   0","   0","   0","   0","   0","   0","   1"
"4174","4557","3802"," 290","   5","   0","   0","   6","   5","   0","   0","   1","   0","   0","   7","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   6","   0","   9","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   4","   0","  17","   0","   0"," 176","   0","   0","   1","   3","   0","   0","   0","  27","   0","  12"," 201","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   1","   0","   7","   5","   1","   1","   0","   0","   0","   0","   0","  12","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1"," 119","   2","  14","   4","  85","   3","   2","   0","   0","   6","   0","   0","   0","   0","   1","  91","   1","   0","   1","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2"
"4462","4839","4097"," 310","  14","   0","   0","  11","   4","   0","   4","   0","   0","   0","   6","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   2","   1","   5","   0","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   6","   0","   6","   0","   0"," 387","   0","   0","   0","   0","   0","   0","   0","  19","   0","  30","  10","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 215","   0","  14","   2","  47","   6","   1","   0","   0","  10","   0","   0","   0","   0","   1","  42","   0","   0","   0","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0"
"4750","5122","4392"," 330","  11","   0","   0","  17","   3","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","  13","   0","   2","   3","   0","   0","   0","   0","   0","   1","   0","   0","   0","   7","   0","  30","   0","   0","  45","   0","   0","   0","   0","   0","   0","   0","   7","   0","   4","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0"," 482","   0","   1","   4","   6","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5038","5404","4685"," 350","   9","   0","   0","  10","   4","   0","   0","   0","   0","   0","   6","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   7","   0","   1","   8","   0","   0","   1","   0","   0","   2","   1","   0","   0","   5","   1","  32","   0","   0","  92","   0","   0","   0","   1","   0","   0","   0","   8","   0","  10","  43","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0"," 250","   0","   4","   3","   9","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  25","   1","   0","   0","   0","   6","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"5327","5688","4978"," 370","  27","   0","   1","   9","   5","   0","   2","   0","   0","   0","   1","   0","   0","   1","   2","   0","   1","   0","   0","   0","   0","   1","   4","   0","  10","   0","   1","   5","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","  12","   0","   0"," 240","   0","   0","   0","   2","   0","   0","   0","  85","   0","  34"," 103","   0","   4","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   2","   0","   0","   0","   0","   2","   1","   0"," 266","   0","   8","   0","  11","   0","   1","   0","   0","   0","   0","   0","   0","   0","   3","  53","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0"
"5615","5973","5271"," 390","  16","   0","   1","   8","   6","   0","   1","   1","   0","   0","   2","   0","   1","   1","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","  11","   0","   2","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","   0","  12","   0","   0","  74","   0","   0","   0","   1","   0","   0","   0","  65","   0","   5","  75","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   5","   0","   0","   0","   0","   1","   0","   0"," 182","   2","   0","   2","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  37","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0"
"5903","6259","5563"," 410","  19","   0","   0","   4","   3","   0","   1","   1","   0","   0","   6","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   4","   0","  16","   0","   1","   9","   0","   0","   1","   0","   0","   3","   2","   0","   0","   7","   0","  26","   0","   0"," 171","   0","   0","   1","   3","   0","   0","   0","  54","   0","  13","  62","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","  16","   0","   0","   1","   0","   0","   1","   0","   0","  21","   0","   0","   0","   0","  13","   0","   0","   0","   0","   1","   0","   0"," 162","   0","  16","   1","  17","   3","   0","   0","   0","   0","   0","   0","   0","   0","   2","  34","   2","   0","   0","   0","   0","   0","   1","   0","   0","   3","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"6191","6546","5855"," 430","  16","   1","   1","   9","   4","   0","  11","   7","   0","   0","  10","   0","   4","   3","   2","   0","   3","   0","   0","   1","   0","   0","   1","   2","  13","   0","   1","  12","   0","   0","   0","   0","   0","   6","   2","   0","   0","  10","   0","  28","   0","   0"," 637","   0","   0","   0","   4","   0","   1","   0","  48","   0","  39"," 115","   0","   0","   0","   0","   0","   1","   6","   0","   0","   1","   0","   1","   0","  11","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   2","   0","   0"," 146","   0","  10","   3","  37","   9","   3","   0","   0","   0","   0","   0","   0","   0","   3","  62","   2","   0","   0","   0","   1","   0","   6","  10","   0","   0","   1","   0","   1","   2","   0","   0","   1","   0","   1","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1"
"6479","6832","6145"," 450","  13","   0","   0","  19","   3","   0","   2","  36","   0","   0","  14","   0","   1","   4","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","  17","   0","   1","   3","   0","   0","   1","   0","   0","   8","   0","   0","   0","  17","   0","  13","   0","   0"," 281","   0","   0","   1","   0","   0","   0","   0","   7","   0","  56","  14","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0"," 176","   0","   0","   0","  49","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","  31","   2","   0","   0","   0","   0","   0","   0","  10","   1","   1","   2","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   3","   4","   0","   0","   0","   0","   0","   0","   0","   0"
"6767","7119","6434"," 470","  11","   5","   0","   4","   6","   0","   5","  18","   0","   0","   8","   0","   7","   6","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","  18","   0","   1","   1","   0","   0","   5","   0","   0","   8","   0","   0","   0","  30","   0","  12","   0","   1"," 273","   0","   0","   0","   0","   0","   3","   0","   3","   0","  49","  27","   1","   7","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   2","   0","  56","   1","   7","   0","  62","   4","   4","   0","   0","   0","   0","   0","   0","   0","   1","  18","   6","   0","   0","   0","   0","   0","   3","  20","   1","   1","  18","   0","   0","   4","   0","   0","   1","   0","   0","   1","   0","   1","   8","   0","   0","   0","   0","   0","   1","   0","   1"
"7055","7407","6723"," 490","  21","   0","   0","   3","  10","   0","   4","   7","   0","   0","  13","   0","   1","  14","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   9","   0","   0","   0","   0","   0","   1","   0","   0","  14","   0","   0","   0","  22","   0","   9","   0","   0"," 147","   0","   0","   0","   1","   0","   0","   0","   5","   0","  44","  15","   0","   4","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 112","   0","   9","   0","  60","   4","   1","   0","   0","   0","   1","   0","   0","   1","   0","  28","   2","   0","   0","   0","   0","   0","   0","   3","   1","   0","  11","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1"
"7343","7697","7012"," 510","  60","   0","   0","   6","   2","   0","   2","   3","   0","   0","  10","   0","   1","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  16","   0","   2","   0","   2","   0","   0","   0","   0","   3","   0","   0","   0","   9","   0","  13","   0","   0","  88","   0","   0","   0","   1","   0","   0","   0","  18","   0","  11"," 105","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 193","   0","   4","   1","  47","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","  27","   0","   1","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0"
"7632","7989","7301"," 530","  39","   0","   0","   1","   3","   0","   1","   2","   0","   0","   4","   0","   1","   4","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","  10","   0","   5","   0","   0","  75","   0","   0","   0","   0","   0","   0","   0","  17","   0","  28","   9","   0","   1","   0","   0","   0","   0","   6","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 102","   0","   1","   0","  50","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","  25","   1","   0","   0","   0","   2","   0","   0","   4","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"7920","8280","7589"," 550","  56","   0","   0","   4","   5","   0","   1","   8","   0","   0","   4","   0","   0","  19","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  14","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   1","   0","  31","   0","  10","   0","   0","  23","   0","   0","   0","   0","   0","   0","   0","   6","   0"," 104","   6","   0","   1","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 103","   0","   1","   0","  38","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","  47","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   2"
"8208","8571","7875"," 570","  21","   0","   0","   3","   4","   0","   1","  15","   0","   0","  10","   0","   0","  33","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","  40","   0","   0","   1","   0","   0","   0","   0","   0","   7","   0","   0","   0","  33","   0","  12","   0","   0","  27","   0","   0","   0","   0","   0","   0","   0","  20","   0"," 149","   2","   0","   0","   0","   0","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","  60","   0","   2","   0","  65","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   2","  20","   1","   0","  14","   0","   0","   1","   0","   0","   1","   0","   3","   0","   0","   5","   2","   0","   0","   0","   0","   0","   1","   0","   7"
