"Depth (cm) [cm]","Acacia t.","Aerva type","Aeschynomene","Aizoaceae t.","Alchornea","Amaranthaceae undif.","Anacardium","Apiaceae undif.","Artemisia","Asteroideae undif.","Avicennia","Balanites","Boraginaceae undif.","Boscia","Brassicaceae","Calligonum","Capparis","Caryophyllaceae undif.","Cassia","Celastraceae undif.","Celosia type","Celtis","Centaurea","Cichorieae","Cleome","Coccinia","Cocculus","Combretaceae","Commelina","Commiphora","Cupressaceae","Cynomorium","Cyperaceae","Diospyros/Euclea t.","Echium t.","Ephedra","Euphorbia t.","Faboideae Undif.","Fagonia","Geraniaceae undif.","Grewioideae","Heliotropium","Hibiscus","Ixora","Lamiaceae undif.","Maerua","Maytenus","Mitracarpus","Moltkiopsis","Nyctaginaceae","Olea t.","Oxalis","Pavetta","Phyllanthus niruri","Pinus undif.","Plantago","Poaceae","Potamogeton","Quercus undif.","Resedaceae undiff.","Rhizophora","Rumex t.","Scrophulariaceae undif.","Sesbania","Spergularia t.","Spermacoce","Tamarix","Tinospora","Tribulus","Typha","Unknown","Zygophyllum t."
"140"," 23"," 10","  0","  0","  0"," 54","  0","  0","  1","  1","  0","  0","  0","  0","  7","  3","  0","  2","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  2","  0","  0","199","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  1","  1","  0","  0","  0","  0","  0","  0","  1"," 53","  0","  0","  0","  0","  0","  0","  0","  2","  0","  3","  0","  0","  0","  1","  0"
"150"," 12","  7","  0","  0","  1"," 54","  0","  0","  1","  7","  0","  0","  1","  0","  1","  0","  0","  3","  4","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  5","  0","  0","231","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  1","  7","  1","  1","  0","  0","  0","  0","  0","  0","  1","  1","135","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1"
"160","  1"," 10","  0","  2","  0"," 64","  0","  0","  1","  3","  0","  0","  0","  0","  2","  1","  0","  0","  3","  0","  1","  0","  1","  1","  0","  0","  1","  1","  0","  5","  0","  0","160","  0","  0","  0","  2","  1","  0","  1","  0","  0","  0","  0","  0","  2","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0"," 43","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0"
"170","  5","  4","  0","  3","  0","116","  0","  0","  1","  9","  1","  0","  0","  0","  7","  0","  2","  3","  2","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  2","  0","  0","129","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  4","  2","  0","  1","  0","  0","  0","  1","  0"," 53","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0"
"180","  1","  9","  0","  1","  0"," 90","  0","  0","  1"," 14","  0","  0","  0","  0","  3","  0","  2","  2","  3","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  2","  0","  0","109","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  1","  1","  0","  1","  0","  0","  0","  0","  0"," 92","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  1","  0"
"190","  3","  7","  0","  4","  0"," 73","  0","  0","  2","  4","  0","  0","  0","  0","  2","  1","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  4","  1","  0","252","  0","  0","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 49","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  5","  0"
"200","  6"," 15","  0","  1","  0"," 88","  0","  0","  1","  8","  0","  0","  0","  0","  4","  1","  1","  4","  2","  0","  1","  0","  0","  0","  0","  0","  0","  4","  0"," 10","  0","  0","359","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","185","  1","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  8","  0"
"210","  5","  4","  0","  0","  0"," 99","  0","  0","  3"," 20","  0","  0","  0","  0","  5","  0","  0","  2","  1","  0","  0","  0","  0","  0","  2","  0","  0","  2","  0","  3","  0","  0","139","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0"," 99","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 13","  0"
"220"," 10","  4","  1","  2","  0"," 81","  0","  1","  1"," 11","  0","  0","  0","  0","  2","  0","  0","  6","  2","  1","  0","  0","  0","  0","  0","  0","  0","  2","  1","  7","  0","  0","102","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0"," 80","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  2","  2","  0"
"240"," 13","  7","  0","  0","  1"," 73","  0","  1","  1","  6","  0","  0","  0","  0","  3","  1","  1","  1","  3","  0","  1","  0","  0","  1","  0","  0","  0","  5","  0","  1","  0","  0","204","  0","  0","  0","  6","  0","  1","  0","  0","  0","  0","  0","  1","  3","  0","  5","  0","  0","  2","  0","  0","  0","  1","  0","120","  0","  1","  1","  0","  0","  0","  0","  1","  1","  1","  0","  1","  1"," 11","  1"
