"Depth (cm)","Sauvagesia","Abutilon t.","Acacia t.","Acalypha","Adansonia digitata","Aerva type","Afraegle","Alchornea","Allophylus t.","Alstonia","Amaranthaceae undif.","Anthoceros t.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Blepharis","Blighia","Bridelia","Caesalpinia","Calpocalyx","Calpocalyx aubrevillei","Campylospermum","Canarium","Canthium","Cassia","Celastraceae undif.","Celosia type","Celtis","Chlorophora","Chrozophora","Chrysobalanus t.","Cichorieae","Cissus t.","Coccinia","Combretaceae","Commelina","Commiphora","Cyperaceae","Detarium","Diospyros/Euclea t.","Dodonaea","Ekebergia","Elaeis","Ephedra","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Galium t.","Grewioideae","Hygrophila","Hymenocardia","Hymenostegia","Hyphaene t.","Hypoestes t.","Indeterminable","Indigofera","Ipomoea","Jatropha/Croton","Justicia t.","Lamiaceae undif.","Lannea","Lepidagathis","Limnophyton","Lophira","Macaranga","Maerua","Mallotus","Maytenus","Mitracarpus","Mitragyna/Hallea","Monoletes","Morus","Musanga/Myrianthus","Nyctaginaceae","Nymphaea","Ocimum","Oldenlandia","Olea t.","Onagraceae","Pandanus","Parkinsonia","Pausinystalia","Petaloid monocot","Phoenix t.","Phyllanthus undif.","Pinus undif.","Plagiostyles","Poaceae","Podocarpus","Polygala","Polygonum t.","Polyscias","Prosopis t.","Pycnanthus","Rhamnaceae undif.","Rhizophora","Rubiaceae undif.","Rumex t.","Rutaceae undif.","Sapotaceae undif.","Searsia","Spermacoce","Symphonia","Syzygium t.","Tamarix","Teclea","Tephrosia","Tessmannia","Tetracera alnifolia","Tetrorchidium","Tribulus","Triletes","Typha","Uapaca","Urtica t.","Vernonieae","Vigna","Zanthoxylum"
"220",NA,"  0","  0","  0","  0","  1","  0","  5","  0","  0"," 20","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","119","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 59","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  0","230","  0","  0","  0","  0","  0","  0","  0"," 37","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"
"240",NA,"  0","  0","  0","  0","  3","  0","  2","  0","  0"," 23","  0","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  1","  0","  0","  0","  0","  0","  3","  0","  0","122","  0","  0","  1","  0","  2","  4","  0","  0","  0","  0","  4","  0","  2","  0","  0","  0","  0","  0","  1","  0"," 37","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  4","  0","  7","  4","  6","  0","  0","  0","  0","  0","  0","  2","  0","  0","  7","  0","  0","  0","  0","223","  0","  0","  0","  0","  0","  4","  0"," 74","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  5","  0","  0","  0","  0","  1"
"260",NA,"  0","  0","  0","  0","  7","  0","  5","  0","  0"," 28","  3","  0","  0","  3","  3","  1","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","171","  1","  0","  0","  0","  3","  4","  0","  0","  0","  0"," 13","  1","  0","  0","  0","  0","  3","  0","  0","  0"," 52","  0","  0","  1","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  1","  0"," 21","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  1","  0","214","  0","  0","  0","  0","  0","  0","  0"," 51","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0","  1","  6","  0","  0","  2","  0","  0"
"280",NA,"  0","  3","  0","  0","  3","  1","  7","  0","  0"," 21","  0","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  1","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0","  4","  0","  0","  9","  0","  0","123","  0","  0","  0","  0","  2","  3","  0","  0","  1","  0","  3","  0","  0","  0","  0","  0","  2","  1","  0","  0"," 43","  0","  0","  0","  0","  0","  0","  0","  0","  3","  3","  3","  0","  0","  0","  0","  8","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","212","  0","  1","  1","  0","  0","  0","  0"," 69","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 11","  1","  0","  1","  0","  0"
"300",NA,"  0","  0","  0","  0","  1","  0"," 10","  0","  1"," 21","  1","  1","  0","  1","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0"," 38","  1","  2","  0","  0","  1","  1","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0"," 21","  0","  0","  0","  0","  0","  0","  0","  0","  6","  3","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","167","  0","  0","  0","  0","  0","  1","  0"," 85","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  5","  4","  0","  0","  0","  0"
"320",NA,"  0","  0","  0","  0","  2","  0","  6","  0","  0"," 28","  0","  0","  1","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0","  7","  2","  0"," 99","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  3","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 12"," 18","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  2","  1","  0","  0","  0","156","  0","  0","  0","  0","  1","  2","  0"," 75","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  1","  0","  0","  3","  0","  2","  0","  0","  0"
"340",NA,"  0","  1","  0","  0","  0","  0","  3","  0","  0"," 18","  2","  1","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0"," 85","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  2","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  4","  0","  0","  1","  0","155","  0","  0","  0","  0","  0","  1","  0"," 60","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4","  0","  0","  0","  0","  0"
"360",NA,"  0","  2","  0","  0","  4","  0","  3","  0","  0"," 44","  0","  0","  1","  2","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  1","  0","  0","  7","  0","  0"," 98","  0","  1","  0","  0","  1","  3","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0"," 31","  0","  0","  0","  0","  0","  1","  1","  0","  4","  3","  0","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  2","  0","211","  0","  0","  0","  0","  0","  2","  0"," 67","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  2","  0","  5","  0","  1"
"380",NA,"  0","  0","  2","  0","  5","  0","  4","  0","  0"," 17","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  4","  0","  0","  3","  1","  0","  0","  1","  0","  0","102","  0","  0","  0","  0","  1","  5","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  1","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0"," 89","  0","  0","  0","  0","  0","  0","  0"," 65","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  2","  0","  0","  0"
"400",NA,"  0","  1","  0","  0","  1","  0","  5","  0","  0"," 26","  1","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0","  1","  0","  0","  3","  1","  0"," 61","  0","  0","  0","  0","  0","  4","  0","  0","  3","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 25","  1","  0","  0","  0","  0","  0","  0","  0","  2","  2","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  0","172","  0","  0","  1","  1","  0","  0","  0"," 52","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 11","  0","  0","  0","  0","  0"
"420",NA,"  0","  1","  1","  0","  5","  0","  7","  0","  0"," 25","  2","  0","  0","  3","  3","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  2","  0","  0","  3","  0","  0","127","  0","  1","  0","  0","  1","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  5","  0","  0","  0","  1","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  2","  0","  0","  1","  0","141","  0","  0","  0","  0","  0","  0","  0"," 89","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  7","  0","  0","  0","  1","  0"
"440","  1","  0","  1","  0","  0","  3","  0","  3","  0","  0"," 23","  1","  0","  0","  4","  1","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  3","  0","  0","  2","  0","  0"," 83","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  1","  3","  1","  0","  0","  0","  0","  0","  0"," 26","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  9","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  1","  2","  0","  1","  0","162","  0","  0","  0","  0","  0","  0","  1"," 67","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  1","  6","  1","  0","  0"
"460",NA,"  0","  1","  0","  0"," 12","  0"," 10","  0","  0"," 20","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","128","  0","  0","  0","  0","  0","  3","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","  0","  0","  0","  1","  1","  7","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  3","  0","109","  0","  0","  0","  0","  1","  3","  0","143","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  8","  0","  0","  0","  0","  0"
"470",NA,"  0","  0","  0","  0","  6","  0","  2","  0","  0"," 25","  1","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 94","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  1","  3","  1","  0","  1","  0","  0","  6","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","117","  0","  0","  0","  0","  0","  1","  0","138","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  1","  0","  0","  0","  0"
"480",NA,"  0","  5","  0","  0","  2","  0","  4","  1","  0","  9","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0"," 32","  2","  0","  0","  1","  1","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 35","  0","  0","  0","  0","  0","  0","  0","  0","  4","  4","  1","  0","  0","  0","  0"," 21","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  1","  0","133","  0","  0","  0","  0","  3","  0","  0"," 37","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1"," 12","  1","  0","  1","  0","  0"
"490",NA,"  0","  0","  0","  0","  6","  0","  5","  0","  0"," 19","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 77","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 27","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","102","  0","  0","  0","  0","  0","  0","  0","104","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0"
"500",NA,"  0","  0","  0","  0","  7","  0","  7","  0","  0"," 21","  1","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","140","  1","  0","  0","  0","  0","  3","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  5","  9","  1","  0","  0","  0","  0","  8","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0"," 81","  0","  0","  0","  0","  0","  1","  0","171","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  2","  1","  0","  0"
"510",NA,"  1","  0","  0","  0","  4","  0","  1","  0","  0"," 17","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","105","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  3","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  1","  6","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0"," 86","  0","  0","  0","  0","  0","  1","  0","100","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  1","  0","  0"
"520",NA,"  0","  0","  0","  1","  2","  0","  1","  0","  0","  8","  0","  0","  0","  1","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 57","  2","  0","  0","  0","  0","  1","  0","  0","  1","  1","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 31","  1","  2","  0","  0","  0","  1","  0","  0","  2","  1","  2","  0","  0","  0","  0"," 19","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  2","  0","  0","  2","  0","121","  0","  0","  0","  0","  0","  1","  1"," 58","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  3","  0","  0","  0"
"529",NA,"  0","  3","  1","  0","  3","  0","  0","  1","  0"," 29","  0","  0","  0","  2","  2","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  1","  0"," 86","  3","  0","  0","  0","  4","  4","  0","  1","  1","  0","  3","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 50","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  1","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","161","  1","  1","  0","  0","  0","  2","  0","122","  0","  0","  0","  0","  1","  0","  1","  2","  0","  0","  0","  0","  1","  0","  0","  0","  6","  0","  0","  0","  0","  0"
