"Depth (cm)","Abies","Acacia t.","Alchemilla t.","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asteroideae undif.","Betula","Bougenvillea","Brassicaceae","Campanulaceae","Capparis","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Celtis","Centaurea","Ceratophyllum","Cichorieae","Cicuta virosa type","Cornus","Corylus","Cotinus coggygria","Crassulaceae","Cyperaceae","Elatine","Ephedra","Fabaceae Undif.","Fagus","Fallopia","Fern","Filipendula t.","Frangula","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hippuris","Hypericum undif.","Indeterminable","Juglans","Lamiaceae undif.","Littorella","Lotus t.","Lythrum","Menyanthes","Monoletes","Morus","Musci","Myricaria","Myriophyllum spicatum/verticillatum t.","Osyris","Papaver t.","Paronychieae","Pinus undif.","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Portulacaceae t.","Prunus t.","Pterocarya","Quercus undif.","Ranunculaceae undif.","Rhus coriaria","Rosaceae undif.","Rumex t.","Salix","Schoenoplectus type","Schoenus type","Scrophulariaceae undif.","Secale","Solanaceae undif.","Solanum","Sparganium","Spergularia t.","Tamarix","Thalictrum","Trifolium t.","Typha","Ulmus t.","Urtica t.","Viola"
"1680","   0","   0","   0","7144","   0","   0","  17","   0","   2","   2","   0","   0","   2","   7","   2","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   1","   0","   0","   1","   0","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  13","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   7","   4","   1","   0","   0","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0"
"1700","   0","   0","   0","2920","   0","   1","  34","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   0","  18","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   1","   1","   1","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","   1"
"1720","   0","   0","   0","3420","   0","   0","  24","   0","   0","   2","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   6","   1","   0","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1725","   0","   0","   0","3192","   2","   0","  28","   0","   3","   2","   0","   0","   0","   3","   0","   0","   4","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   1","   1","   0","  29","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   4","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"1735","   0","   0","   0","3861","   0","   0","  13","   0","   0","   1","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0"
"1740","   0","   0","   0","5891","   0","   0","  18","   0","   0","   2","   0","   0","   1","   3","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  14","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"
"1750","   0","   0","   0","1794","   0","   0","  13","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  17","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   5","   0","   0","   0","   0","   0","   0","   1","   3","   1","   0","   0","   0","   0"
"1760","   0","   0","   0","5094","   0","   0","  25","   0","   2","   0","   0","   0","   1","   1","   1","   0","   5","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   1","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","  27","   2","   0","   0","   0","   0","   1","   4","   1","   0","   1","   0","   0","   2","   6","   1","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0"
"1770","   0","   0","   0","5503","   1","   0","  19","   0","   0","   1","   1","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  29","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   1","   2","   6","   1","   0","   0","   1","   0","   1","   0","   0","   1","   0","   0","   0","   0"
"1780","   1","   0","   1","3182","   3","   0","  23","   0","   2","   2","   0","   0","   0","   4","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  15","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   1","   0","   1","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","  34","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   2","   4","   1","   0","   0","   1","   2","   0","   0","   1","   0","   0","   1","   0","   0"
"1790","   0","   0","   0","9610","  15","   0","  39","   0","   0","   1","   0","   0","   1","   8","   0","   0","   2","   0","   0","   1","   1","   0","   0","   1","   0","   1","   1","   0","   0","   4","   1","   7","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   2","   0","  45","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   1","   1","   4","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0"
