"sample_name","depth","Hagenia","Acalypha","Aerva type","Alchemilla t.","Allophylus t.","Amaranthaceae undif.","Anthospermum","Apiaceae undif.","Apodytes dimidiata","Artemisia","Asteroideae undif.","Balanites","Barbeyaceae","Brassicaceae","Caryophyllaceae undif.","Celastraceae undif.","Celosia type","Celtis","Cichorieae","Clematis-type","Combretaceae","Commiphora","Crepis-type","Cupressaceae","Cussonia","Cyperaceae","Digera-type muricata","Diospyros/Euclea t.","Dodonaea","Erica t.","Euphorbia t.","Faboideae Undif.","Gentianaceae undif.","Hebenstreitia dentata","Ilex","Indeterminable","Lythrum","Macaranga","Monoletes","Morella","Myriophyllum alterniflorum t.","Myrsine africana","Nuxia t.","Ocimum","Olea t.","Pappea capensis","Pentanisia-type ouranogyne","Petaloid monocot","Plantago","Poaceae","Podocarpus","Polyscias","Prunus t.","Ranunculaceae undif.","Ricinus","Rosa t.","Rumex t.","Schefflera","Swertia lastii-type","Syzygium t.","Teclea","Thalictrum","Tribulus","Trifolium t.","Triletes","Typha","Uebelinia-type","Urtica t.","Vernonieae","Xyris","thickness"
NA," 28","  2","  0","  0"," 40","  1","  1","  0","  2","  0","  0","  4","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","287","  0","  0","  3"," 73","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  8","  0"," 19"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 30","  5","  0","  0"," 76","  0","  3","  0","  0","  0","  0","  9","  0","  0","  3","  2","  0","  2","  3","  0","  0","  0","  0","  0","  4","  0","577","  0","  2","  1"," 88","  0","  4","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0"," 10","  0","  0"," 73","  0"," 63"," 27","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 32","  4","  0","  0"," 44","  0","  1","  0","  5","  0","  1","  3","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  2","  0","422","  0","  0","  0"," 61","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0"," 13","  0"," 35"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1"
NA," 33",NA,"  1","  0"," 51","  0","  1","  0","  7","  0","  0","  3","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","341","  0","  0","  3"," 70","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  3","  0","  0","  8","  0"," 20"," 13","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 34","  1","  0","  0"," 35","  0","  0","  0","  0","  0","  1","  5","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","244","  0","  0","  0"," 49","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0"," 15","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 35","  1","  0","  0","  9","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","229","  0","  0","  0"," 77","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0"," 10","  1"," 21","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 36","  3","  0","  0"," 26","  0","  0","  0","  6","  0","  0"," 16","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","218","  0","  0","  4"," 60","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0"," 17"," 21","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 37","  4","  0","  0"," 32","  0","  1","  0","  3","  0","  2"," 16","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  3","  0","272","  0","  0","  1"," 63","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  3","  0","  0","  1","  0"," 37"," 16","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 38","  3","  0","  0"," 28","  0","  1","  0","  4","  0","  0"," 10","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","254","  0","  0","  2"," 52","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0"," 26"," 24","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 40","  9","  0","  1"," 68","  0","  2","  0","  2","  0","  0"," 13","  0","  0","  7","  3","  0","  1","  0","  0","  1","  1","  0","  1","  1","  0","335","  0","  0","  1"," 30","  0","  2","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  6","  2"," 26"," 30","  0","  0","  7","  0","  0","  1","  2","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  1"
NA," 42","  3","  0","  0"," 77","  0","  1","  0","  4","  0","  0"," 21","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","363","  0","  0","  3","112","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  3","  0"," 48"," 24","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1"
NA," 43","  3","  0","  0","122","  0","  2","  0","  1","  0","  0"," 23","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","  0","  0","  9","  0","404","  0","  0","  2"," 70","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  3","  0","  0","  3","  2"," 56"," 23","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1"
NA," 45","  2","  0","  0"," 59","  0","  1","  0","  1","  0","  0","  6","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","174","  0","  0","  0"," 51","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0"," 31"," 17","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 49","  2","  0","  0"," 71","  0","  3","  0","  1","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","213","  0","  0","  3"," 67","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  3","  1"," 31"," 23","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 50","  4","  0","  0","107","  0","  0","  0","  1","  0","  0"," 13","  0","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","394","  0","  0","  2"," 83","  0","  2","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  5","  0"," 27"," 20","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  1"
NA," 54","  6","  0","  0","103","  0","  0","  0","  1","  0","  0"," 10","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  6","  0","246","  0","  0","  0"," 46","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  4","  0","  0"," 11","  3"," 31"," 32","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 60","  8","  0","  0","154","  0","  0","  0","  1","  0","  0"," 22","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","244","  1","  4","  2","151","  0","  4","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0"," 18","  0","  0"," 24","  0"," 85"," 71","  0","  0","  5","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  3","  1"
NA," 65","  8","  0","  0","119","  0","  2","  1","  2","  0","  0"," 19","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 10","  0","223","  0","  0","  1"," 56","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  6","  0"," 48"," 44","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 70"," 13","  0","  0","146","  0","  1","  0","  3","  2","  0"," 18","  0","  0","  6","  3","  0","  0","  0","  0","  1","  0","  1","  1"," 10","  0","119","  0","  0"," 20"," 83","  0","  3","  0","  0","  0","  1","  0","  0","  3","  1","  0","  1","  0","  0","  8","  0","  0","  0","  0"," 85"," 89","  0","  0","  2","  0","  0","  0","  2","  1","  0","  0","  3","  0","  0","  1","  0","  0","  0","  0","  0","  1"
NA," 75","  3","  0","  0"," 32","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  9","  0","184","  0","  0","  5"," 90","  0","  3","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 19"," 36","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA," 80"," 10","  0","  0","289","  0","  0","  0","  2","  0","  2","  8","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1"," 16","  0"," 88","  0","  0"," 15"," 61","  0","  1","  0","  1","  0","  0","  0","  0","  5","  0","  0","  0","  0","  3"," 11","  0","  1","  1","  0","286"," 88","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  1"
NA,"84"," 2"," 0"," 0","43"," 0"," 0"," 0"," 0"," 0"," 0","14"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0","89"," 0"," 0"," 6","59"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"," 0","93","48"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"
NA," 90"," 12","  0","  0","246","  0","  4","  0","  0","  1","  0","  9","  0","  0","  2","  2","  0","  0","  3","  0","  0","  1","  1","  0"," 29","  0","107","  0","  1","  8"," 79","  0","  1","  0","  0","  0","  0","  0","  0","  4","  0","  1","  0","  0","  0"," 17","  0","  0"," 11","  1","259","128","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1"
NA," 95","  4","  0","  0","112","  0","  3","  0","  0","  0","  0","  6","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0"," 11","  0"," 72","  0","  0","  2"," 56","  0","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0","184"," 65","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"100"," 12","  1","  0","297","  0","  2","  0","  3","  0","  1"," 17","  0","  0","  1","  1","  0","  0","  2","  0","  0","  0","  0","  0"," 17","  0"," 54","  0","  0","  2","276","  0","  1","  0","  0","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0"," 29","  0","  0","  2","  0","177","146","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"105","  2","  0","  0","141","  0","  2","  0","  1","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","145","  0","  0","  1"," 65","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  6","  0","  0","  3","  0","115"," 50","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"110","  4","  0","  0","111","  0","  0","  0","  0","  0","  2"," 17","  0","  0","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","137","  0","  0","  0","148","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0"," 14","  0"," 19"," 80","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1"
NA,"115","  1","  0","  0"," 93","  0","  1","  0","  1","  0","  0"," 11","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","146","  0","  0","  0","106","  0","  2","  1","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  4","  0"," 72"," 38","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"120","  3","  0","  0","168","  0","  2","  0","  2","  0","  0"," 25","  0","  0","  0","  5","  0","  2","  0","  0","  0","  0","  0","  0"," 11","  0","124","  0","  0","  0","199","  0","  1","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  2","  0","  0"," 46","  0","115"," 99","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  1","  0","  0","  0","  1"
NA,"125",NA,"  0","  0","130","  0","  2","  0","  1","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","115","  0","  0","  0"," 87","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0"," 74"," 45","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"130","  1","  0","  0","123","  0","  1","  0","  2","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 62","  0","  0","  0"," 97","  0","  3","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  4","  0","  0","  3","  1"," 60"," 77","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"135",NA,"  0","  0","  0","  0","  5","  0","  1","  0","  0"," 17","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0"," 78","  0","  0","  0","114","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","103"," 53","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"140",NA,"  0","  0"," 60","  0","  0","  0","  1","  0","  0"," 21","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0"," 51","  0","  0","  0","143","  0","  5","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  4","  0","  0","  1","  0","138"," 79","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"145",NA,"  0","  0","  8","  0","  0","  0","  1","  0","  0"," 20","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 62","  0","  0","  0"," 45","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 51"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"150","  4","  0","  0","244","  2","  1","  0"," 47","  0","  0"," 59","  0","  0","  1","  7","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","238","  0","  0","  1","137","  0","  6","  0","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","232","101","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"155",NA,"  0","  0"," 72","  0","  1","  0","  2","  0","  0"," 20","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","104","  0","  0","  0","122","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0"," 56"," 54","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1"
NA,"160","  1","  0","  0","212","  0","  0","  0","  0","  1","  0"," 29","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","139","  0","  0","  0"," 61","  0","  1","  2","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0"," 23","  0","121"," 51","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1"
NA,"165",NA,"  0","  0"," 19","  0","  0","  0","  3","  0","  0"," 11","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 35","  0","  0","  1"," 63","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 30"," 23","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"170",NA,"  0","  0","  3","  0","  0","  0","  5","  0","  0"," 45","  0","  0","  0","  6","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0"," 57","  0","  0","  0","243","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 67"," 39","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"175",NA,"  0","  0","  3","  0","  1","  0","  1","  0","  0"," 22","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 25","  0","  0","  0"," 70","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11"," 15","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1"
NA,"180",NA,"  0","  0"," 50","  0","  0","  0"," 13","  0","  0"," 44","  0","  0","  1"," 10","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","171","  0","  0","  0"," 82","  0","  3","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","152"," 50","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  1"
NA,"185",NA,"  0","  0"," 29","  0","  0","  0","  6","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","117","  0","  0","  0","121","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0"," 54"," 32","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
NA,"190","  1","  0","  0"," 20","  0","  0","  0","  6","  1","  0"," 28","  0","  0","  0","  4","  0","  0","  2","  1","  0","  0","  0","  0","  2","  0","150","  0","  1","  1"," 76","  0","  2","  0","  0","  0","  1","  0","  0","  6","  1","  0","  0","  2","  0","  0","  0","  0"," 13","  0"," 97"," 31","  0","  0","  9","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  1"
NA,"195",NA,"  0","  0"," 12","  0","  0","  0"," 36","  0","  3"," 29","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","189","  0","  0","  0","101","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 97"," 41","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
