"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Alnus","Amaranthaceae undif.","Anacardiaceae undiff.","Apiaceae undif.","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Berberis t.","Betula","Boraginaceae undif.","Brassicaceae","Calligonum","Campanulaceae","Cannabaceae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Eriocaulon","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Gentianaceae undif.","HippophaÃ« rhamnoides","Ilex","Juncaceae","Lamiaceae undif.","Lysimachia","Lythrum","Malva undif.","Mercurialis","Monoletes","Morella","Myriophyllum undif.","Myrtus","Olea t.","Papaver t.","Paronychieae","Petaloid monocot","Picea","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Quercus evergreen","Ranunculaceae undif.","Rhamnus","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Ruta","Salix","Sambucus","Sanguisorba t.","Sarcopoterium","Saxifragaceae","Scrophulariaceae undif.","Searsia","Sparganium","Tamarix","Thalictrum","Trifolium t.","Triletes","Typha","Unknown","Urtica t.","Valeriana t.","Valerianaceae undif.","Valerianella"
"2432",NA,NA,"  73","   0","   1","   0","   3","   0","   7","   0","   2","   0","  39","   0","   0","   0","  24","   0","   0","   0","   0","   0","   1","   9","  25","   0","   0","  21","   0","   1","   1","   0","   1","   0","  38","   0","   1","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","  40","   6","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   4"," 117","   0","   0","   5","   0","   0","  42","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   4","   0","   0","   0","   0","   0"
"2587",NA,NA,"  78","   0","   0","   0","   5","   0","  17","   0","   1","   0","  41","   0","   0","   0","  26","   0","   0","   0","   0","   0","   0","   3","  57","   2","   0","  30","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","  30","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  10","  54","   0","   0","   2","   0","   0","  37","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   2","   8","   2","   0","   0","   0","   0"
"2743",NA,NA,"  83","   0","   0","   0","   2","   0","  41","   0","   2","   0","   9","   0","   0","   0","  67","   0","   0","   0","   0","   0","   0","   0","   9","   0","   0","  16","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  25","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 107","   0","   1","  47","   0","   0","  45","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   4","   6","   0","   2","   0","   2"
"2899",NA,NA,"  88","   0","   3","   2","   7","   0","   6","   0","   1","   0","  33","   0","   0","   0","  32","   0","   0","   0","   0","   0","   1","   5","  19","   0","   0","  28","   0","   0","   0","   0","   0","   0","  17","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 110","  35","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   9"," 106","   0","   0","   3","   0","   0","  25","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","  10","  12","   0","   0","   0","   0"
"3055",NA,NA,"  93","   0","   0","   0","   4","   0","  14","   0","   0","   0","  10","   0","   0","   0","  62","   0","   1","   0","   0","   0","   1","   9","   9","   0","   0","  32","   0","   0","   0","   0","   1","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   8","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0"," 116","   0","   0","  40","   0","   0","  27","   4","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   2","   6","   2","   0","   0","   0"
"3211",NA,NA,"  98","   1","   0","   0","   6","   0","   9","   0","   4","   0","   5","   0","   0","   0","  21","   0","   0","   0","   0","   0","  10","   0","  10","   0","   0","  36","   0","   1","   0","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  36","  14","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   1","   0","   0","   2","   0","   1"," 139","   0","   0","  47","   0","   0","  10","  27","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   6","   0","   0","   0","   0","   0"
"3367",NA,NA," 103","   0","   0","   0","   7","   0","   1","   0","   0","   0","   9","   0","   0","   0","  13","   0","   0","   0","   0","   0","   3","   0","  25","   0","   0","  39","   0","   0","   0","   0","   0","   0","  74","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  29","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   4","   0","  10","  89","   0","   1","   6","   0","   0","  18","  72","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   5","   6","   1","   0","   0","   0"
"3523",NA,NA," 108","   0","   0","   0","   4","   0","  10","   0","   2","   0","  13","   0","   1","   0","   4","   0","   0","   0","   0","   0","   0","   1","   6","   1","   0","  91","   0","   0","   0","   0","   0","   0","  31","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   9","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","  14","  94","   0","   0","   0","   0","   0","   4","  32","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0"
"3834",NA,NA," 113","   0","   0","   0","   4","   0","   6","   0","   0","   1","  28","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0"," 178","   0","   0","   0","   0","   0","   0","  36","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0"," 138","   0","   0","   0","   0","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"4318",NA,NA," 123","   0","   3","   0","   7","   0","   6","   0","   3","   0","  17","   0","   0","   1","  12","   0","   0","   0","   0","   0","   3","   4","  13","   2","   0","  81","   0","   0","   0","   0","   0","   0","  47","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   9","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1"," 106","   0","   2","  26","   0","   0","  16","  14","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0"
"4564",NA,NA," 133","   0","   1","   1","   8","   0","  12","   0","   0","   0","  32","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","  10","   1","   0"," 297","   0","   0","   0","   0","   0","   0"," 107","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  39","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  85","   0","   0","  19","   1","   0","   8","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   2","   0","   0","   0","   0"
"5056",NA,NA," 138","   0","   0","   0","   7","   0","   1","   0","   0","   0","  11","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","  12","   0","   0"," 183","   0","   0","   0","   0","   0","   0","  48","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0"," 108","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0"
"5302",NA,NA," 148","   0","   0","   0","  17","   0","  10","   0","   0","   0","  24","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0"," 390","   0","   0","   0","   0","   0","   0","  96","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 135","   0","   0","   0","   0","   0","  32","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0","   0"
"5548",NA,NA," 153","   0","   1","   0","   5","   0","  13","   0","   4","   0","  38","   0","   0","   0","   7","   0","   0","   0","   0","   0","   2","   0","  14","   1","   0"," 385","   0","   0","   0","   0","   0","   0"," 146","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  30","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   1"," 132","   0","   0","  10","   0","   0","  31","   9","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   3","   4","   0","   0","   0","   0"
"6287",NA,NA," 158","   0","   0","   0","   8","   0","  29","   0","   0","   1","  66","   0","   0","   1","   1","   0","   0","   1","   0","   0","   1","   0","  34","   3","   0"," 677","   0","   0","   0","   0","   0","   0"," 180","   1","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0"," 200","   0","   1","   2","   0","   0","  41","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","  17","   0","   0"
"6779",NA,NA," 173","   0","   0","   0","  10","   0","   9","   0","   0","   0","  20","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   7","   1","   0"," 345","   0","   0","   0","   0","   0","   0","  77","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   7","   3","   0","   0","   0","   0","   8","   0","   2","   0","   0","   0","   0","   0","   0","   6","   0","   1","  99","   0","   1","   0","   0","   0","  23","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"7272",NA,NA," 183","   4","   0","   0","   2","   0","   7","   0","   0","   0","  16","   0","   0","   0","  17","   0","   0","   0","   0","   0","   2","   4","   2","   0","   0","  88","   0","   0","   0","   0","   0","   0","  35","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  21","  22","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   4","   1","   1"," 111","   0","   0","   7","   0","   0","   7","   9","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0"
"7518",NA,NA," 193","   0","   1","   0","   1","   0","  11","   0","   0","   0","  11","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   4","   1","   0"," 205","   0","   0","   0","   0","   0","   0","  34","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  93","   4","   0","   5","   0","   0","  52","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  58","   0","   0","   0","   0"
"7764",NA,NA," 198","   0","   0","   0","   2","   0","  11","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0"," 156","   0","   0","   0","   0","   0","   0","  28","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   1","  92","   0","   0","   0","   0","   0","  13","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"8010",NA,NA," 203","   0","   0","   0","  14","   0","   1","   0","   0","   0","  10","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","   0","  10","   0","   0"," 206","   0","   0","   0","   0","   0","   0","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  77","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"8256",NA,NA," 208","   0","   1","   0","   5","   0","   8","   0","   0","   0","  19","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0"," 154","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  90","   0","   2","   0","   0","   0","  10","   0","   0","   2","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"8502",NA,NA," 213","   0","   0","   0","   5","   0","   5","   0","   0","   0","  18","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0"," 170","   0","   0","   0","   0","   0","   0","  24","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  44","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   2","  19","   2","   1","   4","   0","   0"," 101","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"8748",NA,NA," 218","   0","   2","   0","   5","   0","   7","   0","   0","   0","  23","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","  10","   0","   0"," 175","   0","   0","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","  67","   0","   1","   0","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"
"8995",NA,NA," 223","   0","   0","   0","   3","   0","   2","   0","   0","   0","  10","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0"," 200","   0","   0","   0","   0","   0","   0","  48","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","  68","   0","   1","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"9241",NA,NA," 228","   0","   0","   0","  12","   0","   2","   0","   0","   1","  30","   0","   0","   0","   3","   0","   0","   0","   0","   0","   3","   0","  13","   0","   0"," 191","   0","   0","   0","   0","   0","   0","  26","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","  36","   0","   1","   1","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"9487",NA,NA," 233","   0","   1","   0","   1","   0","   6","   0","   0","   0","  12","   0","   0","   0","   7","   0","   0","   0","   0","   0","   1","   0","   6","   2","   0"," 148","   0","   0","   0","   0","   0","   0","  57","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   4","   8","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  54","   1","   0","   0","   0","   0","  80","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"9733",NA,NA," 238","   0","   3","   0","   8","   0","  10","   0","   0","   0","  30","   0","   0","   0","   5","   0","   0","   0","   0","   0","   1","   1","  18","   0","   0"," 206","   0","   1","   0","   0","   0","   0","  27","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  29","   0","   2","   2","   0","   0","   5","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0"
"9979",NA,NA," 243","   0","   0","   0","   8","   0","   6","   0","   0","   0","   9","   0","   0","   0","   5","   0","   0","   0","   0","   0","   1","   0","   8","   0","   0"," 174","   0","   0","   0","   0","   0","   0","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","  74","   0","   1","  10","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"10225",NA,NA,"  248","    0","    0","    0","   13","    0","   24","    0","    0","    1","   15","    0","    0","    0","    9","    0","    0","    0","    0","    0","    1","    0","    3","    0","    0","  105","    0","    0","    0","    0","    0","    0","   23","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","   44","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  112","    0","    1","   16","    0","    0","   35","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    2","    0","    1","    0","    0"
"10316",NA,NA,"  253","    0","    0","    0","    6","    0","   13","    0","    1","    0","   20","    0","    0","    0","   28","    0","    0","    0","    0","    0","    0","    9","    3","    1","    0","   79","    0","    0","    0","    0","    0","    0","   41","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    1","    0","    0","  113","    2","    1","    9","    0","    0","   52","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
