"Sample age (cal yr BP) [cal yr BP]","Depth (cm) [cm]","Acacia t.","Acanthaceae undif.","Aizoaceae t.","Amaranthaceae undif.","Asteroideae undif.","Balanites","Blepharis","Borreria t.","Boscia","Capparis","Cassia","Celtis","Cichorieae","Cleome","Cocculus","Combretaceae","Commiphora","Convolvulaceae","Crossopteryx","Cucurbitaceae undif.","Cyperaceae","Euphorbia t.","Faboideae Undif.","Fern","Ficus","Hyphaene t.","Indeterminable","Indigofera","Ipomoea","Lamiaceae undif.","Lannea","Maerua","Mitracarpus","Mitragyna/Hallea","Nyctaginaceae","Nymphaea","Petaloid monocot","Piliostigma","Poaceae","Polygonum t.","Sapotaceae undif.","Solanaceae undif.","Spergularia t.","Tephrosia","Tribulus","Typha","Utricularia","Ziziphus/Paliurus"
NA,"50"," 0"," 1"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 1"," 0"," 1"," 0"," 0"," 0","27"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 1"," 0"," 1"," 0"," 1"," 0","29"," 3"," 0","71"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"
NA,"55"," 1"," 0"," 0"," 3"," 4"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 0"," 0"," 3"," 0"," 0"," 1"," 0","44"," 0"," 3"," 0"," 0"," 0"," 2"," 1"," 0"," 3"," 0"," 1"," 1"," 7"," 0","68"," 0"," 0","99"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"
NA,"65"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 0"," 3"," 0"," 1"," 1"," 1","30"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 0"," 0"," 1"," 0"," 2"," 4"," 0","53"," 0"," 0","52"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"
NA,"70"," 1"," 0"," 0"," 1"," 1"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0","34"," 0"," 2"," 0"," 0"," 0"," 3"," 2"," 0"," 0"," 0"," 1"," 0"," 5"," 1","62"," 0"," 1","49"," 2"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 0"
NA,"75"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 1"," 0"," 1"," 0"," 2"," 0"," 0","52"," 1"," 2"," 0"," 0"," 0"," 6"," 4"," 0"," 1"," 0"," 2"," 0"," 4"," 1","81"," 0"," 0","65"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"
NA,"80"," 1"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 1"," 0"," 0","25"," 0"," 1"," 0"," 0"," 0"," 2"," 1"," 0"," 0"," 0"," 1"," 1"," 5"," 0","53"," 0"," 0","39"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"
"539"," 85","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  1","  0"," 27","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  1","  4","  0"," 42","  1","  0"," 35","  1","  0","  0","  0","  1","  0","  0","  0","  0"
NA,"115","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  9","  0","  0"," 60","  1","  0","  0","  0","  0","  0","  0","  0","  0"
NA,"125","  0","  1","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0"," 15","  0","  0","  0","  1","  1","  1","  0","  0","  1","  0","  0","  2","  7","  0"," 15","  1","  0"," 55","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,"135","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0","  1","  0"," 15","  0","  0","  0","  0","  0","  2","  1","  0","  1","  0","  1","  1","  7","  1"," 13","  1","  0"," 60","  0","  0","  0","  0","  0","  0","  0","  0","  0"
NA,"145","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0"," 15","  0","  1","  0","  0","  0","  3","  0","  0","  1","  0","  0","  3","  7","  0"," 15","  0","  0"," 53","  0","  0","  0","  0","  0","  0","  0","  1","  1"
NA,"155","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  9","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  5","  0","  0"," 75","  1","  0","  0","  0","  0","  0","  0","  0","  0"
