"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Algae","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anthemideae undif.","Apiaceae undif.","Arceuthobium","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Cupressaceae","Cuscuta","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Fraxinus","Galium t.","Genisteae","Geranium","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lysimachia","Mercurialis","Musci","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rhus/Cotinus","Rosa t.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Saxifragaceae","Sparganium","Styrax","Tilia","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Valerianella","Vitis"
NA,NA,NA," 90","  0","  0","  0","  3","  4","  1"," 10","  0","  0"," 21","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  2","  0","275","  5","  5","  0","  0","  0"," 14","  0","  7","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  2","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","349","  0","  2","  0","  0","  0","  0","  0","631","  1","  4","  1"," 15","  8","  0","  0","  0","128"," 29","  3","  0","  0","  0","  0","  0","  0","  9","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0"
NA,NA,NA,"120","  1"," 18","  1","  0","  5","  0","  4","  1","  0"," 25","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  5","  0","241"," 56"," 11","  1","  3","  0","  2","  0","132","  0","  1","  0","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","350","  0","  3","  0","  0","  0","  0","  0","996","  1","  6","  0"," 16"," 23","  6","  0","  0"," 52"," 23"," 52","  0","  0","  0","  0","  0","  0","  3","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"160","  0","  9","  0","  0","  4","  0"," 14","  1","  0"," 12","  0","  0","  0","  0"," 12"," 10","  0","  0"," 23","  0","  0","  0"," 77","256"," 34","  0"," 15","  1","  0","  0"," 17","  0","  0","  0","  0","  0","  0","  0","  9","  0","  1","  0","  0","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","219","  1","  1","  0","  9","  2","  4","  0","  0","  1","  2","  0","  0","  0","  0","  1","  1","  0","  1","  0","  4","  0","  0","  0","  1","  2","  0","  0","  0"
NA,NA,NA,"110","  0"," 17","  0","  0"," 25","  0"," 11","  0","  0","  8","  0","  1","  0","  0","  4","  0","  0","  0","  1","  0","  4","  0","205"," 27","  2","  0","  2","  0","  1","  0"," 15","  0","  1","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0"," 69","  0","  1","  0","  0","  1","  0","  0","582","  3","  1","  0","  6"," 14","  9","  0","  0"," 38"," 20","  4","  0","  0","  0","  0","  0","  0","  1","  0","  5","  0","  1","  0","  0","  0","  0","  0","  1"
NA,NA,NA,"130","  0","  2","  3","  0","  1","  0"," 15","  0","  0"," 12","  0","  0","  0","  1","  4","  1","  0","  0","  4","  0","  3","  0","246"," 67","  9","  0"," 11","  0","  3","  0","330","  0","  1","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 92","  0","  0","  0","  0","  0","  0","  0","578","  0","  3","  0"," 10","  4","  5","  0","  0"," 23"," 28"," 25","  0","  0","  0","  0","  0","  0","  4","  0","  5","  0","  0","  1","  0","  0","  1","  1","  0"
NA,NA,NA," 50","  0","  1","  0","  6"," 11","  0","  3","  5","  0"," 21","  0","  0","  0","  9","  5","  0","  0","  0","  1","  0","  2","  0","283"," 12","  1","  0","  0","  0"," 29","  0","  3","  0","  1","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","180","  0","  1","  0","  0","  1","  0","  0","594","  2","  5","  0"," 14","  7","  3","  0","  0"," 60","133","  0","  0","  0","  1","  0","  0","  0"," 13","  0","  2","  0","  0","  0","  0","  2","  0","  2","  0"
NA,NA,NA,"180","  1","  2","  0","  4","  8","  0"," 17","  1","  0","  6","  0","  2","  1","  0"," 29"," 30","  0","  0"," 18","  0","  1","  1"," 81","250"," 50","  0"," 11","  0","  0","  0"," 11","  0","  2","  0","  0","  0","  0","  0"," 13","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  3","  0","  0","  0","  0","  0","306","  0","  0","  0","  6"," 10","  4","  0","  0","  1","  1","  2","  1","  0","  0","  1","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  1","  0"
NA,NA,NA,"200","  0","  5","  0","  0","  8","  0"," 30","  0","  0"," 14","  0","  1","  0","  1"," 67"," 30","  0","  1"," 29","  0","  1","  0","307","271"," 33","  0","  2","  0","  1","  0"," 18","  1","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  1","  0","  0","  2","  0","  0","  0","  0","360","  1","  2","  0"," 11"," 17","  9","  0","  0","  4","  4","  0","  0","  0","  0","  1","  0","  0","  1","  1"," 12","  0","  0","  0","  0","  2","  0","  0","  0"
NA,NA,NA,"140","  0","  2","  0","  1"," 10","  0"," 15","  1","  0"," 11","  0","  0","  0","  1"," 14","  0","  0","  0","  7","  0","  4","  0","177","144"," 29","  0"," 22","  1","  3","  0","120","  1","  3","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","161","  0","  1","  0","  0","  0","  0","  0","627","  0","  4","  0"," 11","  6","  7","  0","  0"," 27"," 10","  5","  0","  0","  0","  0","  0","  0","  3","  0","  4","  0","  0","  0","  1","  0","  0","  0","  0"
NA,NA,NA,"190","  0","  4","  0","  2","  1","  0"," 54","  0","  0"," 14","  0","  2","  0","  0"," 33"," 23","  0","  0"," 33","  0","  2","  0","156","437"," 48","  0","  3","  0","  1","  1"," 15","  0","  1","  0","  1","  2","  0","  0","  9","  0","  1","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","302","  0","  1","  0"," 12","  7","  8","  0","  0","  2","  1","  1","  0","  0","  0","  2","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  0","  1","  0"
NA,NA,NA," 60","  0","  0","  0","  0","  6","  0","  5","  0","  0"," 34","  1","  0","  0","  0","  2","  0","  0","  0","  2","  1","  5","  0","396","  9","  1","  0","  0","  0"," 24","  0","  7","  1","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  3","  3","  0","  0","  0","  3","  2","  1","  0","  0","  0","  0","191","  0","  2","  0","  0","  1","  0","  0","453","  2","  7","  7"," 22","  5","  3","  0","  0","175"," 79","  0","  0","  1","  5","  0","  0","  0","  9","  0","  3","  0","  0","  0","  0","  2","  0","  0","  1"
NA,NA,NA," 20","  1","  1","  1","  1"," 12","  0"," 16","  0","  0"," 17","  1","  2","  0","  7","  4","  1","  0","  0","  4","  1","  0","  0","201"," 25"," 28","  0","  0","  0"," 45","  0"," 22","  1","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","154","  0","  5","  0","  0","  0","  0","  1","403","  2"," 10","  0"," 35","  4","  3","  1","  0"," 45"," 37","  1","  0","  0","  0","  0","  1","  0","  6","  0","  5","  0","  0","  1","  0","  0","  0","  0","  0"
NA,NA,NA," 70","  0","  0","  1","  0"," 16","  1","  7","  1","  1"," 48","  0","  3","  0","  4","  2","  0","  0","  0","  0","  1","  2","  0","513","  8","  4","  0","  0","  0"," 32","  0","  6","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  5","  6","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","678","  0","  5","  0","  0","  1","  0","  0","623","  3"," 14","  2"," 18","  5","  6","  0","  0","133"," 84","  1","  0","  0","  1","  1","  0","  0","  3","  0","  1","  0","  0","  0","  1","  2","  0","  0","  0"
NA,NA,NA," 30","  0","  4","  0","  0"," 10","  0","  5","  2","  0"," 18","  0","  0","  0"," 10","  3","  0","  0","  0","  1","  2","  2","  0","316"," 13","  7","  0","  0","  0"," 18","  0"," 11","  1","  1","  1","  0","  1","  0","  0","  4","  0","  1","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0"," 47","  0","  3","  0","  0","  5","  1","  0","475","  4","  4","  1"," 27","  7","  3","  0","  0"," 48"," 67","  4","  0","  0","  0","  1","  0","  0","  3","  0"," 58","  0","  0","  4","  0","  2","  0","  0","  0"
NA,NA,NA," 40","  0","  3","  0","  1"," 13","  0","  6","  2","  0"," 25","  0","  2","  0","  7","  2","  0","  0","  0","  4","  1","  1","  0","647"," 26","  8","  0","  0","  0"," 62","  0"," 56","  0","  1","  0","  0","  0","  1","  1","  7","  0","  0","  0","  0","  3","  0","  1","  0","  0","  6","  1","  0","  0","  0","  0","  0","191","  0","  4","  0","  0","  2","  0","  0","612","  4"," 13","  4"," 31"," 26"," 13","  0","  0","108"," 89","  8","  0","  0","  1","  1","  0","  0","  5","  0"," 20","  0","  0","  0","  0","  2","  0","  0","  1"
