"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aesculus","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Andrachne","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Arceuthobium","Aristolochia","Artemisia","Asphodelus t.","Asteroideae undif.","Berberidaceae","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Campanulaceae","Cannabaceae undif.","Capparis","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Celtis","Centaurea","Centranthus t.","Cercis","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Corylus","Cotinus coggygria","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Elaeagnus","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagopyrum","Fagus","Fallopia","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fontanesia","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Hibiscus","Hippuris","Hottonia","Hydrocharitaceae","Hypericum undif.","Ilex","Impatiens","Indeterminable","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Leontice","Linum t.","Liquidambar","Lotus t.","Lysimachia","Lythrum","Malva","Malva undif.","Matthiola","Menyanthes","Mercurialis","Moltkia","Morella","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Primula","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Resedaceae undiff.","Rheum","Roemeria","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Sparganium","Spergularia t.","Styrax","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Tribulus","Trifolium t.","Triletes","Typha","Ulmus t.","Urtica t.","Valeriana t.","Valerianella","Verbena t.","Viola","Vitis","Ziziphus/Paliurus"
"2164",NA,NA," 135","   1","   0","   0","   0","   4","   2","  14","   0","   0","   0","  26","   0","   8","   0","   0","   0","  20","   0","  10","   0","   0","   0","   0","   4","   3","   0","   0","   0","  14","   0","   0","  16","   0","  41","   0","  32","   0","   1"," 111","   0","   0","   0","   1","   0","  13","   0"," 367","   0","   1","   0","   0","   0","   1","   0","   0","   2","   0","   0","   1","   0"," 261","  50","   0","   0","   0","  20","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   3","   1","   0","   0","   1","   1","   0"," 210","   0","   6","   0","  55","  10","  11","   0","   0","   0","   0","   0","   2","   7","  10","   0","   0","   0","   2","   0","   0","   2","   0","   1","   0","   0"," 196","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0"
"2204",NA,NA," 137","   3","   0","   0","   0","   3","   3","  15","   0","   0","   0","  19","   0","   2","   3","   0","   0","  22","   0","  14","   0","   0","   0","   4","   6","   1","   1","   2","   0","   7","   1","   0","  16","   0","  33","   0","  21","   0","   3"," 106","   0","   0","   0","   0","   0","  38","   0"," 557","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 114","  48","   0","   0","   0","  17","   5","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   1","   0","   0","   2","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   4","   0","   0","   0","   1","   1","   0"," 201","   0","  20","   0","  83","   4","  17","   0","   1","   0","   0","   0","   1","   9","  10","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","   0"," 192","   0","   0","   0","   0","   0","   0","   1","   0","   5","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0"
"2266",NA,NA," 140","   6","   0","   0","   0","   4","   2","  19","   0","   0","   1","  19","   0","   5","   2","   1","   0","  21","   0","  12","   0","   0","   0","   2","   7","   1","   0","   1","   0","   9","   0","   0","  13","   0","  25","   0","  23","   0","   7","  95","   0","   0","   0","   1","   0","  37","   0"," 794","   0","   0","   0","   0","   0","   2","   0","   1","   3","   0","   0","   0","   0"," 123","  40","   0","   0","   0","  24","   7","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   1"," 221","   0","  10","   0","  66","   2","  23","   0","   0","   0","   0","   0","   2","  18","  16","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   0"," 281","   0","   0","   0","   2","   0","   0","   0","   0","   5","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0"
"2307",NA,NA," 142","   3","   0","   0","   0","   1","   2","  16","   0","   0","   0","  14","   0","   3","   0","   0","   0","  28","   0","   5","   0","   0","   1","   1","   4","   6","   0","   1","   0","   4","   0","   1","  10","   0","  26","   0","  19","   0","   2","  80","   0","   0","   0","   0","   0","  29","   0"," 396","   0","   0","   0","   0","   0","   4","   0","   1","   1","   0","   0","   0","   0"," 109","  40","   0","   0","   0","  15","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   1","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   2","   0","   0","   0","   0","   0","   1"," 151","   0","  15","   0","  68","  10","  15","   0","   0","   1","   0","   0","   1","  10","   9","   0","   0","   0","   0","   0","   2","   2","   0","   1","   1","   0"," 153","   0","   0","   0","   4","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0"
"2371",NA,NA," 145","   6","   0","   0","   0","   1","   2","  11","   0","   0","   0","  12","   0","   4","   0","   0","   0","  45","   0","  11","   0","   0","   2","   0","   4","   1","   0","   1","   0","   4","   1","   0","   9","   0","  37","   0","  24","   0","   0","  56","   0","   0","   0","   0","   0","  14","   0","1249","   0","   0","   0","   0","   0","   4","   0","   1","   5","   0","   0","   0","   0"," 370","  56","   0","   0","   0","  27","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   3","   1","   0","   0","   2","   2","   0","   0","   0","   0","   1","   1"," 214","   0","  15","   0","  23","   4","  20","   0","   0","   0","   0","   0","   6","   9","  11","   0","   0","   0","   0","   0","   0","   6","   1","   0","   0","   0"," 607","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   8","   0","   0","   0","   0","   0","   0","   1","   0"
"2411",NA,NA," 147","   2","   0","   0","   0","   5","   1","  22","   0","   0","   0","  25","   0","   6","   1","   0","   0","  36","   0","   5","   0","   1","   2","   3","   7","   1","   0","   0","   0","   5","   0","   0","  26","   1","  14","   0","  11","   0","   1","  47","   0","   0","   0","   1","   0","  13","   0"," 824","   0","   0","   0","   0","   0","   1","   1","   0","   4","   1","   0","   0","   0"," 340"," 203","   0","   0","   0","  31","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   2","   2","   2","   0","   0","   0","   1","   0","   0","   3","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   1","   2","  91","   0","  21","   0","  59","   8","  19","   0","   0","   0","   0","   0","   6","  12","  22","   0","   0","   0","   0","   0","   2","   8","   0","   4","   0","   0"," 638","   0","   0","   0","   1","   0","   0","   0","   0","   8","   0","   5","   0","   0","   0","   0","   0","   0","   2","   0"
"2473",NA,NA," 150","   6","   0","   0","   0","   2","   1","  14","   0","   0","   0","  14","   0","   2","   1","   0","   0","  28","   0","   2","   0","   0","   2","   3","  16","   1","   0","   1","   0","   7","   0","   0","   9","   0","  28","   0","  10","   0","   3","  48","   0","   0","   0","   0","   0","  15","   0"," 797","   1","   0","   0","   0","   0","   1","   0","   1","   1","   0","   0","   0","   0"," 173"," 122","   0","   0","   0","  28","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   5","   1","   0","   0","   0","   0","   0","   0","   2","   1","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   1","   3","   0","   1","   0","   1","   0","   0"," 185","   0","  15","   0","  87","   7","  10","   0","   1","   0","   0","   0","   7","  20","  18","   0","   0","   0","   0","   0","   1","   8","   1","   2","   1","   0"," 327","   0","   0","   1","   3","   0","   0","   0","   0","   3","   0","   5","   0","   0","   0","   0","   0","   0","   1","   0"
"2513",NA,NA," 152","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","  12","   0","   1","   0","   0","   0","  34","   0","   1","   0","   0","   3","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","  31","   0","  10","   0","   0","   2","   0","   0","   0","   0","   0","   3","   0","  13","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0"," 222","  19","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  62","   0","   0","   0","   5","   0","   4","   1","   0","   0","   0","   0","   1","   5","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  60","   0","   0","   4","   1","   0","   0","   0","   1","   1","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0"
"2593",NA,NA," 156","   1","   0","   0","   0","   0","   2","  18","   0","   0","   0","  18","   0","   5","   0","   0","   0","  46","   0","   1","   0","   0","   0","   1","  24","   0","   0","   4","   0","   0","   0","   0","   5","   1","  10","   0","   9","   0","   0","  37","   2","   0","   0","   0","   0","  18","   0","1399","   0","   0","   0","   0","   0","   3","   3","   3","   0","   0","   0","   0","   0","  68"," 174","   0","   0","   2","  48","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   7","   1","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   9","   0","   0","   0","   0","   0","   0"," 116","   0","  19","   1","  69","   1","   8","   0","   0","   0","   0","   0","   6","  35","  20","   0","   0","   0","   0","   0","   0","  13","   0","   2","   0","   0"," 618","   0","   0","   0","   2","   0","   0","   0","   0","   3","   0","   9","   0","   0","   0","   0","   0","   0","   1","   0"
"2613",NA,NA," 157","   2","   0","   0","   0","   0","   9","  11","   0","   0","   0","  35","   0","   3","   1","   0","   0","  81","   0","   3","   0","   2","   1","   3","   0","   0","   0","   0","   0","  12","   0","   0","   7","   1","  35","   0","  15","   0","   1","  19","   0","   0","   2","   0","   0","   4","   0"," 120","   0","   0","   0","   0","   0","   1","   0","   1","   1","   1","   0","   0","   0"," 241"," 118","   0","   0","   0","  20","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   6","   1","   0","   0","   0","   0","   0","   0","   3","   2","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","   0","   1","   1","   0"," 140","   0","   7","   0","  13","   9","  13","   0","   0","   0","   0","   0","  12","  16","   9","   0","   0","   0","   0","   0","   1","   4","   0","   2","   0","   0"," 401","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","  12","   3","   1","   0","   1","   0","   0","   3","   0"
"2674",NA,NA," 160","   3","   0","   0","   0","   0","   1","  17","   1","   0","   0","  12","   0","   7","   1","   0","   0","  51","   0","   7","   0","   1","   1","   2","  20","   2","   0","   0","   0","   9","   0","   1","   8","   0","  17","   0","  13","   0","   3","  50","   1","   0","   1","   0","   0","  28","   0","1556","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","  94"," 136","   0","   0","   0","  49","   9","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   1","   6","   2","   0","   0","   0","   0","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","  22","   0","   0","   1","   1","   1","   0"," 156","   0","  21","   0","  67","   8","   9","   0","   2","   0","   0","   0","   5","  19","  23","   0","   0","   0","   0","   0","   0","   8","   0","   2","   0","   0"," 761","   0","   0","   1","   5","   0","   0","   0","   0","   3","   0","   7","   1","   0","   0","   0","   0","   0","   2","   0"
"2714",NA,NA," 162","   1","   0","   0","   0","   0","   4","  23","   0","   0","   0","  23","   0","   5","   0","   0","   0","  53","   0","   5","   0","   0","   1","   0","   9","   1","   1","   1","   0","   8","   0","   0","   9","   2","  18","   0","  15","   0","   0","  34","   0","   0","   0","   0","   0","  26","   0"," 602","   1","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","  69"," 111","   0","   0","   0","  52","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   3","   1","   0","   1","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","  11","   0","   0","   0","   0","   0","   0"," 103","   0","  24","   0","  36","   4","   8","   0","   0","   0","   0","   0","   7","  16","  12","   0","   0","   0","   0","   0","   1","   8","   0","   3","   0","   0"," 484","   0","   0","   0","   3","   0","   0","   0","   0","   0","   1","  11","   1","   0","   0","   0","   0","   0","   2","   0"
"2774",NA,NA," 165","   0","   0","   1","   0","   0","   0","  18","   0","   0","   0","  31","   0","   5","   0","   1","   0","  61","   0","  15","   0","   8","   3","   0","   4","   1","   1","   1","   0","   6","   0","   0","  10","   1","  13","   0","  17","   0","   1","  43","   0","   0","   0","   1","   0","  28","   0"," 849","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  74"," 128","   0","   1","   0","  42","  10","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   1","   3","   0","   0","   0","   0","   0","   0","   2","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   1","   0","   0","   1","  82","   0","  15","   1","  42","   3","   9","   0","   1","   0","   0","   0","   1","  22","   9","   0","   0","   0","   0","   0","   0","   6","   0","   3","   0","   0"," 460","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   9","   2","   0","   0","   0","   0","   0","   2","   0"
"2814",NA,NA," 167","   1","   2","   0","   0","   0","   1","  24","   0","   0","   0","  32","   0","  10","   3","   0","   0","  63","   0","  20","   0","   0","   2","   1","  10","   1","   0","   2","   0","  10","   0","   0","  20","   1","   8","   0","  20","   0","   0","  46","   0","   0","   0","   1","   0","  45","   0"," 241","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","  79","  49","   0","   0","   0","  51","  29","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   3","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   1","   0","  56","   0","  33","   0","  35","   6","  15","   0","   0","   0","   0","   0","   3","  29","   8","   0","   1","   0","   0","   0","   0","   9","   0","   5","   0","   0"," 271","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   9","   0","   0","   1","   0","   0","   0","   0","   0"
