"sample_name","depth","Hagenia","Acacia t.","Acalypha","Acanthaceae undif.","Acanthus","Adenium","Aerva type","Aizoaceae t.","Alchemilla t.","Allophylus t.","Amaranthaceae undif.","Anthoceros t.","Anthospermum","Apiaceae undif.","Apodytes dimidiata","Araliaceae undif.","Artemisia","Asteroideae undif.","Balanites","Bersama","Brassicaceae","Buxus","Caesalpiniaceae undif.","Capparaceae undif.","Cardueae undif.","Carissa","Caryophyllaceae undif.","Caucanthus","Celastraceae/Hippocrateaceae undiff.","Celtis","Centaurea","Cichorieae","Cissus t.","Clematis-type","Combretaceae","Commelina","Commiphora","Crassocephalum-type montuosum","Cucurbitaceae undif.","Cupressaceae","Cussonia","Cyperaceae","Digera-type muricata","Diospyros/Euclea t.","Dipsacaceae","Dodonaea","Dombeya","Dyschoriste-type","Ekebergia","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern","Ficus","Galiniera","Grewioideae","Gunnera perpensa","Hydrocotyle","Hypericum undif.","Hyphaene t.","Hypoestes t.","Ilex","Indeterminable","Ipomoea","Isoglossa","Jatropha/Croton","Kohautia","Lamiaceae undif.","Lannea","Macaranga","Maesa","Malva undif.","Menispermaceae undif.","Mimulopsis-type","Mitragyna/Hallea","Monoletes","Morella","Myriophyllum alterniflorum t.","Myrsine africana","Nuxia t.","Nymphaea","Olea t.","Petaloid monocot","Phoenix t.","Phyllanthus amarus","Phytolacca","Pilea-type bambuseti","Pinus undif.","Plantago","Poaceae","Podocarpus","Polygala","Polygonum t.","Polyscias","Portulacaceae t.","Potamogeton","Proteaceae","Prunus t.","Psydrax","Ranunculaceae undif.","Resedaceae undiff.","Rhamnaceae undif.","Ricinus","Rosa t.","Rubia-type","Rubiaceae undif.","Rumex t.","Salix","Sapindaceae undif.","Sapotaceae undif.","Scrophulariaceae undif.","Searsia","Securinega  t.","Solanaceae undif.","Solanum","Steganotaenia-type","Stoebe kilimandscharica-type","Swertia-type kilimandscharica","Syzygium t.","Tacazzea","Tamarix","Tarenna-type graveolens","Teclea","Thalictrum","Thymelaeaceae undif.","Trema","Tribulus","Trichocladus ellipticus-type","Trilepisium","Triletes","Typha","Urtica t.","Vahlia","Vepris-type daniellii","Vernonieae","Zanthoxylum"
NA,"300","  5","  0","  0","  0","  0","  0","  0","  0","  0","  1","  7","  0","  6","  0","  0","  0","  0","  8","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0"," 22","  0","  0","  0","  1","  0","  0","  0","  0","  5","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 15","  5","  0","  0","  0","  0","  9","  1","  0","  1","  0","  0","  0","  0","299"," 95","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 14","  5","  0","  0","  0","  0","  1"
NA,"325","  3","  0","  0","  0","  0","  0","  1","  0","  0","  4","  2","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 39","  0","  0","  0","  2","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 34"," 12","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","272"," 75","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  2","  0","  0","  1","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15"," 12","  4","  0","  0","  0","  0"
NA,"350","  3","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  5","  2","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 31","  0","  1","  1","  2","  0","  0","  0","  0","  4","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 40","  9","  0","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","295"," 69","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  8","  0","  0","  0","  0","  0"
NA,"375","  2","  0","  3","  0","  0","  0","  2","  0","  0","  0","  2","  0","  8","  3","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 41","  0","  0","  0","  5","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 29"," 27","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","287"," 69","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  8","  0","  0","  0","  0","  0"
NA,"400",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  7","  2","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0"," 36","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 21","  1","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","333"," 46","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4"," 17","  1","  0","  0","  0","  1"
NA,"425",NA,"  0","  0","  0","  0","  0","  1","  0","  0","  1","  2","  0","  5","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 84","  6","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","185","153","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 39","  7","  0","  0","  0","  0","  0"
NA,"450","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  6","  1","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  2","  0","  5","  0","  5","  0","  0","  0","  0","  0","  1","  0"," 49","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 25"," 16","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","322"," 81","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  1","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12"," 13","  0","  0","  0","  0","  0"
NA,"475",NA,"  0","  0","  1","  0","  0","  1","  0","  0","  0"," 13","  0","  1","  1","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  1","  0","  2","  0","  0","  0","  0","  0","  2","  0","111","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 26","  7","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","214","167","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 15"," 18","  0","  0","  0","  0","  0"
NA,"500","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 37","  0","  1","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  2","  8","  0","  0","  0","  0","  0","  0","140","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0"," 38","  2","  0","  0","  2","  0","  2","  0","  0","  0","  0","  0","  0","  0","170","137","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 31","  9","  0","  0","  0","  0","  0"
NA,"525","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0"," 17","  0","  1","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","106","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 27","  2","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","104"," 40","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","199","  0","  0","  0","  0","  0"
NA,"535",NA,"  0","  0","  0","  0","  0","  9","  0","  0","  1","  8","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","118","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 66","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","274"," 46","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 16","  0","  1","  0","  0","  0"
NA,"550",NA,"  0","  0","  0","  0","  0","  0","  0","  0","  1","  4","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 44","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 34","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","180"," 71","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 28","  3","  0","  0","  0","  0","  0"
NA,"575","  2","  0","  0","  0","  0","  0","  1","  0","  0","  1","  5","  0","  4","  2","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  3","  2","  0","  2","  0","  0","  3","  0"," 41","  0","  0","  0","  2","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 36","  5","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","315","126","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 22"," 36","  1","  0","  0","  0","  0"
NA,"600","  5","  0","  0","  0","  0","  0","  1","  0","  0","  0","  6","  0","  2","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  1","  2","  0"," 36","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 32","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 28","  2","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  1","216","124","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 30"," 18","  0","  0","  0","  0","  0"
NA,"625","  2","  0","  0","  0","  0","  0","  3","  0","  0","  0"," 11","  0","  0","  1","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2","  3","  0","  1","  0","  0","  6","  0"," 48","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 24","  2","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  3","280"," 77","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14"," 15","  0","  0","  0","  0","  0"
NA,"650","  1","  1","  0","  0","  0","  0","  2","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0"," 66","  0","  1","  0","  1","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 14","  4","  0","  0","  1","  0","  2","  0","  0","  0","  0","  0","  0","  0","221","100","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9"," 41","  0","  1","  0","  0","  0"
