"age_NA","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Andrachne","Anthemideae undif.","Anthoceros t.","Apiaceae undif.","Apium t.","Artemisia","Asphodelus t.","Asteroideae undif.","Berberidaceae","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Carya","Caryophyllaceae undif.","Castanea","Centaurea","Chrozophora","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Datisca cannabina","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Fumaria","Galium t.","Genisteae","Gentiana t.","Geranium","Heliotropium","HippophaÃ«","Hydrocotyle","Hypericum undif.","Ilex","IsoÃ«tes","Juglans","Lamiaceae undif.","Leontice","Ligustrum","Linum t.","Loranthus","Lotus t.","Malva","Mercurialis","Nitraria","Olea t.","Onagraceae","Ononis t.","Papaver t.","Petaloid monocot","Phillyrea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Primulaceae undif.","Prunus t.","Psoralea","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rhododendron","Ricinus","Roemeria","Rosa t.","Rosaceae undif.","Rumex t.","Ruppia","Salix","Sanguisorba t.","Scrophulariaceae t.","Scrophulariaceae undif.","Searsia","Solanum","Sparganium","Spergularia t.","Tamarix","Taxus","Thalictrum","Theligonum","Thesium","Thymelaeaceae undif.","Tilia","Trifolium t.","Ulmus t.","Unknown","Urtica t.","Valerianella","Viburnum","Viola","Vitis","Zea"
NA,NA,NA,"150"," 10","  0","  1","  1"," 15","  0","  1","  0","  2","  0","  2","  0","  5","  1","  3","  0","  0","  8","  0","  7","  0","  0","  1","  1","  0","  0","  1","  0","  0","  0"," 55","  1","  0","  2","  0","  1","  0","  5","  1","  1","  0","  0","  0","  5","  1","  1","  1","  0"," 15","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  5","  0"," 15","  0","  0","  0","  0","  0"," 96"," 10","  2","  0"," 15"," 16","  0","  0","  0","  0","  0"," 19"," 76","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  4","  0","  1","  0","  0","  0","  0"
NA,NA,NA,"  0","  6","  0","  0","  2"," 19","  0","  0","  0"," 10","  0","  3","  0","  8","  2","  2","  0","  0","  2","  0"," 23","  0","  0","  2","  1","  0","  0","  0","  0","  1","  0"," 50","  0","  1","  0","  0"," 22","  0","  4","  1","  0","  0","  0","  1","  7","  0","  0","  1","  1"," 24","  0","  0","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  2","  0"," 98","  0","  0","  1","  0","  0","218"," 25","  9","  2"," 13","  5","  1","  0","  0","  3","  0"," 89"," 40","  1","  0","  0","  1","  0","  2","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 10","  0","  0","  0","  0","  1","  1"
NA,NA,NA,"180","  1","  0","  0","  0"," 20","  0","  0","  0","  8","  0"," 40","  0","  5","  4"," 36","  0","  0","  1","  1","  6","  0","  1","  0","  3","  0","  0","  2","  0","  2","  0","233","  7","  2","  4","  0","  0","  0","  9","  0","  1","  0","  0","  3","  0","  6","  2","  0","  1","  7","  0","  0","  0","  2","  0","  7","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0"," 10","  8"," 11","  0"," 49"," 30","  0","  0","  0","  0","  0"," 15"," 65","  5","  0","  0","  0","  0","  0","  1","  1","  0","  0"," 11","  1","  0","  0","  0","  9","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","105","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"375","  0","  2","  0","  1","215","  0","  0","  0"," 22","  0"," 74","  0"," 13","  5"," 15","  0","  0","  2","  0","  2","  0","  2","  0","  6","  0","  0","  0","  0"," 11","  0","115","  3","  0"," 12","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  2","  0","  0","  0"," 12","  0","  0","  0","  0","  0"," 10","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  1"," 11"," 12","  0","  4"," 11","  0","  0","  0","  0","  0"," 12"," 68","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0","  1","  2","  3","  7","  1","  1","  0","  0","  0","  0"
NA,NA,NA,"400","  0","  0","  0","  1","426","  0","  1","  0"," 23","  0"," 34","  0","  5","  2"," 29","  0","  0","  0","  0","  2","  0","  0","  0","  3","  1","  0","  3","  0","  4","  0"," 66","  8","  0","  5","  0","  0","  0","  2","  0","  1","  0","  1","  0","  2","  5","  1","  0","  0","  4","  0","  0","  0","  0","  0","  4","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  0","  1","  4","  8","  6","  0","  8","  3","  0","  0","  0","  0","  0"," 10"," 53","  1","  0","  0","  0","  0","  0","  3","  1","  0","  1","  3","  0","  0","  0","  0","  4","  0","  2","  0","  0","  2","  0","  0","  1","  1","  1"," 42","  1","  2","  0","  0","  0","  0"
NA,NA,NA,"320","  0","  6","  0","  1"," 23","  1","  0","  0"," 18","  0"," 77","  0","  4"," 13"," 11","  0","  2","  1","  0","  3","  0","  0","  0","  5","  0","  0","  3","  0"," 20","  0"," 85"," 39","  0","  3","  0","  0","  0","  2","  0","  1","  0","  0","  1","  0","  1","  3","  1","  0","  9","  0","  1","  0","  1","  0","  8","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  5","  6","  0","  6"," 14","  0","  0","  0","  0","  0","  0"," 52","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 66","  0","  0","  0","  0","  3","  0","  0","  0","  0","  1","  1","  0","  1","  1","  2","  6","  0","  0","  0","  0","  1","  0"
NA,NA,NA,"335","  0","  4","  0","  0","158","  0","  0","  0"," 18","  0"," 54","  0","  4","  4"," 20","  0","  1","  0","  0","  2","  0","  1","  0","  2","  0","  0","  2","  0","  7","  0","113","  8","  0","  7","  0","  0","  0","  3","  0","  0","  0","  0","  2","  0","  3","  2","  0","  0","  7","  0","  0","  1","  0","  0"," 10","  0","  1","  0","  3","  0","  9","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0"," 13","  0","  1","  0","  0","  0","  0","  0","  3","  6"," 11","  0"," 10","  5","  1","  0","  0","  0","  0"," 15"," 75","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  9","  0","  1","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 10","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"165","  2","  1","  0","  1"," 25","  0","  0","  0"," 15","  0"," 33","  0","  4","  5"," 28","  0","  5","  2","  0","  6","  0","  2","  1","  2","  0","  0","  3","  0","  2","  0","111"," 14","  0"," 10","  0","  0","  0","  1","  0","  0","  1","  0","  1","  2","  3","  4","  0","  0"," 10","  0","  0","  1","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  1","  0","  1","  0"," 21","  0","  6","  0","  0","  0","  1","  0","  9","  9","  9","  0"," 20"," 19","  1","  0","  0","  0","  0"," 48"," 93","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  9","  0","  1","  0","  0","  5","  0","  0","  0","  2","  0","  0","  0","  1","  1","  0"," 48","  0","  0","  0","  0","  1","  0"
NA,NA,NA,"385","  1","  1","  0","  2","208","  0","  1","  0"," 14","  0"," 16","  0","  1","  8"," 14","  0","  1","  1","  0","  7","  0","  1","  0","  1","  0","  0","  2","  0","  0","  0","169","  4","  1","  1","  0","  1","  0","  2","  0","  0","  0","  1","  1","  0","  4","  4","  0","  0","  8","  0","  0","  0","  0","  0","  5","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  2","  6"," 11"," 22","  0"," 45"," 16","  1","  0","  0","  0","  0"," 11"," 75","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  7","  0","  3","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  1","  0","  1"," 52","  0","  1","  0","  0","  1","  0"
NA,NA,NA,"425","  0","  0","  0","  1","411","  0","  0","  0"," 40","  0"," 52","  0","  7","  7","  8","  0","  1","  0","  0","  1","  0","  0","  0","  6","  0","  0","  0","  0","  2","  0","187","  5","  0","  3","  0","  0","  0"," 17","  0","  0","  0","  0","  2","  0","  3","  1","  0","  0"," 15","  1","  0","  0","  0","  0"," 12","  0","  0","  0","  1","  0","  0","  1","  0","  2","  0","  2","  1","  0","  0","  0","  0","  0","  8","  0","  1","  0","  0","  0","  0","  1"," 10","  2","  9","  0"," 83"," 33","  1","  0","  0","  0","  0","  4"," 79","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  3","  1","  8","  1","  0"," 15","  0","  1","  0","  0","  0","  0","  0","  2","  2","  3"," 18","  1","  0","  0","  0","  0","  0"
NA,NA,NA,"160","  4","  0","  0","  2"," 18","  0","  0","  0"," 10","  0"," 20","  0","  3","  0"," 14","  0","  2","  2","  0","  7","  1","  0","  0","  1","  0","  0","  1","  0","  2","  0","168","  1","  1","  2","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  5","  1","  0","  0"," 15","  0","  0","  1","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  0","  1","  0","  7","  0","  0","  0","  0","  0"," 41","  8","  5","  0"," 12"," 15","  0","  0","  0","  0","  0"," 22"," 68","  2","  0","  0","  0","  1","  1","  0","  0","  0","  0","  3","  0","  3","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  2","  2","  0","  1","  1","  0","  0","  0"
NA,NA,NA,"270","  1","  2","  0","  1"," 23","  0","  0","  0"," 14","  0"," 48","  0","  2","  8"," 48","  0","  0","  2","  0","  4","  0","  0","  0","  4","  0","  0","  1","  0","  0","  0","174"," 25","  0"," 12","  0","  0","  0","  4","  0","  3","  0","  0","  1","  0","  7","  7","  0","  0","  6","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  3","  0","  0","  1","  0","  0","  0"," 17","  0","  0","  1","  1","  0","  1","  1","  4","  9"," 10","  0"," 30"," 19","  1","  0","  0","  0","  0","  3"," 84","  2","  0","  0","  0","  0","  0","  0","  3","  0","  0"," 17","  0","  0","  0","  0","  2","  2","  0","  0","  1","  2","  0","  0","  5","  6","  0"," 89","  0","  0","  0","  1","  0","  0"
NA,NA,NA,"345","  0","  1","  0","  3","141","  0","  0","  0"," 19","  0"," 42","  0"," 11","  7"," 17","  0","  2","  0","  0","  2","  0","  3","  0","  7","  0","  0","  3","  0","  7","  0","158"," 17","  0"," 12","  0","  0","  0","  2","  0","  3","  0","  0","  2","  4","  2","  1","  0","  1"," 17","  0","  0","  0","  0","  0","  8","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  0","  0","  0"," 14","  0","  1","  0","  0","  0","  0","  1","  3"," 10"," 13","  0"," 14","  6","  0","  0","  0","  0","  0","  9"," 78","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0"," 18","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  2","  0","  1","  0","  0","  0","  0"
NA,NA,NA,"170","  0","  0","  0","  2"," 33","  0","  0","  0"," 12","  0"," 44","  0","  5","  2"," 21","  0","  1","  0","  1"," 13","  1","  3","  0","  2","  0","  0","  4","  1","  0","  0","339"," 17","  0","  4","  0","  0","  0","  4","  0","  2","  0","  0","  2","  0","  2","  2","  1","  0","  9","  0","  0","  1","  0","  0"," 11","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  9","  0","  1","  0","  0","  0","  1","  1","  5"," 11"," 10","  1"," 20"," 23","  2","  0","  0","  1","  0","  1"," 69","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  5","  0","  1","  0","  0","  9","  0","  0","  0","  0","  1","  0","  0","  1","  0","  3","  2","  0","  0","  0","  0","  0","  0"
NA,NA,NA,"190","  0","  3","  0","  2"," 34","  0","  0","  0"," 19","  0"," 44","  0","  4","  2"," 29","  0","  1","  1","  0","  5","  0","  0","  0","  7","  0","  0","  1","  1","  4","  0","186","  5","  0","  8","  0","  0","  0","  1","  0","  1","  0","  0","  1","  0","  2","  2","  1","  0","  9","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0"," 12","  1","  0","  0","  0","  0","  1","  0","  5","  6","  8","  0"," 10"," 20","  0","  0","  0","  1","  0"," 12"," 76","  1","  0","  0","  0","  1","  0","  0","  2","  0","  0","  6","  0","  1","  0","  0"," 26","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  1","  1","  1","  0","  0","  1","  0"
NA,NA,NA,"260","  1","  2","  0","  1"," 43","  0","  0","  0"," 28","  0"," 71","  0","  1","  9"," 62","  0","  4","  5","  0","  7","  0","  6","  0","  2","  0","  0","  5","  1","  3","  0","340","  9","  1"," 11","  0","  0","  0","  6","  0","  1","  0","  0","  0","  0","  5","  4","  0","  1","  7","  0","  0","  1","  0","  0","  6","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  7","  0","  0","  1","  0","  0","  0"," 14","  0","  1","  0","  0","  0","  2","  0"," 24"," 15"," 23","  0"," 61"," 53","  0","  0","  0","  0","  0","  9","147","  5","  0","  0","  0","  0","  0","  2","  1","  0","  0"," 15","  0","  1","  0","  0"," 14","  0","  0","  0","  0","  1","  0","  0","  5","  2","  3","112","  0","  0","  0","  0","  1","  0"
NA,NA,NA," 415","   1","   0","   0","   1","1064","   0","   0","   0","  19","   0","  29","   0","   3","   5","  32","   0","   3","   3","   0","  15","   0","   1","   0","   6","   0","   0","   2","   0","   3","   0"," 382","   7","   0","   4","   0","   0","   0","  25","   0","   1","   0","   0","   2","   0","   4","   2","   0","   2","  10","   0","   0","   0","   0","   0","  12","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   1","   0","   1","  25","   0","   0","   0","   0","   0","   1","   2","  12","  18","  26","   0"," 157","  25","   0","   0","   0","   0","   0","   4"," 126","   5","   0","   0","   0","   0","   0","   0","   4","   0","   1","   1","   0","   3","   0","   1","   8","   0","   0","   0","   0","   3","   0","   0","   2","   0","   2","  81","   0","   0","   0","   0","   0","   0"
NA,NA,NA,"355","  0","  0","  0","  3","110","  0","  0","  0"," 19","  0"," 66","  0","  4","  5"," 16","  0","  2","  2","  0","  2","  0","  0","  0","  8","  0","  0","  6","  1","  7","  0","133"," 18","  0"," 16","  0","  0","  0","  2","  0","  3","  0","  0","  1","  0","  3","  1","  1","  0"," 13","  0","  0","  0","  1","  0"," 18","  1","  0","  0","  2","  0","  0","  1","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0"," 13","  0","  1","  0","  0","  0","  0","  0","  4","  5"," 24","  0"," 14"," 13","  0","  0","  0","  0","  1","  7"," 78","  2","  0","  0","  0","  0","  1","  0","  2","  0","  0"," 13","  0","  3","  0","  0","  6","  0","  0","  0","  0","  1","  0","  0","  1","  4","  3","  4","  1","  2","  0","  0","  0","  0"
NA,NA,NA,"195","  0","  4","  0","  1"," 55","  0","  0","  0"," 32","  0"," 82","  2","  7","  3"," 37","  0","  0","  0","  0"," 14","  0","  3","  0","  5","  0","  0","  4","  0","  5","  0","285"," 23","  1","  7","  0","  0","  1","  4","  0","  2","  0","  2","  3","  0","  3","  4","  4","  0"," 19","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  2","  0","  0","  0","  1","  0","  0","  2","  0","  0","  1","  0","  0","  0"," 35","  0","  0","  0","  0","  0","  2","  2","  9"," 19"," 12","  0"," 16"," 38","  2","  0","  0","  0","  0"," 14","123","  3","  0","  0","  0","  0","  0","  0","  2","  0","  1","  8","  0","  1","  0","  0"," 34","  0","  2","  0","  0","  2","  0","  0","  2","  0","  5","  6","  0","  0","  0","  0","  0","  0"
