"Depth (cm)","Acacia t.","Acanthaceae undif.","Aerva type","Albizia","Alchornea","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Blepharis","Bombax","Boscia","Brachystegia","Brassicaceae","Bridelia","Caesalpiniaceae undif.","Canthium","Capparis","Caryophyllaceae undif.","Caryophyllaceae/Chenopodiaceae","Cassia","Celastraceae undif.","Celtis","Centaurea","Christiana africana-type","Chrozophora","Chrysobalanus t.","Cichorieae","Cissampelos","Combretaceae","Commiphora","Convolvulaceae","Cupressaceae","Cyperaceae","Dichrostachys","Diospyros/Euclea t.","Dipsacaceae","Dodonaea","Elaeis","Ephedra","Erica t.","Eriocaulon","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Galium t.","Gentianaceae undif.","Grewioideae","Hygrophila","Hyphaene t.","Hypoestes t.","Ilex","Indeterminable","Iodes","Justicia t.","Klaineanthus","Lamiaceae undif.","Lannea","Lepidagathis","Lophira","Lotus t.","Macaranga","Maerua","Mareya spicata-type","Maytenus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","NA","Nyctaginaceae","Nymphaea","Olea t.","Parkia","Petaloid monocot","Phoenix t.","Phyllanthus maderaspatensis","Phyllanthus undif.","Pinus undif.","Pistacia","Plantago","Poaceae","Podocarpus","Quercus undif.","Rhizophora","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Salvadora","Sapium","Sapotaceae undif.","Schrebera","Searsia","Spergularia t.","Spermacoce","Syzygium t.","Tamarix","Tetracera alnifolia","Tetrorchidium","Tribulus","Trichoscypha oba-type","Triletes","Typha","Uapaca","Urtica t.","Vernonieae","Zygophyllum t."
"200","  2","  0","  0","  0","  1","111","  0","  1","  0","  1","  0","  5","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  2","  0","  0","  0","109","  0","  0","  0","  0","  0","  6","  0","  0","  0","  2","  1","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0"," 91","  4","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0"
"220","  0","  0","  0","  0","  1"," 61","  0","  0","  0","  0","  5","  7","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  4","  0","  0","  0","137","  0","  0","  0","  0","  0"," 32","  0","  0","  2","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","103","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  1","  0"
"240","  0","  0","  0","  0","  1"," 45","  0","  1","  0","  0","  1","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","114","  0","  0","  0","  0","  0"," 25","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0"," 73","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0"
"260","  1","  0","  0","  0","  1"," 19","  1","  4","  0","  0"," 13","  7","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  7","  0","  0","  0","104","  1","  0","  0","  0","  0"," 29","  0","  0","  0","  1","  0","  0","  7","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 13","  0","  0","132","  0","  0","  1","  0","  1","  0","  0","  0","  0","  1","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  7","  1","  2","  0","  0","  0"
"280","  0","  0","  0","  0","  0"," 31","  0","  8","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0"," 59","  0","  0","  0","  0","  1"," 16","  0","  0","  0","  0","  0","  0","  8","  1","  0","  0","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  0","  0","128","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  1","  0","  0","  1","  0"
"300","  1","  0","  0","  0","  0"," 39","  2","  6","  0","  0","  2","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  3","  0","  2","  0","  0","  0","104","  0","  0","  0","  0","  0"," 22","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","167","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"
"320","  0","  0","  0","  0","  0"," 32","  0","  1","  0","  0","  1","  3","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  2","  0","  0","  0","105","  0","  0","  0","  0","  0"," 66","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 36","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0"," 85","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0"
"340","  6","  0","  0","  0","  0"," 51","  0","  2","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  3","  0","  0","  1","  0","  0","145","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","130","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  1"
"360","  1","  0","  0","  0","  0"," 48","  1","  0","  0","  0","  2","  3","  1","  1","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  2","  0","  0","  0","  7","  0","  4","  0","  0","  0","184","  0","  0","  0","  0","  1","  7","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 20","  0","  0","  0","  3","  0","  0","  1","  0","  0","  2","  0","  1","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","104","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0"
"380","  1","  0","  0","  0","  3","  7","  0","  1","  0","  0","  3","  4","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0"," 78","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0"," 22","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","103","  1","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"
"400","  0","  0","  0","  0","  1"," 15","  1","  0","  0","  0","  3","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  8","  0","  0","  0","112","  0","  0","  0","  0","  0","  6","  0","  0","  1","  0","  1","  1","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 25","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  8","  0","  1","172","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  6","  3","  7","  0","  1","  0"
"420","  1","  0","  0","  2","  2"," 29","  0","  2","  0","  0","  1","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  3","  0","  4","  0","  0","  1"," 92","  0","  1","  0","  0","  0"," 34","  0","  0","  0","  1","  0","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","149","  0","  2","  3","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  2","  8","  0","  0","  0","  0"
"440","  1","  0","  0","  0","  1"," 19","  0","  0","  0","  0","  2","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 68","  0","  0","  0","  0","  0"," 21","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0"," 78","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  1","  1","  0","  0","  0"
"460","  0","  0","  0","  0","  0"," 79","  1","  0","  0","  0","  7","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  1","  0","  4","  0","  0","  0","151","  0","  0","  1","  0","  0","  8","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 19","  0","  0","  0","  1","  0","  0","  1","  0","  1","  2","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  2","  0","  0","108","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  1","  1","  0","  0","  0"
"480","  1","  0","  0","  0","  1"," 31","  0","  2","  0","  0","  9","  3","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  2","  0","  4","  0","  0","  0","103","  0","  0","  2","  0","  1","  8","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 10","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 12","  0","  0","126","  0","  0","  7","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  1","  2","  0","  0","  0"
"500","  3","  0","  0","  0","  5"," 92","  0","  1","  0","  0","  2","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  4","  0","  0","  0","129","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 22","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","114","  0","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0"
"520","  0","  0","  0","  0","  0"," 42","  0","  0","  0","  0","  7","  6","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","169","  0","  0","  0","  0","  0","  5","  0","  0","  0","  2","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  6","  0","  0","135","  0","  5","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  3","  1","  0","  0","  0","  0","  1","  0","  2","  5","  0","  1","  0","  0"
"540","  3","  0","  0","  0","  0"," 31","  0","  0","  0","  1","  1","  1","  1","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  1","  0","  0","124","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 22","  0","  0","  0","  0","  0","  0","  0","  1","  1","  4","  0","  0","  0","  1","  0","  6","  1","  0","  0","  0","  1","  0","  3","  0","  0","  0","  5","  0","  0","108","  1","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2"
"550","  0","  1","  0","  0","  0"," 17","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 80","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0"," 61","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"
"560","  4","  0","  0","  0","  2"," 87","  0","  0","  0","  0","  0","  2","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  1","  2","  0","  0","  0","  0","  0","  1","  9","  1","  0","  0","135","  0","  0","  0","  0","  2"," 13","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  4","  0","  0","  0","  1","  0","  1","  0","  0","  0","  1","  2","  0","  0","105","  0","  1","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0"
"570","  2","  0","  0","  0","  2"," 18","  1","  0","  0","  0","  1","  2","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0"," 58","  0","  0","  0","  0","  3","  1","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  8","  0","  0","  0","  0","  1","  0","  1","  0","  1","  0","  0","  1","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  2","  1","  0","  1","  7","  0","  0"," 97","  0","  1"," 10","  0","  1","  0","  0","  0","  0","  2","  0","  1","  0","  0","  1","  0","  0","  0","  0","  1","  1","  4","  1","  0","  0","  0"
"580","  2","  0","  0","  0","  3"," 78","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","137","  0","  0","  0","  0","  1"," 10","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 19","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0"," 83","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  2","  0","  0","  0","  0"
"600","  4","  0","  1","  0","  0"," 25","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  3","  0","  3","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 25","  0","  0","  0"," 41","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0"," 10","  0","  0","  1","  0","  1","  0","  1","  0","  1","  0","  0","  0","  1","  0"," 14","  0","  0","  1","  0","  5","  0","  1","  8","  0","  0","  0","  1","  0","  0","165","  0","  0","  2","  0","  5","  0","  2","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0"
