"Depth (cm)","Acacia t.","Alchornea","Alnus","Amaranthaceae undif.","Anthoceros t.","Arecaceae undif.","Artemisia","Asteroideae undif.","Barleria","Blepharis","Borreria t.","Brassicaceae","Caesalpinioideae","Capparis","Cassia","Celtis","Cf Batopedina","Cf Oligocodon","Cichorieae","Cissus t.","Cleistanthus","Commiphora","Cordia","Crudia","Cupressaceae","Cyperaceae","Diospyros/Euclea t.","Dodonaea","Echium t.","Elaeis","Ephedra","Euphorbia t.","Faboideae Undif.","Fagonia","Fern","Gomphrena t.","Heliotropium","Hymenodictyon","Hyphaene t.","Hypoestes t.","Ilex","Indeterminable","Ipomoea","Lannea","Macaranga","Maerua","Maesa","Malpighiaceae","Phoenix t.","Phyllanthus undif.","Pinus undif.","Plantago","Poaceae","Quercus undif.","Rhizophora","Salix","Salvadora","Sapotaceae undif.","Spergularia t.","Syzygium t.","Tamarix","Tribulus","Typha","Urtica t.","Verbena t.","Vernonieae","Xeromphis"
"1169","   0","   1","   0","  12","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","  25","   0","   0","   0","   0","   2","   0","   0","   0","   4","   0","   0","   0","   1","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  90","   0","   6","   0","   0","   0","   0","   2","   1","   0","   1","  14","   0","   0","   0"
"1219","   1","   0","   0","  15","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   2","   1","  20","   0","   0","   0","   0","   4","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   1","   0","   0","   1","  44","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","  21","   0","   0","   0"
"1319","   0","   0","   0","   7","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","  45","   0","   0","   0","   0","   2","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   2","   0","   1","   0"," 104","   0","   7","   0","   0","   0","   0","   0","   2","   0","   0","  11","   1","   0","   0"
"1375","   2","   0","   1","  28","   0","   0","   0","   3","   0","   0","   0","   2","   0","   0","   0","   3","   0","   0","   1","   0","   0","   1","   0","   0","   0","  24","   0","   0","   0","   0","   2","   1","   0","   0","   3","   0","   0","   0","   1","   0","   0","   9","   0","   0","   2","   1","   0","   0","   0","   0","   1","   0"," 126","   0","   4","   0","   0","   0","   0","   0","   0","   0","   1","  33","   0","   0","   0"
"1434","   0","   0","   0","   5","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  26","   0","   0","   0","   0","   4","   0","   0","   0","   3","   1","   1","   0","   0","   0","   0","   2","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","  50","   0","   9","   0","   0","   1","   0","   1","   0","   0","   0","   9","   0","   0","   0"
"1519","   0","   0","   0","   4","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","  38","   0","   0","   0","   0","  10","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   2","   0","   0","   0","   0","   1","  94","   0","  10","   0","   2","   0","   0","   0","   0","   1","   2","  15","   0","   2","   0"
"1591","   0","   0","   0","  34","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  27","   0","   0","   0","   0","   1","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  68","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","  35","   0","   0","   0"
"1670","   0","   0","   0","  16","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","  24","   0","   0","   0","   0","   3","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  72","   0","   4","   1","   0","   0","   2","   0","   0","   0","   0","  19","   0","   0","   0"
"1744","   0","   1","   0","  15","   1","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   2","   1","   0","   0","   0","   1","   0","   0","   0","   3","  44","   0","   0","   0","   0","   1","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  72","   0","   4","   0","   1","   0","   1","   0","   0","   0","   0","  17","   0","   0","   0"
"6419","   0","   0","   0","   5","   0","   0","   0","   2","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   1","  14","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  86","   0","  29","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0"
"15050","    0","    1","    0","   10","    0","    0","    1","    1","    0","    0","    0","    0","    1","    0","    0","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","   12","    0","    0","    0","    0","    1","    1","    1","    0","    2","    0","    0","    0","    1","    0","    0","    7","    0","    0","    0","    0","    0","    0","    0","    1","    2","    0","   49","    0","   36","    0","    1","    0","    0","    0","    0","    0","    0","   11","    0","    0","    0"
