"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Alismataceae","Alnus","Amaranthaceae undif.","Anagallis t.","Apiaceae undif.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Boraginaceae undif.","Brassicaceae","Calligonum","Campanulaceae","Caryophyllaceae undif.","Casuarina","Cedrus","Centaurea","Centranthus t.","Ceratonia","Cichorieae","Cistaceae","Convolvulaceae","Crassulaceae","Cupressaceae","Cuscuta","Cyperaceae","Cytinus","Dipsacaceae","Echinops","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Fraxinus","Gentiana t.","Geranium","Hedera","Heliotropium","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lonicera","Lotus t.","Lythrum","Malva","Matthiola","Mercurialis","Myriophyllum alterniflorum t.","Myriophyllum spicatum/verticillatum t.","Myrtaceae undif.","Myrtus","Nymphaea","Olea t.","Onagraceae","Ononis t.","Paronychieae","Petaloid monocot","Phillyrea","Pinus pinaster","Pinus undif.","Pistacia","Plantago","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Quercus evergreen","Quercus subgen. Cerris","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rubiaceae undif.","Rumex t.","Salix","Scrophulariaceae undif.","Smilax","Solanum","Spergularia t.","Tamarix","Thalictrum","Theligonum","Thelypteris palustris-type","Thymelaeaceae undif.","Trapa natans","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valerianella","Vitis","Ziziphus/Paliurus"
"745",NA,NA,"115","  0","  0","  0"," 92","  1","  0","  3","  0","  0","  1","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 19","  0","  0","  0","  2","  3"," 16","  0","  0","  0"," 20","  0","  0","  3","  0","  0","  5","  0","  0"," 11","  0","  0","  0","  0","  0","  1","  4","  0","  0","  0","  1","  0","  1"," 43","  0","  9","  0","  0","  0","  2","  0","  0","  0","  0","  2"," 15","  6","  0","  0","  9","  4","  3","  8","  0","  0","  0","  0","  0","  4"," 57","  3","  4","  0","  0","  0","  0","  0","  0","  1","  3","  0","  3","  3","  4","  0","  0","  5","  1"
"788",NA,NA,"125","  0","  0","  0","200","  2","  0","  1","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 25","  0","  0","  0","  0","  0"," 23","  0","  0","  0","  5","  0","  0","  6","  0","  0","  1","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  2","  0","  1","  2","  0","  0","  0"," 15","  7","  2"," 58","  2","  0","  1","  0","  2"," 13"," 11","  1","  1","  0","  0","  0","  0","220","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1","  0"
"831",NA,NA,"135","  0","  0","  0","200","  1","  0"," 13","  0","  3","  1","  5","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  0"," 35","  0","  0","  0"," 47","  1","  0","  2","  0","  0","  0","  0","  0"," 10","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  1","  0","  0","  2","  2","  0","  1","  0","  1","  3"," 50","  1","  0","  1","  0","  3"," 26"," 14","  0","  0","  0","  0","  0","  4","100","  0","  0","  0","  0","  0","  0","  0","  5","  0","  1","  4","  0","  1","  0","  0","  0","  7","  0"
"874",NA,NA,"145","  0","  0","  0","120","  0","  0","  4","  0","  2","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  3","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0"," 22","  0","  0","  0"," 24","  0","  0","  1","  0","  0","  1","  0","  0","  7","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 20","  0","  0","  1","  1","  0","  2","  1","  2","  0","  1","  3"," 15","  1","  0","  0","  0","  2"," 11","  9","  1","  1","  0","  0","  0","  3","100","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0"
"916",NA,NA,"155","  0","  0","  0","960","  3","  0","  6","  0","  9","  1","  4","  0","  1","  0","  0","  1","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0"," 12","  0","  0","  0","  0","  1"," 48","  0","  0","  0"," 32","  0","  0","  2","  0","  0","  1","  0","  1"," 13","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  3","  0","  0","  0","  1","  2","  3","  0","  1","  5"," 40","  1","  0","  0","  0","  2"," 14"," 41","  1","  0","  0","  0","  1","  5","210","  1","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  0","  2","  0","  0","  0","  1","  0"
"959",NA,NA,"165","  0","  0","  0","165","  1","  0","  6","  0","  4","  1","  3","  0","  4","  0","  0","  4","  0","  0","  1","  1","  0","  1","  4","  0","  0","  1","  0"," 19","  0","  1","  0","  0","  0"," 64","  0","  0","  0"," 52","  2","  0","  0","  0","  0","  6","  0","  1"," 20","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 23","  0","  0"," 14","  0","  1","  0","  0","  0","  1","  0","  4","  0","  2","  2"," 23","  1","  0","  0","  0","  4","  3"," 13","  0","  1","  0","  0","  2","  1"," 70","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  3","  1","  0","  0","  0"," 13","  0"
"1002",NA,NA," 175","   0","   0","   0","  66","   0","   0","   4","   0","   3","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   1","   0","   8","   0","   2","   0","   1","   0","  32","   0","   0","   0","  34","   0","   0","   1","   0","   0","   1","   0","   3","   6","   0","   2","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  27","   0","   0","   0","   1","   1","   1","   0","   1","   0","   0","   0","  19","   0","   0","   0","   0","   2","  13","   7","   1","   2","   0","   1","   2","   2","  62","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   1","   0","   0","   0","   5","   0"
"1045",NA,NA," 185","   0","   0","   0"," 240","   3","   0","   3","   0","   5","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  33","   0","   0","   0","   0","   0","  42","   0","   0","   0","  45","   1","   0","   3","   0","   0","   2","   0","   0","  14","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   2","   0","  15","   0","   3","   0","   1","   1","   3","   0","   3","   0","   0","   3","  36","   2","   0","   0","   0","   6","  11","   8","   0","   1","   0","   0","   0","   4","  70","   1","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   2","   1","   0","   0","   0","   5","   0"
"1088",NA,NA," 195","   0","   0","   0"," 150","   3","   0","   4","   0","   3","   1","   3","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   4","   0","   0","   0","   1","  21","   1","   0","   0","   0","   0","  55","   0","   0","   0","  49","   1","   0","   0","   0","   0","   7","   0","   0","  21","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   8","   0","   1","   1","   0","   2","   2","   2","   4","   0","   0","   1","  35","   0","   0","   0","   0","   6","  18","   8","   0","   1","   0","   1","   0","   3","  50","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   1","   2","   0","   0","   0","  11","   0"
"1131",NA,NA," 205","   0","   0","   0","  59","   1","   0","   3","   0","   2","   0","   4","   0","   1","   0","   1","   0","   0","   1","   1","   0","   0","   1","   1","   0","   0","   1","   0","  16","   0","   0","   0","   1","   0","  14","   0","   1","   0","  14","   0","   0","   4","   0","   0","   3","   0","   1","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   1","   0","   4","   0","   1","   0","   0","   3","   0","   0","   1","   0","   5","   0","  14","   0","   0","   0","   1","   2","  23","  13","   2","   0","   0","   0","   2","   1","  51","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0"
"1174",NA,NA," 215","   0","   0","   0","  90","   1","   0","   3","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   3","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","  14","   0","   0","   0","  16","   1","   0","   2","   0","   0","   3","   0","   0","   4","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   3","   0","   0","  49","   0","   1","   0","   1","   0","   1","   2","   1","   0","   1","   0","  12","   0","   0","   1","   2","   1","  13","   6","   0","   0","   0","   0","   1","   2","  26","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   5","   0","   1","   0","   0","   0","   9","   0"
"1216",NA,NA," 225","   0","   0","   0"," 120","   0","   0","   3","   0","   2","   0","   2","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","  14","   0","   0","   0","   0","   0","  15","   0","   0","   0","  12","   1","   0","   1","   0","   0","   6","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   4","   0","   0","  33","   0","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","  13","   0","   1","   0","   0","   9","  18","  13","   0","   2","   0","   0","   1","   1","  41","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   1","   2","   0","   0","   0","   2","   0"
"1259",NA,NA," 235","   0","   0","   0"," 150","   0","   0","   4","   0","   3","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   3","   0","   0","   0","   0","  12","   0","   0","   0","   1","   0","  24","   0","   0","   0","  19","   1","   0","   2","   0","   0","   8","   0","   0","   6","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","  33","   0","   2","   0","   1","   1","   0","   1","   4","   0","   1","   1","  16","   1","   0","   0","   0","   3","  22","   0","   1","   0","   0","   0","   0","   3","  36","   0","   0","   0","   0","   0","   0","   0","   1","   1","   1","   1","   1","   5","   0","   0","   0","   1","   0"
"1302",NA,NA," 245","   0","   0","   0"," 120","   0","   0","   4","   0","   5","   0","   1","   0","   1","   0","   1","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","  16","   0","   0","   0","   0","   0","  29","   0","   0","   0","  18","   0","   0","   0","   0","   0","   7","   0","   0","  13","   1","   0","   0","   0","   0","   1","   1","   0","   0","   0","   2","   0","   0","  50","   0","   2","   0","   0","   0","   0","   3","   1","   1","   3","   2","  20","   0","   0","   0","   1","   6","  20","   9","   1","   1","   0","   0","   0","   2","  47","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   1","   0","   0","   0","   0","   6","   0"
"1345",NA,NA," 255","   0","   0","   0"," 170","   1","   0","  10","   0","   0","   1","   2","   0","   4","   0","   0","   1","   0","   0","   0","   1","   0","   0","   4","   0","   1","   0","   0","   6","   0","   0","   0","   0","   0","  32","   0","   0","   0","  16","   1","   0","   2","   0","   0","   5","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   6","   0","  30","   0","   1","   0","   0","   0","   0","   0","   3","   0","   3","   1","  19","   1","   0","   0","   0","   0","  15","   9","   2","   2","   0","   0","   1","   3","  27","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   1","   4","   0"
"1388",NA,NA," 265","   0","   0","   0"," 165","   3","   0","   5","   0","   0","   1","   3","   0","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   9","   0","   0","   0","   0","  10","   0","   0","   0","   0","   1","  23","   0","   0","   0","  43","   1","   0","   1","   1","   0","   6","   0","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   7","   0","   0","  55","   0","   4","   0","   0","   1","   1","   0","   0","   5","   3","   0","  16","   0","   1","   0","   0","   1","  15","  26","   0","   2","   0","   3","   0","   2","  37","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0"
"1431",NA,NA," 275","   0","   0","   1"," 125","   2","   0","   7","   1","   4","   1","   2","   1","   1","   0","   0","   1","   0","   0","   1","   0","   0","   1","   6","   0","   1","   0","   0","   8","   0","   0","   0","   1","   0","  34","   0","   0","   0","  13","   1","   0","  25","   0","   0","   9","   0","   1","   8","   0","   0","   0","   1","   0","   1","   1","   0","   0","   1","   0","   0","   0","  28","   0","   4","   0","   0","   1","   0","   0","   4","   0","   1","   3","  30","   0","   0","   0","   2","   2","  15","   0","   0","   1","   0","   0","   1","   1","  32","   1","   0","   0","   0","   0","   1","   0","   0","   1","   1","   1","   1","   0","   0","   0","   0","   6","   0"
"1474",NA,NA," 285","   0","   0","   1"," 150","   1","   0","   5","   0","   5","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","  50","   0","   0","   0","  21","   1","   0","   1","   0","   0","   8","   0","   1","  11","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","  10","   1","   0","  47","   0","   6","   1","   2","   1","   2","   0","   3","   0","   4","   1","  30","   0","   0","   0","   2","   5","  17","  18","   0","   0","   0","   0","   2","   4","  30","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   4","   0"
"1516",NA,NA," 295","   0","   0","   4"," 120","   2","   0","   8","   0","   1","   4","   2","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   1","   1","   0","   0","   1","   0","  12","   0","   0","   0","   2","   1","  49","   0","   0","   0","  14","   2","   0","   1","   0","   0","   5","   0","   1","  25","   0","   0","   1","   1","   0","   1","   1","   0","   0","   0","  14","   7","   0","  29","   0","   5","   0","   0","   0","   0","   0","   1","   1","   3","   3","  24","   1","   0","   0","   0","   1","  22","  15","   0","   0","   0","   1","   0","   6","  20","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   2","   0","   0","   0","   0","   6","   0"
"1559",NA,NA," 305","   0","   0","   0"," 160","   3","   0","   4","   0","   7","   1","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   1","   3","   0","   0","   0","   0","  10","   1","   0","   0","   0","   0","  29","   0","   0","   0","  21","   0","   0","   3","   0","   0","   3","   0","   0","   8","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   4","   1","   0","  38","   0","   3","   0","   0","   0","   1","   2","   0","   1","   1","   1","  21","   0","   0","   0","   0","   2","  16","   9","   0","   1","   0","   0","   0","   3","  40","   1","   0","   0","   0","   0","   1","   0","   0","   0","   1","   1","   2","   1","   0","   0","   0","   8","   0"
"1602",NA,NA," 315","   0","   0","   0"," 120","   2","   0","   2","   0","   3","   0","   5","   0","   3","   0","   0","   1","   0","   0","   0","   0","   0","   1","   1","   1","   0","   0","   0","  20","   0","   0","   2","   0","   0","  58","   0","   0","   0","  38","   3","   0","   1","   0","   0","   5","   0","   3","  10","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  11","   1","   0","   9","   0","   1","   0","   0","   1","   2","   0","   0","   5","   2","   1","  35","   1","   0","   0","   1","   2","  12","  11","   1","   0","   0","   0","   1","   4","  19","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   3","   1","   0","   0","   0","   5","   0"
"1645",NA,NA," 325","   0","   1","   0","  80","   1","   0","   4","   0","   2","   1","   2","   0","   1","   0","   0","   1","   0","   0","   1","   0","   0","   1","   6","   1","   1","   1","   0","  16","   0","   0","   0","   0","   1","  37","   0","   0","   0","  10","   3","   0","   0","   0","   0","   6","   0","   2","   5","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  18","   1","   0","   5","   0","   6","   0","   0","   1","   1","   1","   1","   1","   1","   3","  29","   1","   0","   0","   0","   4","   6","   8","   0","   0","   0","   0","   1","   3","  11","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","   1","   1","   2","   0","   0","   0","   3","   0"
"1688",NA,NA," 335","   0","   0","   0","  55","   4","   0","   3","   0","   5","   1","   3","   0","   1","   1","   0","   1","   0","   1","   0","   0","   0","   0","   3","   0","   0","   1","   0","  30","   0","   1","   0","   0","   1","  81","   0","   0","   0","  37","   2","   0","   0","   0","   0","   1","   0","   0","   6","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","  23","   4","   0","   3","   0","  14","   0","   0","   2","   1","   1","   0","   4","   0","   4","  16","   1","   1","   0","   1","   8","   5","   0","   2","   1","   0","   0","   1","   4","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   1","   0","   0","   0","   0","   1","   0"
"1731",NA,NA," 345","   0","   0","   1","  24","   2","   0","   4","   0","   3","   1","   3","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   2","   3","   1","   0","   0","   0","  43","   0","   0","   0","   0","   1","  70","   0","   0","   0","  29","   1","   0","   5","   0","   0","   1","   0","   2","   4","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  31","  10","   0","   1","   0","  22","   0","   1","   1","   0","   0","   3","   0","   4","   6","  50","   1","   0","   1","   0","   7","  14","   4","   0","   0","   0","   0","   0","   7","   3","   0","   0","   1","   0","   0","   0","   0","   2","   0","   1","   1","   1","   0","   0","   0","   0","   1","   0"
"1774",NA,NA," 355","   0","   0","   0","  25","   1","   0","   3","   0","   1","   0","   5","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   1","   3","   0","   0","   0","   0","  64","   0","   0","   0","   0","   2","  51","   1","   0","   0","  15","   1","   1","   1","   0","   0","   0","   0","   0","   5","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   4","  13","   0","  14","   0","  16","   0","   0","   3","   0","   1","   0","   4","   6","  10","  26","   1","   0","   0","   0","   6","  39","   9","   1","   0","   0","   1","   0","   4","   4","   0","   0","   0","   0","   0","   0","   0","   3","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0"
"1816",NA,NA," 365","   0","   0","   0","  41","   3","   1","   3","   0","   1","   1","   5","   0","   2","   0","   0","   1","   0","   1","   1","   0","   0","   4","   8","   0","   0","   1","   0","  31","   0","   0","   0","   0","   0","  76","   0","   0","   0","  26","   2","   1","   1","   1","   0","   6","   0","   0","   8","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  13","  36","   0","   5","   0","  11","   0","   0","   0","   1","   1","   1","   2","   3","   5","  39","   1","   0","   0","   1","   3","  34","  15","   1","   0","   0","   0","   1","   8","   2","   0","   0","   2","   0","   0","   0","   0","   3","   0","   2","   2","   0","   0","   0","   0","   0","   6","   0"
"1859",NA,NA," 375","   0","   0","   3","  33","   2","   0","   5","   1","   2","   0","   2","   0","   2","   0","   0","   0","   0","   1","   1","   0","   0","   1","   4","   0","   0","   1","   0","  17","   0","   1","   0","   0","   1","  72","   0","   1","   0","  18","   1","   0","   1","   0","   0","   2","   0","   0","  16","   0","   0","   0","   0","   0","   1","   1","   0","   0","   0","   2","  23","   0","  16","   0","   5","   0","   0","   1","   0","   1","   1","   0","   5","   3","  57","   0","   1","   0","   7","   8","  20","  20","   1","   0","   0","   0","   0","   7","   1","   0","   0","   0","   0","   0","   0","   1","   0","   1","   1","   1","   7","   0","   0","   1","   0","   1","   0"
