"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acer","Actaea","Aesculus","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Araceae","Arceuthobium","Aristolochia","Artemisia","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Casuarina","Cedrus","Celtis","Centaurea","Cichorieae","Cistaceae","Colutea","Convolvulaceae","Cornus","Corylus","Crassulaceae","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dipsacaceae","Echium t.","Ephedra","Erica t.","Erodium","Euphorbia t.","Fabaceae Undif.","Faboideae Undif.","Fagus","Fallopia","Fern","Fern-Equisetophyta","Filipendula t.","Frankenia","Fraxinus","Galium t.","Genisteae","Gentiana t.","Geranium","Heliotropium","HippophaÃ«","Hydrocharitaceae","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Larix","Lauraceae","Lemnaceae","Ligustrum","Linum t.","Lotus t.","Lysimachia","Lythrum","Menyanthes","Mercurialis","Morus","Musci","Myriophyllum spicatum/verticillatum t.","Myrtus","Nuphar","Nymphaea","Olea t.","Onagraceae","Ononis t.","Papaver t.","Paronychieae","Periploca","Persicaria t.","Petaloid monocot","Phaseolus","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Populus","Potamogeton","Potentilla t.","Prosopis t.","Prunus t.","Psoralea","Pterocarya","Punica granatum","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnus","Rheum","Ricinus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Secale","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Utricularia","Valerianella","Verbena t.","Viburnum","Vitis","Zea"
"3227","3622","2834"," 165","   0","   0","   0","   0","   2","   8","   5","   0","   0","   1","   7","   1","   0","   0","   0","  15","   1","   1","   3","   1","   1","   0","   0","   0","   0","   2","   3","   2","   3","   2","   0","   3","   0","   0","   6","   0","   0","   1","   0","   4","   0","  17","   0","   0"," 135","   0","   2","   0","   0","   0","   0","   1","   0","  10","   0","  14","   5","   1","   0","   0","  24","   0","   0","   0","   0","   1","   0","   5","   0","   1","   2","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 452","   0","   4","   0"," 371","   7","  12","   0","   0","   1","   0","   0","   0","   0","   0","   0","  26","   2","   0","   0","   0","   0","   0","  11"," 110","   1","   0","   2","   0","   0","  74","   0","   0","   1","   0","   0","   0"," 128","  67","   0","   6","   0","   0","   0","   0","   0","   0","   0"
"3325","3717","2933"," 170","   1","   0","   0","   0","   4","  10","  11","   0","   0","   8","   6","   2","   0","   0","   0","  24","   2","   1","   5","   0","   3","   0","   0","   0","   0","   0","   0","   7","   3","   2","   0","   1","   0","   1","   3","   0","   0","   0","   0","   6","   0","   8","   0","   0","  56","   0","   0","   0","   0","   0","   0","   3","   0","  34","   0","  64","   3","   3","   0","   1"," 106","   0","   0","   0","   0","   2","   0","   0","   0","   1","   3","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0"," 457","   0","   5","   1"," 176","   4","   7","   0","   0","   0","   0","   0","   0","   0","   0","   1","  44","   5","   0","   0","   0","   1","   0","  17","   0","   0","   0","   1","   0","   0","  45","   0","   0","   0","   0","   0","   0","   6","   4","   0","   2","   0","   0","   1","   0","   0","   1","   0"
"3618","4005","3234"," 185","   1","   0","   0","   0","   2","  13","  10","   0","   0","   8","   8","   2","   2","   0","   0","  30","   4","   0","   8","   0","   4","   0","   0","   1","   0","  29","   2","  19","   5","   2","   0","   1","   0","   1","   5","   0","   0","   0","   0","  17","   0","   6","   0","   0","  42","   1","   0","   0","   0","   0","   0","   1","   0","  29","   0","  96","   0","   0","   0","   0","  19","   0","   0","   0","   1","   2","   0","   2","   0","  54","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 280","   3","  11","   0","  73","   6","  36","   0","   0","   0","   0","   1","   0","   0","   0","   2","  96","  21","   0","   0","   0","   3","   0","   5","   2","   0","   4","   0","   0","   0","  19","   0","   0","   0","   0","   0","   1","   8","   1","   3","   4","   0","   0","   0","   0","   0","   2","   0"
"3911","4292","3533"," 200","   0","   0","   0","   0","   1","   2","   4","   0","   0","   0","   3","   0","   0","   0","   0","   9","   1","   0","   1","   0","   3","   0","   0","   0","   0","   7","   1","   1","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   0","   1","   0","   3","   0","   0","  68","   0","   0","   0","   0","   0","   0","   1","   0","   8","   0","   5","   1","   1","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   3","   1","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 123","   0","   6","   0","  75","   9","  36","   0","   0","   0","   0","   0","   0","   0","   0","   0","  39","   5","   0","   0","   0","   0","   1","   1","   1","   0","   0","   1","   0","   3","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","  12","   0","   0","   0","   0","   0","   0","   0"
"4204","4579","3832"," 215","   1","   0","   0","   0","   2","   2","   2","   0","   0","   0","   1","   1","   0","   0","   0","   7","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","   5","   1","   0","   0","   0","   0","   1","   2","   0","   0","   0","   0","   2","   1","   1","   0","   0","  69","   0","   0","   0","   1","   0","   0","   0","   0","  18","   0","  18","   7","   0","   0","   0","  38","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 581","   0","   2","   0","  25","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  26","   3","   0","   0","   0","   1","   0","   4","   0","   0","   1","   1","   0","   0","   7","   0","   0","   0","   0","   0","   0","   3","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0"
"4497","4865","4130"," 230","   1","   0","   0","   0","   0","   5","   4","   0","   0","   2","   5","   0","   0","   0","   0","   5","   0","   0","   0","   0","   6","   0","   1","   0","   0","   5","   1","   3","   1","   2","   0","   1","   0","   0","   1","   0","   0","   0","   0","   4","   0","  15","   0","   0"," 243","   0","   0","   0","   1","   0","   0","   3","   1","  11","   0","   2","  79","   0","   0","   0","  30","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   2","   0","   7","   0","   0","   0","   0","   1","   0","   0","   0"," 186","   0","   2","   0","  43","   4","   1","   0","   2","   0","   0","   1","   0","   0","   0","   1","  58","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   5","   0","   1","   3","   0","   0","   0","   0","   0","   1","   0"
"4790","5154","4430"," 245","   1","   0","   0","   0","   1","   2","   5","   0","   0","   0","   1","   0","   0","   0","   0","   8","   0","   1","   0","   0","   0","   0","   0","   0","   0","   7","   1","   2","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   4","   0","   5","   0","   0"," 591","   0","   0","   0","   0","   0","   1","   0","   0","  19","   0","   9","  25","   1","   0","   0","  48","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  92","   0","   5","   0","  27","   4","   2","   0","   1","   2","   0","   0","   0","   0","   0","   0","  64","   6","   0","   0","   0","   0","   0","   1","   1","   0","   2","   0","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   1","   0","   2","   0","   0","   0","   0","   0","   0","   0"
"5083","5443","4729"," 260","   0","   0","   0","   0","   0","   2","   4","   0","   0","   0","   1","   0","   0","   0","   0","  12","   3","   1","   8","   0","   0","   0","   0","   0","   0","   6","   0","   6","   1","   2","   0","   0","   2","   0","   3","   0","   0","   0","   0","   7","   1","  11","   0","   0"," 575","   0","   0","   0","   0","   0","   0","   1","   0","  37","   0","   5","  11","   0","   0","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   4","   6","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  82","   0","   6","   0"," 193","   4","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  87","   5","   0","   0","   0","   0","   3","   4","   3","   0","   3","   4","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   1","   2","  10","   1","   0","   0","   0","   0","   1","   0"
"5278","5637","4929"," 270","   1","   0","   0","   0","   0","  10","   9","   0","   0","   4","   3","   0","   0","   0","   0","  27","   1","   0","   2","   0","   3","   0","   1","   0","   0","  12","   0","   7","   2","   7","   0","   1","   0","   0","   8","   0","   0","   0","   0","   6","   4","  58","   0","   0"," 561","   0","   0","   0","   1","   0","   0","   1","   1","  45","   0","  52"," 567","   0","   0","   0","  99","   0","   0","   0","   0","   1","   0","   0","   0","   6","   2","   0","   0","   1","   0","   0","   0","   3","   1","   0","   3","   0","   0","   0","   0","   2","   0","   9","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"," 126","   2","   5","   2","  94","   4","   5","   0","   0","   0","   0","   0","   0","   0","   0","   2"," 204","   3","   0","   0","   0","   0","   0","   7","  10","   0","   3","   2","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   1","   3","   2","   1","   0","   0","   0","   0","   0","   0"
"5571","5927","5227"," 285","   0","   0","   0","   0","   0","   3","   6","   0","   0","   1","   1","   0","   0","   0","   0","  12","   0","   0","   2","   0","   1","   0","   0","   0","   0","   1","  55","   7","   1","   3","   0","   0","   0","   0","   4","   0","   0","   0","   0","   4","   0","  11","   0","   0"," 490","   2","   0","   0","   0","   0","   0","   0","   0","  24","   0","  11","  31","   0","   0","   0","   5","   1","   0","   0","   0","   0","   0","   0","   0","   2","   5","   0","   0","   0","   0","   0","   0","   2","   2","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  88","   1","   0","   1","  47","   2","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","  42","   2","   0","   0","   0","   0","   0","   3","  11","   1","   2","   0","   0","   0","   2","   0","   0","   0","   0","   0","   1","   1","   0","   0","   2","   0","   0","   0","   0","   2","   1","   0"
"5864","6219","5526"," 300","   2","   0","   0","   0","   1","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   5","   2","   1","   0","   0","   4","   0","   0","   0","   0","   1","   0","   2","   1","   4","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","  10","   0","   0"," 295","   0","   0","   0","   0","   0","   0","   2","   0","  18","   0","  10","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   1","   0","   2","   5","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   3","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  64","   0","   4","   1"," 244","   4","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","  48","   5","   0","   0","   0","   0","   1","   1","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  52","   0","   0","   0","   0","   0","   0","   0"
"6157","6512","5824"," 315","   1","   1","   0","   0","   0","   6","   1","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   4","  13","   0","   0","   0","   0","   0","   0","   7","   0","  51","   0","   1","   0","   0","   0","   0","   5","   0","   0","   0","   0","  22","   0","   9","   0","   0"," 102","   0","   0","   0","   0","   0","   0","   0","   0"," 116","   0","   7","   2","   0","   0","   2","   1","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  96","   3","   5","   2","2509","   5","   0","   2","  35","   0","   0","   0","   0","   0","   0","   1"," 153","   3","   0","   0","   0","   0","   0","   1","   1","   1","   4","   3","   0","   0","   5","   0","   0","   1","   0","   0","   0","   0","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0"
"6450","6805","6122"," 330","   0","   0","   0","   0","   0","   2","   3","   0","   0","   0","   1","   0","   0","   0","   0","   7","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","  27","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","  13","   0","   3","   0","   0","  45","   0","   0","   0","   0","   0","   0","   1","   0","  52","   0","   1","   3","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 138","   0","   0","   0"," 260","   3","   3","   0","   6","   0","   0","   0","   0","   0","   0","   0","  81","   4","   0","   0","   0","   0","   1","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0"
"6743","7099","6420"," 345","   0","   0","   0","   0","   0","  14","  11","   0","   0","   2","   3","   1","   0","   0","   0","  12","   1","   0","   6","   0","   3","   0","   0","   0","   0","   3","   0","  52","   2","   9","   0","   2","   0","   1","   2","   0","   0","   0","   0","  34","   0","  53","   1","   0","  53","   0","   0","   0","   0","   0","   0","   1","   1","  81","   0","   8","   8","   2","   0","   2","   1","   1","   0","   1","   0","   1","   0","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1"," 137","   2","   6","   0"," 374","   7","   2","   0","  68","   1","   0","   2","   0","   0","   0","   1"," 157","   2","   0","   0","   0","   0","   0","   2","   6","   0","   2","   0","   0","   1","   6","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","   2","   0","   1","   0","   1","   2","   0"
"7036","7393","6717"," 360","   1","   0","   0","   0","   0","   5","   7","   0","   0","   3","   3","   0","   0","   0","   0","   8","   2","   2","   0","   0","   2","   2","   0","   1","   0","   7","   2","  16","   1","   4","   0","   0","   0","   0","  15","   1","   0","   0","   0","  14","   0","  22","   0","   0","  49","   3","   0","   1","   0","   0","   0","   1","   0","  62","   0","  33","   1","   7","   0","   1","   1","   1","   0","   0","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   1","   0","   1","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   2","   0","   1","   0","   0","   0","   0","   1","   0","   0","   0"," 160","   1","   7","   0"," 178","  14","   6","   1","  16","   1","   0","   0","   0","   0","   0","   0","  56","   7","   0","   0","   0","   1","   0","   3","   2","   0","   3","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   3","   3","   1","   4","   1","   0","   1","   0","   1","   2","   0"
