"sample_name","depth","Acacia t.","Aerva type","Alchornea","Allophylus t.","Alternanthera t.","Amaranthaceae undif.","Ambrosia t.","Anthostema","Apiaceae undif.","Artemisia","Asteroideae undif.","Balanites","Brassicaceae","Bridelia","Canthium","Caryophyllaceae undif.","Cassia","Ceiba","Celosia type","Celtis","Cichorieae","Combretaceae","Commiphora","Cyperaceae","Detarium","Diospyros/Euclea t.","Elaeis","Ephedra","Eriocaulon","Euphorbia t.","Euphorbiaceae undif.","Faboideae Undif.","Fern","Indeterminable","Lannea","Lophira","Macaranga","Maerua","Maytenus","Mitracarpus","Mitragyna/Hallea","Monoletes","Nymphaea","Phoenix t.","Phyllanthus undif.","Piliostigma","Pinus undif.","Plantago","Poaceae","Prosopis t.","Rhizophora","Rubiaceae undif.","Salix","Salvadora","Sapium","Sapotaceae undif.","Securinega  t.","Spergularia t.","Spermacoce","Syzygium t.","Tetracera alnifolia","Tilia","Triletes","Typha","Uapaca","Urtica t.","Zanthoxylum"
NA,"235","  0","  1","  1","  0","  0","  8","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0"," 24","  0","  0","  0","  0","  0","  0","  1","  0","  0","  6","  0","  0","  1","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0"," 71","  0"," 51","  0","  2","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  8","  0","  0","  0"
NA,"255","  0","  1","  6","  0","  0","  9","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0"," 59","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 15","  1","  0","  0","  0","  0","  1","  0"," 11","  0","  0","  0","  0","  0","  0"," 78","  0"," 35","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  9","  0","  0","  0"
NA,"275","  1","  2","  1","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  1","  0"," 31","  0","  0","  1","  0","  0","  0","  0","  0","  0","  8","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0"," 30","  0"," 38","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  4","  0","  0","  0"
NA,"295","  0","  1","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  3","  0"," 23","  1","  0","  0","  0","  0","  0","  0","  0","  2"," 14","  0","  0","  0","  0","  1","  1","  0","  5","  0","  0","  0","  0","  0","  0"," 64","  0"," 59","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0"
NA,"315","  0","  1","  2","  0","  0","  5","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  7","  0","  2","  0"," 57","  0","  0","  1","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  3","  1","  7","  0","  0","  0","  0","  0","  0","117","  0","122","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","  0","  0","  0"
NA,"335","  0","  1","  7","  0","  0","  9","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  5","  0"," 34","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 17","  0","  0","  0","  0","  0","  3","  3"," 17","  1","  0","  0","  0","  1","  0"," 96","  1"," 23","  0","  0","  1","  0","  2","  0","  0","  1","  1","  1","  0","  0","  9","  0","  0","  0"
NA,"355","  0","  1","  8","  0","  0","  9","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","104","  0","  0","  0","  1","  0","  0","  0","  0","  2","  9","  0","  0","  1","  0","  0","  2","  1"," 32","  0","  0","  0","  0","  0","  0"," 61","  0"," 18","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 35","  0","  0","  0"
NA,"375","  0","  0","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  2","  0"," 19","  0","  1","  0","  0","  0","  0","  0","  1","  2","  6","  0","  0","  7","  1","  0","  0","  0"," 18","  4","  0","  0","  0","  0","  0"," 30","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  0","  7","  3","  0","  0","  3","  2","  0","  1"
NA,"395","  0","  3","  3","  0","  0","  3","  1","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0"," 17","  0","  0","  0","  0","  0","  0","  1","  1","  0","  9","  1","  0","  0","  0","  1","  0","  0","  3","  0","  0","  0","  0","  0","  1"," 37","  0"," 30","  0","  1","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0"
NA,"415","  0","  3","  4","  0","  1","  3","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  3","  0"," 45","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 13","  0","  0","  0","  0","  0","  1","  0","  4","  0","  1","  0","  0","  0","  0"," 80","  0"," 72","  0","  0","  0","  1","  0","  0","  0","  0","  4","  0","  0","  0","  4","  0","  0","  1"
