"sample_name","depth","Sauvagesia erecta","Abutilon t.","Acacia t.","Adenium","Aerva type","Aizoaceae t.","Alchornea","Allophylus t.","Amanoa-type","Amaranthaceae undif.","Ambrosia t.","Annonaceae","Anthoceros t.","Anthostema","Antidesma t.","Apiaceae undif.","Apocynaceae undif.","Artemisia","Asteroideae undif.","Avicennia","Balanites","Blighia","Bombax","Brassicaceae","Bridelia","Buxus","Caesalpiniaceae undif.","Calpocalyx","Calpocalyx aubrevillei","Canthium","Caperonia","Caryophyllaceae undif.","Caryophyllaceae/Amaranthaceae","Cassia","Caucanthus","Celtis","Centaurea","Chrysobalanus t.","Cichorieae","Clematis-type","Cola","Combretaceae","Commelina","Commiphora","Crudia","Cyperaceae","Daniellia","Detarium","Dialium","Diospyros/Euclea t.","Dodonaea","Dracaena","Elaeis","Ephedra","Erica t.","Erythrococca/Micrococca","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fern","Fern-Lycopodiaceae","Ficus","Gaertnera paniculata-type","Galium t.","Garcinia","Gardenia","Grewioideae","Guibourtia","Hibiscus","Hura","Hygrophila","Hymenocardia","Hyphaene t.","Hypoestes t.","Impatiens","Indeterminable","Irvingia","Isoberlinia","Justicia t.","Klaineanthus","Lamiaceae undif.","Lannea","Lepidagathis","Lophira","Lotus t.","Macaranga","Maerua","Maytenus","Meliaceae undif.","Mitracarpus","Mitragyna/Hallea","Monoletes","Moraceae undif.","Musanga/Myrianthus","Nauclea","Nymphaea","Olea t.","Pandanus","Parkia","Pausinystalia","Petaloid monocot","Phoenix t.","Phyllanthus maderaspatensis","Phyllanthus niruri","Phyllanthus undif.","Pinus undif.","Poaceae","Podocarpus","Polygala","Polygonum t.","Portulacaceae t.","Prosopis t.","Pycnanthus","Rhizophora","Rubiaceae undif.","Rumex t.","Salix","Sapotaceae undif.","Spergularia t.","Spermacoce","Sterculia","Syzygium t.","Tabernaemontana","Tetracera alnifolia","Tetrorchidium","Thymelaeaceae undif.","Tribulus","Triletes","Typha","Uapaca","Uncaria","Unknown","Urtica t.","Vernonieae","Ziziphus/Paliurus"
NA,"110","  0","  0","  0","  0"," 12","  0"," 14","  0","  0"," 36","  1","  0","  1","  1","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0"," 46","  0","  0","  0","  0","  0","  0","  2"," 13","  0","  0","  3","  0","  0","  1","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  1","  2","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1"," 51","  0","  0","  1","  0","  0","  0"," 30","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0"," 14","  0","  0","  0"
NA,"120","  0","  0","  2","  0"," 12","  0","  2","  0","  0","114","  1","  0","  0","  1","  0","  0","  0","  0","  2","  0","  2","  0","  0","  2","  1","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0"," 72","  0","  0","  0","  0","  1","  0","  3","  4","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0","  2","  0","  0","  1","  1","  1","  0","  0","  0","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","119","  0","  0","  0","  0","  0","  0"," 13","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  3","  0","  0"," 10","  0","  0","  0"
NA,"130","  0","  0","  2","  0"," 15","  0","  4","  0","  0"," 29","  0","  0"," 14","  0","  0","  0","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  0","  0","  4","  2","  0","  0","133","  0","  1","  0","  1","  0","  0","  5","  9","  0","  0","  0","  0","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0"," 41","  0","  0","  0","  0","  0","  1","  0","  1","  0","  2","  0","  0","  1","  2","  0"," 20","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  5","198","  3","  0","  0","  0","  7","  3"," 15","  0","  0","  0","  1","  0","  1","  0","  2","  0","  0","  0","  0","  0","  8","  4","  6","  0","  2","  4","  0","  0"
NA,"140","  0","  0","  4","  0","  9","  0","  0","  0","  0"," 33","  0","  0","  4","  0","  0","  0","  0","  2","  3","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  4","  0","  0","  1"," 80","  0","  1","  0","  0","  0","  0","  3","  8","  0","  0","  1","  1","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 11","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  2","  1"," 17","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0"," 91","  0","  0","  0","  0","  0","  0"," 24","  0","  0","  0","  0","  2","  0","  0","  4","  0","  0","  0","  0","  0","  1","  3","  1","  0"," 12","  0","  0","  0"
NA,"150","  0","  0","  0","  0","  6","  1","  1","  0","  0"," 40","  0","  0","111","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  0","  0","  0"," 87","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0"," 14","  2","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  1"," 45","  1","  0","  0","  0","  0","  1","  0","  2","  0","  0","  0","  0","  3","  2","  1"," 35","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","233","  1","  0","  1","  0","  0","  2"," 38","  0","  0","  0","  1","  1","  1","  0","  0","  0","  0","  0","  0","  0","  4","  4","  5","  0","  2","  0","  1","  0"
NA,"160","  0","  0","  1","  0","  6","  0","  3","  0","  0"," 12","  0","  0","  9","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1","  0","  0","  3","  0","  0","  0","109","  0","  0","  0","  1","  0","  0","  1"," 14","  0","  0","  0","  0","  0","  9","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 34","  0","  0","  0","  1","  0","  0","  0","  1","  0","  5","  2","  0","  1","  0","  0"," 45","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 11","224","  0","  1","  0","  0","  0","  1"," 28","  0","  1","  0","  5","  0","  0","  0","  3","  0","  1","  0","  0","  1","  4"," 11","  3","  1","  0","  0","  2","  0"
NA,"170","  0","  0","  0","  0","  2","  0","  3","  0","  0"," 11","  0","  0"," 15","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0"," 97","  0","  1","  0","  4","  0","  0","  5"," 14","  0","  0","  0","  0","  0"," 36","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 51","  0","  0","  0","  0","  0","  1","  0","  1","  0","  2","  0","  0","  0","  1","  0"," 52","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0"," 10","157","  1","  0","  0","  0","  0","  0","  5","  1","  0","  0","  2","  0","  1","  0","  0","  0","  0","  0","  0","  0","  8","  0","  2","  0","  4","  0","  0","  0"
NA,"180","  0","  0","  0","  0","  1","  1","  3","  1","  0"," 17","  0","  0","  5","  0","  0","  0","  0","  1","  6","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  2","  0","  1","  0","  0","  0","  8","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  6","  9","  0","  0","  1","  0","  0","  7","  1","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0"," 17","  1","  0","  0","  0","  0","  2","  0","  2","  0","  1","  0","  0","  0","  1","  0"," 18","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  3","125","  1","  0","  1","  0","  1","  0"," 25","  0","  1","  1","  3","  1","  0","  0","  1","  0","  1","  0","  0","  0","  2","  0","  2","  0","  6","  0","  0","  0"
NA,"190","  0","  0","  0","  0","  6","  0","  5","  0","  3","  1","  0","  0"," 14","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  4","  0","  0","  1","  0","  0","  0"," 55","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0"," 23","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 40","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 39","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 18","129","  0","  0","  0","  1","  0","  1","  8","  0","  0","  0","  3","  0","  0","  0","  0","  5","  1","  0","  0","  0","  6","  3","  1","  0","  0","  0","  0","  0"
NA,"200","  0","  0","  0","  0"," 10","  0","  3","  0","  0"," 17","  0","  0","  3","  0","  1","  0","  0","  0","  3","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  1","  1","  1","  1","  1","  0","  0","  0","  0","  9","  0","  0","  0"," 75","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  2","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  6","  0","  0","  0","  0","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  1"," 40","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","111","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  0","  1","  1","  1","  0","  4","  0","  0","  2","  0","  0","  5","  1","  2","  0"," 12","  0","  1","  0"
