"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aizoaceae t.","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthemideae undif.","Apiaceae undif.","Apium t.","Arbutus","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Betulaceae undif.","Boraginaceae undif.","Brassicaceae","Butomus","Buxus","Calligonum","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carpinus","Caryophyllaceae undif.","Castanea","Centaurea","Cichorieae","Cistaceae","Clematis-type","Convolvulaceae","Cornus","Corylus","Cotinus coggygria","Cupressaceae","Cyclamen","Cyperaceae","Datisca cannabina","Dipsacaceae","Echium t.","Ephedra","Erica t.","Euphorbia t.","Euphorbiaceae undif.","Fabaceae Undif.","Fagopyrum","Fagus","Fern","Fern-Equisetophyta","Fern-Lycopodiaceae","Filipendula t.","Fraxinus","Galium t.","Gentiana t.","Gentianaceae undif.","Geraniaceae undif.","Geranium","Gossypium","Hedera","Heliotropium","Hymenophyllum","Hypericum undif.","IsoÃ«tes","Juglans","Lamiaceae undif.","Lemnaceae","Linum t.","Lotus t.","Lysimachia","Lythrum","Malva","Malva undif.","Matthiola","Menyanthes","Mercurialis","Morus","Myriophyllum spicatum/verticillatum t.","Nymphaea","Olea t.","Orchidaceae","Petaloid monocot","Phillyrea","Picea","Pinus undif.","Pistacia","Plantago","Platanus","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Potentilla t.","Primulaceae undif.","Prunus t.","Quercus evergreen","Quercus subgen. Cerris","Ranunculaceae undif.","Rhamnaceae undif.","Rhamnus","Rosaceae undif.","Rumex t.","Salix","Sambucus","Sanguisorba t.","Scrophulariaceae undif.","Searsia","Solanaceae undif.","Solanum","Sparganium","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Unknown","Urtica t.","Valeriana t.","Valerianella","Verbena t.","Viburnum","Vitis","Ziziphus/Paliurus"
"4003","4214","3811"," 255","   3","   0","   0","   0","   0","   1","  11","   0","   0","   2","   3","   7","   0","   2","   1","  17","   1","   8","   0","   5","   0","   0","   0","   0","   0","   5","   1","   2","   0","   0","  19","   0","   0","   2","   0","   5","   0","   0","   0","  43","   0","   1","   1","   0","   5","   0","   0","   0","   0","   6","   7","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   2","   0","   2","   0","   0","   6","   0","   0","   1","   0","   0","   0","   0","   0","   9","   0","   2","   1","   0","  21","   1","   8","   0","   1","  85","   4","   7","   0","   1","   0","   0","  20","  83","   2","   0","   0","   2","   3","   1","   1","   2","   1","   0","   0","   0","  81","   1","   0","   0","   0","   0","   0","   3","   0","   0","  26","   0","   0","   0","   0","   0","   1","   0"
"4455","4681","4217"," 280","   9","   0","   0","   0","   0","   3","  13","   0","   0","   1","   3","  14","   0","   2","   1","   8","   0","  15","   0","   5","   0","   0","   0","   0","   0","   2","   1","   0","   0","   1","   7","   0","   1","   0","   0","   3","   1","   0","   0","  42","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","  16","   0","   2","   0","   1","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","  13","   0","   2","   0","   0","  17","   0","   2","   0","   0","  86","   4","   4","   2","   1","   0","   0","  27"," 141","   0","   0","   0","   1","   0","   2","   0","   1","   0","   0","   0","   0","  72","   7","   0","   0","   1","   0","   0","   0","   0","   2","   8","   0","   0","   0","   0","   0","   0","   0"
"4632","4862","4375"," 290","   4","   0","   0","   0","   0","   2","  11","   0","   0","   0","   3","  37","   0","   0","   0","  13","   0","  21","   0","   1","   0","   0","   0","   0","   0","   1","   0","   2","   2","   1","   9","   0","   0","   0","   0","   3","   0","   0","   0","  51","   0","   0","   0","   0","   2","   0","   0","   1","   0","   3","   7","   0","   0","   1","   0","   0","   1","   0","   0","   0","   0","   1","   0","   0","   2","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  12","   0","   2","   2","   1","  20","   0","   7","   1","   1","  48","   2","   1","   0","   0","   0","   0","  39"," 140","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","  47","  10","   0","   0","   0","   0","   0","   0","   0","   4","  14","   0","   0","   0","   0","   0","   1","   1"
"4806","5040","4529"," 300","   9","   0","   1","   0","   0","   2","   6","   0","   0","   0","   0","  16","   0","   1","   1","   6","   0","  11","   0","   2","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","  20","   0","   0","   0","   0","   3","   0","   0","   0","   0","   1","   6","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   1","   0","  17","   0","   6","   0","   0","  29","   0","   0","   0","   0","   0","   0","  23","  71","   0","   0","   0","   0","   2","   0","   0","   2","   1","   0","   0","   0","  10","   4","   0","   0","   0","   0","   1","   1","   0","   1","  14","   0","   0","   0","   0","   0","   0","   0"
"5141","5384","4824"," 320","   4","   0","   0","   0","   0","   3","  24","   0","   0","   2","   8","  47","   0","   3","   1","  13","   1","  28","   0","   0","   0","   1","   0","   0","   1","   1","   3","   2","   0","   3","  22","   0","   0","   0","   0","   8","   1","   0","   0","  44","   0","   1","   0","   0","   7","   0","   0","   2","   0","   2","  29","   1","   1","   1","   6","   2","   0","   0","   0","   1","   0","   0","   0","   2","   1","  26","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","   0","   4","   0","   0","   0","  12","   0","   2","   0","   0","  37","   2","   8","   1","   1"," 100","   4","   0","   0","   1","   0","   0","  54"," 230","   0","   0","   0","   1","   5","   0","   0","   4","   0","   0","   0","   0","  11","  20","   2","   0","   0","   0","   3","   0","   0","   4","  16","   0","   0","   0","   0","   0","  11","   0"
"5454","5706","5114"," 340","   6","   0","   0","   0","   0","   0","  16","   0","   0","   1","  14","  30","   0","   1","   7","   6","   0","  25","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   6","   1","   7","   0","   0","   0","   0","   9","   0","   1","   1","  28","   0","   0","   0","   0","   5","   0","   0","   3","   0","   4","  16","   0","   0","   0","   2","   0","   0","   1","   0","   0","   0","   0","   0","   3","   0","  12","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   8","   0","   1","   0","   0","  25","   2","   7","   0","   4","  28","   3","   2","   0","   0","   0","   0","  23"," 149","   1","   0","   0","   1","   3","   0","   0","   1","   3","   0","   0","   2","   5","  10","   0","   1","   0","   0","   1","   0","   0","   1","  34","   0","   0","   0","   0","   0","   3","   0"
"5741","5999","5380"," 360","   3","   0","   0","   0","   0","   6","  10","   0","   0","   0","   2","  11","   0","   4","   1","  23","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   1","   3","   0","   0","   9","   0","   0","   0","   0","   6","   0","   0","   0"," 237","   0","   0","   0","   1","   3","   0","   0","   3","   1","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  22","   0","   4","   0","   0","   0","   1","  49","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0","  11","   0","   0"," 129","   3","   0","   0","   0","   0","   0","  14"," 133","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","  78","   0","   0","   0","   0","   0","   1","   0","   6","   3","  42","   0","   0","   0","   0","   0","   2","   0"
"5996","6269","5620"," 380","  21","   0","   0","   0","   0","   1","  21","   0","   0","   6","   6","  34","   0","   3","   9","   7","   1","  29","   0","   2","   0","   0","   0","   0","   0","   2","   2","   1","   0","   0","  14","   1","   0","   0","   1","  11","   0","   0","   0","  28","   1","   1","   0","   0","   0","   1","   0","   1","   0","   0","  24","   0","   0","   2","   3","   2","   0","   0","   1","   0","   0","   1","   0","   3","   0","   9","   0","   2","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   4","   0","   4","   1","   0","  50","   2","  17","   0","   1","  86","   7","   3","   0","   0","   0","   0","  32"," 117","   0","   0","   0","   0","   3","   0","   3","   7","   0","   0","   0","   0","   7","   9","   1","   1","   0","   0","   1","   1","   0","   3","  60","   0","   0","   0","   0","   0","   3","   0"
"6223","6506","5836"," 400","  16","   0","   0","   0","   0","   5","  19","   0","   0","   1","  11","  18","   0","   0","   3","  10","   1","  42","   0","   3","   0","   0","   0","   0","   0","   1","   8","   1","   1","   3","  16","   1","   0","   1","   0","   6","   1","   0","   0","  35","   0","   0","   0","   0","   4","   1","   0","   0","   0","   4","  28","   0","   0","   1","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","  27","   0","   1","   0","   1","   0","   0","   0","   0","   1","   0","   0","   1","   0","   2","   0","   9","   0","   3","   3","   0","  91","   2","  11","   0","   2","  87","   4","   2","   0","   0","   0","   0","  34"," 257","   1","   0","   0","   2","   4","   0","   0","  12","   1","   0","   0","   0","   9","   2","   0","   0","   0","   0","   2","   0","   0","   2","  32","   1","   0","   0","   0","   0","   5","   0"
"6422","6707","6029"," 420","   4","   0","   0","   0","   0","   7","  14","   0","   1","   1","   4","  17","   0","   6","   5","   5","   1","  34","   0","   1","   1","   0","   0","   0","   0","   2","   2","   4","   3","   2","   2","   0","   0","   0","   0","  12","   0","   0","   0","  18","   0","   0","   0","   1","   9","   1","   0","   1","   0","   3","  17","   0","   0","   0","   4","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","  14","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","  13","   0","   0","   2","   0","  35","   2","   5","   0","   0","  50","   7","   0","   0","   0","   0","   0","  36"," 221","   0","   0","   0","   1","   2","   0","   0","   2","   0","   0","   0","   0","   9","   1","   1","   0","   1","   0","   3","   0","   0","   5","  20","   0","   0","   1","   0","   0","   8","   0"
"6597","6888","6213"," 440","   4","   0","   1","   0","   0","   3","  17","   0","   0","   3","   4","  13","   0","   3","   5","   5","   1","  26","   0","   4","   0","   0","   0","   0","   0","   2","   4","   2","   0","   1","  13","   0","   0","   0","   0","   6","   0","   1","   0","  20","   0","   1","   0","   0","   5","   1","   0","   0","   0","   5","  20","   0","   0","   1","   3","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","  18","   0","   1","   0","   1","   0","   1","   0","   0","   0","   0","   0","   3","   0","   0","   0","  13","   0","   1","   2","   0","  23","   1","   9","   0","   1","  51","   8","   3","   0","   0","   0","   1","  38"," 138","   1","   0","   1","   3","   2","   0","   0","   5","   2","   0","   0","   0","  12","   0","   0","   0","   1","   0","   0","   0","   0","   4","  28","   0","   0","   0","   0","   0","   1","   0"
"6750","7031","6368"," 460","   7","   0","   0","   0","   0","   5","  17","   0","   0","   1","   7","  25","   0","   1","   2","   6","   0","  31","   0","   1","   0","   0","   0","   0","   0","   1","   3","   1","   3","   4","  21","   2","   0","   0","   0","   6","   1","   1","   0","  34","   0","   1","   0","   0","   4","   0","   0","   2","   0","   1","  14","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","   0","   1","   0","   4","   0","   5","   0","   1","  45","   1","   9","   0","   0","  89","  12","   5","   0","   1","   1","   0","  39"," 180","   0","   0","   0","   0","   3","   1","   0","   6","   0","   0","   0","   0","   9","   2","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0","   0","   0","   0","   0","   6","   0"
"6882","7145","6510"," 480","   7","   0","   0","   0","   0","   9","  36","   0","   0","   3","  15","  36","   0","   3","   3","   5","   1","  35","   0","   2","   0","   0","   0","   0","   0","   2","   2","   5","  12","   9","  12","   0","   3","   1","   0","   7","   0","   1","   0","  24","   0","   0","   0","   1","   1","   0","   0","   2","   0","   0","  23","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   3","   0","   7","   0","   2","   1","   0","  31","   0","  13","   0","   2","  83","   4","   1","   0","   0","   0","   0","  44"," 181","   1","   1","   0","   1","   4","   0","   0","   7","   2","   0","   0","   0","  20","   0","   0","   0","   0","   0","   3","   0","   0","   5","  42","   0","   0","   0","   1","   0","   7","   0"
"6997","7242","6651"," 500","  17","   0","   1","   0","   0","   2","  26","   0","   0","   0","   3","  14","   0","   2","   5","   5","   1","  22","   0","   4","   0","   0","   0","   0","   0","   1","   2","   1","  10","   0","   7","   0","   0","   1","   0","   4","   0","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   1","   0","   1","  19","   0","   0","   0","   1","   1","   0","   1","   0","   0","   0","   1","   0","   2","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   4","   0","   0","   0","   0","  76","   1","  12","   0","   0","  41","   4","   2","   0","   0","   0","   0","  38"," 163","   0","   0","   0","   0","   3","   0","   0","   1","   2","   0","   0","   0","  14","   0","   0","   0","   0","   0","   2","   0","   0","   2","  30","   0","   0","   0","   0","   0","   1","   0"
"7097","7328","6785"," 520","  21","   0","   1","   0","   0","   1","  35","   0","   0","   3","   4","   9","   0","   0","   3","   5","   0","  19","   0","   4","   0","   0","   0","   0","   1","   0","   0","   1","   0","   2","  26","   1","   0","   1","   0","   9","   0","   0","   0","  24","   0","   0","   0","   1","   1","   0","   0","   0","   0","   2","  18","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","  13","   0","   0","   0","   2","   0","   1","   0","   0","   1","   0","   0","   5","   0","   4","   0","   3","   0","   2","   2","   0","  92","   1","   5","   0","   0","  62","   7","   2","   0","   1","   0","   0","  24"," 134","   1","   0","   0","   0","   2","   0","   0","   5","   0","   0","   0","   1","  15","   1","   0","   0","   0","   0","   0","   0","   0","   3","  38","   0","   0","   0","   0","   0","   3","   0"
"7184","7396","6897"," 540","  10","   0","   1","   0","   0","   1","  26","   0","   0","   1","   4","  12","   0","   0","   1","   7","   0","  24","   1","   2","   0","   0","   0","   0","   0","   1","   1","   2","   1","   2","  19","   0","   0","   1","   0","   9","   0","   0","   0","  40","   0","   0","   0","   0","   1","   1","   0","   0","   0","   1","  25","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   8","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   2","   0","   0","   0","   1","   0","   3","   1","   0","  98","   0","   5","   0","   1","  57","   8","   1","   0","   0","   0","   0","  12"," 135","   0","   0","   0","   0","   0","   1","   0","   0","   1","   0","   0","   0","  32","   0","   1","   0","   0","   0","   3","   0","   0","   5","  56","   0","   0","   0","   0","   0","   0","   0"
"7260","7457","7009"," 560","   5","   0","   1","   0","   0","   0","   5","   0","   0","   0","   4","   0","   0","   2","   1","   1","   0","  27","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","  20","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  33","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  15","   0","   1","   0","   0","   9","   0","   1","   0","   0","   0","   0","   2","  33","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   2","   0","   0","   2","  10","   0","   0","   0","   0","   0","   0","   0"
"7329","7506","7110"," 580","   1","   1","   0","   0","   0","   2","  26","   0","   0","   0","   5","  27","   0","   1","   0","   7","   0","  22","   0","   1","   0","   0","   0","   0","   0","   1","   0","   3","   1","   1","   9","   0","   0","   0","   0","   6","   0","   1","   0","   6","   0","   0","   0","   0","   2","   1","   0","   1","   0","   1","  16","   0","   0","   1","   1","   1","   0","   0","   0","   0","   0","   0","   0","   4","   0","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   1","   0","   0","   5","   0","   0","   2","   0","   2","   2","   3","   0","   0","  43","   1","   3","   0","   0","   0","   0","  15","  98","   0","   0","   0","   3","   0","   0","   0","   3","   1","   0","   0","   0","  13","   0","   0","   0","   0","   0","   1","   1","   0","   1","  28","   0","   0","   0","   0","   0","   0","   0"
