"sample_name","depth","Hagenia","Acacia t.","Acalypha","Aerva type","Alchornea","Allophylus t.","Amaranthaceae undif.","Ambrosia t.","Anthoceros t.","Anthospermum","Apiaceae undif.","Apodytes dimidiata","Artemisia","Asteroideae undif.","Balanites","Blighia","Boscia","Brassicaceae","Buxus","Capparis","Caryophyllaceae undif.","Cassia","Caucanthus","Celosia type","Celtis","Cichorieae","Cissampelos","Cissus t.","Clematis-type","Clutia","Cocculus","Combretaceae","Commelina","Commiphora","Cordia","Crateva","Cupressaceae","Cussonia","Cyperaceae","Cyphostemma-type","Dichrostachys","Digera-type muricata","Diospyros/Euclea t.","Dodonaea","Ekebergia","Elaeophorbia-type drupifera","Entada","Erhetia","Erica t.","Erythrococca/Micrococca","Eucalyptus","Euphorbia t.","Faboideae Undif.","Fern","Ficus","Hymenocardia","Hymenodictyon","Hyphaene t.","Hypoestes t.","Indeterminable","Indigofera","Jasminum","Jatropha/Croton","Justicia t.","Kohautia","Lamiaceae undif.","Lannea","Laportea","Lepisanthes","Loranthaceae undif.","Macaranga","Maerua","Maesa","Maytenus","Mimulopsis-type","Mitragyna/Hallea","Monoletes","Moraceae undif.","Morella","Myrsine africana","Nuxia t.","Nymphaea","Olea t.","Pappea-type capensis","Petaloid monocot","Phoenix t.","Phyllanthus amarus","Phyllanthus undif.","Pilea-type bambuseti","Plantago","Poaceae","Podocarpus","Polygonum t.","Polyscias","Potamogeton","Proteaceae","Prunus t.","Psilotrichum t.","Psydrax","Pterolobium","Rapanea","Rhamnaceae undif.","Ricinus","Rosa t.","Rubia-type cordifolia","Rubiaceae undif.","Rumex t.","Salvadora","Sapotaceae undif.","Schefflera","Searsia","Securinega  t.","Serichostachys-type scandens","Shirakia-type elliptica","Solanum","Syzygium t.","Tephrosia","Tilia","Trema","Tribulus","Trifolium t.","Triletes","Typha","Urtica t.","Vepris-type dainellii","Vepris-type nobilis","Vernonieae","Ximenia","Zanthoxylum","Zea"
NA," 50","  6","  2","  5","  4","  0","  0","  3","  0","  0","  0","  0","  0","  1","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  6","  1","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0"," 21","  0"," 47","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  4","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  1","  0","  1","  0"," 34","  0","  1","  2","  0","  0","  0","  2","356"," 72","  0","  1","  2","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2","  1","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  2"," 16","  0","  0","  0","  1","  0","  0"
NA," 53","  8","  6","  1","  2","  0","  1","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  2","  1","  0","  0","  0","  1","  0","  3","  0","  0","  0","  0"," 35","  0"," 75","  0","  0","  0","  5"," 10","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  1","  0","  0","  1","  1","  0","  0","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  1","  1"," 33","  0","  0","  0","  0","  0","  0","  1","372","103","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  2","  0","  0","  0","  2","  3","  0","  1","  2","  0","  0","  0","  0","  1","  0","  0","  1","  0","  0","  5","  1"," 12","  0","  0","  0","  0","  0","  0"
NA," 55","  4","  0","  2","  6","  0","  0","  6","  1","  1","  0","  0","  0","  1","  9","  0","  0","  0","  2","  0","  1","  0","  0","  0","  2"," 11","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  0"," 38","  0"," 75","  0","  0","  0","  3","  4","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  1","  0","  1","  3","  0","  0","  0","  1","  0","  0","  0","  0","  5","  0","  0","  0","  1","  0"," 27","  0","  0","  0","  0","  0","  0","  1","333"," 74","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  1","  0","  0","  2"," 11","  0","  0","  0","  0","  0","  0"
NA," 57","  8","  1","  2","  4","  0","  0","  8","  0","  0","  2","  0","  1","  0","  3","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  4","  1","  0","  0","  1","  0","  0","  4","  0","  0","  0","  0"," 28","  0"," 70","  0","  0","  0","  3"," 11","  0","  0","  1","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  3","  0","  1","  0","  0","  0"," 26","  0","  1","  0","  0","  2","  0","  2","378"," 78","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  1","  0","  1","  4","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  2","  5"," 13","  0","  0","  0","  0","  1","  0"
NA," 60"," 10","  0","  2","  2","  0","  0","  2","  0","  1","  0","  0","  0","  1","  3","  1","  0","  0","  0","  0","  0","  0","  0","  0","  4","  5","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 43","  1"," 63","  0","  0","  0","  0","  9","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  4","  0","  0","  0","  0","  1"," 23","  0","  0","  0","  0","  0","  1","  2","290","122","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  2","  1","  0","  0","  0","  2","  0","  1","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6"," 19","  0","  1","  0","  0","  0","  0"
NA," 62","  8","  2","  1","  8","  0","  0","  8","  0","  0","  5","  0","  0","  2","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  9","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0"," 23","  0"," 83","  0","  0","  1","  2"," 10","  0","  0","  0","  0","  8","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  8","  0","  0","  1","  0","  0"," 30","  0","  0","  0","  0","  0","  1","  0","288","154","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  3","  1","  0","  3","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  2","  5","  3","  0","  0","  0","  0","  0","  0"
NA," 65","  7","  5","  2","  3","  0","  0","  4","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  7","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 36","  0"," 65","  0","  0","  0","  2"," 12","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  1","  0","  0","  0","  5","  0","  0","  0","  3","  0","  0","  1","  0","  0","  3","  0","  0","  6","  0","  0","  0","  0","  0"," 40","  0","  0","  0","  0","  0","  0","  1","330"," 90","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  1","  2","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  4"," 24","  0","  0","  1","  0","  0","  0"
NA," 70"," 13","  1","  4","  0","  0","  0","  6","  0","  0","  1","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4","  5","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0"," 38","  0"," 67","  0","  0","  0","  7"," 10","  0","  0","  0","  0","  5","  0","  0","  0","  1","  0","  2","  0","  0","  0","  5","  0","  1","  0","  0","  0","  0","  1","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  6","  1","  0","  3","  0","  0"," 28","  0","  0","  1","  0","  0","  0","  0","286","101","  0","  0","  0","  0","  1","  1","  1","  0","  0","  0","  3","  0","  0","  1","  2","  1","  0","  1","  2","  1","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  3"," 16","  0","  0","  0","  0","  0","  0"
NA," 72","  9","  0","  2","  3","  0","  0","  2","  0","  1","  1","  1","  0","  1","  8","  0","  0","  0","  0","  0","  2","  0","  0","  0","  3","  1","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0"," 40","  2"," 71","  0","  0","  0"," 10"," 17","  0","  1","  0","  0","  8","  0","  0","  0","  0","  0","  1","  2","  0","  0","  2","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  1","  2","  0","  0","  0","  0","  7","  0","  0","  0","  1","  0"," 57","  0","  1","  0","  1","  0","  0","  2","227","138","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  2","  2","  0","  0","  1","  4","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  6","  7","  5","  0","  0","  2","  0","  0","  0"
NA," 75"," 16","  3","  3","  5","  0","  0","  7","  0","  0","  2","  0","  0","  0","  2","  0","  0","  1","  0","  0","  3","  1","  1","  0","  1","  7","  0","  0","  0","  0","  0","  0","  5","  0","  0","  0","  0"," 63","  0"," 43","  0","  0","  0","  4"," 20","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  2","  0","  0","  1","  0","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0","  0","  5","  0","  0","  0","  0","  0"," 45","  0","  0","  0","  0","  0","  2","  1","231","132","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  9","  0","  0","  0","  1","  5","  0","  1","  2","  1","  0","  1","  0","  0","  0","  2","  0","  1","  0","  3","  5"," 14","  0","  0","  1","  1","  0","  0"
NA," 80"," 13","  2","  2","  2","  0","  0","  2","  0","  2","  0","  1","  2","  1","  4","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  4","  0","  0","  0","  4","  0","  0","  5","  0","  0","  0","  0"," 49","  0"," 63","  0","  0","  0","  4","  6","  0","  1","  0","  2","  2","  0","  0","  0","  0","  1","  1","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  1","  0","  0","  3","  0","  0","  4","  0","  0","  0","  1","  2"," 39","  0","  0","  0","  0","  0","  0","  0","222","121","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3","  0","  0","  0","  3","  5","  0","  1","  1","  1","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  8"," 14","  0","  0","  0","  0","  0","  0"
NA," 85","  6","  2","  2","  1","  0","  0","  2","  0","  0","  2","  0","  0","  0","  3","  0","  0","  2","  0","  0","  0","  0","  0","  0","  6","  5","  0","  0","  0","  0","  0","  0","  6","  0","  0","  0","  0"," 17","  0"," 36","  0","  0","  0","  4","  6","  0","  1","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0"," 23","  0","  0","  0","  0","  0","  0","  0","275"," 90","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  2","  2","  0","  0","  1","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  2"," 15","  0","  1","  2","  0","  0","  0"
NA," 90"," 15","  1","  4","  2","  0","  0","  4","  0","  0","  1","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","  5","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0"," 30","  0"," 32","  0","  1","  0","  5","  4","  0","  0","  0","  0","  3","  0","  0","  1","  0","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  2","  0","  0","  3","  0","  0","  0","  0","  1"," 27","  0","  1","  1","  0","  0","  0","  1","330"," 92","  1","  0","  0","  0","  2","  1","  0","  0","  0","  0","  3","  0","  0","  1","  1","  1","  0","  0","  2","  1","  0","  0","  1","  2","  0","  0","  0","  0","  1","  0","  3"," 29","  0","  0","  0","  0","  0","  0"
NA," 95","  4","  2","  8","  4","  0","  0","  3","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  0","  1","  0","  0","  0","  0","  5","  0","  0","  1","  0"," 17","  1"," 23","  0","  0","  0","  5"," 12","  0","  1","  0","  0","  2","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","  1","  0","  0","  0"," 65","  0","  0","  0","  1","  0","  0","  2","281"," 88","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  1","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"," 37","  0","  0","  0","  0","  0","  0"
NA,"100"," 13","  0","  3","  1","  1","  0","  4","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  1","  0","  0","  0","  0","  1","  0","  5","  0","  0","  0","  0"," 35","  0"," 15","  0","  0","  0","  1","  3","  1","  1","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  1","  1","  1","  0","  0","  1","  0","  0","  1","  0","  0","  1","  0","  2","  0","  1","  0"," 29","  0","  0","  1","  0","  0","  0","  1","308","111","  0","  2","  0","  0","  0","  0","  0","  0","  0","  1","  5","  0","  0","  0","  2","  5","  0","  0","  5","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  7"," 25","  0","  0","  1","  0","  0","  0"
NA,"105"," 11","  5","  7","  0","  0","  0","  5","  0","  0","  1","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  9","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0"," 25","  0"," 23","  0","  0","  0","  3","  5","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  4","  0","  2","  0"," 27","  0","  0","  0","  0","  0","  0","  2","277","146","  0","  1","  0","  0","  1","  0","  0","  1","  0","  0","  3","  0","  0","  0","  2","  0","  0","  1","  2","  1","  0","  0","  0","  1","  0","  0","  1","  0","  0","  0","  1"," 39","  0","  0","  0","  0","  0","  0"
NA,"110","  9","  1"," 11","  4","  0","  0","  2","  0","  0","  1","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  2","  0","  0","  0","  0","  0","  0","  6","  0","  1","  0","  0"," 35","  0"," 34","  0","  0","  0","  1","  5","  0","  0","  0","  0","  0","  2","  0","  0","  2","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  3","  1","  0","  0","  1","  0","  1","  0","  0","  0","  1","  0","  1","  1","  0","  0"," 32","  1","  0","  0","  0","  0","  0","  1","317"," 93","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  1","  0","  0","  2","  5","  0","  0","  3","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  0","  0"
NA,"115","  5","  4","  8","  3","  0","  0","  5","  0","  0","  1","  0","  0","  1","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  2","  3","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0"," 19","  0"," 71","  0","  0","  0","  3","  5","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  2","  1","  0","  0","  1","  0","  0","  2","  1","  0","  0","  0","  0","  0","  5","  0","  0","  3","  0","  2","  0","  0","  0"," 29","  0","  0","  0","  0","  0","  0","  0","311","114","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0","  0","  3","  0","  0","  0","  4","  1","  0","  0","  1","  2","  0","  0","  0","  0","  0","  1","  2"," 17","  0","  0","  0","  0","  0","  0"
